,DECK_Open,DECK_High,DECK_Low,DECK_Close,DECK_Adj Close,DECK_Volume,DECK_Dividend Amount,DECK_Split Coefficient
2024-07-31,923.17,933.0,916.71,922.63,153.771666666667,307665,0.0,1.0
2024-07-30,922.42,930.0,907.06,911.23,151.871666666667,325462,0.0,1.0
2024-07-29,897.5,932.27,891.45,921.22,153.536666666667,536554,0.0,1.0
2024-07-26,959.81,980.0,893.0,894.7,149.116666666667,1302823,0.0,1.0
2024-07-25,850.0,855.57,820.52,841.5,140.25,890976,0.0,1.0
2024-07-24,878.31,882.98,845.5,846.04,141.006666666667,447380,0.0,1.0
2024-07-23,887.01,906.74,882.25,882.43,147.071666666667,383262,0.0,1.0
2024-07-22,880.0,889.91,872.81,883.91,147.318333333333,315110,0.0,1.0
2024-07-19,887.15,892.32,869.89,871.24,145.206666666667,256525,0.0,1.0
2024-07-18,898.51,916.8,880.99,886.86,147.81,347739,0.0,1.0
2024-07-17,907.66,933.26,889.52,889.62,148.27,363913,0.0,1.0
2024-07-16,910.0,912.94,893.4,912.87,152.145,381563,0.0,1.0
2024-07-15,898.0,912.375,896.2,899.58,149.93,405652,0.0,1.0
2024-07-12,899.1,910.0,887.84,898.06,149.676666666667,395515,0.0,1.0
2024-07-11,894.85,895.38,876.69,888.64,148.106666666667,494377,0.0,1.0
2024-07-10,925.0,927.5,851.85,893.37,148.895,628912,0.0,1.0
2024-07-09,949.71,955.1528,938.29,939.05,156.508333333333,226118,0.0,1.0
