,GTLS_Open,GTLS_High,GTLS_Low,GTLS_Close,GTLS_Adj Close,GTLS_Volume,GTLS_Dividend Amount,GTLS_Split Coefficient
2024-10-07,123.03,126.26,122.21,125.98,125.98,539607,0.0,1.0
2024-10-04,123.22,124.36,120.87,123.81,123.81,828895,0.0,1.0
2024-10-03,117.97,120.07,116.36,119.96,119.96,1122248,0.0,1.0
2024-10-02,119.62,120.94,117.71,119.8,119.8,511873,0.0,1.0
2024-10-01,122.3,122.5641,118.47,119.65,119.65,645047,0.0,1.0
2024-09-30,124.64,126.645,122.59,124.14,124.14,723354,0.0,1.0
2024-09-27,126.71,128.715,125.11,125.7,125.7,479756,0.0,1.0
2024-09-26,125.29,126.48,122.03,124.23,124.23,642027,0.0,1.0
2024-09-25,125.12,125.39,121.9601,122.79,122.79,474078,0.0,1.0
2024-09-24,127.34,128.42,124.05,124.52,124.52,559298,0.0,1.0
2024-09-23,123.31,125.35,122.89,124.99,124.99,644835,0.0,1.0
2024-09-20,123.54,124.34,121.79,122.43,122.43,1134738,0.0,1.0
2024-09-19,125.63,126.72,122.63,124.31,124.31,918366,0.0,1.0
2024-09-18,120.56,125.97,119.27,121.6,121.6,728593,0.0,1.0
2024-09-17,119.13,122.77,118.155,119.77,119.77,815779,0.0,1.0
2024-09-16,119.2,119.2,114.0,117.29,117.29,760700,0.0,1.0
2024-09-13,113.58,115.34,111.98,114.98,114.98,949808,0.0,1.0
2024-09-12,111.19,114.49,108.77,111.62,111.62,721092,0.0,1.0
2024-09-11,106.55,110.8,101.601,110.28,110.28,1096677,0.0,1.0
2024-09-10,110.22,110.22,104.33,106.83,106.83,1634351,0.0,1.0
2024-09-09,112.26,112.86,108.79,110.09,110.09,819871,0.0,1.0
2024-09-06,113.07,115.25,111.1,112.06,112.06,822397,0.0,1.0
2024-09-05,114.0,115.65,112.05,113.08,113.08,906055,0.0,1.0
2024-09-04,113.23,115.5,110.52,112.88,112.88,784289,0.0,1.0
2024-09-03,121.32,121.44,112.945,114.05,114.05,861305,0.0,1.0
2024-08-30,124.99,125.23,120.77,122.4,122.4,524694,0.0,1.0
2024-08-29,122.96,127.37,121.97,124.05,124.05,532228,0.0,1.0
2024-08-28,125.21,125.54,119.75,120.73,120.73,520306,0.0,1.0
2024-08-27,125.99,126.98,124.68,126.04,126.04,530337,0.0,1.0
2024-08-26,125.82,130.695,125.41,126.59,126.59,761606,0.0,1.0
2024-08-23,118.19,123.78,117.86,123.6,123.6,493180,0.0,1.0
2024-08-22,118.97,119.99,116.065,116.74,116.74,503238,0.0,1.0
2024-08-21,117.67,119.56,116.52,118.97,118.97,706901,0.0,1.0
2024-08-20,118.6,118.75,113.54,116.48,116.48,614345,0.0,1.0
2024-08-19,116.44,119.03,115.906,119.01,119.01,612668,0.0,1.0
2024-08-16,113.75,116.5,113.75,115.39,115.39,439996,0.0,1.0
2024-08-15,114.78,116.52,113.08,114.0,114.0,656258,0.0,1.0
2024-08-14,112.79,112.92,108.8001,110.52,110.52,697357,0.0,1.0
2024-08-13,110.72,111.37,106.88,111.24,111.24,908945,0.0,1.0
2024-08-12,112.5,114.18,108.885,109.54,109.54,684981,0.0,1.0
2024-08-09,119.21,119.21,110.63,111.82,111.82,1086504,0.0,1.0
2024-08-08,115.27,120.04,113.5,119.27,119.27,812378,0.0,1.0
2024-08-07,124.21,125.65,112.85,113.01,113.01,1164390,0.0,1.0
2024-08-06,116.43,125.54,116.26,122.13,122.13,1339035,0.0,1.0
2024-08-05,117.07,121.73,112.83,115.92,115.92,1814851,0.0,1.0
2024-08-02,132.0,132.51,120.3,126.01,126.01,2100275,0.0,1.0
2024-08-01,159.78,162.28,151.635,153.85,153.85,558608,0.0,1.0
2024-07-31,160.12,166.9,158.39,161.08,161.08,383210,0.0,1.0
2024-07-30,158.66,161.08,158.66,158.99,158.99,381647,0.0,1.0
2024-07-29,161.5,163.4,156.365,158.26,158.26,346674,0.0,1.0
2024-07-26,162.83,166.128,160.62,161.27,161.27,367976,0.0,1.0
2024-07-25,161.47,164.25,157.8576,159.57,159.57,672406,0.0,1.0
2024-07-24,167.63,169.935,160.79,160.81,160.81,387232,0.0,1.0
2024-07-23,165.05,169.45,164.305,168.99,168.99,428360,0.0,1.0
2024-07-22,165.64,166.49,161.985,165.91,165.91,405201,0.0,1.0
2024-07-19,163.36,164.53,161.37,163.06,163.06,362468,0.0,1.0
2024-07-18,164.47,167.7024,160.62,162.98,162.98,393466,0.0,1.0
2024-07-17,167.39,171.68,164.655,165.88,165.88,667794,0.0,1.0
2024-07-16,161.76,169.58,161.76,168.35,168.35,764917,0.0,1.0
2024-07-15,157.16,162.09,155.0101,161.1,161.1,569417,0.0,1.0
2024-07-12,154.35,157.845,153.535,155.47,155.47,494676,0.0,1.0
2024-07-11,143.89,152.42,143.77,151.42,151.42,811232,0.0,1.0
2024-07-10,135.76,141.41,135.76,140.39,140.39,523084,0.0,1.0
2024-07-09,138.15,139.09,135.0,135.02,135.02,641434,0.0,1.0
2024-07-08,143.7,144.08,138.04,139.23,139.23,391284,0.0,1.0
2024-07-05,144.53,145.2496,142.21,142.61,142.61,248602,0.0,1.0
2024-07-03,143.32,145.5,141.69,145.08,145.08,217588,0.0,1.0
2024-07-02,140.66,143.04,140.62,142.43,142.43,384698,0.0,1.0
2024-07-01,144.45,145.47,139.0,140.07,140.07,417116,0.0,1.0
2024-06-28,146.18,149.43,141.78,144.34,144.34,1473540,0.0,1.0
2024-06-27,140.52,143.56,137.89,143.46,143.46,424955,0.0,1.0
2024-06-26,143.12,143.435,139.6,140.19,140.19,366604,0.0,1.0
2024-06-25,148.04,149.64,143.51,143.96,143.96,372672,0.0,1.0
2024-06-24,145.0,150.4,144.375,148.29,148.29,475972,0.0,1.0
2024-06-21,143.01,143.01,139.19,140.81,140.81,484289,0.0,1.0
2024-06-20,141.82,145.37,141.32,143.12,143.12,329864,0.0,1.0
2024-06-18,141.85,143.24,139.8,142.38,142.38,312451,0.0,1.0
2024-06-17,140.0,143.33,138.81,142.46,142.46,497610,0.0,1.0
