,GTLS_Open,GTLS_High,GTLS_Low,GTLS_Close,GTLS_Adj Close,GTLS_Volume,GTLS_Dividend Amount,GTLS_Split Coefficient
2024-06-14,143.0,144.36,139.36,140.64,140.64,358275,0.0,1.0
2024-06-13,145.92,146.3686,142.23,143.97,143.97,219404,0.0,1.0
2024-06-12,147.71,151.055,146.35,146.42,146.42,305496,0.0,1.0
2024-06-11,144.76,144.805,143.03,143.61,143.61,283962,0.0,1.0
2024-06-10,143.76,147.0,143.3,146.16,146.16,291579,0.0,1.0
2024-06-07,144.76,146.38,143.01,145.4,145.4,328427,0.0,1.0
2024-06-06,149.17,149.385,145.0,146.08,146.08,195503,0.0,1.0
2024-06-05,146.61,149.41,145.0,149.35,149.35,235662,0.0,1.0
2024-06-04,147.98,149.59,145.315,146.1,146.1,476913,0.0,1.0
2024-06-03,158.52,159.03,147.18,149.44,149.44,467557,0.0,1.0
2024-05-31,155.91,158.4,153.14,157.03,157.03,431045,0.0,1.0
2024-05-30,153.42,155.33,152.185,153.9,153.9,264881,0.0,1.0
2024-05-29,152.83,153.83,150.375,152.86,152.86,378749,0.0,1.0
2024-05-28,151.52,155.29,151.25,155.18,155.18,381435,0.0,1.0
2024-05-24,153.03,153.06,150.235,150.82,150.82,259310,0.0,1.0
2024-05-23,156.36,156.36,151.06,152.17,152.17,340472,0.0,1.0
2024-05-22,157.48,161.03,154.5901,156.31,156.31,432262,0.0,1.0
2024-05-21,154.36,158.23,154.27,158.22,158.22,272562,0.0,1.0
2024-05-20,154.32,156.24,150.66,156.02,156.02,398760,0.0,1.0
2024-05-17,155.67,155.67,152.89,154.0,154.0,505319,0.0,1.0
2024-05-16,155.7,156.15,153.28,154.0,154.0,460593,0.0,1.0
2024-05-15,162.39,162.525,155.93,156.0,156.0,623069,0.0,1.0
2024-05-14,156.16,161.3,154.25,160.71,160.71,1394153,0.0,1.0
2024-05-13,156.68,157.29,152.96,153.15,153.15,500341,0.0,1.0
2024-05-10,156.08,156.5,151.03,151.3,151.3,550595,0.0,1.0
2024-05-09,156.88,157.145,154.47,154.99,154.99,407117,0.0,1.0
2024-05-08,158.88,160.435,154.81,156.9,156.9,623927,0.0,1.0
2024-05-07,159.53,164.74,158.61,160.65,160.65,794374,0.0,1.0
2024-05-06,156.65,161.18,153.9138,158.0,158.0,723192,0.0,1.0
2024-05-03,150.86,159.4,149.76,155.0,155.0,1112498,0.0,1.0
2024-05-02,145.83,146.5,142.6344,145.0,145.0,783648,0.0,1.0
2024-05-01,143.74,149.25,143.25,144.99,144.99,618728,0.0,1.0
2024-04-30,146.8,147.8,143.49,144.06,144.06,747430,0.0,1.0
2024-04-29,150.52,152.36,147.8,148.5,148.5,678201,0.0,1.0
2024-04-26,152.03,153.28,149.75,150.0,150.0,733143,0.0,1.0
2024-04-25,151.61,154.0,146.06,152.0,152.0,771367,0.0,1.0
2024-04-24,152.97,154.42,150.71,152.95,152.95,259204,0.0,1.0
2024-04-23,149.94,154.37,149.94,153.52,153.52,331727,0.0,1.0
2024-04-22,148.35,151.845,146.61,149.59,149.59,259334,0.0,1.0
2024-04-19,147.81,150.005,146.3,148.04,148.04,404451,0.0,1.0
2024-04-18,148.5,152.88,147.09,148.57,148.57,446329,0.0,1.0
2024-04-17,149.16,149.16,145.19,147.59,147.59,451109,0.0,1.0
2024-04-16,148.59,150.64,145.56,148.16,148.16,505181,0.0,1.0
2024-04-15,154.44,155.5927,148.6,150.1,150.1,518262,0.0,1.0
2024-04-12,155.15,156.98,151.93,154.31,154.31,391019,0.0,1.0
2024-04-11,158.66,158.66,154.145,155.48,155.48,510781,0.0,1.0
2024-04-10,156.47,159.2,154.755,159.05,159.05,547483,0.0,1.0
2024-04-09,158.11,164.22,156.9,162.44,162.44,691054,0.0,1.0
2024-04-08,157.14,158.56,155.65,157.68,157.68,356694,0.0,1.0
2024-04-05,153.39,156.905,153.2,155.63,155.63,409872,0.0,1.0
2024-04-04,159.07,160.985,153.21,153.31,153.31,427954,0.0,1.0
2024-04-03,155.95,158.81,155.93,157.01,157.01,529024,0.0,1.0
2024-04-02,158.68,159.21,156.23,156.83,156.83,411300,0.0,1.0
2024-04-01,164.32,165.135,159.75,159.97,159.97,506439,0.0,1.0
2024-03-28,165.0,168.61,163.71,164.72,164.72,540250,0.0,1.0
2024-03-27,164.87,167.1,163.2,165.31,165.31,513562,0.0,1.0
2024-03-26,161.04,164.12,158.955,163.05,163.05,475952,0.0,1.0
2024-03-25,160.55,162.26,157.9,159.5,159.5,509679,0.0,1.0
2024-03-22,156.35,160.565,156.3,159.42,159.42,705227,0.0,1.0
2024-03-21,151.55,157.78,151.1,157.4,157.4,576972,0.0,1.0
2024-03-20,147.05,151.09,144.1,151.06,151.06,657726,0.0,1.0
2024-03-19,147.79,152.07,147.01,148.87,148.87,686116,0.0,1.0
2024-03-18,142.5,145.8679,141.86,143.8,143.8,285268,0.0,1.0
2024-03-15,143.85,145.3,142.575,142.77,142.77,579561,0.0,1.0
2024-03-14,146.26,146.93,142.16,144.03,144.03,340670,0.0,1.0
2024-03-13,144.16,147.935,144.16,146.26,146.26,477621,0.0,1.0
2024-03-12,143.96,144.57,140.22,144.32,144.32,297347,0.0,1.0
2024-03-11,144.38,148.28,144.38,145.0,145.0,578010,0.0,1.0
2024-03-08,146.56,148.945,142.22,143.42,143.42,418177,0.0,1.0
2024-03-07,142.0,144.66,142.0,144.61,144.61,565115,0.0,1.0
2024-03-06,143.76,144.405,140.705,141.25,141.25,440416,0.0,1.0
2024-03-05,141.14,144.85,141.14,142.15,142.15,397577,0.0,1.0
2024-03-04,147.47,148.715,141.05,143.3,143.3,475955,0.0,1.0
2024-03-01,144.27,148.43,142.63,146.58,146.58,602716,0.0,1.0
2024-02-29,150.53,153.49,141.29,142.86,142.86,1192254,0.0,1.0
2024-02-28,146.99,157.27,144.57,147.68,147.68,2166515,0.0,1.0
2024-02-27,130.31,131.875,127.04,131.49,131.49,817018,0.0,1.0
2024-02-26,125.6,129.89,125.6,127.92,127.92,600820,0.0,1.0
2024-02-23,126.44,128.73,124.41,126.98,126.98,333876,0.0,1.0
2024-02-22,126.26,127.535,125.23,126.0,126.0,680815,0.0,1.0
2024-02-21,125.25,126.585,124.0,125.76,125.76,265287,0.0,1.0
2024-02-20,129.4,131.95,124.79,126.01,126.01,490410,0.0,1.0
2024-02-16,131.58,133.5,130.8,132.12,132.12,634581,0.0,1.0
2024-02-15,127.91,132.88,127.91,132.62,132.62,790094,0.0,1.0
2024-02-14,124.04,127.155,122.035,126.59,126.59,476784,0.0,1.0
2024-02-13,121.07,123.66,120.19,122.04,122.04,531982,0.0,1.0
2024-02-12,122.22,129.38,122.22,125.81,125.81,635199,0.0,1.0
2024-02-09,119.31,122.9,117.4,122.24,122.24,460501,0.0,1.0
2024-02-08,116.58,118.915,115.45,118.72,118.72,733963,0.0,1.0
2024-02-07,119.43,119.99,116.65,117.24,117.24,532934,0.0,1.0
2024-02-06,116.55,118.33,115.0,118.31,118.31,426788,0.0,1.0
2024-02-05,118.26,118.67,114.27,116.89,116.89,479668,0.0,1.0
2024-02-02,120.14,122.29,118.33,120.92,120.92,358624,0.0,1.0
2024-02-01,118.81,121.84,116.3,121.74,121.74,709295,0.0,1.0
2024-01-31,121.2,122.42,116.5,116.72,116.72,636252,0.0,1.0
2024-01-30,117.72,123.5,117.72,120.84,120.84,1790522,0.0,1.0
2024-01-29,113.01,119.62,111.43,119.52,119.52,1819561,0.0,1.0
2024-01-26,119.54,120.075,110.18,110.53,110.53,1807429,0.0,1.0
2024-01-25,120.5,121.67,114.82,119.55,119.55,1143080,0.0,1.0
2024-01-24,130.46,131.11,118.69,118.73,118.73,940989,0.0,1.0
2024-01-23,131.83,131.91,125.5,128.82,128.82,364965,0.0,1.0
2024-01-22,126.87,129.951,126.17,129.69,129.69,553419,0.0,1.0
2024-01-19,130.68,130.68,123.025,125.86,125.86,776136,0.0,1.0
2024-01-18,127.63,132.165,127.01,130.0,130.0,533420,0.0,1.0
2024-01-17,125.0,127.0745,124.01,126.91,126.91,595570,0.0,1.0
2024-01-16,131.29,132.3,127.32,127.34,127.34,735737,0.0,1.0
2024-01-12,136.04,138.65,132.28,132.99,132.99,481450,0.0,1.0
2024-01-11,128.03,132.87,126.41,132.58,132.58,485015,0.0,1.0
2024-01-10,129.56,130.155,126.745,129.11,129.11,500759,0.0,1.0
2024-01-09,130.6,131.59,126.93,129.98,129.98,503857,0.0,1.0
2024-01-08,132.48,133.99,129.04,133.25,133.25,588094,0.0,1.0
2024-01-05,131.89,134.9764,130.76,133.13,133.13,433692,0.0,1.0
2024-01-04,134.0,138.8,132.2988,133.07,133.07,501982,0.0,1.0
2024-01-03,133.09,133.645,129.75,131.62,131.62,503571,0.0,1.0
2024-01-02,135.65,138.44,134.48,135.22,135.22,323206,0.0,1.0
2023-12-29,138.93,139.4293,136.2,136.33,136.33,413705,0.0,1.0
2023-12-28,138.45,142.2,137.83,139.4,139.4,516911,0.0,1.0
2023-12-27,138.49,140.55,137.92,139.16,139.16,347761,0.0,1.0
2023-12-26,134.91,138.95,134.91,137.94,137.94,279023,0.0,1.0
2023-12-22,135.0,137.28,134.0,134.34,134.34,344153,0.0,1.0
2023-12-21,131.0,136.66,130.65,135.19,135.19,695410,0.0,1.0
2023-12-20,130.8,135.4,129.84,129.94,129.94,757414,0.0,1.0
2023-12-19,131.59,133.21,130.22,132.21,132.21,509516,0.0,1.0
2023-12-18,131.69,133.96,129.2,130.16,130.16,580597,0.0,1.0
2023-12-15,132.05,133.51,128.38,129.93,129.93,1280118,0.0,1.0
2023-12-14,130.2,137.75,129.95,131.29,131.29,1353075,0.0,1.0
2023-12-13,121.53,126.47,116.83,126.09,126.09,1767173,0.0,1.0
2023-12-12,125.89,125.925,121.09,121.98,121.98,811579,0.0,1.0
2023-12-11,123.34,127.44,122.6861,126.63,126.63,522170,0.0,1.0
2023-12-08,124.26,126.16,121.2896,123.63,123.63,404690,0.0,1.0
2023-12-07,122.0,125.8,121.54,124.41,124.41,1040523,0.0,1.0
2023-12-06,127.68,129.31,121.69,121.74,121.74,511392,0.0,1.0
2023-12-05,131.64,131.64,125.04,125.83,125.83,738972,0.0,1.0
2023-12-04,133.64,137.02,132.04,132.65,132.65,531237,0.0,1.0
2023-12-01,129.67,135.139,129.3286,134.84,134.84,696820,0.0,1.0
2023-11-30,127.69,132.24,125.8901,130.03,130.03,720730,0.0,1.0
2023-11-29,127.15,128.91,125.995,126.57,126.57,633746,0.0,1.0
2023-11-28,130.0,130.82,125.0,125.4,125.4,754277,0.0,1.0
2023-11-27,132.62,133.99,130.33,131.64,131.64,741157,0.0,1.0
2023-11-24,132.42,135.35,131.59,133.74,133.74,326941,0.0,1.0
2023-11-22,129.76,132.81,127.49,132.75,132.75,579049,0.0,1.0
2023-11-21,126.26,130.06,124.86,128.65,128.65,632992,0.0,1.0
2023-11-20,126.12,128.84,124.97,127.28,127.28,473823,0.0,1.0
2023-11-17,123.58,125.715,122.61,125.69,125.69,694843,0.0,1.0
2023-11-16,124.61,125.37,119.91,121.49,121.49,444493,0.0,1.0
2023-11-15,124.89,129.85,124.89,125.93,125.93,876084,0.0,1.0
2023-11-14,118.71,126.11,118.71,124.55,124.55,763910,0.0,1.0
2023-11-13,114.25,116.81,113.99,114.4,114.4,1393740,0.0,1.0
2023-11-10,117.04,117.52,112.65,115.01,115.01,735288,0.0,1.0
2023-11-09,120.17,120.17,114.98,116.31,116.31,466734,0.0,1.0
2023-11-08,116.61,119.15,115.7401,118.35,118.35,436625,0.0,1.0
2023-11-07,118.5,119.0,114.88,116.95,116.95,582730,0.0,1.0
2023-11-06,123.31,123.7,119.23,119.86,119.86,410182,0.0,1.0
2023-11-03,124.99,128.45,121.7764,122.5,122.5,705368,0.0,1.0
2023-11-02,119.99,122.61,117.56,122.33,122.33,773478,0.0,1.0
2023-11-01,114.84,117.57,111.825,114.84,114.84,923961,0.0,1.0
2023-10-31,123.83,123.83,115.27,116.23,116.23,877524,0.0,1.0
2023-10-30,114.52,123.38,114.4,121.33,121.33,1934439,0.0,1.0
2023-10-27,138.46,142.54,109.48,110.12,110.12,4426203,0.0,1.0
2023-10-26,147.43,149.69,145.82,146.58,146.58,543500,0.0,1.0
2023-10-25,148.82,150.0,146.65,146.7,146.7,350647,0.0,1.0
2023-10-24,151.34,153.475,149.23,150.83,150.83,285282,0.0,1.0
2023-10-23,149.05,151.6251,148.05,148.29,148.29,314907,0.0,1.0
2023-10-20,154.3,154.53,150.11,150.31,150.31,314513,0.0,1.0
2023-10-19,158.54,160.0,154.22,155.04,155.04,386033,0.0,1.0
2023-10-18,162.46,163.5199,159.86,159.87,159.87,383279,0.0,1.0
2023-10-17,157.73,167.945,155.56,166.17,166.17,484804,0.0,1.0
2023-10-16,160.21,163.25,158.13,159.32,159.32,275025,0.0,1.0
2023-10-13,160.95,161.97,155.67,157.39,157.39,402440,0.0,1.0
2023-10-12,165.09,165.09,156.41,160.33,160.33,423508,0.0,1.0
2023-10-11,158.82,164.68,156.9201,164.62,164.62,555181,0.0,1.0
2023-10-10,155.61,159.43,155.22,158.01,158.01,380328,0.0,1.0
2023-10-09,149.25,155.33,149.22,154.12,154.12,365670,0.0,1.0
2023-10-06,146.31,151.655,144.82,151.16,151.16,890581,0.0,1.0
2023-10-05,151.16,153.82,146.51,147.61,147.61,740729,0.0,1.0
2023-10-04,161.14,161.14,149.63,153.97,153.97,682329,0.0,1.0
2023-10-03,165.08,166.29,159.52,161.46,161.46,488846,0.0,1.0
2023-10-02,168.32,170.66,166.36,166.67,166.67,286206,0.0,1.0
2023-09-29,171.52,173.65,169.02,169.12,169.12,282126,0.0,1.0
2023-09-28,165.78,170.5,165.59,169.36,169.36,218290,0.0,1.0
2023-09-27,165.07,168.44,164.02,166.25,166.25,397461,0.0,1.0
2023-09-26,168.66,169.96,162.55,162.94,162.94,400267,0.0,1.0
2023-09-25,167.25,171.855,167.25,170.66,170.66,291162,0.0,1.0
2023-09-22,163.78,167.67,163.78,166.74,166.74,283547,0.0,1.0
2023-09-21,166.99,168.49,164.39,164.96,164.96,340584,0.0,1.0
2023-09-20,174.52,176.85,168.66,168.77,168.77,358225,0.0,1.0
2023-09-19,175.1,175.51,170.31,172.77,172.77,286721,0.0,1.0
2023-09-18,172.02,174.67,170.9,171.26,171.26,400736,0.0,1.0
2023-09-15,173.43,174.37,169.3,171.49,171.49,620736,0.0,1.0
2023-09-14,175.21,177.21,172.815,174.51,174.51,232362,0.0,1.0
2023-09-13,175.17,175.2898,169.33,172.33,172.33,324869,0.0,1.0
2023-09-12,174.27,179.43,173.75,176.05,176.05,454855,0.0,1.0
2023-09-11,176.58,179.37,174.66,175.19,175.19,340898,0.0,1.0
2023-09-08,177.11,177.94,174.57,174.61,174.61,299547,0.0,1.0
2023-09-07,177.4,179.005,173.54,176.97,176.97,282056,0.0,1.0
2023-09-06,179.63,181.45,177.895,179.34,179.34,237360,0.0,1.0
2023-09-05,182.06,182.39,178.42,179.88,179.88,345861,0.0,1.0
2023-09-01,182.23,184.65,180.0,183.06,183.06,342601,0.0,1.0
2023-08-31,178.13,182.05,177.1464,180.58,180.58,297990,0.0,1.0
2023-08-30,177.0,179.9285,175.73,178.43,178.43,353335,0.0,1.0
2023-08-29,170.22,177.71,169.82,176.89,176.89,434549,0.0,1.0
2023-08-28,168.2,171.0,167.7,170.48,170.48,226515,0.0,1.0
2023-08-25,167.29,168.01,162.74,166.01,166.01,215534,0.0,1.0
2023-08-24,167.4,169.0226,164.84,164.92,164.92,195928,0.0,1.0
2023-08-23,166.22,170.865,163.75,169.26,169.26,261654,0.0,1.0
2023-08-22,166.86,167.255,161.825,164.76,164.76,239702,0.0,1.0
2023-08-21,162.37,166.335,161.93,164.97,164.97,242600,0.0,1.0
2023-08-18,160.06,165.69,160.02,162.19,162.19,301152,0.0,1.0
2023-08-17,163.9,167.49,161.7,162.0,162.0,305553,0.0,1.0
2023-08-16,161.08,167.64,160.3654,163.81,163.81,378487,0.0,1.0
2023-08-15,167.78,168.32,162.7,163.4,163.4,299931,0.0,1.0
2023-08-14,168.03,170.17,166.57,169.53,169.53,207063,0.0,1.0
2023-08-11,164.91,169.22,163.52,168.42,168.42,222003,0.0,1.0
2023-08-10,165.69,171.02,164.5,165.62,165.62,267954,0.0,1.0
2023-08-09,170.66,174.22,167.02,167.24,167.24,543742,0.0,1.0
2023-08-08,159.38,165.82,159.11,165.76,165.76,518977,0.0,1.0
2023-08-07,168.05,170.17,161.63,163.78,163.78,1646549,0.0,1.0
2023-08-04,171.61,172.525,167.01,167.2,167.2,402736,0.0,1.0
2023-08-03,170.71,171.575,166.645,170.13,170.13,331719,0.0,1.0
2023-08-02,173.95,176.1,169.73,171.06,171.06,552246,0.0,1.0
2023-08-01,179.88,181.15,175.98,178.98,178.98,609470,0.0,1.0
2023-07-31,172.89,182.74,172.63,182.16,182.16,975179,0.0,1.0
2023-07-28,171.26,176.02,166.53,171.26,171.26,1328937,0.0,1.0
2023-07-27,162.0,162.195,157.2,158.57,158.57,615176,0.0,1.0
2023-07-26,161.44,163.82,160.38,161.23,161.23,411379,0.0,1.0
2023-07-25,162.52,165.0,161.0,162.93,162.93,430495,0.0,1.0
2023-07-24,166.78,169.3321,162.9,163.62,163.62,289726,0.0,1.0
2023-07-21,169.4,169.4,163.95,165.55,165.55,356411,0.0,1.0
2023-07-20,173.01,173.01,165.39,167.2,167.2,445330,0.0,1.0
2023-07-19,170.74,173.62,169.3001,171.97,171.97,455486,0.0,1.0
2023-07-18,167.72,171.58,166.4,170.76,170.76,402329,0.0,1.0
2023-07-17,162.12,167.97,159.08,167.71,167.71,513617,0.0,1.0
2023-07-14,165.02,165.02,159.56,160.72,160.72,945292,0.0,1.0
2023-07-13,161.99,165.0,161.5,164.5,164.5,434480,0.0,1.0
2023-07-12,160.8,164.12,160.65,161.32,161.32,425643,0.0,1.0
2023-07-11,163.49,164.77,159.76,161.19,161.19,397508,0.0,1.0
2023-07-10,154.8,162.97,154.8,162.37,162.37,501197,0.0,1.0
2023-07-07,150.39,158.97,149.34,155.43,155.43,495245,0.0,1.0
2023-07-06,152.87,153.02,146.74,150.31,150.31,472279,0.0,1.0
2023-07-05,154.98,157.55,152.49,155.91,155.91,419145,0.0,1.0
2023-07-03,160.2,161.27,157.1,157.1,157.1,145446,0.0,1.0
2023-06-30,159.5,162.32,157.18,159.79,159.79,462220,0.0,1.0
2023-06-29,155.15,159.15,153.74,157.38,157.38,416232,0.0,1.0
2023-06-28,152.82,155.5,151.51,154.61,154.61,436146,0.0,1.0
2023-06-27,153.35,154.655,150.65,153.33,153.33,480157,0.0,1.0
2023-06-26,149.34,155.14,148.76,152.88,152.88,575511,0.0,1.0
2023-06-23,147.28,149.96,147.01,149.34,149.34,1259246,0.0,1.0
2023-06-22,153.54,154.557,148.9782,151.8,151.8,580483,0.0,1.0
2023-06-21,149.06,156.255,146.5,155.23,155.23,914999,0.0,1.0
2023-06-20,142.99,151.1,141.46,150.82,150.82,1140675,0.0,1.0
2023-06-16,148.27,148.27,141.77,143.59,143.59,754095,0.0,1.0
2023-06-15,138.25,148.7117,138.165,147.05,147.05,709639,0.0,1.0
2023-06-14,145.89,146.14,136.04,138.73,138.73,599403,0.0,1.0
2023-06-13,141.93,147.46,141.04,145.2,145.2,1131069,0.0,1.0
2023-06-12,132.24,142.99,131.765,141.53,141.53,1205725,0.0,1.0
2023-06-09,132.7,132.7,129.08,131.49,131.49,629806,0.0,1.0
2023-06-08,133.25,134.68,128.685,131.99,131.99,733181,0.0,1.0
2023-06-07,125.99,133.54,124.775,132.91,132.91,1077716,0.0,1.0
2023-06-06,117.68,127.33,117.68,124.11,124.11,687308,0.0,1.0
2023-06-05,121.75,122.61,117.52,119.16,119.16,359500,0.0,1.0
2023-06-02,114.35,121.28,113.71,121.27,121.27,617646,0.0,1.0
2023-06-01,108.77,112.44,106.66,111.47,111.47,633845,0.0,1.0
2023-05-31,112.53,113.17,109.6001,109.73,109.73,611042,0.0,1.0
2023-05-30,112.27,115.81,111.29,113.13,113.13,387173,0.0,1.0
2023-05-26,111.69,111.85,108.31,111.18,111.18,521839,0.0,1.0
2023-05-25,111.86,112.6399,108.92,111.07,111.07,527554,0.0,1.0
2023-05-24,114.31,115.57,111.44,112.18,112.18,560050,0.0,1.0
2023-05-23,118.94,120.745,115.665,116.56,116.56,597737,0.0,1.0
2023-05-22,116.4,119.82,115.63,119.78,119.78,600287,0.0,1.0
2023-05-19,120.81,120.9,114.03,115.43,115.43,625537,0.0,1.0
2023-05-18,117.8,119.12,114.97,119.0,119.0,453703,0.0,1.0
2023-05-17,113.25,119.11,111.51,118.28,118.28,734533,0.0,1.0
2023-05-16,114.39,115.21,111.46,112.46,112.46,459968,0.0,1.0
2023-05-15,115.19,116.775,113.18,115.45,115.45,561760,0.0,1.0
2023-05-12,117.56,117.73,112.33,114.28,114.28,570939,0.0,1.0
2023-05-11,118.0,119.4756,115.5613,117.71,117.71,375491,0.0,1.0
2023-05-10,126.96,127.38,120.33,120.8,120.8,373999,0.0,1.0
2023-05-09,126.1,127.81,124.53,124.71,124.71,354542,0.0,1.0
2023-05-08,129.43,131.6504,127.18,127.48,127.48,503033,0.0,1.0
2023-05-05,122.18,127.28,121.924,126.53,126.53,548452,0.0,1.0
2023-05-04,114.56,118.77,111.76,118.75,118.75,1026648,0.0,1.0
2023-05-03,120.26,122.6691,116.48,117.3,117.3,806186,0.0,1.0
2023-05-02,127.13,127.342,121.93,122.11,122.11,813606,0.0,1.0
2023-05-01,131.48,131.585,125.1444,128.22,128.22,1064324,0.0,1.0
