,GPOR_Open,GPOR_High,GPOR_Low,GPOR_Close,GPOR_Adj Close,GPOR_Volume,GPOR_Dividend Amount,GPOR_Split Coefficient
2024-10-07,150.11,150.62,148.52,149.98,149.98,217770,0.0,1.0
2024-10-04,152.19,153.055,146.5,150.91,150.91,533568,0.0,1.0
2024-10-03,150.36,152.58,149.03,151.59,151.59,179834,0.0,1.0
2024-10-02,152.48,152.64,148.645,149.7,149.7,199024,0.0,1.0
2024-10-01,149.87,152.15,148.96,149.65,149.65,185918,0.0,1.0
2024-09-30,150.64,153.37,148.974,151.35,151.35,211109,0.0,1.0
2024-09-27,146.62,153.68,146.62,151.94,151.94,243176,0.0,1.0
2024-09-26,145.06,147.23,144.33,145.56,145.56,193473,0.0,1.0
2024-09-25,149.63,150.26,146.48,146.93,146.93,178543,0.0,1.0
2024-09-24,151.27,152.9,149.2,149.9,149.9,222623,0.0,1.0
2024-09-23,149.61,153.57,149.61,151.0,151.0,192621,0.0,1.0
2024-09-20,149.27,149.93,147.64,148.93,148.93,606984,0.0,1.0
2024-09-19,150.85,151.4,149.16,149.19,149.19,151396,0.0,1.0
2024-09-18,147.25,149.99,145.8509,147.99,147.99,176971,0.0,1.0
2024-09-17,147.7,149.25,146.635,147.0,147.0,231270,0.0,1.0
2024-09-16,144.15,147.11,142.76,147.01,147.01,234954,0.0,1.0
2024-09-13,144.24,145.015,142.76,143.04,143.04,233158,0.0,1.0
2024-09-12,143.6,144.89,141.23,142.81,142.81,369205,0.0,1.0
2024-09-11,140.06,144.035,138.675,143.75,143.75,191788,0.0,1.0
2024-09-10,138.23,140.47,135.84,139.55,139.55,374465,0.0,1.0
2024-09-09,137.88,140.28,137.76,138.07,138.07,354713,0.0,1.0
2024-09-06,138.75,139.56,136.76,137.76,137.76,283265,0.0,1.0
2024-09-05,139.63,139.7,137.31,139.0,139.0,207446,0.0,1.0
2024-09-04,139.37,141.07,137.85,138.41,138.41,195182,0.0,1.0
2024-09-03,142.65,142.65,136.61,139.55,139.55,206955,0.0,1.0
2024-08-30,143.81,145.54,142.27,145.06,145.06,144309,0.0,1.0
2024-08-29,142.19,145.85,141.82,144.88,144.88,130635,0.0,1.0
2024-08-28,141.12,142.11,139.315,141.85,141.85,130650,0.0,1.0
2024-08-27,141.6,143.835,140.575,142.01,142.01,186734,0.0,1.0
2024-08-26,143.71,145.0,141.21,141.82,141.82,144319,0.0,1.0
2024-08-23,142.5,143.88,141.48,142.27,142.27,205047,0.0,1.0
2024-08-22,142.53,142.53,140.58,140.86,140.86,116028,0.0,1.0
2024-08-21,143.05,144.0,140.98,142.38,142.38,121713,0.0,1.0
2024-08-20,144.65,144.65,139.855,141.6,141.6,157261,0.0,1.0
2024-08-19,143.34,146.1,143.34,144.85,144.85,103472,0.0,1.0
2024-08-16,144.0,144.945,142.35,143.02,143.02,175918,0.0,1.0
2024-08-15,142.0,145.825,141.62,144.77,144.77,198333,0.0,1.0
2024-08-14,140.49,142.38,139.54,141.75,141.75,163877,0.0,1.0
2024-08-13,141.77,141.77,139.25,140.68,140.68,136140,0.0,1.0
2024-08-12,139.52,144.13,139.45,142.43,142.43,257466,0.0,1.0
2024-08-09,137.28,139.48,135.4902,138.14,138.14,278817,0.0,1.0
2024-08-08,135.22,138.85,134.35,137.29,137.29,335725,0.0,1.0
2024-08-07,134.0,147.32,133.14,133.8,133.8,479942,0.0,1.0
2024-08-06,134.37,137.37,134.37,134.92,134.92,285557,0.0,1.0
2024-08-05,134.66,136.785,130.02,134.24,134.24,253808,0.0,1.0
2024-08-02,139.97,139.97,135.5692,135.88,135.88,283313,0.0,1.0
2024-08-01,147.59,148.97,141.52,143.27,143.27,208276,0.0,1.0
2024-07-31,151.03,152.5,146.9,147.21,147.21,208589,0.0,1.0
2024-07-30,148.8,149.73,147.36,148.29,148.29,228781,0.0,1.0
2024-07-29,150.0,150.4,146.77,149.25,149.25,151309,0.0,1.0
2024-07-26,149.4,150.49,148.16,149.26,149.26,186656,0.0,1.0
2024-07-25,153.01,153.23,148.29,148.49,148.49,297114,0.0,1.0
2024-07-24,158.96,159.18,151.97,152.78,152.78,285797,0.0,1.0
2024-07-23,158.26,160.97,157.47,158.8,158.8,245741,0.0,1.0
2024-07-22,157.89,160.31,156.96,158.95,158.95,143020,0.0,1.0
2024-07-19,154.12,158.08,152.04,157.92,157.92,188330,0.0,1.0
2024-07-18,156.0,157.085,152.64,154.65,154.65,217902,0.0,1.0
2024-07-17,162.53,162.535,155.44,155.65,155.65,368608,0.0,1.0
