,AAOI_Open,AAOI_High,AAOI_Low,AAOI_Close,AAOI_Adj Close,AAOI_Volume,AAOI_Dividend Amount,AAOI_Split Coefficient
2024-10-04,14.55,15.73,14.3,15.36,15.36,2490006,0.0,1.0
2024-10-03,13.65,14.44,13.38,14.195,14.195,1328607,0.0,1.0
2024-10-02,13.25,13.78,12.42,13.75,13.75,2092071,0.0,1.0
2024-10-01,14.03,14.3,13.15,13.32,13.32,1922399,0.0,1.0
2024-09-30,13.63,14.7,13.47,14.31,14.31,3395249,0.0,1.0
2024-09-27,14.83,15.27,13.55,13.735,13.735,2721158,0.0,1.0
2024-09-26,15.95,16.6099,14.76,14.81,14.81,2467814,0.0,1.0
2024-09-25,16.0,16.1,15.15,15.38,15.38,2120325,0.0,1.0
2024-09-24,14.36,16.99,14.3,15.98,15.98,5535558,0.0,1.0
2024-09-23,14.02,14.718,13.81,14.06,14.06,1768648,0.0,1.0
2024-09-20,14.09,14.15,13.5501,13.83,13.83,1552700,0.0,1.0
2024-09-19,14.09,14.39,13.64,14.2,14.2,1799965,0.0,1.0
2024-09-18,13.62,13.89,12.8,13.28,13.28,1351985,0.0,1.0
2024-09-17,13.51,13.67,13.179,13.58,13.58,1342471,0.0,1.0
2024-09-16,14.67,14.71,13.16,13.19,13.19,2942106,0.0,1.0
2024-09-13,14.54,14.9666,14.1501,14.61,14.61,1832270,0.0,1.0
2024-09-12,13.47,14.99,13.41,14.52,14.52,4594548,0.0,1.0
2024-09-11,12.52,13.35,12.09,13.03,13.03,2511900,0.0,1.0
2024-09-10,13.1,13.25,12.15,12.515,12.515,1764054,0.0,1.0
2024-09-09,11.84,13.13,11.81,13.02,13.02,2827930,0.0,1.0
2024-09-06,12.17,12.24,11.48,11.81,11.81,1807863,0.0,1.0
2024-09-05,13.02,13.5976,12.1395,12.24,12.24,2977273,0.0,1.0
2024-09-04,12.0,13.65,11.9,13.0,13.0,4301131,0.0,1.0
2024-09-03,12.0,12.75,11.89,12.26,12.26,6184985,0.0,1.0
2024-08-30,10.4,11.36,10.385,11.35,11.35,4196325,0.0,1.0
2024-08-29,9.2,10.585,9.13,10.3,10.3,3669830,0.0,1.0
2024-08-28,9.2,9.27,8.5503,9.12,9.12,1686846,0.0,1.0
2024-08-27,9.54,9.685,9.14,9.18,9.18,1108957,0.0,1.0
2024-08-26,9.78,9.81,9.43,9.62,9.62,1400552,0.0,1.0
2024-08-23,9.19,9.72,8.87,9.71,9.71,2349064,0.0,1.0
2024-08-22,8.93,9.52,8.8,9.03,9.03,3012595,0.0,1.0
2024-08-21,8.85,8.945,8.43,8.92,8.92,1502911,0.0,1.0
2024-08-20,8.59,8.86,8.54,8.78,8.78,1539126,0.0,1.0
2024-08-19,8.35,8.75,8.22,8.6,8.6,1563181,0.0,1.0
2024-08-16,8.46,8.65,8.22,8.28,8.28,1214097,0.0,1.0
