,AAOI_Open,AAOI_High,AAOI_Low,AAOI_Close,AAOI_Adj Close,AAOI_Volume,AAOI_Dividend Amount,AAOI_Split Coefficient
2024-08-15,8.3,8.59,8.2,8.53,8.53,1404493,0.0,1.0
2024-08-14,8.11,8.19,7.72,8.14,8.14,1546272,0.0,1.0
2024-08-13,8.05,8.15,7.885,8.02,8.02,1334248,0.0,1.0
2024-08-12,7.78,8.16,7.67,7.85,7.85,1350584,0.0,1.0
2024-08-09,8.6,8.64,7.6,7.74,7.74,2343523,0.0,1.0
2024-08-08,7.05,8.57,7.04,8.57,8.57,2652571,0.0,1.0
2024-08-07,8.3,8.69,6.86,6.87,6.87,4188402,0.0,1.0
2024-08-06,7.17,7.74,6.8,7.29,7.29,3421634,0.0,1.0
2024-08-05,6.89,7.32,6.7,6.97,6.97,1953680,0.0,1.0
2024-08-02,7.94,7.98,7.5,7.65,7.65,3095164,0.0,1.0
2024-08-01,9.61,9.98,8.305,8.4,8.4,3055798,0.0,1.0
2024-07-31,8.2,9.73,8.16,9.55,9.55,3619818,0.0,1.0
2024-07-30,8.37,8.53,7.985,8.12,8.12,2311582,0.0,1.0
2024-07-29,8.68,8.93,8.14,8.22,8.22,1317682,0.0,1.0
2024-07-26,9.02,9.24,8.625,8.67,8.67,1351238,0.0,1.0
2024-07-25,8.9,9.04,8.47,8.61,8.61,2101523,0.0,1.0
2024-07-24,9.65,9.83,8.94,8.96,8.96,1988848,0.0,1.0
2024-07-23,9.62,10.26,9.58,9.85,9.85,1299632,0.0,1.0
2024-07-22,9.84,9.9,9.12,9.65,9.65,2109221,0.0,1.0
2024-07-19,10.41,10.47,9.59,9.675,9.675,2011785,0.0,1.0
2024-07-18,11.07,11.55,10.24,10.4,10.4,2820619,0.0,1.0
2024-07-17,11.29,11.95,10.5801,10.955,10.955,2681228,0.0,1.0
2024-07-16,10.37,12.11,10.35,11.89,11.89,4290969,0.0,1.0
2024-07-15,9.57,10.29,9.45,10.2,10.2,2831856,0.0,1.0
2024-07-12,9.28,9.54,9.08,9.38,9.38,1190956,0.0,1.0
2024-07-11,9.35,9.44,9.03,9.23,9.23,1554195,0.0,1.0
2024-07-10,8.62,9.09,8.3,9.01,9.01,1654206,0.0,1.0
2024-07-09,8.5,8.97,8.175,8.49,8.49,2005441,0.0,1.0
2024-07-08,7.77,8.77,7.7401,8.54,8.54,2454027,0.0,1.0
2024-07-05,8.13,8.15,7.63,7.67,7.67,1580528,0.0,1.0
2024-07-03,8.0,8.24,7.78,8.17,8.17,763338,0.0,1.0
2024-07-02,8.08,8.19,7.55,7.9,7.9,2393533,0.0,1.0
2024-07-01,8.39,8.66,7.85,8.08,8.08,1778545,0.0,1.0
2024-06-28,8.6,8.9,8.25,8.29,8.29,7214999,0.0,1.0
2024-06-27,8.5,9.05,8.4,8.52,8.52,1765055,0.0,1.0
2024-06-26,8.57,8.7,8.295,8.51,8.51,1386506,0.0,1.0
2024-06-25,8.68,8.8,8.48,8.59,8.59,1169356,0.0,1.0
2024-06-24,9.04,9.14,8.65,8.67,8.67,1550785,0.0,1.0
2024-06-21,9.0,9.25,8.73,9.1,9.1,2069087,0.0,1.0
2024-06-20,10.0,10.09,8.8,8.87,8.87,1992235,0.0,1.0
2024-06-18,10.21,10.39,9.92,10.04,10.04,927838,0.0,1.0
2024-06-17,10.01,10.305,9.82,10.17,10.17,1385780,0.0,1.0
2024-06-14,10.05,10.23,9.82,10.08,10.08,1182827,0.0,1.0
2024-06-13,10.44,10.74,9.965,10.09,10.09,1172356,0.0,1.0
2024-06-12,10.65,10.75,10.3,10.44,10.44,1381740,0.0,1.0
2024-06-11,10.23,10.32,9.86,10.17,10.17,1957299,0.0,1.0
2024-06-10,10.36,10.53,9.98,10.17,10.17,1176503,0.0,1.0
2024-06-07,10.31,10.88,10.29,10.55,10.55,1156967,0.0,1.0
2024-06-06,10.5,10.68,10.23,10.38,10.38,1111887,0.0,1.0
2024-06-05,10.1,10.62,9.99,10.58,10.58,1505371,0.0,1.0
2024-06-04,10.6,10.65,9.87,10.05,10.05,2232691,0.0,1.0
2024-06-03,10.74,11.11,10.48,10.73,10.73,1304087,0.0,1.0
2024-05-31,11.69,11.82,10.3501,10.49,10.49,2245253,0.0,1.0
2024-05-30,11.98,12.17,11.55,11.59,11.59,1223157,0.0,1.0
2024-05-29,12.04,12.29,11.9,11.98,11.98,1053294,0.0,1.0
2024-05-28,12.75,12.8,12.1,12.38,12.38,1505820,0.0,1.0
2024-05-24,12.0,13.04,11.79,12.54,12.54,2027481,0.0,1.0
2024-05-23,12.04,12.4,11.65,11.9,11.9,1937360,0.0,1.0
2024-05-22,12.06,12.29,11.87,11.98,11.98,1051824,0.0,1.0
2024-05-21,12.29,12.3,11.83,12.0,12.0,1485474,0.0,1.0
2024-05-20,11.7,12.4625,11.63,12.4,12.4,1946220,0.0,1.0
2024-05-17,11.2,11.79,11.08,11.725,11.725,1799296,0.0,1.0
2024-05-16,11.3,11.895,11.01,11.23,11.23,2272186,0.0,1.0
2024-05-15,11.4,11.48,10.74,11.01,11.01,1983670,0.0,1.0
2024-05-14,10.24,11.19,10.21,11.16,11.16,2368838,0.0,1.0
2024-05-13,10.3,10.95,9.8,10.0,10.0,2263758,0.0,1.0
2024-05-10,10.2,11.8599,9.81,10.22,10.22,6361180,0.0,1.0
2024-05-09,10.79,11.07,10.42,10.54,10.54,3191650,0.0,1.0
2024-05-08,11.22,11.45,10.59,10.83,10.83,1991894,0.0,1.0
2024-05-07,11.95,12.44,11.3501,11.66,11.66,2720004,0.0,1.0
2024-05-06,11.28,12.4,11.26,11.95,11.95,2963868,0.0,1.0
2024-05-03,10.6,11.45,10.54,11.07,11.07,1829730,0.0,1.0
2024-05-02,10.25,10.55,9.85,10.35,10.35,892548,0.0,1.0
2024-05-01,9.75,10.365,9.64,9.9,9.9,1604887,0.0,1.0
2024-04-30,10.17,10.3,9.79,9.85,9.85,2608890,0.0,1.0
2024-04-29,11.02,11.02,10.2,10.22,10.22,2033813,0.0,1.0
2024-04-26,10.98,11.48,10.8,10.85,10.85,1510834,0.0,1.0
2024-04-25,10.51,10.76,10.445,10.66,10.66,1316128,0.0,1.0
2024-04-24,11.38,11.4498,10.83,10.85,10.85,1347547,0.0,1.0
2024-04-23,11.15,11.69,11.015,11.26,11.26,1095921,0.0,1.0
2024-04-22,12.11,12.16,10.72,11.13,11.13,2482917,0.0,1.0
2024-04-19,11.58,12.44,11.58,12.12,12.12,2104909,0.0,1.0
2024-04-18,11.93,12.6,11.6,11.66,11.66,2350291,0.0,1.0
2024-04-17,12.04,13.2,11.805,11.98,11.98,2541214,0.0,1.0
2024-04-16,10.92,12.29,10.88,11.99,11.99,1891973,0.0,1.0
2024-04-15,11.28,11.38,10.85,11.16,11.16,1301680,0.0,1.0
2024-04-12,11.68,11.82,11.21,11.23,11.23,1091546,0.0,1.0
2024-04-11,11.78,11.97,11.61,11.91,11.91,1002431,0.0,1.0
2024-04-10,11.89,12.205,11.72,11.75,11.75,1128671,0.0,1.0
2024-04-09,12.51,12.52,12.01,12.1,12.1,1958345,0.0,1.0
2024-04-08,12.7,12.82,12.17,12.37,12.37,1827333,0.0,1.0
2024-04-05,12.81,13.04,12.52,12.52,12.52,1695811,0.0,1.0
2024-04-04,14.09,14.09,12.96,13.0,13.0,1414272,0.0,1.0
2024-04-03,13.34,13.86,13.32,13.75,13.75,1203036,0.0,1.0
2024-04-02,13.52,13.67,13.24,13.39,13.39,1478518,0.0,1.0
2024-04-01,13.97,14.6879,13.73,13.92,13.92,1331560,0.0,1.0
2024-03-28,13.88,14.4442,13.6,13.86,13.86,2449442,0.0,1.0
2024-03-27,14.44,14.5,13.89,13.96,13.96,1376807,0.0,1.0
2024-03-26,14.68,14.94,14.43,14.44,14.44,1150967,0.0,1.0
2024-03-25,14.74,15.21,14.5,14.5,14.5,1166592,0.0,1.0
2024-03-22,14.7,15.07,14.51,14.68,14.68,997699,0.0,1.0
2024-03-21,14.55,15.2199,14.51,14.92,14.92,2139486,0.0,1.0
2024-03-20,13.85,14.63,13.53,14.47,14.47,1758338,0.0,1.0
2024-03-19,13.35,13.75,13.0,13.6,13.6,2263919,0.0,1.0
2024-03-18,12.72,13.205,12.38,12.98,12.98,1939999,0.0,1.0
2024-03-15,12.88,13.23,12.675,12.7,12.7,1532971,0.0,1.0
2024-03-14,13.55,13.66,12.8,12.92,12.92,2237732,0.0,1.0
2024-03-13,14.0,14.525,13.53,13.98,13.98,1758507,0.0,1.0
2024-03-12,14.41,14.65,14.17,14.26,14.26,1272991,0.0,1.0
2024-03-11,14.88,15.002,13.951,14.31,14.31,1889698,0.0,1.0
2024-03-08,15.07,16.24,14.64,14.76,14.76,2787243,0.0,1.0
2024-03-07,15.01,15.22,14.44,14.84,14.84,1989277,0.0,1.0
2024-03-06,14.98,15.8494,14.23,14.9,14.9,3216329,0.0,1.0
2024-03-05,14.74,15.21,14.53,14.74,14.74,2330590,0.0,1.0
2024-03-04,15.5,15.94,14.77,14.96,14.96,2622178,0.0,1.0
2024-03-01,16.29,16.29,14.89,15.41,15.41,3475631,0.0,1.0
2024-02-29,15.05,16.5,15.05,15.98,15.98,5229587,0.0,1.0
2024-02-28,15.4,15.6,14.03,14.08,14.08,2906586,0.0,1.0
2024-02-27,15.15,15.98,14.65,15.42,15.42,3206566,0.0,1.0
2024-02-26,14.04,15.505,14.04,14.73,14.73,6341174,0.0,1.0
2024-02-23,13.74,14.68,12.14,14.15,14.15,19663322,0.0,1.0
2024-02-22,19.97,20.8718,19.25,20.35,20.35,7040783,0.0,1.0
2024-02-21,19.0,19.6,18.48,19.19,19.19,2534547,0.0,1.0
2024-02-20,20.72,21.34,18.8701,19.83,19.83,2849307,0.0,1.0
2024-02-16,22.9,24.75,21.25,21.34,21.34,5203278,0.0,1.0
2024-02-15,21.15,22.86,20.4,22.41,22.41,3720222,0.0,1.0
2024-02-14,20.3,21.16,19.91,20.88,20.88,3156592,0.0,1.0
2024-02-13,19.85,19.88,18.35,18.77,18.77,4354367,0.0,1.0
2024-02-12,20.56,22.35,20.1301,21.01,21.01,3766781,0.0,1.0
2024-02-09,19.02,20.15,17.72,20.03,20.03,3470277,0.0,1.0
2024-02-08,18.94,20.06,18.7,18.89,18.89,3370549,0.0,1.0
2024-02-07,19.19,19.92,18.76,19.13,19.13,2039868,0.0,1.0
2024-02-06,20.16,20.64,18.86,19.36,19.36,3801417,0.0,1.0
2024-02-05,18.93,19.786,17.55,19.74,19.74,4514205,0.0,1.0
2024-02-02,16.49,18.99,16.32,18.83,18.83,4200842,0.0,1.0
2024-02-01,15.94,16.83,15.8,16.52,16.52,1939716,0.0,1.0
2024-01-31,16.42,16.823,15.68,15.73,15.73,2262640,0.0,1.0
2024-01-30,17.15,18.04,16.63,16.69,16.69,4371576,0.0,1.0
2024-01-29,15.03,16.03,14.8,15.965,15.965,2724590,0.0,1.0
2024-01-26,16.22,16.35,14.88,14.99,14.99,2258311,0.0,1.0
2024-01-25,16.89,17.13,16.15,16.34,16.34,1694060,0.0,1.0
2024-01-24,18.5,18.8,16.55,16.59,16.59,1938611,0.0,1.0
2024-01-23,17.18,18.63,17.18,18.13,18.13,2990641,0.0,1.0
2024-01-22,16.1,17.19,15.89,17.1,17.1,2396428,0.0,1.0
2024-01-19,16.61,16.7984,15.02,15.81,15.81,3512888,0.0,1.0
2024-01-18,17.43,18.16,16.42,16.62,16.62,2807256,0.0,1.0
2024-01-17,16.63,17.5,16.3,16.86,16.86,1902722,0.0,1.0
2024-01-16,17.06,17.98,16.58,17.29,17.29,2419356,0.0,1.0
2024-01-12,18.03,18.5676,17.26,17.41,17.41,1902364,0.0,1.0
2024-01-11,21.66,21.83,16.701,18.34,18.34,8288150,0.0,1.0
2024-01-10,22.12,22.85,21.34,21.6,21.6,2227454,0.0,1.0
2024-01-09,19.88,22.01,19.51,21.77,21.77,2682611,0.0,1.0
2024-01-08,20.1,21.28,19.48,20.18,20.18,2624288,0.0,1.0
2024-01-05,18.41,20.29,17.9201,20.15,20.15,3029278,0.0,1.0
2024-01-04,17.5,18.56,17.38,18.53,18.53,2066262,0.0,1.0
2024-01-03,18.0,18.68,17.44,17.46,17.46,1941322,0.0,1.0
2024-01-02,18.82,19.0,17.51,18.69,18.69,2874880,0.0,1.0
2023-12-29,21.76,22.16,17.7205,19.32,19.32,7568936,0.0,1.0
2023-12-28,22.48,22.75,21.51,21.9,21.9,1662066,0.0,1.0
2023-12-27,22.88,22.9498,21.85,22.52,22.52,1970187,0.0,1.0
2023-12-26,21.2,23.66,21.18,22.82,22.82,3015525,0.0,1.0
2023-12-22,20.82,21.62,19.87,20.9,20.9,2219133,0.0,1.0
2023-12-21,21.19,21.86,19.51,20.74,20.74,3627204,0.0,1.0
2023-12-20,22.7,22.7672,20.6,20.62,20.62,2869440,0.0,1.0
2023-12-19,22.92,24.08,22.12,23.01,23.01,2758828,0.0,1.0
2023-12-18,22.16,23.25,21.48,22.5,22.5,2612520,0.0,1.0
2023-12-15,23.71,23.95,20.82,21.725,21.725,4570977,0.0,1.0
2023-12-14,22.0,23.68,21.6,23.19,23.19,3953829,0.0,1.0
2023-12-13,18.77,21.65,18.645,21.62,21.62,5601125,0.0,1.0
2023-12-12,18.51,19.43,18.0,18.58,18.58,2362145,0.0,1.0
2023-12-11,19.8,19.8,18.01,18.56,18.56,2813442,0.0,1.0
2023-12-08,17.83,19.84,17.83,19.76,19.76,4883770,0.0,1.0
2023-12-07,17.16,18.3299,16.8,17.66,17.66,2460416,0.0,1.0
2023-12-06,16.52,18.66,16.41,17.22,17.22,5097542,0.0,1.0
2023-12-05,16.43,16.725,15.8,16.13,16.13,1636316,0.0,1.0
2023-12-04,16.12,17.02,15.99,16.68,16.68,3204924,0.0,1.0
2023-12-01,13.19,16.48,12.98,16.45,16.45,5624683,0.0,1.0
2023-11-30,14.3,14.5999,12.66,13.25,13.25,9549337,0.0,1.0
2023-11-29,14.81,16.2,14.78,14.9,14.9,3232229,0.0,1.0
2023-11-28,14.61,15.2,13.88,14.61,14.61,2960456,0.0,1.0
2023-11-27,12.87,14.5794,12.85,14.4,14.4,3073253,0.0,1.0
2023-11-24,13.25,13.6299,12.92,13.04,13.04,906475,0.0,1.0
2023-11-22,13.62,13.96,13.01,13.21,13.21,1484086,0.0,1.0
2023-11-21,14.15,14.325,13.15,13.33,13.33,1900054,0.0,1.0
2023-11-20,12.91,14.63,12.85,14.46,14.46,4646146,0.0,1.0
2023-11-17,12.97,13.15,12.71,12.75,12.75,2096015,0.0,1.0
2023-11-16,12.36,12.9899,12.35,12.83,12.83,1737635,0.0,1.0
2023-11-15,12.22,13.27,12.1171,12.71,12.71,3727075,0.0,1.0
2023-11-14,11.23,12.5495,10.88,12.28,12.28,5085017,0.0,1.0
2023-11-13,8.96,11.06,8.96,11.0,11.0,2839876,0.0,1.0
2023-11-10,9.29,9.88,8.36,9.365,9.365,3479628,0.0,1.0
2023-11-09,10.07,10.17,9.645,9.76,9.76,2102002,0.0,1.0
2023-11-08,9.96,10.0699,9.59,9.85,9.85,868730,0.0,1.0
2023-11-07,9.7,10.26,9.33,9.89,9.89,1634299,0.0,1.0
2023-11-06,9.48,10.08,9.32,9.69,9.69,1889848,0.0,1.0
2023-11-03,8.7,9.64,8.49,9.47,9.47,2522874,0.0,1.0
2023-11-02,8.0,8.62,7.9,8.57,8.57,1802347,0.0,1.0
2023-11-01,7.41,7.75,7.1257,7.72,7.72,967441,0.0,1.0
2023-10-31,7.13,7.455,6.98,7.43,7.43,724696,0.0,1.0
2023-10-30,7.14,7.31,6.875,7.08,7.08,753962,0.0,1.0
2023-10-27,7.1,7.32,6.89,7.04,7.04,897538,0.0,1.0
2023-10-26,7.05,7.24,6.81,6.87,6.87,821453,0.0,1.0
2023-10-25,7.5,7.51,7.05,7.12,7.12,728153,0.0,1.0
2023-10-24,7.19,7.63,7.19,7.44,7.44,1011264,0.0,1.0
2023-10-23,6.7,7.295,6.66,7.17,7.17,1207182,0.0,1.0
2023-10-20,7.4,7.4,6.8,6.91,6.91,1723478,0.0,1.0
2023-10-19,7.58,7.72,7.287,7.45,7.45,1391493,0.0,1.0
2023-10-18,7.51,7.96,7.36,7.55,7.55,1270189,0.0,1.0
2023-10-17,7.48,7.9286,7.46,7.59,7.59,1181101,0.0,1.0
2023-10-16,7.6,7.95,7.55,7.65,7.65,989231,0.0,1.0
2023-10-13,7.85,7.88,7.18,7.55,7.55,1939459,0.0,1.0
2023-10-12,7.84,8.67,7.8,7.95,7.95,1913583,0.0,1.0
2023-10-11,7.5,7.97,7.5,7.79,7.79,1413908,0.0,1.0
2023-10-10,7.71,7.99,7.425,7.46,7.46,2257685,0.0,1.0
2023-10-09,8.74,8.8821,7.3575,7.585,7.585,3246601,0.0,1.0
2023-10-06,8.77,9.4195,8.77,9.08,9.08,1073355,0.0,1.0
2023-10-05,8.96,9.21,8.51,9.12,9.12,1841668,0.0,1.0
2023-10-04,10.34,10.55,8.79,8.91,8.91,3012436,0.0,1.0
2023-10-03,11.06,11.32,9.95,10.32,10.32,2155852,0.0,1.0
2023-10-02,11.0,11.68,10.88,11.27,11.27,2936994,0.0,1.0
2023-09-29,11.28,11.38,10.71,10.97,10.97,1899150,0.0,1.0
2023-09-28,10.3,11.29,10.16,11.02,11.02,2229392,0.0,1.0
2023-09-27,9.88,10.4,9.87,10.28,10.28,1951286,0.0,1.0
2023-09-26,9.4,9.83,9.35,9.75,9.75,1151014,0.0,1.0
2023-09-25,9.37,9.69,9.2403,9.39,9.39,994153,0.0,1.0
2023-09-22,9.47,9.69,9.29,9.58,9.58,1539137,0.0,1.0
2023-09-21,9.51,9.6539,9.0,9.31,9.31,2283607,0.0,1.0
2023-09-20,9.66,10.2299,9.6,9.84,9.84,1847942,0.0,1.0
2023-09-19,9.9,10.13,9.36,9.64,9.64,2452663,0.0,1.0
2023-09-18,9.67,10.24,9.63,9.88,9.88,3166152,0.0,1.0
2023-09-15,9.8,10.04,9.4519,9.84,9.84,2205699,0.0,1.0
2023-09-14,9.16,10.12,9.16,9.755,9.755,3323009,0.0,1.0
2023-09-13,9.75,10.7,8.818,9.12,9.12,6637367,0.0,1.0
2023-09-12,11.65,12.55,11.31,11.36,11.36,1814521,0.0,1.0
2023-09-11,12.08,12.08,11.43,11.65,11.65,1532914,0.0,1.0
2023-09-08,12.54,12.98,11.55,11.8,11.8,2273599,0.0,1.0
2023-09-07,12.25,12.66,11.85,12.32,12.32,1759765,0.0,1.0
2023-09-06,12.95,13.26,12.03,12.45,12.45,2108593,0.0,1.0
2023-09-05,13.78,13.78,12.81,12.95,12.95,1894442,0.0,1.0
2023-09-01,13.94,14.29,13.5,13.94,13.94,1410609,0.0,1.0
2023-08-31,15.23,15.78,13.44,13.77,13.77,3029481,0.0,1.0
2023-08-30,14.43,15.4612,13.99,15.22,15.22,2827886,0.0,1.0
2023-08-29,13.0,14.67,12.81,14.1,14.1,3659973,0.0,1.0
2023-08-28,13.0,14.08,12.76,12.97,12.97,2677344,0.0,1.0
2023-08-25,13.8,14.0899,12.79,12.99,12.99,2317663,0.0,1.0
2023-08-24,15.6,16.26,13.8001,14.09,14.09,2771030,0.0,1.0
2023-08-23,15.14,15.73,14.35,15.33,15.33,2518682,0.0,1.0
2023-08-22,15.54,16.15,14.63,15.48,15.48,3934758,0.0,1.0
2023-08-21,13.49,15.59,13.36,15.44,15.44,7897872,0.0,1.0
2023-08-18,12.59,13.24,11.85,12.8,12.8,2924707,0.0,1.0
2023-08-17,13.18,13.8383,12.3101,12.93,12.93,2930172,0.0,1.0
2023-08-16,14.2,14.3699,12.8,13.03,13.03,3755664,0.0,1.0
2023-08-15,14.895,15.9,14.11,14.79,14.79,6348466,0.0,1.0
2023-08-14,12.25,15.0,12.1,14.84,14.84,4503527,0.0,1.0
2023-08-11,14.0,14.04,12.1,12.39,12.39,4778032,0.0,1.0
2023-08-10,12.04,14.77,11.35,14.44,14.44,8934248,0.0,1.0
2023-08-09,12.26,12.38,11.43,12.16,12.16,2767708,0.0,1.0
2023-08-08,11.63,12.2,11.34,12.19,12.19,5693551,0.0,1.0
2023-08-07,11.07,13.17,10.929,12.38,12.38,16940782,0.0,1.0
2023-08-04,8.37,11.29,8.05,11.01,11.01,31770769,0.0,1.0
2023-08-03,7.63,8.12,6.5,6.59,6.59,4461982,0.0,1.0
2023-08-02,6.81,7.5,6.62,7.39,7.39,2224966,0.0,1.0
2023-08-01,6.76,7.1,6.48,7.03,7.03,1747509,0.0,1.0
2023-07-31,6.73,6.7799,5.86,6.75,6.75,2408205,0.0,1.0
2023-07-28,6.35,6.95,6.25,6.71,6.71,2306901,0.0,1.0
2023-07-27,8.01,8.22,6.16,6.19,6.19,4212855,0.0,1.0
2023-07-26,8.52,8.78,7.89,7.95,7.95,1700646,0.0,1.0
2023-07-25,8.48,9.0,8.22,8.43,8.43,1809921,0.0,1.0
2023-07-24,7.875,8.68,7.77,8.52,8.52,2384604,0.0,1.0
2023-07-21,8.45,8.88,7.745,7.91,7.91,2452498,0.0,1.0
2023-07-20,8.34,8.48,7.9,8.12,8.12,2168993,0.0,1.0
2023-07-19,7.75,9.38,7.75,8.67,8.67,4994709,0.0,1.0
2023-07-18,8.79,9.12,7.56,7.67,7.67,5446948,0.0,1.0
2023-07-17,9.01,9.83,8.54,8.89,8.89,3893568,0.0,1.0
2023-07-14,10.9,11.3425,8.81,9.14,9.14,5528191,0.0,1.0
2023-07-13,9.5,11.48,9.49,10.66,10.66,7110338,0.0,1.0
2023-07-12,10.32,10.379,8.88,9.54,9.54,6553951,0.0,1.0
2023-07-11,8.615,10.0,8.55,9.75,9.75,7547245,0.0,1.0
2023-07-10,7.4,8.37,7.31,8.34,8.34,4763237,0.0,1.0
2023-07-07,6.59,8.1,6.59,7.19,7.19,5758339,0.0,1.0
2023-07-06,6.89,7.19,6.35,6.51,6.51,3040748,0.0,1.0
2023-07-05,6.05,7.31,6.0,7.03,7.03,5343050,0.0,1.0
2023-07-03,6.255,6.63,5.71,6.07,6.07,2705555,0.0,1.0
2023-06-30,5.69,6.94,5.69,5.96,5.96,7148947,0.0,1.0
2023-06-29,5.13,5.82,5.08,5.43,5.43,2344504,0.0,1.0
2023-06-28,4.9,5.33,4.52,5.17,5.17,2038313,0.0,1.0
2023-06-27,4.72,4.99,4.6,4.85,4.85,1406330,0.0,1.0
2023-06-26,4.14,4.78,3.9,4.65,4.65,1823227,0.0,1.0
2023-06-23,3.77,4.38,3.73,4.34,4.34,2514829,0.0,1.0
2023-06-22,4.695,4.7,3.591,3.77,3.77,6429623,0.0,1.0
2023-06-21,4.95,5.1499,4.05,4.165,4.165,6117705,0.0,1.0
2023-06-20,5.05,5.67,5.0466,5.2,5.2,8224477,0.0,1.0
2023-06-16,4.7,4.99,4.55,4.85,4.85,3899110,0.0,1.0
2023-06-15,3.62,4.35,3.61,4.33,4.33,2347729,0.0,1.0
2023-06-14,3.7,4.11,3.65,3.76,3.76,2136153,0.0,1.0
2023-06-13,3.28,3.71,3.28,3.64,3.64,1280991,0.0,1.0
2023-06-12,3.2,3.3599,3.15,3.29,3.29,602080,0.0,1.0
2023-06-09,3.25,3.3,3.16,3.21,3.21,837614,0.0,1.0
2023-06-08,2.72,3.17,2.72,3.12,3.12,1116100,0.0,1.0
2023-06-07,2.76,2.78,2.6392,2.72,2.72,400351,0.0,1.0
2023-06-06,2.36,2.82,2.36,2.72,2.72,916042,0.0,1.0
2023-06-05,2.3,2.43,2.26,2.33,2.33,197132,0.0,1.0
2023-06-02,2.21,2.27,2.16,2.27,2.27,148257,0.0,1.0
2023-06-01,2.19,2.25,2.0801,2.21,2.21,239250,0.0,1.0
2023-05-31,2.32,2.44,2.191,2.22,2.22,339562,0.0,1.0
2023-05-30,2.02,2.34,1.97,2.3,2.3,783297,0.0,1.0
2023-05-26,1.78,1.9086,1.76,1.9,1.9,275587,0.0,1.0
2023-05-25,1.77,1.7799,1.72,1.75,1.75,166042,0.0,1.0
2023-05-24,1.72,1.78,1.715,1.76,1.76,160377,0.0,1.0
2023-05-23,1.75,1.7788,1.7,1.72,1.72,138243,0.0,1.0
2023-05-22,1.7,1.78,1.7,1.76,1.76,119987,0.0,1.0
2023-05-19,1.73,1.7543,1.71,1.71,1.71,42053,0.0,1.0
2023-05-18,1.74,1.7576,1.71,1.75,1.75,104260,0.0,1.0
2023-05-17,1.81,1.81,1.72,1.74,1.74,116164,0.0,1.0
2023-05-16,1.65,1.76,1.65,1.73,1.73,244150,0.0,1.0
2023-05-15,1.68,1.71,1.64,1.64,1.64,98285,0.0,1.0
2023-05-12,1.72,1.76,1.66,1.69,1.69,88001,0.0,1.0
2023-05-11,1.85,1.85,1.71,1.71,1.71,137047,0.0,1.0
2023-05-10,1.85,1.92,1.81,1.85,1.85,238400,0.0,1.0
