,HUM_Open,HUM_High,HUM_Low,HUM_Close,HUM_Adj Close,HUM_Volume,HUM_Dividend Amount,HUM_Split Coefficient
2024-10-01,315.0,315.4,276.795,279.45,279.45,7056544,0.0,1.0
2024-09-30,320.66,324.38,316.0,316.74,316.74,1520864,0.885,1.0
2024-09-27,316.08,322.1397,313.88,319.57,318.679580637544,1217341,0.0,1.0
2024-09-26,311.95,314.77,310.16,313.04,312.167775206612,1485187,0.0,1.0
2024-09-25,313.64,314.39,309.0,311.95,311.08081227863,911840,0.0,1.0
2024-09-24,312.57,317.34,311.0,312.23,311.360032113341,1202843,0.0,1.0
2024-09-23,309.85,314.54,308.26,312.77,311.898527508855,1533262,0.0,1.0
2024-09-20,310.0,312.505,307.6399,310.41,309.545103187721,1830233,0.0,1.0
2024-09-19,316.23,319.06,311.87,312.0,311.1306729634,1100455,0.0,1.0
2024-09-18,312.0,317.6255,311.2788,315.29,314.411506021251,1785114,0.0,1.0
2024-09-17,314.63,315.89,310.82,311.8,310.931230224321,1826411,0.0,1.0
2024-09-16,321.5,322.455,313.31,315.23,314.351673199528,2692203,0.0,1.0
2024-09-13,325.08,325.75,320.56,321.56,320.664035891381,2062614,0.0,1.0
2024-09-12,329.62,331.0,321.29,324.5,323.595844155844,1635208,0.0,1.0
2024-09-11,330.42,333.79,325.25,328.19,327.275562691854,2677098,0.0,1.0
2024-09-10,343.5,348.24,340.01,346.42,345.454768358914,1162974,0.0,1.0
2024-09-09,357.0,357.0,338.23,343.76,342.802179929162,2057954,0.0,1.0
2024-09-06,367.92,369.17,357.18,357.86,356.862893034238,1080228,0.0,1.0
2024-09-05,372.69,375.0,358.29,365.14,364.122608736718,1281572,0.0,1.0
2024-09-04,359.25,382.72,358.48,371.4,370.365166469894,1404518,0.0,1.0
2024-09-03,355.0,364.51,354.175,363.53,362.517094687131,956839,0.0,1.0
2024-08-30,351.37,354.68,349.5996,354.47,353.482338606848,1135132,0.0,1.0
2024-08-29,353.35,353.35,348.26,351.36,350.381004014168,608466,0.0,1.0
2024-08-28,354.11,355.59,349.005,352.43,351.448022668241,595273,0.0,1.0
2024-08-27,353.55,354.74,349.4,353.45,352.465180637544,794044,0.0,1.0
2024-08-26,354.18,356.5688,351.63,353.0,352.016434474616,678402,0.0,1.0
2024-08-23,355.28,356.1299,350.815,352.9,351.916713105077,999887,0.0,1.0
2024-08-22,359.42,360.0,348.485,354.75,353.761558441558,970560,0.0,1.0
2024-08-21,357.43,360.72,356.117,358.57,357.570914757969,768235,0.0,1.0
2024-08-20,353.76,358.4,351.13,356.98,355.98534498229,1025915,0.0,1.0
2024-08-19,350.38,357.495,350.38,353.25,352.265737898465,740585,0.0,1.0
2024-08-16,357.48,357.49,350.04,350.36,349.383790318772,755128,0.0,1.0
2024-08-15,357.39,358.5,354.64,357.23,356.234648406139,730630,0.0,1.0
2024-08-14,355.45,360.56,355.45,356.38,355.387016765053,541150,0.0,1.0
2024-08-13,349.53,357.0,348.355,356.84,355.845735064935,526049,0.0,1.0
2024-08-12,351.45,352.13,348.14,348.29,347.319557969303,485885,0.0,1.0
2024-08-09,349.37,351.27,347.47,350.83,349.852480755608,628055,0.0,1.0
2024-08-08,343.83,350.77,343.17,350.32,349.343901770956,908674,0.0,1.0
2024-08-07,355.88,357.02,344.83,345.56,344.597164580874,944066,0.0,1.0
2024-08-06,356.46,360.22,353.61,355.25,354.260165289256,930754,0.0,1.0
2024-08-05,359.07,362.295,352.03,356.29,355.297267532468,1304161,0.0,1.0
2024-08-02,361.975,363.88,355.06,363.62,362.606843919717,1076306,0.0,1.0
