,ABBV_Open,ABBV_High,ABBV_Low,ABBV_Close,ABBV_Adj Close,ABBV_Volume,ABBV_Dividend Amount,ABBV_Split Coefficient
2024-10-07,194.415,195.0918,192.835,193.61,193.61,5033832,0.0,1.0
2024-10-04,195.1,195.64,193.045,194.29,194.29,4749856,0.0,1.0
2024-10-03,196.87,197.05,194.74,195.45,195.45,3453796,0.0,1.0
2024-10-02,195.66,197.0,194.45,196.82,196.82,2946883,0.0,1.0
2024-10-01,197.65,198.97,196.42,196.96,196.96,3924607,0.0,1.0
2024-09-30,194.85,197.62,194.3669,197.48,197.48,4550849,0.0,1.0
2024-09-27,192.6,196.13,190.27,194.79,194.79,4892025,0.0,1.0
2024-09-26,190.1,192.87,189.615,191.9,191.9,6215788,0.0,1.0
2024-09-25,194.0,194.57,190.96,191.26,191.26,5589494,0.0,1.0
2024-09-24,192.95,195.21,191.5872,193.51,193.51,4286499,0.0,1.0
2024-09-23,193.7,194.3,192.2,193.83,193.83,3177996,0.0,1.0
2024-09-20,193.0,193.821,192.13,193.47,193.47,11661191,0.0,1.0
2024-09-19,193.425,194.16,191.96,193.62,193.62,3929288,0.0,1.0
2024-09-18,193.13,195.58,191.7776,192.94,192.94,3236829,0.0,1.0
2024-09-17,194.8,196.075,191.82,193.45,193.45,3534110,0.0,1.0
2024-09-16,195.82,196.16,194.46,195.73,195.73,3235706,0.0,1.0
2024-09-13,193.86,194.59,191.81,194.21,194.21,2718268,0.0,1.0
2024-09-12,194.78,195.07,191.27,194.02,194.02,4165394,0.0,1.0
2024-09-11,197.68,197.68,193.418,194.59,194.59,4909292,0.0,1.0
2024-09-10,196.12,199.47,192.91,199.35,199.35,6333281,0.0,1.0
2024-09-09,194.97,196.61,193.94,196.42,196.42,3606983,0.0,1.0
2024-09-06,193.47,194.74,192.83,193.4,193.4,4312632,0.0,1.0
2024-09-05,196.96,197.13,192.16,192.86,192.86,5902786,0.0,1.0
2024-09-04,198.68,199.88,196.44,197.01,197.01,4187146,0.0,1.0
2024-09-03,196.14,199.95,196.095,197.69,197.69,4872587,0.0,1.0
2024-08-30,195.25,196.5,194.17,196.31,196.31,3820802,0.0,1.0
2024-08-29,196.0,196.44,193.85,195.18,195.18,4538372,0.0,1.0
2024-08-28,195.52,196.23,194.03,195.4,195.4,3910215,0.0,1.0
2024-08-27,197.99,198.3,195.18,195.92,195.92,2504553,0.0,1.0
2024-08-26,197.56,197.9699,196.07,197.44,197.44,4182425,0.0,1.0
2024-08-23,197.25,197.98,196.2271,197.55,197.55,4720300,0.0,1.0
2024-08-22,197.005,197.54,195.35,196.37,196.37,3676719,0.0,1.0
2024-08-21,196.44,197.335,195.67,196.53,196.53,4250492,0.0,1.0
2024-08-20,197.12,197.48,194.13,196.15,196.15,3631797,0.0,1.0
2024-08-19,193.4,197.18,193.35,196.87,196.87,4309277,0.0,1.0
2024-08-16,193.88,194.25,192.27,193.9,193.9,3675149,0.0,1.0
2024-08-15,194.49,194.99,191.29,193.4,193.4,4719856,0.0,1.0
2024-08-14,191.0,193.35,190.47,193.0,193.0,4153610,0.0,1.0
2024-08-13,190.56,191.94,189.377,191.23,191.23,3477320,0.0,1.0
2024-08-12,190.08,190.57,187.7,190.18,190.18,4808434,0.0,1.0
2024-08-09,190.78,191.01,188.1,189.93,189.93,3206539,0.0,1.0
2024-08-08,186.92,190.71,186.92,190.4,190.4,5744889,0.0,1.0
2024-08-07,187.9,189.59,185.9775,187.51,187.51,6351130,0.0,1.0
2024-08-06,185.43,187.82,183.08,185.71,185.71,4273301,0.0,1.0
2024-08-05,187.45,189.29,183.04,184.36,184.36,6459296,0.0,1.0
2024-08-02,190.98,193.91,186.46,189.29,189.29,6303909,0.0,1.0
2024-08-01,187.77,190.9699,186.77,189.71,189.71,6595545,0.0,1.0
2024-07-31,186.386,187.5,183.45,185.32,185.32,6473948,0.0,1.0
2024-07-30,183.59,187.71,182.6,186.78,186.78,6032165,0.0,1.0
2024-07-29,184.04,186.13,180.53,181.94,181.94,5458460,0.0,1.0
2024-07-26,183.45,186.85,182.11,185.16,185.16,6948832,0.0,1.0
2024-07-25,177.0,186.11,171.802,182.17,182.17,9442179,0.0,1.0
2024-07-24,173.2,176.6,172.95,176.21,176.21,6117697,0.0,1.0
2024-07-23,173.32,174.59,172.77,173.15,173.15,2933782,0.0,1.0
2024-07-22,173.32,174.7299,172.0,173.61,173.61,4066954,0.0,1.0
2024-07-19,173.67,173.845,171.22,172.32,172.32,4293624,0.0,1.0
2024-07-18,174.445,176.68,170.72,171.14,171.14,5957924,0.0,1.0
2024-07-17,169.51,175.74,169.51,175.27,175.27,6983160,0.0,1.0
2024-07-16,168.6,169.85,167.26,169.2,169.2,3829646,0.0,1.0
2024-07-15,168.91,170.365,167.42,168.03,168.03,2395181,1.55,1.0
2024-07-12,170.63,171.625,169.9,170.28,168.72360183984,4133520,0.0,1.0
2024-07-11,167.52,170.35,167.35,169.91,168.356983724496,3689530,0.0,1.0
2024-07-10,167.45,168.45,166.1101,168.14,166.603161929473,3887959,0.0,1.0
2024-07-09,167.02,168.53,164.86,168.05,166.513984550065,4224705,0.0,1.0
2024-07-08,166.54,167.717,165.62,166.52,164.99796910013,3500155,0.0,1.0
2024-07-05,164.72,167.31,163.63,167.25,165.721296733105,5978524,0.0,1.0
2024-07-03,166.09,167.1,163.52,163.84,162.342464913315,3527612,0.0,1.0
2024-07-02,168.63,168.63,165.45,165.96,164.443087628258,5965457,0.0,1.0
2024-07-01,171.27,173.88,169.535,170.37,168.812779219248,5194744,0.0,1.0
2024-06-28,169.99,171.82,169.05,171.52,169.952267956127,24463599,0.0,1.0
2024-06-27,171.29,171.555,167.75,168.99,167.445392734992,5381953,0.0,1.0
2024-06-26,170.29,172.35,170.15,171.15,169.585649840783,5576094,0.0,1.0
2024-06-25,172.1,173.41,170.62,170.75,169.189305932303,5712698,0.0,1.0
2024-06-24,171.13,173.41,170.7,172.74,171.16111687699,6249937,0.0,1.0
2024-06-21,172.7,172.93,169.59,170.39,168.832596414672,12308051,0.0,1.0
2024-06-20,171.18,172.81,170.02,172.13,170.556692416559,5847461,0.0,1.0
2024-06-18,170.44,173.01,169.87,171.36,169.793730392735,4250883,0.0,1.0
2024-06-17,168.4,170.4,167.36,169.68,168.12908597712,4075952,0.0,1.0
2024-06-14,166.47,169.24,166.0,168.59,167.049048826513,4377638,0.0,1.0
2024-06-13,166.0,166.9,165.0,166.56,165.037603490978,3690807,0.0,1.0
2024-06-12,167.875,168.535,165.03,166.09,164.571899398514,4725634,0.0,1.0
2024-06-11,170.25,170.64,167.42,167.7,166.167183630145,3790165,0.0,1.0
2024-06-10,169.0,170.75,167.69,170.46,168.901956598655,4247645,0.0,1.0
2024-06-07,169.0,170.34,167.79,169.42,167.871462436608,3781858,0.0,1.0
2024-06-06,165.49,168.88,164.35,168.57,167.029231631089,5186713,0.0,1.0
2024-06-05,162.9,165.98,162.16,165.44,163.927840547234,5100491,0.0,1.0
2024-06-04,160.19,162.81,159.77,162.14,160.658003302276,4215545,0.0,1.0
2024-06-03,160.0,163.19,158.83,160.19,158.725826748437,4467810,0.0,1.0
2024-05-31,156.65,161.64,156.2,161.24,159.766229508197,15664434,0.0,1.0
2024-05-30,154.65,156.43,153.58,156.31,154.881290836183,4311479,0.0,1.0
2024-05-29,154.89,156.38,153.68,154.79,153.37518398396,4254540,0.0,1.0
2024-05-28,156.35,156.35,153.949,155.34,153.92015685812,5533467,0.0,1.0
2024-05-24,158.36,158.78,156.36,157.06,155.624435664583,3691730,0.0,1.0
2024-05-23,159.03,160.04,157.76,158.26,156.813467390022,5672891,0.0,1.0
2024-05-22,161.57,161.94,159.18,159.61,158.151128081142,6904915,0.0,1.0
2024-05-21,165.37,165.705,162.5,162.93,161.440782521524,3645239,0.0,1.0
2024-05-20,166.01,166.42,164.41,164.56,163.055883948579,3058702,0.0,1.0
2024-05-17,165.39,166.49,164.49,166.42,164.89888312301,5152176,0.0,1.0
2024-05-16,163.45,164.93,162.18,164.35,162.847803396627,4642038,0.0,1.0
2024-05-15,162.31,164.42,161.87,163.79,162.292921924755,5261263,0.0,1.0
2024-05-14,161.65,162.25,159.715,161.59,160.113030428117,4025032,0.0,1.0
2024-05-13,161.28,162.57,160.8,161.28,159.805863899045,3505882,0.0,1.0
2024-05-10,160.71,161.4399,160.35,160.75,159.280708220309,3509603,0.0,1.0
2024-05-09,160.805,161.32,160.02,160.4,158.933907300389,3570072,0.0,1.0
2024-05-08,162.14,162.9,159.87,160.45,158.983450288949,5906701,0.0,1.0
2024-05-07,163.36,163.99,161.89,162.55,161.064255808468,5301668,0.0,1.0
2024-05-06,164.41,164.6346,161.0,162.73,161.242610567284,5834562,0.0,1.0
2024-05-03,161.16,164.25,160.74,163.79,162.292921924755,5850102,0.0,1.0
2024-05-02,162.17,162.44,158.12,160.81,159.340159806581,5904251,0.0,1.0
2024-05-01,162.09,163.6923,161.14,161.72,160.241842198372,5178876,0.0,1.0
2024-04-30,161.27,163.05,159.69,162.64,161.153433187876,5484841,0.0,1.0
2024-04-29,159.59,161.55,158.56,161.52,160.043670244133,6226196,0.0,1.0
2024-04-26,167.09,167.46,157.65,159.62,158.161036678854,10721740,0.0,1.0
2024-04-25,167.66,169.29,165.57,167.29,165.760931123953,5503656,0.0,1.0
2024-04-24,168.52,169.11,166.74,167.8,166.266269607265,4074765,0.0,1.0
2024-04-23,168.59,170.365,168.22,169.54,167.990365609152,4084105,0.0,1.0
