,ZBH_Open,ZBH_High,ZBH_Low,ZBH_Close,ZBH_Adj Close,ZBH_Volume,ZBH_Dividend Amount,ZBH_Split Coefficient
2024-10-04,104.71,105.2,103.76,104.68,104.68,1449214,0.0,1.0
2024-10-03,105.32,105.745,103.82,104.19,104.19,1910069,0.0,1.0
2024-10-02,107.04,107.19,105.56,105.69,105.69,1474383,0.0,1.0
2024-10-01,107.86,108.23,106.69,107.34,107.34,1561051,0.0,1.0
2024-09-30,108.24,108.2499,107.27,107.95,107.95,1024868,0.24,1.0
2024-09-27,108.77,110.1925,108.19,108.22,107.979933450411,1166280,0.0,1.0
2024-09-26,106.89,107.99,106.89,107.71,107.471064793419,1211738,0.0,1.0
2024-09-25,108.19,108.19,106.42,106.5,106.263748960163,1312588,0.0,1.0
2024-09-24,107.6,107.9572,106.79,107.81,107.570842961457,1374752,0.0,1.0
2024-09-23,107.28,107.69,106.31,107.57,107.331375358166,1293011,0.0,1.0
2024-09-20,105.57,106.74,105.01,106.42,106.183926425733,3920050,0.0,1.0
2024-09-19,107.51,107.75,106.31,106.34,106.104103891302,1733811,0.0,1.0
2024-09-18,106.18,107.14,105.25,106.28,106.04423699048,1462531,0.0,1.0
2024-09-17,107.43,107.79,104.485,106.24,106.004325723265,1924845,0.0,1.0
2024-09-16,106.84,107.59,106.25,107.43,107.191685922913,1261138,0.0,1.0
2024-09-13,105.2,107.94,105.2,106.26,106.024281356872,1460491,0.0,1.0
2024-09-12,105.15,105.31,104.095,105.14,104.90676587485,1436830,0.0,1.0
2024-09-11,104.62,105.23,103.4,105.15,104.916743691654,1258645,0.0,1.0
2024-09-10,104.71,105.31,103.99,105.16,104.926721508457,1635417,0.0,1.0
2024-09-09,105.08,106.305,104.535,104.83,104.597453553933,1926347,0.0,1.0
2024-09-06,105.51,105.51,104.04,104.81,104.577497920325,2518160,0.0,1.0
2024-09-05,108.66,109.17,104.13,104.47,104.238252148997,4929017,0.0,1.0
2024-09-04,116.0,116.56,113.92,114.48,114.226046769572,1144453,0.0,1.0
2024-09-03,115.33,116.71,115.0,116.17,115.912297809409,1428657,0.0,1.0
2024-08-30,114.95,115.93,114.61,115.46,115.203872816342,1584916,0.0,1.0
2024-08-29,114.92,115.3435,113.91,114.67,114.415625288844,801505,0.0,1.0
2024-08-28,114.72,115.15,113.855,114.19,113.936690082263,687138,0.0,1.0
2024-08-27,114.67,115.36,114.52,114.67,114.415625288844,914312,0.0,1.0
2024-08-26,115.32,116.37,114.23,114.63,114.375714021629,913467,0.0,1.0
2024-08-23,114.0,115.335,113.56,115.05,114.794782327387,788447,0.0,1.0
2024-08-22,112.78,113.51,112.45,113.42,113.168398188372,1164527,0.0,1.0
2024-08-21,112.0,112.49,111.07,112.13,111.881259820686,826850,0.0,1.0
2024-08-20,111.8,112.505,111.325,111.64,111.392346797301,958003,0.0,1.0
2024-08-19,110.65,112.09,110.65,111.77,111.52205841575,1003340,0.0,1.0
2024-08-16,109.85,110.93,109.825,110.65,110.404542933728,963210,0.0,1.0
2024-08-15,109.0,110.25,108.91,109.9,109.656206673445,1151758,0.0,1.0
2024-08-14,109.58,110.17,107.76,108.63,108.389023939366,1166006,0.0,1.0
2024-08-13,106.97,109.9,106.755,109.31,109.067515482022,1452395,0.0,1.0
2024-08-12,108.0,108.24,106.24,107.0,106.762639800351,1542532,0.0,1.0
2024-08-09,108.3,108.55,107.39,108.08,107.840244015159,1174759,0.0,1.0
2024-08-08,106.0,108.85,106.0,108.7,108.458868656992,2011194,0.0,1.0
2024-08-07,106.7,110.09,105.52,105.81,105.575279600702,3050993,0.0,1.0
2024-08-06,107.25,110.9,106.95,109.57,109.32693871892,1891542,0.0,1.0
2024-08-05,109.15,109.55,106.62,107.04,106.802551067566,1676880,0.0,1.0
2024-08-02,111.22,111.93,108.82,110.36,110.115186246418,1190049,0.0,1.0
2024-08-01,111.84,113.42,110.26,111.12,110.873500323505,1129925,0.0,1.0
2024-07-31,111.51,113.08,110.12,111.35,111.102990109992,1592754,0.0,1.0
2024-07-30,110.51,111.84,110.0112,111.37,111.122945743599,1226564,0.0,1.0
2024-07-29,111.16,111.75,109.855,110.79,110.544232368981,1202829,0.0,1.0
2024-07-26,110.79,112.28,110.23,111.29,111.043123209169,1399353,0.0,1.0
2024-07-25,110.09,112.965,110.09,110.64,110.394565116924,1600316,0.0,1.0
2024-07-24,110.32,111.05,109.505,110.55,110.30476476569,925349,0.0,1.0
2024-07-23,110.38,110.76,109.44,110.0,109.755984841483,978222,0.0,1.0
2024-07-22,110.85,111.4,109.75,110.33,110.085252796007,1355681,0.0,1.0
2024-07-19,112.04,112.04,109.6,110.5,110.254875681671,1510715,0.0,1.0
2024-07-18,110.49,113.87,110.355,111.39,111.142901377207,2278240,0.0,1.0
2024-07-17,107.46,112.31,107.08,111.05,110.803655605879,2237110,0.0,1.0
2024-07-16,106.61,108.1483,106.31,107.46,107.221619373325,1211652,0.0,1.0
2024-07-15,108.18,108.59,106.36,106.53,106.293682410574,1822559,0.0,1.0
2024-07-12,108.33,109.57,107.56,108.69,108.448890840189,1177369,0.0,1.0
