,CXO_Open,CXO_High,CXO_Low,CXO_Close,CXO_Adj Close,CXO_Volume,CXO_Dividend Amount,CXO_Split Coefficient
2021-01-15,69.12,69.12,64.6,65.6,65.6,18053801,0.0,1.0
2021-01-14,68.66,70.4444,68.25,69.8,69.8,3944757,0.0,1.0
2021-01-13,68.96,69.2,67.99,68.6,68.6,2805573,0.0,1.0
2021-01-12,67.14,69.53,66.72,69.19,69.19,1893051,0.0,1.0
2021-01-11,63.7,66.67,63.385,66.2,66.2,956102,0.0,1.0
2021-01-08,65.67,66.33,64.5,65.16,65.16,1237170,0.0,1.0
2021-01-07,64.03,65.63,63.6,65.17,65.17,1321395,0.0,1.0
2021-01-06,61.82,64.09,61.17,63.48,63.48,2343784,0.0,1.0
2021-01-05,58.42,62.55,58.36,61.03,61.03,1892645,0.0,1.0
2021-01-04,59.07,59.34,57.19,57.69,57.69,1657194,0.0,1.0
2020-12-31,58.14,58.74,57.75,58.35,58.35,798243,0.0,1.0
2020-12-30,56.74,58.37,56.58,58.26,58.26,803711,0.0,1.0
2020-12-29,57.5,58.11,56.42,56.89,56.89,1343225,0.0,1.0
2020-12-28,57.45,58.9,56.9,57.18,57.18,1242631,0.0,1.0
2020-12-24,58.33,58.33,56.75,57.46,57.46,467096,0.0,1.0
2020-12-23,57.33,59.3,57.26,58.35,58.35,1483898,0.0,1.0
2020-12-22,58.4,58.62,56.61,56.77,56.77,1874593,0.0,1.0
2020-12-21,57.71,59.51,56.65,58.57,58.57,2526411,0.0,1.0
2020-12-18,61.0,61.38,59.24,59.56,59.56,4147949,0.0,1.0
2020-12-17,62.23,62.23,60.56,61.07,61.07,1576727,0.0,1.0
2020-12-16,62.5,62.5,61.34,61.6,61.6,1486432,0.0,1.0
2020-12-15,61.89,62.54,60.7,62.29,62.29,1319370,0.0,1.0
2020-12-14,64.28,64.4518,61.49,61.59,61.59,1755016,0.0,1.0
2020-12-11,63.4,63.74,62.82,63.27,63.27,3121276,0.0,1.0
2020-12-10,61.6,64.39,61.6,63.96,63.96,2289498,0.0,1.0
2020-12-09,62.94,63.33,60.74,62.13,62.13,1929163,0.0,1.0
2020-12-08,61.24,63.27,60.72,62.18,62.18,1611106,0.0,1.0
2020-12-07,63.34,63.34,61.9,62.35,62.35,2565406,0.0,1.0
2020-12-04,61.53,64.59,61.38,64.44,64.44,2784115,0.0,1.0
2020-12-03,58.46,61.33,57.69,60.02,60.02,2866927,0.0,1.0
2020-12-02,56.69,59.61,56.42,58.14,58.14,3367351,0.0,1.0
2020-12-01,59.44,59.47,56.88,56.91,56.91,2954219,0.0,1.0
2020-11-30,61.02,61.02,57.43,57.48,57.48,3598587,0.0,1.0
2020-11-27,62.98,63.72,61.52,62.02,62.02,782943,0.0,1.0
2020-11-25,63.68,64.52,63.015,63.37,63.37,2904598,0.0,1.0
2020-11-24,64.04,65.85,63.66,64.53,64.53,4067626,0.0,1.0
2020-11-23,58.54,62.13,58.42,61.97,61.97,3659930,0.0,1.0
2020-11-20,56.88,57.83,56.7,57.45,57.45,2554450,0.0,1.0
2020-11-19,56.2,57.47,55.59,57.24,57.24,2102381,0.0,1.0
2020-11-18,56.5,59.22,55.95,56.66,56.66,3746733,0.0,1.0
2020-11-17,54.21,56.67,53.91,56.23,56.23,3142741,0.0,1.0
2020-11-16,53.57,55.24,52.75,55.16,55.16,3702784,0.0,1.0
2020-11-13,49.48,51.49,49.48,51.22,51.22,4645077,0.0,1.0
2020-11-12,50.14,51.03,48.66,49.27,49.27,2562977,0.0,1.0
2020-11-11,52.08,52.43,50.77,51.15,51.15,3700026,0.0,1.0
2020-11-10,49.5,51.5,48.67,51.5,51.5,3468241,0.0,1.0
2020-11-09,47.99,50.69,47.69,48.53,48.53,4259863,0.0,1.0
2020-11-06,43.61,44.36,42.06,42.39,42.39,2435936,0.0,1.0
2020-11-05,43.55,44.74,43.41,43.63,43.63,2882823,0.2,1.0
2020-11-04,42.63,44.415,42.29,44.18,43.9784029203742,4592423,0.0,1.0
2020-11-03,44.43,44.49,42.18,42.43,42.2363883185033,2973406,0.0,1.0
2020-11-02,42.32,44.26,41.29,43.77,43.5702737850787,4300742,0.0,1.0
2020-10-30,41.7,41.85,39.92,41.51,41.3205863563769,4731852,0.0,1.0
2020-10-29,40.74,42.2,39.74,42.11,41.9178485055898,3924435,0.0,1.0
2020-10-28,42.44,42.98,41.18,41.41,41.2210426648414,4735064,0.0,1.0
2020-10-27,43.52,44.31,43.27,43.71,43.5105475701574,3894084,0.0,1.0
2020-10-26,46.12,46.13,43.4,43.79,43.5901825233858,4394044,0.0,1.0
2020-10-23,46.49,47.95,46.1948,46.97,46.755671914214,5818336,0.0,1.0
2020-10-22,44.26,46.19,44.02,46.04,45.8299155829341,5684504,0.0,1.0
2020-10-21,46.82,46.9,44.2,44.28,44.0779466119097,5736998,0.0,1.0
2020-10-20,47.57,47.86,46.44,47.11,46.8950330823637,7421354,0.0,1.0
2020-10-19,49.13,49.65,47.21,47.26,47.0443486196669,13275647,0.0,1.0
2020-10-16,49.24,49.84,47.97,48.6,48.3782340862423,2865101,0.0,1.0
2020-10-15,47.45,49.95,47.23,49.54,49.3139447866758,2588276,0.0,1.0
2020-10-14,49.04,50.8931,48.24,48.66,48.4379603011636,8301712,0.0,1.0
2020-10-13,44.47,45.54,43.9,44.14,43.93858544376,1179196,0.0,1.0
2020-10-12,44.69,44.83,43.46,44.72,44.5159388546658,1875554,0.0,1.0
2020-10-09,46.03,46.4,44.75,45.03,44.8245242984257,2682113,0.0,1.0
2020-10-08,44.99,45.63,44.36,45.59,45.3819689710244,1077174,0.0,1.0
2020-10-07,43.75,44.7,43.04,44.59,44.3865320556696,1624122,0.0,1.0
2020-10-06,45.36,46.05,43.35,43.38,43.1820533880904,1260485,0.0,1.0
2020-10-05,43.76,44.56,43.31,44.51,44.3068971024412,1383215,0.0,1.0
2020-10-02,40.99,43.89,40.82,43.07,42.8734679443304,2654182,0.0,1.0
2020-10-01,43.42,43.98,42.14,42.35,42.1567533652749,1430693,0.0,1.0
2020-09-30,44.61,45.25,43.81,44.12,43.9186767054529,1811199,0.0,1.0
2020-09-29,44.87,44.9999,43.22,44.4,44.1973990417522,1691269,0.0,1.0
2020-09-28,44.66,45.44,43.94,44.94,44.7349349760438,2814031,0.0,1.0
2020-09-25,43.02,43.97,42.72,43.71,43.5105475701574,1749580,0.0,1.0
2020-09-24,43.29,44.78,42.68,43.59,43.3910951403149,2778371,0.0,1.0
2020-09-23,45.73,45.955,43.31,43.35,43.1521902806297,1899071,0.0,1.0
2020-09-22,46.42,47.19,45.435,45.6,45.391923340178,1764600,0.0,1.0
2020-09-21,46.7,46.98,45.53,46.25,46.0389573351586,1693593,0.0,1.0
2020-09-18,48.47,49.06,47.36,48.09,47.8705612594114,2111463,0.0,1.0
2020-09-17,47.83,48.77,47.13,48.74,48.517595254392,1765183,0.0,1.0
2020-09-16,46.51,49.24,46.5,48.76,48.5375039926991,1913680,0.0,1.0
2020-09-15,47.1,47.58,46.05,46.19,45.9792311202373,2146663,0.0,1.0
2020-09-14,45.63,47.37,45.12,47.0,46.7855350216747,1549425,0.0,1.0
2020-09-11,45.51,45.64,44.68,45.31,45.1032466347251,1593635,0.0,1.0
2020-09-10,49.01,49.01,45.37,45.49,45.2824252794889,2427187,0.0,1.0
2020-09-09,48.2,49.41,48.01,48.8,48.5773214693133,3016132,0.0,1.0
2020-09-08,49.48,49.93,47.31,47.63,47.4126602783482,2680686,0.0,1.0
2020-09-04,49.81,50.85,49.27,50.65,50.4188797627196,2772951,0.0,1.0
2020-09-03,49.82,50.785,49.19,49.51,49.2840816792151,1776631,0.0,1.0
2020-09-02,50.9,51.6,49.83,49.9,49.6723020762035,1978640,0.0,1.0
2020-09-01,51.58,52.28,51.13,51.14,50.9066438512434,1513880,0.0,1.0
2020-08-31,52.31,52.4,51.12,51.98,51.7428108601415,1638097,0.0,1.0
2020-08-28,51.73,52.38,50.87,52.26,52.0215331964408,1060658,0.0,1.0
2020-08-27,51.3,51.95,50.775,51.81,51.5735865845311,1305714,0.0,1.0
2020-08-26,51.04,51.82,50.82,51.08,50.8469176363222,1816029,0.0,1.0
2020-08-25,50.89,51.59,50.2,51.55,51.3147729865389,1599371,0.0,1.0
2020-08-24,48.79,50.6,48.43,50.11,49.881343828428,1334826,0.0,1.0
2020-08-21,48.75,49.155,48.21,48.49,48.2687360255533,1794564,0.0,1.0
2020-08-20,49.03,49.42,48.33,48.53,48.3085535021675,1792259,0.0,1.0
2020-08-19,51.35,51.35,49.62,50.02,49.7917545060461,1002038,0.0,1.0
2020-08-18,50.79,52.05,50.7499,51.08,50.8469176363222,1030998,0.0,1.0
2020-08-17,50.93,51.12,49.85,50.9,50.6677389915583,1469001,0.0,1.0
2020-08-14,50.53,51.28,50.23,51.26,51.026096281086,1177679,0.0,1.0
2020-08-13,52.51,53.08,50.65,50.79,50.5582409308693,1606970,0.0,1.0
