,UCBI_Open,UCBI_High,UCBI_Low,UCBI_Close,UCBI_Adj Close,UCBI_Volume,UCBI_Dividend Amount,UCBI_Split Coefficient
2024-08-05,27.52,28.445,26.96,27.83,27.83,774256,0.0,1.0
2024-08-02,28.64,29.275,28.37,28.76,28.76,704315,0.0,1.0
2024-08-01,30.94,31.025,29.34,29.81,29.81,700284,0.0,1.0
2024-07-31,31.11,31.72,30.71,30.95,30.95,597900,0.0,1.0
2024-07-30,30.99,31.18,30.73,31.07,31.07,651439,0.0,1.0
2024-07-29,31.59,31.7,30.78,30.79,30.79,551276,0.0,1.0
