,VAC_Open,VAC_High,VAC_Low,VAC_Close,VAC_Adj Close,VAC_Volume,VAC_Dividend Amount,VAC_Split Coefficient
2024-10-04,75.38,76.49,75.04,76.38,76.38,268098,0.0,1.0
2024-10-03,73.38,74.5199,72.66,73.85,73.85,370670,0.0,1.0
2024-10-02,72.94,74.76,72.94,74.28,74.28,267328,0.0,1.0
2024-10-01,73.48,74.015,71.525,73.74,73.74,468368,0.0,1.0
2024-09-30,76.01,76.2,73.22,73.48,73.48,400940,0.0,1.0
2024-09-27,76.99,77.275,75.47,76.5,76.5,221746,0.0,1.0
2024-09-26,74.31,76.12,73.945,75.76,75.76,326683,0.0,1.0
2024-09-25,75.97,75.97,73.59,73.62,73.62,310578,0.0,1.0
2024-09-24,76.26,77.35,75.775,76.07,76.07,301110,0.0,1.0
2024-09-23,74.48,75.44,74.25,75.22,75.22,252135,0.0,1.0
2024-09-20,74.42,74.71,73.26,74.49,74.49,805271,0.0,1.0
2024-09-19,73.62,76.04,72.9,74.58,74.58,630506,0.76,1.0
2024-09-18,72.54,73.99,71.72,72.3,71.5706663127157,491703,0.0,1.0
2024-09-17,73.26,74.6799,72.48,73.92,73.1743243960711,356690,0.0,1.0
2024-09-16,73.61,74.0,71.86,71.95,71.2241969737191,304237,0.0,1.0
2024-09-13,72.28,73.71,71.7,73.29,72.5506795858773,397762,0.0,1.0
2024-09-12,71.23,71.41,69.48,71.38,70.6599469073533,466526,0.0,1.0
2024-09-11,69.2,69.62,67.28,69.21,68.5118370055747,542748,0.0,1.0
2024-09-10,70.35,70.36,67.72,69.44,68.7395168569153,360235,0.0,1.0
2024-09-09,71.56,71.93,69.96,70.36,69.6502362622777,359766,0.0,1.0
2024-09-06,73.47,73.7812,71.57,71.68,70.9569206264932,462100,0.0,1.0
2024-09-05,72.72,73.55,71.235,73.11,72.3724953543934,483142,0.0,1.0
2024-09-04,72.82,73.62,72.16,72.42,71.6894558003716,306665,0.0,1.0
2024-09-03,73.0,74.405,73.0,73.24,72.5011839660207,448859,0.0,1.0
2024-08-30,73.98,74.42,73.035,74.0,73.2535173878418,392180,0.0,1.0
2024-08-29,73.8,74.33,72.5,73.48,72.7387629413326,286513,0.0,1.0
2024-08-28,72.3,73.72,72.3,73.1,72.3625962304221,439379,0.0,1.0
2024-08-27,72.51,73.47,72.05,72.83,72.0953198831962,219345,0.0,1.0
2024-08-26,74.79,75.36,73.17,73.21,72.4714865941067,303454,0.0,1.0
2024-08-23,72.78,74.49,72.2401,74.03,73.2832147597558,276650,0.0,1.0
2024-08-22,72.39,72.95,71.925,72.21,71.4815741969737,213706,0.0,1.0
2024-08-21,71.35,72.63,71.05,72.4,71.669657552429,283942,0.0,1.0
