,EXP_Open,EXP_High,EXP_Low,EXP_Close,EXP_Adj Close,EXP_Volume,EXP_Dividend Amount,EXP_Split Coefficient
2024-06-18,230.18,231.79,226.36,228.48,228.276704274478,260035,0.0,1.0
2024-06-17,225.87,230.43,224.6,230.01,229.805342919173,294427,0.25,1.0
2024-06-14,228.0,228.07,223.83,226.58,226.132609218389,448298,0.0,1.0
2024-06-13,228.39,232.565,226.945,230.92,230.464039724205,260017,0.0,1.0
2024-06-12,228.69,235.67,227.87,229.22,228.767396438516,281693,0.0,1.0
2024-06-11,224.36,225.12,221.27,223.25,222.809184429364,263825,0.0,1.0
2024-06-10,223.08,227.315,222.145,225.59,225.144564010841,237309,0.0,1.0
2024-06-07,226.64,227.63,224.06,224.69,224.246341094888,236989,0.0,1.0
2024-06-06,228.98,230.65,226.61,227.39,226.941009842746,212818,0.0,1.0
2024-06-05,225.65,230.5,223.51,229.85,229.396152479683,242149,0.0,1.0
2024-06-04,225.57,227.56,222.81,224.23,223.78724938229,320878,0.0,1.0
2024-06-03,233.89,233.89,226.03,227.04,226.591700930987,335563,0.0,1.0
2024-05-31,233.83,234.59,224.61,232.39,231.931137153594,478533,0.0,1.0
2024-05-30,229.83,234.09,229.83,233.53,233.068886180467,279096,0.0,1.0
2024-05-29,230.0,231.3099,226.27,228.74,228.288344216675,463862,0.0,1.0
2024-05-28,239.0,239.0,231.24,232.23,231.771453079647,298606,0.0,1.0
2024-05-24,237.85,238.505,234.9065,238.27,237.799526871151,216716,0.0,1.0
2024-05-23,241.31,241.31,232.831,235.59,235.124818632537,333759,0.0,1.0
2024-05-22,240.56,242.0,236.0001,238.8,238.328480366101,454542,0.0,1.0
2024-05-21,230.13,243.65,228.32,242.29,241.811589229073,1072011,0.0,1.0
2024-05-20,256.0,258.65,255.5318,256.97,256.462603013723,356262,0.0,1.0
2024-05-17,259.54,261.18,255.13,256.3,255.793925954069,300194,0.0,1.0
2024-05-16,272.32,272.905,257.95,258.2,257.690174332192,319668,0.0,1.0
2024-05-15,270.79,276.61,270.79,273.95,273.409075361363,297835,0.0,1.0
2024-05-14,267.56,268.95,265.84,268.7,268.169441684972,136726,0.0,1.0
2024-05-13,269.65,271.66,266.69,267.71,267.181396477424,176909,0.0,1.0
2024-05-10,268.96,271.21,268.67,269.15,268.618553142949,195337,0.0,1.0
2024-05-09,267.51,269.015,266.79,267.28,266.752245528692,207997,0.0,1.0
2024-05-08,266.46,269.0,264.35,267.36,266.832087565665,183504,0.0,1.0
2024-05-07,266.19,270.29,263.27,268.33,267.80017226397,285511,0.0,1.0
2024-05-06,263.58,266.69,263.58,266.69,266.163410506012,171452,0.0,1.0
2024-05-03,261.48,266.55,260.335,261.12,260.604408681727,393279,0.0,1.0
2024-05-02,256.46,257.0,248.52,256.93,256.422681995236,278665,0.0,1.0
2024-05-01,250.86,258.33,248.33,252.6,252.101231744042,234459,0.0,1.0
2024-04-30,256.24,258.5,250.47,250.71,250.214963620541,173776,0.0,1.0
2024-04-29,257.6,258.765,255.985,258.31,257.79995713303,148280,0.0,1.0
2024-04-26,255.23,257.075,253.87,256.7,256.193136138937,150319,0.0,1.0
2024-04-25,247.77,254.45,246.1327,253.93,253.428605608727,208796,0.0,1.0
2024-04-24,253.98,256.9,249.9,253.13,252.630185238992,262045,0.0,1.0
2024-04-23,245.6,253.89,245.6,253.45,252.949553386886,339418,0.0,1.0
2024-04-22,239.6,246.9299,238.26,244.9,244.416435685336,323986,0.0,1.0
2024-04-19,242.65,244.425,236.93,238.19,237.719684834178,525268,0.0,1.0
2024-04-18,247.43,248.69,241.82,242.38,241.901411520668,241351,0.0,1.0
2024-04-17,250.0,251.29,244.57,244.85,244.366534412227,312851,0.0,1.0
2024-04-16,249.77,250.165,246.67,248.78,248.288774478554,197787,0.0,1.0
2024-04-15,260.09,260.09,249.81,249.96,249.466444523914,302501,0.0,1.0
2024-04-12,254.9,256.12,252.2,254.9,254.396690307032,258174,0.0,1.0
2024-04-11,255.19,258.74,254.71,257.23,256.722089633887,273255,0.0,1.0
2024-04-10,253.42,258.08,252.34,253.12,252.62020498437,343520,0.0,1.0
2024-04-09,266.66,267.77,257.565,259.19,258.678219539739,241513,0.0,1.0
