,MDXG_Open,MDXG_High,MDXG_Low,MDXG_Close,MDXG_Adj Close,MDXG_Volume,MDXG_Dividend Amount,MDXG_Split Coefficient
2024-03-06,8.06,8.15,7.91,8.07,8.07,661587,0.0,1.0
2024-03-05,8.16,8.27,7.995,8.0,8.0,649726,0.0,1.0
2024-03-04,8.75,8.8,8.185,8.26,8.26,823259,0.0,1.0
2024-03-01,8.31,8.73,8.29,8.63,8.63,1695131,0.0,1.0
2024-02-29,9.0,9.0394,8.1,8.16,8.16,2090623,0.0,1.0
2024-02-28,8.34,8.34,8.08,8.2,8.2,779527,0.0,1.0
2024-02-27,8.26,8.46,8.09,8.4,8.4,790971,0.0,1.0
2024-02-26,8.15,8.33,8.06,8.26,8.26,598765,0.0,1.0
2024-02-23,8.17,8.26,8.075,8.2,8.2,523902,0.0,1.0
2024-02-22,8.03,8.21,8.0,8.18,8.18,630618,0.0,1.0
2024-02-21,8.01,8.1,7.95,8.06,8.06,788608,0.0,1.0
2024-02-20,8.0,8.075,7.94,8.04,8.04,610968,0.0,1.0
2024-02-16,8.2,8.2,8.005,8.06,8.06,532219,0.0,1.0
2024-02-15,8.14,8.24,7.975,8.24,8.24,828074,0.0,1.0
2024-02-14,8.07,8.17,7.96,8.07,8.07,887330,0.0,1.0
2024-02-13,8.02,8.24,7.92,7.96,7.96,817737,0.0,1.0
2024-02-12,7.94,8.31,7.93,8.3,8.3,729078,0.0,1.0
2024-02-09,7.81,8.02,7.79,7.96,7.96,575273,0.0,1.0
2024-02-08,7.78,7.93,7.71,7.78,7.78,609958,0.0,1.0
2024-02-07,7.8,7.83,7.72,7.75,7.75,541451,0.0,1.0
2024-02-06,7.63,7.79,7.61,7.78,7.78,816030,0.0,1.0
2024-02-05,7.7,7.769,7.64,7.68,7.68,748564,0.0,1.0
2024-02-02,7.75,7.875,7.6645,7.77,7.77,630646,0.0,1.0
2024-02-01,7.8,7.98,7.69,7.88,7.88,387902,0.0,1.0
2024-01-31,7.88,8.08,7.73,7.74,7.74,592927,0.0,1.0
2024-01-30,8.3,8.3,7.875,7.93,7.93,623741,0.0,1.0
2024-01-29,8.0,8.34,7.76,8.34,8.34,581028,0.0,1.0
2024-01-26,8.16,8.2,8.02,8.04,8.04,435809,0.0,1.0
2024-01-25,8.19,8.21,8.02,8.11,8.11,501048,0.0,1.0
2024-01-24,8.5,8.51,8.085,8.09,8.09,420786,0.0,1.0
2024-01-23,8.51,8.5373,8.305,8.41,8.41,453060,0.0,1.0
2024-01-22,8.25,8.48,8.1,8.47,8.47,530685,0.0,1.0
2024-01-19,8.32,8.32,8.0,8.14,8.14,664130,0.0,1.0
2024-01-18,8.39,8.39,8.07,8.25,8.25,298726,0.0,1.0
2024-01-17,7.95,8.37,7.95,8.35,8.35,527055,0.0,1.0
2024-01-16,7.93,8.08,7.88,8.08,8.08,463727,0.0,1.0
2024-01-12,8.19,8.2198,7.995,8.04,8.04,380352,0.0,1.0
2024-01-11,8.05,8.08,7.92,8.04,8.04,577129,0.0,1.0
