,STRA_Open,STRA_High,STRA_Low,STRA_Close,STRA_Adj Close,STRA_Volume,STRA_Dividend Amount,STRA_Split Coefficient
2024-10-04,89.26,89.3487,88.4,88.73,88.73,125429,0.0,1.0
2024-10-03,89.45,90.13,88.17,88.24,88.24,153819,0.0,1.0
2024-10-02,91.13,91.75,89.985,90.04,90.04,159127,0.0,1.0
2024-10-01,92.5,92.5,90.92,91.03,91.03,163022,0.0,1.0
2024-09-30,92.71,93.19,91.365,92.55,92.55,177588,0.0,1.0
2024-09-27,92.22,94.06,91.96,92.72,92.72,135463,0.0,1.0
2024-09-26,92.58,93.83,91.25,91.37,91.37,149649,0.0,1.0
2024-09-25,92.13,92.737,90.65,91.59,91.59,179372,0.0,1.0
2024-09-24,92.42,92.57,91.39,92.18,92.18,128762,0.0,1.0
2024-09-23,93.67,93.95,92.19,92.48,92.48,185303,0.0,1.0
2024-09-20,94.35,94.76,93.07,93.23,93.23,726340,0.0,1.0
2024-09-19,94.77,95.28,93.54,94.8,94.8,165848,0.0,1.0
2024-09-18,94.09,94.735,93.045,93.3,93.3,180186,0.0,1.0
2024-09-17,94.61,96.01,93.665,93.7,93.7,125499,0.0,1.0
2024-09-16,94.37,95.52,93.54,94.46,94.46,143136,0.0,1.0
2024-09-13,94.07,95.085,93.63,94.13,94.13,100030,0.0,1.0
2024-09-12,92.91,93.48,91.91,93.11,93.11,105751,0.0,1.0
2024-09-11,91.15,92.43,89.63,92.26,92.26,188464,0.0,1.0
2024-09-10,93.05,93.05,91.41,91.82,91.82,85601,0.0,1.0
2024-09-09,92.78,94.29,92.78,93.34,93.34,242086,0.0,1.0
2024-09-06,94.62,94.94,91.82,92.25,92.25,146719,0.6,1.0
2024-09-05,95.39,95.96,94.475,94.94,94.3264943457189,88317,0.0,1.0
2024-09-04,96.42,97.38,94.5939,95.0,94.3861066235864,94236,0.0,1.0
2024-09-03,96.17,96.915,95.895,96.73,96.1049273021002,123075,0.0,1.0
2024-08-30,96.98,97.8,95.97,96.5,95.8764135702747,295262,0.0,1.0
2024-08-29,97.46,99.17,94.74,96.44,95.8168012924071,118968,0.0,1.0
2024-08-28,97.21,97.635,96.2846,96.6,95.9757673667205,304014,0.0,1.0
2024-08-27,97.44,98.3,96.5,97.59,96.9593699515348,141871,0.0,1.0
2024-08-26,98.15,98.15,96.7373,97.46,96.8302100161551,81839,0.0,1.0
2024-08-23,96.79,98.5,96.04,97.39,96.760662358643,112102,0.0,1.0
2024-08-22,96.58,98.03,95.97,96.3,95.6777059773829,143152,0.0,1.0
2024-08-21,96.57,96.72,95.84,96.22,95.5982229402262,104080,0.0,1.0
