,BCPC_Open,BCPC_High,BCPC_Low,BCPC_Close,BCPC_Adj Close,BCPC_Volume,BCPC_Dividend Amount,BCPC_Split Coefficient
2024-10-04,173.38,173.38,171.2,172.25,172.25,62558,0.0,1.0
2024-10-03,172.99,173.07,170.37,170.97,170.97,53109,0.0,1.0
2024-10-02,171.35,174.365,171.345,174.16,174.16,92355,0.0,1.0
2024-10-01,176.0,176.0,171.955,172.57,172.57,107424,0.0,1.0
2024-09-30,174.89,176.19,173.875,176.0,176.0,109671,0.0,1.0
2024-09-27,176.75,177.225,174.88,175.13,175.13,105753,0.0,1.0
2024-09-26,175.9,176.82,174.7,175.2,175.2,95476,0.0,1.0
2024-09-25,175.89,175.89,172.96,173.73,173.73,121222,0.0,1.0
2024-09-24,176.14,177.355,174.8,175.41,175.41,105616,0.0,1.0
2024-09-23,175.98,177.01,173.22,175.66,175.66,137171,0.0,1.0
2024-09-20,178.57,178.57,174.38,174.73,174.73,482481,0.0,1.0
2024-09-19,179.69,179.9,175.35,178.28,178.28,153289,0.0,1.0
2024-09-18,173.74,179.69,173.18,176.04,176.04,126282,0.0,1.0
2024-09-17,173.85,176.4,173.2,173.24,173.24,82291,0.0,1.0
2024-09-16,172.56,173.57,170.855,172.41,172.41,56008,0.0,1.0
2024-09-13,169.68,173.42,169.68,171.82,171.82,80624,0.0,1.0
2024-09-12,164.72,168.435,164.35,168.13,168.13,98642,0.0,1.0
2024-09-11,166.67,167.04,163.59,163.97,163.97,124849,0.0,1.0
2024-09-10,167.86,168.26,165.87,167.68,167.68,86946,0.0,1.0
2024-09-09,168.23,168.755,166.43,167.16,167.16,89831,0.0,1.0
2024-09-06,171.9,172.73,167.0135,168.63,168.63,130426,0.0,1.0
2024-09-05,173.02,173.02,171.02,171.9,171.9,79112,0.0,1.0
2024-09-04,171.89,172.9,170.68,172.54,172.54,57421,0.0,1.0
2024-09-03,176.35,176.795,171.19,171.8,171.8,104196,0.0,1.0
2024-08-30,173.46,177.95,173.14,177.03,177.03,103564,0.0,1.0
2024-08-29,172.76,174.08,172.0393,172.47,172.47,51981,0.0,1.0
2024-08-28,172.26,174.55,171.46,171.7,171.7,53236,0.0,1.0
2024-08-27,172.64,173.14,171.29,172.41,172.41,96393,0.0,1.0
2024-08-26,173.54,175.84,172.85,173.19,173.19,69265,0.0,1.0
2024-08-23,168.9,173.96,168.895,172.74,172.74,92715,0.0,1.0
2024-08-22,169.4,169.4,167.47,167.83,167.83,41016,0.0,1.0
2024-08-21,168.28,169.5,166.87,169.27,169.27,36736,0.0,1.0
2024-08-20,169.26,169.29,167.0,167.28,167.28,57571,0.0,1.0
2024-08-19,166.94,169.275,166.57,168.92,168.92,63876,0.0,1.0
2024-08-16,167.15,168.83,165.72,166.29,166.29,94461,0.0,1.0
2024-08-15,168.45,169.195,167.35,167.73,167.73,91917,0.0,1.0
2024-08-14,165.24,165.43,163.35,164.76,164.76,72891,0.0,1.0
2024-08-13,163.83,165.32,162.76,164.62,164.62,66461,0.0,1.0
2024-08-12,164.15,165.135,162.435,162.65,162.65,78167,0.0,1.0
2024-08-09,167.58,168.3,163.0,163.66,163.66,145129,0.0,1.0
2024-08-08,164.47,168.48,163.27,168.18,168.18,83901,0.0,1.0
2024-08-07,167.14,167.195,162.56,162.85,162.85,89594,0.0,1.0
2024-08-06,164.4,168.5099,164.1,165.16,165.16,148469,0.0,1.0
2024-08-05,166.49,168.61,163.83,164.27,164.27,268029,0.0,1.0
2024-08-02,170.82,172.73,169.65,171.47,171.47,194266,0.0,1.0
2024-08-01,177.93,178.685,172.625,175.99,175.99,172364,0.0,1.0
2024-07-31,176.42,181.03,175.55,177.46,177.46,179028,0.0,1.0
2024-07-30,179.9,180.59,176.89,178.16,178.16,164153,0.0,1.0
2024-07-29,181.85,186.03,180.085,181.56,181.56,125181,0.0,1.0
2024-07-26,178.53,182.588,172.58,180.78,180.78,156553,0.0,1.0
2024-07-25,176.25,178.805,174.72,174.81,174.81,202300,0.0,1.0
2024-07-24,178.77,180.43,174.95,174.95,174.95,101034,0.0,1.0
2024-07-23,175.35,180.76,174.905,179.69,179.69,116961,0.0,1.0
2024-07-22,172.45,176.06,171.28,175.64,175.64,120147,0.0,1.0
2024-07-19,174.29,174.29,171.87,172.44,172.44,94468,0.0,1.0
2024-07-18,174.54,177.3,173.365,174.03,174.03,142960,0.0,1.0
2024-07-17,175.4,178.35,170.2,174.58,174.58,161017,0.0,1.0
2024-07-16,169.94,176.9,169.03,176.3,176.3,186550,0.0,1.0
2024-07-15,167.28,169.2,165.97,167.94,167.94,225192,0.0,1.0
2024-07-12,166.14,168.0,165.345,166.08,166.08,186347,0.0,1.0
2024-07-11,164.34,168.04,163.75,164.4,164.4,167465,0.0,1.0
2024-07-10,162.83,163.02,162.135,162.89,162.89,59396,0.0,1.0
2024-07-09,161.99,163.095,161.1,161.92,161.92,88989,0.0,1.0
2024-07-08,161.82,163.025,161.56,162.28,162.28,72604,0.0,1.0
2024-07-05,158.95,160.66,158.23,160.51,160.51,91611,0.0,1.0
2024-07-03,159.23,160.0,158.52,159.73,159.73,80851,0.0,1.0
2024-07-02,154.59,159.15,153.04,158.82,158.82,116854,0.0,1.0
2024-07-01,153.75,154.845,151.785,154.1,154.1,155719,0.0,1.0
2024-06-28,152.64,154.49,151.365,153.95,153.95,359642,0.0,1.0
2024-06-27,151.81,151.93,149.595,151.6,151.6,111522,0.0,1.0
2024-06-26,151.36,151.95,150.69,151.03,151.03,122045,0.0,1.0
2024-06-25,150.94,151.685,149.97,151.6,151.6,80200,0.0,1.0
2024-06-24,151.45,153.35,150.995,151.44,151.44,77981,0.0,1.0
2024-06-21,150.48,151.6,149.37,151.6,151.6,312414,0.0,1.0
2024-06-20,151.27,153.23,150.03,150.43,150.43,65338,0.0,1.0
2024-06-18,153.86,154.16,152.49,152.5,152.5,84226,0.0,1.0
2024-06-17,150.49,153.94,149.77,153.84,153.84,82497,0.0,1.0
2024-06-14,150.59,150.84,149.3,150.69,150.69,77832,0.0,1.0
2024-06-13,152.76,152.76,150.0,152.31,152.31,62739,0.0,1.0
2024-06-12,155.15,155.63,153.02,153.24,153.24,56919,0.0,1.0
2024-06-11,150.51,151.47,149.18,151.47,151.47,110222,0.0,1.0
2024-06-10,150.48,151.19,149.27,151.03,151.03,75025,0.0,1.0
2024-06-07,152.48,152.99,151.435,152.25,152.25,57727,0.0,1.0
2024-06-06,154.65,155.9,151.84,153.83,153.83,94102,0.0,1.0
2024-06-05,153.4,157.18,153.34,155.45,155.45,89551,0.0,1.0
2024-06-04,153.97,153.97,152.5,153.1,153.1,56244,0.0,1.0
2024-06-03,154.56,155.63,152.89,154.7,154.7,82802,0.0,1.0
2024-05-31,152.03,154.55,151.115,153.6,153.6,132731,0.0,1.0
2024-05-30,150.2,152.96,149.04,151.52,151.52,65748,0.0,1.0
2024-05-29,150.61,151.465,149.24,149.63,149.63,55929,0.0,1.0
2024-05-28,153.46,153.46,150.6,152.03,152.03,80241,0.0,1.0
2024-05-24,154.51,154.75,152.48,153.02,153.02,156251,0.0,1.0
