,KALU_Open,KALU_High,KALU_Low,KALU_Close,KALU_Adj Close,KALU_Volume,KALU_Dividend Amount,KALU_Split Coefficient
2024-10-07,71.71,72.2993,71.16,71.87,71.87,70334,0.0,1.0
2024-10-04,71.72,72.305,71.17,71.8,71.8,74589,0.0,1.0
2024-10-03,71.11,71.95,70.26,70.49,70.49,81893,0.0,1.0
2024-10-02,73.11,73.11,71.66,72.17,72.17,61117,0.0,1.0
2024-10-01,72.8,73.535,71.98,73.04,73.04,74702,0.0,1.0
2024-09-30,72.35,72.595,71.44,72.52,72.52,90012,0.0,1.0
2024-09-27,73.9,75.05,72.905,73.18,73.18,110765,0.0,1.0
2024-09-26,71.9,73.76,71.9,73.12,73.12,142168,0.0,1.0
2024-09-25,71.37,71.53,70.0,70.22,70.22,89670,0.0,1.0
2024-09-24,71.73,72.625,71.5,71.85,71.85,124763,0.0,1.0
2024-09-23,70.86,71.28,70.42,70.63,70.63,70116,0.0,1.0
2024-09-20,71.17,71.17,69.74,70.17,70.17,314695,0.0,1.0
2024-09-19,72.71,73.53,70.55,71.28,71.28,136238,0.0,1.0
2024-09-18,70.0,72.3047,69.32,70.18,70.18,184278,0.0,1.0
2024-09-17,69.58,70.48,68.9,69.53,69.53,162942,0.0,1.0
2024-09-16,69.59,70.11,68.54,68.91,68.91,122796,0.0,1.0
2024-09-13,69.92,70.75,68.76,68.89,68.89,124146,0.0,1.0
2024-09-12,69.22,69.48,68.28,68.92,68.92,62249,0.0,1.0
2024-09-11,66.97,68.55,65.66,68.31,68.31,97619,0.0,1.0
2024-09-10,67.04,67.515,66.25,66.79,66.79,82097,0.0,1.0
2024-09-09,67.98,68.605,67.17,67.17,67.17,72198,0.0,1.0
2024-09-06,69.12,70.42,67.52,68.13,68.13,64147,0.0,1.0
2024-09-05,69.69,70.56,69.1,69.45,69.45,76816,0.0,1.0
2024-09-04,69.97,71.47,68.9,69.25,69.25,94550,0.0,1.0
2024-09-03,73.75,74.22,69.85,70.39,70.39,139817,0.0,1.0
2024-08-30,74.83,74.83,73.83,74.55,74.55,133079,0.0,1.0
2024-08-29,74.33,75.55,73.09,74.24,74.24,102157,0.0,1.0
2024-08-28,74.45,74.45,73.44,73.46,73.46,79938,0.0,1.0
2024-08-27,73.97,76.18,73.97,75.17,75.17,100532,0.0,1.0
2024-08-26,75.11,75.7899,74.0,74.26,74.26,67379,0.0,1.0
2024-08-23,71.59,74.415,71.02,74.3,74.3,87406,0.0,1.0
2024-08-22,71.85,71.85,70.61,70.82,70.82,60748,0.0,1.0
