,DE_Open,DE_High,DE_Low,DE_Close,DE_Adj Close,DE_Volume,DE_Dividend Amount,DE_Split Coefficient
2024-10-04,412.0,412.14,405.07,407.99,407.99,877896,0.0,1.0
2024-10-03,412.69,413.83,407.7214,408.74,408.74,1103915,0.0,1.0
2024-10-02,416.12,417.58,414.14,416.49,416.49,863795,0.0,1.0
2024-10-01,415.175,420.47,411.12,416.44,416.44,1089177,0.0,1.0
2024-09-30,416.0,417.94,412.5401,417.33,417.33,1176773,1.47,1.0
2024-09-27,414.1,419.63,412.57,418.0,416.532808022923,1410903,0.0,1.0
2024-09-26,409.96,413.145,408.37,411.47,410.025728510029,1062180,0.0,1.0
2024-09-25,412.84,413.87,406.07,406.93,405.501664040115,923692,0.0,1.0
2024-09-24,411.74,415.75,407.365,410.89,409.447764326647,1253685,0.0,1.0
2024-09-23,405.02,410.26,404.07,408.95,407.514573782235,1184549,0.0,1.0
2024-09-20,406.62,409.91,402.48,405.89,404.465314469914,2709595,0.0,1.0
2024-09-19,406.52,412.45,403.335,409.73,408.291835959885,1751158,0.0,1.0
2024-09-18,398.0,405.99,396.89,401.07,399.662232808023,1163461,0.0,1.0
2024-09-17,396.5,400.12,395.45,397.88,396.483429799427,983252,0.0,1.0
2024-09-16,396.0,399.6,393.12,394.66,393.274732091691,940225,0.0,1.0
2024-09-13,389.99,395.2,386.42,394.68,393.294661891117,1126196,0.0,1.0
2024-09-12,386.64,389.055,383.095,387.0,385.641618911175,1068685,0.0,1.0
2024-09-11,386.67,388.86,378.66,388.59,387.226037965616,1160011,0.0,1.0
2024-09-10,388.52,389.46,381.68,387.3,385.940565902579,1041587,0.0,1.0
2024-09-09,384.14,392.0,383.48,387.23,385.870811604585,1215266,0.0,1.0
2024-09-06,384.84,389.0,381.315,381.56,380.220713467049,1670319,0.0,1.0
2024-09-05,392.0,395.0,382.83,383.69,382.343237106017,1397289,0.0,1.0
2024-09-04,386.54,398.58,386.1,391.95,390.574244269341,2345408,0.0,1.0
2024-09-03,384.86,388.38,379.96,385.69,384.336217048711,1929731,0.0,1.0
2024-08-30,382.2,385.8898,378.453,385.74,384.386041547278,1413160,0.0,1.0
2024-08-29,379.79,384.5,376.95,381.82,380.479800859599,1075066,0.0,1.0
2024-08-28,374.99,379.37,374.46,377.95,376.623384670487,1096819,0.0,1.0
2024-08-27,381.5,382.03,374.94,375.98,374.660299426934,1107170,0.0,1.0
2024-08-26,381.48,385.3,380.68,383.09,381.745343123209,1108515,0.0,1.0
2024-08-23,378.8,382.85,376.59,381.18,379.842047277937,1197519,0.0,1.0
2024-08-22,377.08,378.105,373.55,376.59,375.268158309455,1072734,0.0,1.0
2024-08-21,373.84,377.83,372.12,377.05,375.726543696275,1249228,0.0,1.0
2024-08-20,374.94,376.6,371.76,372.59,371.282198424069,932335,0.0,1.0
2024-08-19,378.99,381.01,371.81,372.91,371.6010752149,1676485,0.0,1.0
2024-08-16,372.14,378.525,371.16,377.92,376.593489971347,2103088,0.0,1.0
2024-08-15,359.2,378.4699,357.9006,373.26,371.949846704871,3184486,0.0,1.0
2024-08-14,350.0,355.8,348.35,351.28,350.04699713467,2040505,0.0,1.0
2024-08-13,347.82,352.43,346.0046,350.59,349.359419054441,1696675,0.0,1.0
2024-08-12,346.75,348.1623,343.9,345.01,343.799005014327,1581260,0.0,1.0
2024-08-09,348.63,348.91,343.38,346.03,344.8154247851,1335203,0.0,1.0
2024-08-08,346.88,350.85,346.4,349.14,347.914508595988,1557651,0.0,1.0
2024-08-07,350.0,354.04,345.86,345.98,344.765600286533,1384675,0.0,1.0
2024-08-06,347.49,349.5512,342.7,346.06,344.845319484241,1570942,0.0,1.0
2024-08-05,345.77,351.41,340.2001,344.84,343.629601719198,2509169,0.0,1.0
2024-08-02,356.16,360.385,351.09,353.75,352.508327363897,2820703,0.0,1.0
2024-08-01,366.37,371.21,356.02,357.91,356.653725644699,2991282,0.0,1.0
2024-07-31,373.22,376.78,370.99,371.98,370.674339541547,1659500,0.0,1.0
2024-07-30,365.97,375.0,364.18,371.77,370.465076647564,2267031,0.0,1.0
2024-07-29,385.17,386.54,371.0,376.77,375.447526504298,1491025,0.0,1.0
2024-07-26,385.27,389.99,384.07,386.55,385.193198424069,1380906,0.0,1.0
2024-07-25,368.17,386.26,368.17,381.69,380.350257163324,1241550,0.0,1.0
2024-07-24,370.41,375.675,367.93,369.39,368.093430515759,1256382,0.0,1.0
2024-07-23,376.34,378.29,370.76,371.52,370.215954154728,1336087,0.0,1.0
2024-07-22,379.13,380.65,372.28,379.25,377.918821633238,1071328,0.0,1.0
2024-07-19,383.24,384.14,377.18,378.06,376.732998567335,1152144,0.0,1.0
2024-07-18,382.8,390.34,380.53,380.64,379.30394269341,1736152,0.0,1.0
2024-07-17,378.03,387.53,377.6805,385.13,383.778182664756,1528188,0.0,1.0
2024-07-16,372.0,380.63,365.93,377.51,376.184929083095,1733075,0.0,1.0
2024-07-15,365.06,372.18,363.13,371.67,370.36542765043,1158559,0.0,1.0
2024-07-12,364.5,368.15,363.4701,365.33,364.047681232092,1035110,0.0,1.0
2024-07-11,352.9,362.77,352.5,361.6,360.330773638968,1765797,0.0,1.0
2024-07-10,349.3,352.5504,347.8,351.53,350.296119627507,1475988,0.0,1.0
2024-07-09,354.76,355.32,345.935,348.84,347.615561604584,2113342,0.0,1.0
2024-07-08,360.1,361.64,354.75,355.0,353.75393982808,1671607,0.0,1.0
2024-07-05,363.16,363.16,356.8,360.03,358.766284383954,1273682,0.0,1.0
2024-07-03,365.44,367.615,361.11,362.79,361.516596704871,668937,0.0,1.0
2024-07-02,359.53,365.46,359.2519,364.95,363.66901504298,1290228,0.0,1.0
2024-07-01,375.07,375.305,360.56,360.99,359.722914756447,1458106,0.0,1.0
2024-06-28,378.19,381.39,369.5,373.63,372.318547994269,6689701,1.47,1.0
2024-06-27,375.0,378.14,374.69,376.79,373.996016259026,1709352,0.0,1.0
2024-06-26,370.74,376.37,367.36,376.25,373.460020482122,2442533,0.0,1.0
2024-06-25,375.52,375.958,367.1428,369.47,366.730295727653,1648594,0.0,1.0
2024-06-24,376.76,382.9299,376.01,378.17,375.365783244449,1323116,0.0,1.0
2024-06-21,377.96,380.0,374.01,375.04,372.258992907946,2450701,0.0,1.0
2024-06-20,381.75,384.5,380.01,381.53,378.700868078522,1352587,0.0,1.0
2024-06-18,380.21,383.25,379.41,382.76,379.921747348138,1211963,0.0,1.0
2024-06-17,375.95,381.27,374.67,379.22,376.407997255097,1227920,0.0,1.0
2024-06-14,375.01,379.06,372.95,378.0,375.197043833201,1485224,0.0,1.0
2024-06-13,368.18,378.27,368.18,377.95,375.147414594599,1583920,0.0,1.0
2024-06-12,369.19,372.94,367.5766,370.09,367.345698286321,1055547,0.0,1.0
2024-06-11,366.68,367.44,363.78,365.13,362.422477816976,948533,0.0,1.0
2024-06-10,367.82,372.68,367.05,368.3,365.56897154436,1033868,0.0,1.0
2024-06-07,369.0,373.01,366.66,368.58,365.846895280532,1080006,0.0,1.0
2024-06-06,371.5,373.89,369.35,371.27,368.516948317335,1305412,0.0,1.0
2024-06-05,369.95,371.54,365.465,370.99,368.239024581162,1394990,0.0,1.0
2024-06-04,367.9,369.59,364.05,369.37,366.631037250448,1328880,0.0,1.0
2024-06-03,375.36,375.49,364.55,368.12,365.390306285392,1284438,0.0,1.0
2024-05-31,369.6,375.08,366.315,374.76,371.981069171774,2332147,0.0,1.0
2024-05-30,365.34,368.58,364.95,368.35,365.618600782962,1340879,0.0,1.0
2024-05-29,364.99,367.85,362.68,364.98,362.273590101169,1673457,0.0,1.0
2024-05-28,375.0,375.0,366.98,369.27,366.531778773244,1448430,0.0,1.0
2024-05-24,379.88,381.36,373.73,374.96,372.179586126183,1511751,0.0,1.0
2024-05-23,387.13,387.57,378.72,379.24,376.427848950538,1736784,0.0,1.0
2024-05-22,386.0,388.56,384.25,386.01,383.147647857286,1318814,0.0,1.0
2024-05-21,390.93,391.18,385.22,386.74,383.872234740879,1370850,0.0,1.0
2024-05-20,395.75,396.825,390.94,391.48,388.577086560375,1158468,0.0,1.0
2024-05-17,394.47,397.59,391.54,397.02,394.076006197507,1612076,0.0,1.0
2024-05-16,406.89,410.0,394.18,394.43,391.505211637909,3623785,0.0,1.0
2024-05-15,414.68,416.53,412.255,414.02,410.94994732228,1861222,0.0,1.0
2024-05-14,410.0,417.465,410.0,412.78,409.719142204944,1765968,0.0,1.0
2024-05-13,409.0,416.565,407.56,407.99,404.964661146846,1402804,0.0,1.0
2024-05-10,410.5,411.69,405.67,407.89,404.865402669641,1426791,0.0,1.0
2024-05-09,405.42,410.49,405.42,409.0,405.967171766612,995123,0.0,1.0
2024-05-08,404.22,406.9599,401.46,405.42,402.413718282689,640330,0.0,1.0
2024-05-07,403.66,406.57,402.74,405.57,402.562605998496,942025,0.0,1.0
2024-05-06,405.0,407.0,399.1944,401.84,398.860264798766,1042754,0.0,1.0
2024-05-03,399.64,401.34,394.85,400.96,397.986790199366,1626960,0.0,1.0
2024-05-02,388.62,398.37,385.71,395.96,393.023866339138,1790112,0.0,1.0
2024-05-01,388.955,391.23,383.77,387.5,384.626599167633,2018089,0.0,1.0
2024-04-30,397.78,398.38,390.1301,391.41,388.507605626331,1016677,0.0,1.0
2024-04-29,395.34,402.59,395.34,400.96,397.986790199366,847191,0.0,1.0
2024-04-26,392.62,395.95,391.1,393.33,390.413368388659,998338,0.0,1.0
2024-04-25,385.77,394.91,384.135,394.06,391.137955272252,1316947,0.0,1.0
2024-04-24,397.55,397.76,392.37,394.62,391.693802744597,986781,0.0,1.0
2024-04-23,400.87,405.62,396.72,397.21,394.264597304195,1278290,0.0,1.0
2024-04-22,398.85,402.89,392.18,399.61,396.646800757105,1005524,0.0,1.0
2024-04-19,400.97,402.9799,398.755,400.32,397.351535945257,1125406,0.0,1.0
2024-04-18,398.48,402.279,396.72,400.6,397.62945968143,1562949,0.0,1.0
2024-04-17,396.0,397.62,392.39,396.88,393.93704432942,1442287,0.0,1.0
2024-04-16,392.26,395.705,386.64,393.01,390.095741261604,1865373,0.0,1.0
2024-04-15,402.29,404.22,392.57,393.8,390.87988323152,1353286,0.0,1.0
2024-04-12,411.25,412.49,396.81,397.27,394.324152390518,1886049,0.0,1.0
2024-04-11,412.74,414.06,406.915,412.84,409.778697291267,1472958,0.0,1.0
2024-04-10,406.89,412.715,404.4001,411.97,408.915148539587,1407738,0.0,1.0
2024-04-09,413.48,413.9,409.46,411.48,408.428782001285,1114211,0.0,1.0
2024-04-08,413.0,414.8,409.65,410.75,407.704195117691,1268126,0.0,1.0
2024-04-05,408.65,413.15,406.01,412.54,409.480921859653,994194,0.0,1.0
2024-04-04,410.67,413.92,405.32,407.11,404.091186547446,1203416,0.0,1.0
2024-04-03,404.23,408.65,403.285,406.03,403.019194993637,1050775,0.0,1.0
2024-04-02,405.0,409.7,402.24,404.0,401.004247906384,1162827,0.0,1.0
2024-04-01,410.17,411.92,403.68,404.14,401.143209774471,1282027,0.0,1.0
2024-03-28,408.58,413.32,408.58,410.74,407.694269269971,1426777,0.0,1.0
2024-03-27,398.0,409.42,397.27,409.14,406.106133634698,1544016,1.47,1.0
2024-03-26,398.32,399.99,396.2488,398.52,394.148745466744,1053208,0.0,1.0
2024-03-25,398.8,401.625,397.035,398.03,393.664120139838,1106511,0.0,1.0
2024-03-22,398.47,400.715,397.835,398.86,394.485016101741,1514764,0.0,1.0
2024-03-21,393.88,399.35,392.0,397.64,393.278397940872,1412009,0.0,1.0
2024-03-20,390.77,395.285,390.59,394.05,389.727775647824,1763392,0.0,1.0
2024-03-19,385.53,392.33,385.51,391.51,387.215636198146,1490596,0.0,1.0
2024-03-18,383.0,387.39,381.49,385.31,381.083642265862,1145226,0.0,1.0
2024-03-15,378.0,383.9799,378.0,383.39,379.184702209413,3448456,0.0,1.0
