,EQIX_Open,EQIX_High,EQIX_Low,EQIX_Close,EQIX_Adj Close,EQIX_Volume,EQIX_Dividend Amount,EQIX_Split Coefficient
2024-08-14,831.75,843.27,828.805,841.49,837.130319367589,566505,0.0,1.0
2024-08-13,825.0,831.47,820.985,829.64,825.341713104287,429171,0.0,1.0
2024-08-12,815.0,820.0,803.28,819.09,814.846371663119,408979,0.0,1.0
2024-08-09,811.95,823.34,804.37,818.88,814.63745965339,365876,0.0,1.0
2024-08-08,775.74,812.75,772.0,809.48,805.286160170265,716659,0.0,1.0
2024-08-07,783.86,799.99,779.15,780.29,776.247390817878,695052,0.0,1.0
2024-08-06,767.52,791.28,763.49,784.61,780.54500930374,410363,0.0,1.0
2024-08-05,800.81,800.81,764.11,768.24,764.259820735786,675381,0.0,1.0
2024-08-02,810.72,814.95,798.675,806.65,802.470822134387,379114,0.0,1.0
2024-08-01,792.5,813.86,792.5,811.18,806.977352629979,622735,0.0,1.0
2024-07-31,778.27,799.53,770.55,790.24,786.145840802676,718732,0.0,1.0
2024-07-30,776.55,784.35,768.13,768.77,764.787074855579,665347,0.0,1.0
2024-07-29,771.55,783.13,768.07,776.55,772.526767406506,399141,0.0,1.0
2024-07-26,769.31,779.98,766.87,772.43,768.428112739434,541016,0.0,1.0
2024-07-25,797.3,801.74,767.27,769.31,765.324277166312,538024,0.0,1.0
2024-07-24,802.0,807.07,790.0,794.15,790.035583460018,353112,0.0,1.0
2024-07-23,806.3,812.87,800.27,802.97,798.809887868653,243110,0.0,1.0
2024-07-22,786.82,799.97,783.315,798.86,794.721181392521,266219,0.0,1.0
2024-07-19,796.01,800.0,783.31,786.82,782.743559501368,234266,0.0,1.0
2024-07-18,801.84,812.32,792.94,795.07,790.950817026452,339478,0.0,1.0
2024-07-17,810.0,819.41,799.17,803.14,798.979007114625,397151,0.0,1.0
2024-07-16,810.0,813.72,797.45,812.62,808.409892125266,261240,0.0,1.0
2024-07-15,806.62,809.595,795.34,804.66,800.491132137428,306569,0.0,1.0
2024-07-12,801.81,814.24,797.3,804.84,800.670199574339,466152,0.0,1.0
2024-07-11,785.51,803.22,784.5,797.8,793.666673152934,459384,0.0,1.0
2024-07-10,770.72,778.93,761.19,775.96,771.939824141076,325617,0.0,1.0
2024-07-09,759.09,769.765,751.55,766.83,762.857125813317,338941,0.0,1.0
2024-07-08,753.69,760.11,750.17,756.92,752.998468592277,292042,0.0,1.0
2024-07-05,750.37,755.1,746.73,754.49,750.58105819398,371423,0.0,1.0
2024-07-03,759.14,759.14,747.67,749.0,745.119501368197,236238,0.0,1.0
2024-07-02,761.56,767.15,753.2027,756.38,752.461266281545,372142,0.0,1.0
2024-07-01,756.34,762.14,751.05,759.68,755.744169291578,387756,0.0,1.0
2024-06-28,756.95,761.95,753.59,756.6,752.680126482213,1146810,0.0,1.0
2024-06-27,744.58,752.74,741.75,751.96,748.064165886288,380053,0.0,1.0
2024-06-26,737.01,746.4,735.98,741.87,738.026441228337,654917,0.0,1.0
2024-06-25,753.01,753.21,735.58,742.86,739.011312131347,662747,0.0,1.0
2024-06-24,767.36,769.93,751.59,752.2,748.302922468836,559017,0.0,1.0
2024-06-21,763.2,766.7,757.76,765.0,761.036606871389,985003,0.0,1.0
2024-06-20,773.0,774.805,762.34,763.6,759.64386013986,369624,0.0,1.0
2024-06-18,768.33,774.92,763.07,773.84,769.830807661903,385362,0.0,1.0
2024-06-17,765.06,769.6,760.0,762.38,758.430180845242,285272,0.0,1.0
2024-06-14,768.32,771.05,761.655,766.26,762.290078929766,275579,0.0,1.0
2024-06-13,763.02,774.51,762.145,766.6,762.628317421709,366086,0.0,1.0
2024-06-12,774.61,777.75,759.44,761.45,757.504999087869,447780,0.0,1.0
2024-06-11,759.78,766.0,756.26,760.28,756.341060747948,364725,0.0,1.0
2024-06-10,748.41,766.01,747.6501,762.53,758.579403709334,406699,0.0,1.0
2024-06-07,750.01,757.05,747.0,753.39,749.486757190635,378397,0.0,1.0
