,TDG_Open,TDG_High,TDG_Low,TDG_Close,TDG_Adj Close,TDG_Volume,TDG_Dividend Amount,TDG_Split Coefficient
2024-11-01,1307.81,1317.415,1300.0,1304.5,1304.5,215704,0.0,1.0
2024-10-31,1325.0,1330.24,1300.03,1302.3,1302.3,268507,0.0,1.0
2024-10-30,1328.95,1344.55,1328.0,1329.63,1329.63,219089,0.0,1.0
2024-10-29,1331.66,1342.0,1326.52,1336.17,1336.17,162821,0.0,1.0
2024-10-28,1363.78,1363.78,1337.43,1339.08,1339.08,169978,0.0,1.0
2024-10-25,1355.02,1363.335,1345.04,1354.83,1354.83,133470,0.0,1.0
2024-10-24,1361.12,1369.37,1343.13,1345.56,1345.56,120518,0.0,1.0
2024-10-23,1350.41,1367.205,1349.535,1357.59,1357.59,143242,0.0,1.0
2024-10-22,1378.83,1378.83,1337.25,1350.41,1350.41,206140,0.0,1.0
2024-10-21,1400.0,1406.07,1375.055,1386.86,1386.86,152846,0.0,1.0
2024-10-18,1410.28,1410.28,1390.06,1397.16,1397.16,133997,0.0,1.0
2024-10-17,1394.76,1414.745,1390.4,1401.96,1401.96,197262,0.0,1.0
2024-10-16,1393.02,1395.38,1373.32,1384.07,1384.07,193167,0.0,1.0
2024-10-15,1422.04,1422.04,1389.9,1390.52,1390.52,155966,0.0,1.0
2024-10-14,1415.92,1424.68,1408.9415,1411.63,1411.63,152705,0.0,1.0
2024-10-11,1372.42,1414.51,1372.42,1410.42,1410.42,192089,0.0,1.0
2024-10-10,1367.81,1375.7002,1362.88,1368.98,1368.98,106215,0.0,1.0
2024-10-09,1369.28,1388.235,1369.28,1386.96,1386.96,138127,0.0,1.0
2024-10-08,1369.15,1378.86,1364.0,1375.62,1375.62,94110,0.0,1.0
2024-10-07,1352.0,1368.48,1343.17,1356.55,1356.55,144695,0.0,1.0
2024-10-04,1356.0,1358.335,1336.13,1355.46,1355.46,187855,75.0,1.0
2024-10-03,1442.4,1442.4,1416.4705,1419.09,1344.68613690701,219334,0.0,1.0
2024-10-02,1434.95,1451.32,1426.325,1442.53,1366.89716161235,175906,0.0,1.0
2024-10-01,1430.0,1443.455,1418.65,1435.96,1360.67163122352,176156,0.0,1.0
2024-09-30,1398.32,1428.16,1396.16,1427.13,1352.30459418649,233284,0.0,1.0
2024-09-27,1403.79,1408.45,1395.0,1402.88,1329.32603833732,184603,0.0,1.0
2024-09-26,1430.72,1433.0,1398.685,1401.23,1327.76254897026,204046,0.0,1.0
2024-09-25,1427.44,1433.034,1418.045,1424.26,1349.58507025712,242987,0.0,1.0
2024-09-24,1417.04,1422.21,1399.391,1420.9,1346.4012373642,300419,0.0,1.0
2024-09-23,1408.64,1423.0199,1400.32,1417.98,1343.63433496917,223049,0.0,1.0
2024-09-20,1401.9,1419.99,1384.05,1408.03,1334.20602030116,339858,0.0,1.0
2024-09-19,1400.63,1400.63,1380.01,1389.85,1316.97921018414,159473,0.0,1.0
2024-09-18,1384.96,1396.13,1373.51,1373.7,1301.67596577325,130005,0.0,1.0
2024-09-17,1374.39,1382.0367,1363.51,1375.45,1303.33421207164,104267,0.0,1.0
2024-09-16,1381.24,1388.4075,1364.51,1372.92,1300.93686170882,142394,0.0,1.0
2024-09-13,1347.85,1376.15,1345.215,1367.76,1296.04740405184,149122,0.0,1.0
2024-09-12,1326.82,1348.03,1326.35,1348.03,1277.3518614991,133645,0.0,1.0
2024-09-11,1312.0,1328.03,1287.5459,1328.03,1258.40047523174,127404,0.0,1.0
2024-09-10,1310.4,1315.145,1295.51,1310.75,1242.02647749675,126168,0.0,1.0
2024-09-09,1310.64,1318.175,1296.18,1302.77,1234.46487437607,176613,0.0,1.0
2024-09-06,1330.62,1335.73,1293.29,1294.17,1226.31577828111,157071,0.0,1.0
2024-09-05,1348.0,1348.38,1316.985,1329.28,1259.58493687345,151861,0.0,1.0
2024-09-04,1333.77,1353.6,1333.77,1350.62,1279.80606602072,118908,0.0,1.0
2024-09-03,1368.6,1379.47,1327.355,1332.49,1262.62663436936,206746,0.0,1.0
2024-08-30,1366.68,1380.83,1356.76,1373.21,1301.2116568097,251827,0.0,1.0
2024-08-29,1340.0,1376.16,1335.9101,1364.37,1292.83514407953,256817,0.0,1.0
2024-08-28,1335.0,1337.48,1324.005,1333.06,1263.16674887798,168220,0.0,1.0
2024-08-27,1300.0,1333.18,1290.3372,1326.23,1256.69485046768,160057,0.0,1.0
2024-08-26,1326.6,1329.21,1300.51,1302.25,1233.97213833312,258416,0.0,1.0
2024-08-23,1308.03,1339.29,1305.97,1326.68,1257.1212566587,273198,0.0,1.0
2024-08-22,1316.74,1320.0,1302.45,1304.38,1235.9904609706,121728,0.0,1.0
2024-08-21,1315.0,1319.01,1306.73,1313.71,1244.83128266432,161546,0.0,1.0
2024-08-20,1309.85,1315.0,1297.28,1310.41,1241.7043039302,229893,0.0,1.0
2024-08-19,1280.08,1310.25,1278.51,1308.24,1239.6480785202,288695,0.0,1.0
2024-08-16,1275.0,1281.07,1266.88,1280.08,1212.96452665576,188182,0.0,1.0
2024-08-15,1267.29,1275.0,1253.99,1272.34,1205.63034017029,205043,0.0,1.0
2024-08-14,1245.36,1254.47,1237.56,1248.36,1182.90762803574,120211,0.0,1.0
2024-08-13,1239.99,1245.16,1222.24,1243.69,1178.48247934231,231304,0.0,1.0
2024-08-12,1243.88,1243.88,1224.36,1233.05,1168.40034184808,241077,0.0,1.0
2024-08-09,1231.51,1249.24,1221.04,1246.1,1180.76612138753,172042,0.0,1.0
2024-08-08,1215.09,1243.77,1214.85,1231.12,1166.57153307328,211264,0.0,1.0
2024-08-07,1250.92,1253.79,1201.72,1202.03,1139.00674174741,353592,0.0,1.0
