,CPLA_Open,CPLA_High,CPLA_Low,CPLA_Close,CPLA_Adj Close,CPLA_Volume,CPLA_Dividend Amount,CPLA_Split Coefficient
2018-08-01,104.0,104.0,104.0,104.0,104.0,0,0.0,1.0
2018-07-31,104.2,105.0,102.95,104.0,104.0,337623,0.0,1.0
2018-07-30,104.3,105.35,103.75,104.15,104.15,55065,0.0,1.0
2018-07-27,105.55,105.725,104.15,104.55,104.55,70365,0.0,1.0
2018-07-26,104.25,105.8,104.25,105.6,105.6,54552,0.0,1.0
2018-07-25,104.15,105.25,104.05,104.95,104.95,32607,0.0,1.0
2018-07-24,105.65,105.9,103.85,104.2,104.2,77196,0.0,1.0
2018-07-23,104.9,105.425,104.05,105.3,105.3,44843,0.0,1.0
2018-07-20,104.95,105.15,104.45,105.05,105.05,22914,0.0,1.0
2018-07-19,104.2,105.05,103.75,104.9,104.9,29599,0.0,1.0
2018-07-18,104.0,104.55,103.0,104.3,104.3,33225,0.0,1.0
2018-07-17,103.6,104.6,103.05,103.7,103.7,19783,0.0,1.0
2018-07-16,104.4,104.4,103.05,103.95,103.95,27795,0.0,1.0
2018-07-13,104.4,105.9,104.3,104.4,104.4,19589,0.0,1.0
2018-07-12,105.15,105.25,103.9,104.75,104.75,44227,0.0,1.0
2018-07-11,103.8,105.85,103.15,104.7,104.7,85130,0.0,1.0
2018-07-10,103.2,104.225,101.95,104.05,104.05,97579,0.0,1.0
2018-07-09,103.25,104.1,102.75,103.1,103.1,64136,0.0,1.0
2018-07-06,102.4,103.25,102.0,103.15,103.15,53538,0.0,1.0
2018-07-05,101.7,102.55,100.75,102.55,102.55,61211,0.0,1.0
2018-07-03,101.6,101.6,100.3,101.5,101.5,45142,0.0,1.0
2018-07-02,98.35,101.2,98.2,101.15,101.15,43559,0.0,1.0
2018-06-29,98.75,99.4,97.9,98.7,98.7,46873,0.0,1.0
2018-06-28,97.55,98.6,96.9,98.4,98.4,45272,0.0,1.0
2018-06-27,98.7,98.7,97.25,97.85,97.85,39344,0.0,1.0
2018-06-26,98.0,99.5,97.0,98.7,98.7,67906,0.0,1.0
2018-06-25,98.9,98.9,97.1,98.2,98.2,69688,0.0,1.0
2018-06-22,101.15,101.35,99.05,99.25,99.25,68050,0.0,1.0
2018-06-21,100.45,101.35,99.65,100.95,100.95,112635,0.0,1.0
2018-06-20,98.75,100.75,98.65,100.65,100.65,91857,0.0,1.0
2018-06-19,96.0,99.3,95.6,99.25,99.25,69565,0.0,1.0
2018-06-18,95.25,96.325,94.45,96.3,96.3,60534,0.0,1.0
2018-06-15,95.85,96.45,94.8,95.2,95.2,74420,0.0,1.0
2018-06-14,95.3,96.3,94.45,96.25,96.25,48506,0.0,1.0
2018-06-13,96.05,96.65,93.6,95.15,95.15,47636,0.0,1.0
2018-06-12,97.0,97.7,95.65,95.95,95.95,49796,0.0,1.0
2018-06-11,97.2,98.1,96.55,97.0,97.0,115054,0.0,1.0
2018-06-08,96.7,97.45,96.3,97.0,97.0,37460,0.0,1.0
2018-06-07,98.05,98.05,96.5,96.7,96.7,91041,0.0,1.0
2018-06-06,96.9,98.05,96.4,98.0,98.0,40995,0.0,1.0
2018-06-05,95.9,97.55,95.65,97.1,97.1,46995,0.0,1.0
2018-06-04,94.85,96.25,94.05,96.25,96.25,46291,0.0,1.0
2018-06-01,95.1,95.125,94.2,94.9,94.9,70383,0.0,1.0
2018-05-31,94.9,96.25,94.75,94.95,94.95,53023,0.0,1.0
2018-05-30,93.8,95.75,93.8,94.75,94.75,57785,0.0,1.0
2018-05-29,92.65,94.9,92.65,93.65,93.65,85511,0.0,1.0
2018-05-25,91.7,93.0,91.7,92.7,92.7,124960,0.0,1.0
2018-05-24,89.75,92.25,89.4,91.85,91.85,47368,0.0,1.0
2018-05-23,89.35,90.35,88.85,89.8,89.8,38349,0.43,1.0
2018-05-22,90.35,90.9,89.5,89.9,89.4715726476782,77991,0.0,1.0
2018-05-21,90.05,90.5,89.675,90.25,89.8199046880195,28170,0.0,1.0
2018-05-18,90.1,90.65,89.35,89.65,89.2227640474343,64862,0.0,1.0
2018-05-17,87.95,89.7,87.85,89.3,88.874432007093,84446,0.0,1.0
2018-05-16,87.9,89.2,87.9,88.2,87.7796741660202,49260,0.0,1.0
2018-05-15,89.9,91.75,87.8,87.85,87.4313421256788,67828,0.0,1.0
2018-05-14,90.15,91.15,89.9,90.2,89.7701429679707,52201,0.0,1.0
2018-05-11,90.25,90.65,89.5,90.2,89.7701429679707,32662,0.0,1.0
2018-05-10,89.5,90.45,89.05,90.1,89.6706195278732,21908,0.0,1.0
2018-05-09,89.95,91.5,88.85,89.4,88.9739554471905,30483,0.0,1.0
2018-05-08,91.0,91.25,89.25,90.0,89.5710960877757,27638,0.0,1.0
2018-05-07,92.2,92.2,91.05,91.35,90.9146625290923,28621,0.0,1.0
2018-05-04,93.2,93.2,91.25,92.15,91.7108500498725,26854,0.0,1.0
2018-05-03,96.65,98.2,92.9,93.15,92.7060844508478,88414,0.0,1.0
2018-05-02,94.7,97.85,92.75,96.3,95.84107281392,66329,0.0,1.0
2018-05-01,91.6,91.9,89.55,90.5,90.0687132882633,78489,0.0,1.0
2018-04-30,91.9,92.8,91.35,91.75,91.3127562894824,84257,0.0,1.0
2018-04-27,92.8,93.25,91.65,91.95,91.5118031696775,37646,0.0,1.0
2018-04-26,92.8,93.05,91.8,92.55,92.1089438102627,24649,0.0,1.0
2018-04-25,92.45,93.8,92.4,92.5,92.0591820902139,25918,0.0,1.0
2018-04-24,94.05,94.1,92.65,93.45,93.0046547711404,29465,0.0,1.0
2018-04-23,93.8,95.3,93.45,93.8,93.3529868114818,85284,0.0,1.0
2018-04-20,93.8,94.3,93.3,93.45,93.0046547711404,30934,0.0,1.0
2018-04-19,94.65,95.0,93.65,93.85,93.4027485315305,34103,0.0,1.0
2018-04-18,95.05,95.65,94.35,94.65,94.1989360523108,106148,0.0,1.0
2018-04-17,93.6,94.8,92.775,94.6,94.149174332262,54158,0.0,1.0
2018-04-16,91.75,93.75,91.4,93.3,92.8553696109941,54163,0.0,1.0
2018-04-13,90.8,91.8,90.4,91.55,91.1137094092874,30171,0.0,1.0
2018-04-12,89.95,91.0,89.8,90.6,90.1682367283609,47525,0.0,1.0
2018-04-11,89.6,90.55,89.4,89.9,89.4715726476782,17129,0.0,1.0
2018-04-10,89.3,90.05,88.7,89.6,89.1730023273856,155511,0.0,1.0
2018-04-09,88.95,90.05,87.7,88.5,88.0782444863128,61715,0.0,1.0
2018-04-06,88.9,89.85,88.05,88.45,88.028482766264,42058,0.0,1.0
2018-04-05,88.75,89.45,88.0,89.2,88.7749085669955,29718,0.0,1.0
2018-04-04,86.45,88.7,86.4,88.5,88.0782444863128,70900,0.0,1.0
2018-04-03,86.35,87.5,85.65,87.3,86.8839632051424,104436,0.0,1.0
2018-04-02,87.3,87.65,85.55,86.1,85.6896819239721,48953,0.0,1.0
2018-03-29,86.45,88.6,86.45,87.35,86.9337249251912,70856,0.0,1.0
2018-03-28,86.5,87.65,85.7,86.2,85.7892053640696,80250,0.0,1.0
2018-03-27,87.55,87.65,86.25,86.3,85.8887288041671,55827,0.0,1.0
2018-03-26,87.7,88.3,86.65,87.15,86.7346780449961,72860,0.0,1.0
2018-03-23,88.45,88.45,86.45,86.6,86.1872991244597,66016,0.0,1.0
2018-03-22,88.25,89.45,88.0,88.2,87.7796741660202,83692,0.0,1.0
2018-03-21,90.3,90.3,88.9,89.1,88.6753851268979,38037,0.0,1.0
2018-03-20,91.25,91.54,90.15,90.5,90.0687132882633,35802,0.0,1.0
2018-03-19,88.95,91.2,88.7,91.05,90.6160922087997,63985,0.0,1.0
2018-03-16,88.75,89.7,88.45,89.0,88.5758616868004,92592,0.0,1.0
2018-03-15,88.7,89.0,88.1,88.7,88.2772913665078,51911,0.0,1.0
2018-03-14,89.1,89.15,87.95,88.45,88.028482766264,35690,0.0,1.0
2018-03-13,88.5,89.7,88.2,88.4,87.9787210462152,37059,0.0,1.0
2018-03-12,89.05,89.05,88.15,88.45,88.028482766264,45174,0.0,1.0
2018-03-09,88.55,88.95,87.2,88.6,88.1777679264103,41759,0.0,1.0
2018-03-08,87.25,89.0,86.95,87.75,87.3318186855813,82928,0.0,1.0
2018-03-07,84.35,87.8,83.55,87.5,87.0830100853375,144463,0.43,1.0
2018-03-06,82.0,85.05,81.9,85.0,84.1812334499452,80390,0.0,1.0
2018-03-05,78.85,83.7,78.1,81.35,80.5663922488593,159152,0.0,1.0
2018-03-02,74.6,78.5,73.1,77.9,77.1496245382439,120028,0.0,1.0
2018-03-01,77.6,77.6,75.0,75.55,74.822261025216,59666,0.0,1.0
2018-02-28,79.0,79.4,77.65,77.7,76.9515510477735,37259,0.0,1.0
2018-02-27,79.25,79.95,78.5,78.75,77.9914368727434,29855,0.0,1.0
2018-02-26,80.45,80.55,78.75,79.55,78.7837308346252,33211,0.0,1.0
2018-02-23,79.95,80.8538,79.4,80.5,79.7245799143599,34950,0.0,1.0
2018-02-22,79.5,80.05,78.75,79.6,78.8332492072428,31894,0.0,1.0
2018-02-21,79.25,80.3,78.25,79.25,78.4866205989195,72493,0.0,1.0
2018-02-20,80.3,80.9,78.95,79.2,78.4371022263019,24414,0.0,1.0
2018-02-16,80.5,81.95,79.95,80.85,80.0712085226832,28978,0.0,1.0
2018-02-15,80.6,81.0,79.4,80.8,80.0216901500656,32804,0.0,1.0
