,SRCL_Open,SRCL_High,SRCL_Low,SRCL_Close,SRCL_Adj Close,SRCL_Volume,SRCL_Dividend Amount,SRCL_Split Coefficient
2024-10-01,60.96,61.03,60.9,60.94,60.94,1461512,0.0,1.0
2024-09-30,61.0,61.09,60.94,61.0,61.0,911644,0.0,1.0
2024-09-27,61.05,61.08,60.86,60.95,60.95,993196,0.0,1.0
2024-09-26,61.02,61.09,60.85,60.9,60.9,3159470,0.0,1.0
2024-09-25,61.11,61.2,61.0,61.05,61.05,7891650,0.0,1.0
2024-09-24,61.71,61.73,61.65,61.71,61.71,698027,0.0,1.0
2024-09-23,61.72,61.73,61.65,61.68,61.68,913188,0.0,1.0
2024-09-20,61.72,61.74,61.66,61.68,61.68,2277656,0.0,1.0
2024-09-19,61.72,61.75,61.695,61.7,61.7,798864,0.0,1.0
2024-09-18,61.7,61.73,61.68,61.7,61.7,1811549,0.0,1.0
2024-09-17,61.71,61.735,61.68,61.68,61.68,841276,0.0,1.0
2024-09-16,61.7,61.75,61.68,61.68,61.68,1209964,0.0,1.0
2024-09-13,61.7,61.75,61.68,61.71,61.71,2532240,0.0,1.0
2024-09-12,61.72,61.77,61.68,61.7,61.7,1487354,0.0,1.0
2024-09-11,61.7,61.71,61.67,61.67,61.67,1102675,0.0,1.0
2024-09-10,61.66,61.76,61.64,61.69,61.69,3288910,0.0,1.0
2024-09-09,61.66,61.68,61.61,61.62,61.62,2430054,0.0,1.0
2024-09-06,61.53,61.71,61.48,61.6,61.6,13788065,0.0,1.0
2024-09-05,59.3,59.3,58.875,58.9,58.9,556940,0.0,1.0
2024-09-04,59.01,59.35,58.97,59.3,59.3,847383,0.0,1.0
2024-09-03,59.05,59.17,58.95,59.05,59.05,607250,0.0,1.0
2024-08-30,59.07,59.29,58.9175,59.26,59.26,1059211,0.0,1.0
2024-08-29,58.8,59.14,58.55,59.01,59.01,2084073,0.0,1.0
2024-08-28,58.74,58.95,58.66,58.91,58.91,642066,0.0,1.0
2024-08-27,58.74,58.77,58.585,58.67,58.67,1167942,0.0,1.0
2024-08-26,58.86,58.9,58.61,58.68,58.68,793501,0.0,1.0
2024-08-23,58.89,58.95,58.725,58.86,58.86,765065,0.0,1.0
2024-08-22,58.8,58.87,58.59,58.74,58.74,1118976,0.0,1.0
2024-08-21,58.81,58.83,58.5,58.82,58.82,1325021,0.0,1.0
2024-08-20,58.85,58.9,58.725,58.77,58.77,780645,0.0,1.0
2024-08-19,58.81,58.91,58.735,58.89,58.89,984223,0.0,1.0
2024-08-16,58.95,58.95,58.725,58.81,58.81,489180,0.0,1.0
2024-08-15,58.8,59.02,58.75,58.81,58.81,639591,0.0,1.0
2024-08-14,58.79,58.91,58.73,58.77,58.77,553994,0.0,1.0
2024-08-13,58.65,58.82,58.65,58.76,58.76,737537,0.0,1.0
2024-08-12,58.72,58.76,58.65,58.65,58.65,670449,0.0,1.0
2024-08-09,58.41,58.81,58.35,58.75,58.75,1034249,0.0,1.0
2024-08-08,58.26,58.55,58.21,58.37,58.37,779003,0.0,1.0
2024-08-07,58.52,58.68,58.01,58.21,58.21,1101426,0.0,1.0
2024-08-06,58.64,58.8,58.21,58.31,58.31,1649005,0.0,1.0
2024-08-05,58.25,58.74,58.0,58.54,58.54,1782082,0.0,1.0
2024-08-02,58.53,58.81,58.335,58.79,58.79,1233923,0.0,1.0
2024-08-01,58.59,58.67,58.5,58.53,58.53,1216509,0.0,1.0
2024-07-31,58.57,58.7,58.5,58.55,58.55,1219177,0.0,1.0
2024-07-30,58.52,58.93,58.47,58.57,58.57,819158,0.0,1.0
2024-07-29,58.51,58.69,58.47,58.56,58.56,860344,0.0,1.0
2024-07-26,58.59,58.62,58.4,58.5,58.5,1480011,0.0,1.0
2024-07-25,58.4,58.77,58.31,58.4,58.4,1196856,0.0,1.0
2024-07-24,58.65,58.65,58.41,58.5,58.5,1164067,0.0,1.0
2024-07-23,58.75,58.8,58.545,58.65,58.65,813267,0.0,1.0
2024-07-22,58.6,58.7,58.42,58.66,58.66,913116,0.0,1.0
2024-07-19,58.28,58.54,58.27,58.52,58.52,957993,0.0,1.0
2024-07-18,58.24,58.5,58.09,58.35,58.35,1289045,0.0,1.0
2024-07-17,58.05,58.275,57.95,58.09,58.09,1038279,0.0,1.0
2024-07-16,58.5,58.5,58.0,58.13,58.13,1241698,0.0,1.0
2024-07-15,58.32,58.32,58.11,58.15,58.15,1036434,0.0,1.0
2024-07-12,58.45,58.48,58.21,58.27,58.27,1452012,0.0,1.0
2024-07-11,58.52,58.77,58.26,58.3,58.3,1459551,0.0,1.0
2024-07-10,58.21,58.62,58.21,58.52,58.52,1024274,0.0,1.0
2024-07-09,58.5,58.5,58.12,58.25,58.25,960393,0.0,1.0
2024-07-08,58.32,58.6,58.265,58.47,58.47,551535,0.0,1.0
2024-07-05,58.25,58.51,58.15,58.37,58.37,579137,0.0,1.0
2024-07-03,58.03,58.43,57.9,58.41,58.41,1075374,0.0,1.0
