,ANIP_Open,ANIP_High,ANIP_Low,ANIP_Close,ANIP_Adj Close,ANIP_Volume,ANIP_Dividend Amount,ANIP_Split Coefficient
2024-10-07,57.7,57.77,55.67,55.84,55.84,220783,0.0,1.0
2024-10-04,57.61,58.3,57.44,57.83,57.83,74438,0.0,1.0
2024-10-03,57.27,57.69,56.62,56.79,56.79,115661,0.0,1.0
2024-10-02,59.41,59.68,57.05,57.5,57.5,197686,0.0,1.0
2024-10-01,59.68,59.68,58.56,59.48,59.48,217482,0.0,1.0
2024-09-30,58.7,60.19,58.7,59.66,59.66,263182,0.0,1.0
2024-09-27,58.58,59.08,58.0,58.78,58.78,184636,0.0,1.0
2024-09-26,58.01,58.58,57.435,58.3,58.3,165215,0.0,1.0
2024-09-25,58.55,58.83,57.1,57.28,57.28,297546,0.0,1.0
2024-09-24,60.11,60.92,58.51,58.52,58.52,150354,0.0,1.0
2024-09-23,59.45,60.54,59.45,60.08,60.08,477573,0.0,1.0
2024-09-20,60.46,61.17,59.3,59.66,59.66,1287178,0.0,1.0
2024-09-19,62.06,62.11,60.09,60.38,60.38,224984,0.0,1.0
2024-09-18,60.46,62.89,60.35,61.05,61.05,364546,0.0,1.0
2024-09-17,57.05,61.73,57.0,60.06,60.06,552113,0.0,1.0
2024-09-16,58.67,59.06,55.92,56.2,56.2,374238,0.0,1.0
2024-09-13,56.82,58.78,56.275,58.51,58.51,662735,0.0,1.0
2024-09-12,54.5,56.22,54.42,56.15,56.15,532569,0.0,1.0
2024-09-11,53.51,55.56,52.53,54.32,54.32,657248,0.0,1.0
2024-09-10,58.58,58.805,54.54,55.48,55.48,616597,0.0,1.0
2024-09-09,60.23,60.3,57.83,58.48,58.48,529404,0.0,1.0
2024-09-06,60.8,61.645,60.06,60.51,60.51,409932,0.0,1.0
2024-09-05,63.1,63.715,60.505,60.76,60.76,405672,0.0,1.0
2024-09-04,62.96,63.415,62.26,62.94,62.94,334606,0.0,1.0
2024-09-03,63.43,63.6,61.82,63.03,63.03,487010,0.0,1.0
2024-08-30,62.82,64.21,62.35,63.75,63.75,365554,0.0,1.0
2024-08-29,63.35,63.51,62.025,62.45,62.45,509715,0.0,1.0
2024-08-28,63.38,63.78,61.9,62.72,62.72,519810,0.0,1.0
2024-08-27,63.38,63.605,61.91,63.25,63.25,367137,0.0,1.0
2024-08-26,62.35,63.535,61.3375,63.29,63.29,391149,0.0,1.0
2024-08-23,61.01,61.995,60.34,61.68,61.68,102520,0.0,1.0
2024-08-22,61.07,61.195,59.7,60.52,60.52,152882,0.0,1.0
2024-08-21,61.5,61.5,60.3,61.35,61.35,224770,0.0,1.0
2024-08-20,61.07,61.48,59.89,61.19,61.19,213971,0.0,1.0
2024-08-19,60.17,61.575,59.5601,61.23,61.23,230175,0.0,1.0
2024-08-16,60.88,61.19,59.64,60.02,60.02,175898,0.0,1.0
2024-08-15,60.14,61.19,58.84,61.1,61.1,184141,0.0,1.0
2024-08-14,59.23,59.82,58.21,59.2,59.2,312253,0.0,1.0
2024-08-13,59.62,59.84,58.82,58.95,58.95,122014,0.0,1.0
2024-08-12,57.9,59.7,57.175,59.68,59.68,574209,0.0,1.0
2024-08-09,56.43,58.99,56.08,57.9,57.9,743289,0.0,1.0
2024-08-08,56.95,57.45,56.17,56.43,56.43,2134050,0.0,1.0
2024-08-07,53.51,58.6,52.77,57.01,57.01,1630201,0.0,1.0
2024-08-06,60.8,65.69,59.9,63.29,63.29,286705,0.0,1.0
2024-08-05,59.27,60.13,58.1784,59.16,59.16,182352,0.0,1.0
2024-08-02,62.52,62.78,60.61,61.01,61.01,145357,0.0,1.0
2024-08-01,65.86,65.875,63.365,63.85,63.85,123731,0.0,1.0
2024-07-31,64.52,66.51,64.41,65.72,65.72,194700,0.0,1.0
2024-07-30,64.09,64.74,63.44,64.38,64.38,233437,0.0,1.0
2024-07-29,63.45,64.02,62.715,63.53,63.53,109742,0.0,1.0
2024-07-26,62.64,63.39,61.715,63.25,63.25,179333,0.0,1.0
2024-07-25,63.58,63.58,61.495,62.03,62.03,138244,0.0,1.0
2024-07-24,64.31,64.7,63.07,63.26,63.26,144265,0.0,1.0
2024-07-23,62.1,65.105,62.0,64.73,64.73,292466,0.0,1.0
2024-07-22,62.5,62.5,61.06,62.07,62.07,120165,0.0,1.0
2024-07-19,61.49,62.395,61.17,62.19,62.19,131574,0.0,1.0
2024-07-18,62.92,64.0079,61.02,61.35,61.35,125256,0.0,1.0
2024-07-17,63.8,64.2,62.33,62.98,62.98,191136,0.0,1.0
2024-07-16,63.69,64.936,63.25,64.23,64.23,304074,0.0,1.0
2024-07-15,63.17,64.35,62.47,63.22,63.22,151890,0.0,1.0
2024-07-12,64.91,65.245,63.38,63.5,63.5,153501,0.0,1.0
2024-07-11,63.28,64.43,63.21,64.25,64.25,106250,0.0,1.0
2024-07-10,61.74,62.66,61.58,62.38,62.38,73287,0.0,1.0
2024-07-09,62.55,62.7,61.26,61.34,61.34,111179,0.0,1.0
2024-07-08,61.69,62.45,61.29,62.36,62.36,106766,0.0,1.0
2024-07-05,60.96,61.57,60.56,61.44,61.44,129342,0.0,1.0
2024-07-03,62.38,62.41,60.64,60.82,60.82,81887,0.0,1.0
2024-07-02,63.03,63.6,62.41,62.64,62.64,104907,0.0,1.0
2024-07-01,63.5,64.16,62.8,63.44,63.44,150901,0.0,1.0
2024-06-28,63.51,64.69,62.86,63.68,63.68,675471,0.0,1.0
2024-06-27,65.73,65.9,62.6,63.09,63.09,158882,0.0,1.0
2024-06-26,65.29,65.79,63.24,65.49,65.49,224006,0.0,1.0
2024-06-25,62.83,64.95,62.83,64.19,64.19,235626,0.0,1.0
2024-06-24,58.94,62.95,58.7594,62.82,62.82,236464,0.0,1.0
2024-06-21,59.48,59.865,58.43,58.53,58.53,325423,0.0,1.0
2024-06-20,60.19,60.73,59.3,59.39,59.39,169017,0.0,1.0
2024-06-18,61.82,62.355,60.326,60.74,60.74,156853,0.0,1.0
2024-06-17,62.55,62.67,60.69,61.78,61.78,108943,0.0,1.0
2024-06-14,62.73,63.12,62.05,62.62,62.62,91792,0.0,1.0
2024-06-13,63.8,64.58,62.57,63.24,63.24,135728,0.0,1.0
2024-06-12,65.74,66.51,63.43,64.21,64.21,133779,0.0,1.0
2024-06-11,64.6,65.17,63.49,64.93,64.93,143506,0.0,1.0
2024-06-10,65.68,65.795,64.18,64.98,64.98,196637,0.0,1.0
2024-06-07,68.56,68.68,66.52,66.74,66.74,303940,0.0,1.0
2024-06-06,66.61,69.09,66.61,68.82,68.82,222941,0.0,1.0
2024-06-05,64.91,67.2666,64.36,67.0,67.0,196440,0.0,1.0
2024-06-04,63.1,64.89,62.27,64.76,64.76,128398,0.0,1.0
2024-06-03,64.91,65.49,63.29,63.44,63.44,202161,0.0,1.0
2024-05-31,63.62,64.96,63.105,64.9,64.9,175113,0.0,1.0
2024-05-30,63.46,64.11,62.785,63.46,63.46,70225,0.0,1.0
2024-05-29,62.58,63.7,61.74,63.08,63.08,154145,0.0,1.0
2024-05-28,61.72,63.5,61.665,63.23,63.23,158208,0.0,1.0
2024-05-24,60.18,61.89,60.0325,61.32,61.32,94234,0.0,1.0
2024-05-23,61.61,61.78,59.44,60.36,60.36,116085,0.0,1.0
2024-05-22,61.6,62.7,61.37,61.66,61.66,98614,0.0,1.0
2024-05-21,61.61,62.4611,61.14,61.71,61.71,89231,0.0,1.0
2024-05-20,61.5,62.48,61.32,61.73,61.73,140902,0.0,1.0
2024-05-17,63.86,64.51,61.275,61.43,61.43,153427,0.0,1.0
2024-05-16,64.9,64.9,63.23,63.77,63.77,132119,0.0,1.0
2024-05-15,66.13,66.57,64.6,64.82,64.82,150915,0.0,1.0
2024-05-14,67.5,67.97,65.43,66.03,66.03,155491,0.0,1.0
2024-05-13,67.69,69.5985,67.24,67.34,67.34,140177,0.0,1.0
2024-05-10,70.0,70.0,64.05,68.05,68.05,305694,0.0,1.0
2024-05-09,65.94,66.705,65.5,65.88,65.88,187936,0.0,1.0
2024-05-08,66.61,67.3799,65.28,65.62,65.62,161262,0.0,1.0
2024-05-07,67.42,67.7399,66.7,66.72,66.72,149589,0.0,1.0
2024-05-06,67.39,67.9,67.03,67.36,67.36,116785,0.0,1.0
2024-05-03,67.72,67.93,66.6467,67.25,67.25,108735,0.0,1.0
2024-05-02,66.96,67.87,66.78,67.11,67.11,126678,0.0,1.0
2024-05-01,65.91,67.3,65.68,66.52,66.52,124844,0.0,1.0
2024-04-30,65.48,66.5,64.9201,66.0,66.0,114040,0.0,1.0
2024-04-29,65.34,65.75,65.01,65.5,65.5,75520,0.0,1.0
2024-04-26,64.83,65.6,64.6796,65.36,65.36,67172,0.0,1.0
2024-04-25,65.05,65.28,64.29,64.95,64.95,82931,0.0,1.0
2024-04-24,66.03,66.19,65.15,65.43,65.43,83439,0.0,1.0
2024-04-23,65.9,66.9,65.51,66.14,66.14,85940,0.0,1.0
2024-04-22,65.98,66.37,65.18,65.62,65.62,95322,0.0,1.0
2024-04-19,64.2,65.78,64.2,65.48,65.48,207268,0.0,1.0
2024-04-18,65.3,65.975,64.43,64.58,64.58,184179,0.0,1.0
2024-04-17,65.56,66.06,65.02,65.48,65.48,123206,0.0,1.0
2024-04-16,66.1,66.58,65.52,65.56,65.56,99004,0.0,1.0
2024-04-15,66.83,67.305,65.65,66.3,66.3,111916,0.0,1.0
2024-04-12,67.79,68.17,66.41,66.88,66.88,94984,0.0,1.0
2024-04-11,67.42,68.12,66.64,68.11,68.11,136646,0.0,1.0
2024-04-10,66.1,67.1,65.52,66.96,66.96,171036,0.0,1.0
2024-04-09,67.37,67.6,66.75,67.05,67.05,152771,0.0,1.0
