,ANIP_Open,ANIP_High,ANIP_Low,ANIP_Close,ANIP_Adj Close,ANIP_Volume,ANIP_Dividend Amount,ANIP_Split Coefficient
2024-04-08,68.39,68.39,67.1481,67.59,67.59,117667,0.0,1.0
2024-04-05,68.0,68.4,67.31,67.65,67.65,203157,0.0,1.0
2024-04-04,67.68,68.32,66.94,67.94,67.94,160079,0.0,1.0
2024-04-03,66.59,67.35,66.47,67.24,67.24,177336,0.0,1.0
2024-04-02,67.48,67.48,66.47,66.72,66.72,173569,0.0,1.0
2024-04-01,69.02,69.02,66.5,67.87,67.87,203941,0.0,1.0
2024-03-28,69.69,70.0499,69.0,69.13,69.13,252152,0.0,1.0
2024-03-27,69.85,70.31,69.49,69.69,69.69,110842,0.0,1.0
2024-03-26,69.63,70.21,69.1,69.55,69.55,90403,0.0,1.0
2024-03-25,70.81,70.81,69.0,69.6,69.6,117924,0.0,1.0
2024-03-22,69.93,70.463,69.36,69.58,69.58,145907,0.0,1.0
2024-03-21,68.58,69.46,68.33,69.32,69.32,188258,0.0,1.0
2024-03-20,67.58,68.93,67.58,68.16,68.16,112689,0.0,1.0
2024-03-19,67.15,68.67,67.14,67.87,67.87,212224,0.0,1.0
2024-03-18,66.04,67.89,65.82,67.62,67.62,208964,0.0,1.0
2024-03-15,65.89,67.3439,65.5,66.0,66.0,332076,0.0,1.0
2024-03-14,65.92,66.79,65.5,66.05,66.05,107392,0.0,1.0
2024-03-13,66.54,67.983,65.68,66.23,66.23,178674,0.0,1.0
2024-03-12,65.75,67.35,65.5,66.54,66.54,228187,0.0,1.0
2024-03-11,66.21,66.76,65.08,66.13,66.13,268282,0.0,1.0
2024-03-08,67.18,67.91,66.42,67.42,67.42,176929,0.0,1.0
2024-03-07,66.57,67.13,65.53,66.71,66.71,195287,0.0,1.0
2024-03-06,66.04,66.2485,64.71,65.81,65.81,160798,0.0,1.0
2024-03-05,66.59,66.78,64.45,65.34,65.34,132286,0.0,1.0
2024-03-04,67.0,67.75,64.98,66.42,66.42,215407,0.0,1.0
2024-03-01,68.24,69.21,65.79,67.17,67.17,226828,0.0,1.0
2024-02-29,64.5,70.5,63.67,67.67,67.67,804667,0.0,1.0
2024-02-28,59.61,60.82,58.96,60.28,60.28,114859,0.0,1.0
2024-02-27,60.13,60.81,59.56,59.94,59.94,102163,0.0,1.0
2024-02-26,59.13,61.48,59.128,60.25,60.25,143998,0.0,1.0
2024-02-23,58.1,59.25,57.58,59.13,59.13,73664,0.0,1.0
2024-02-22,57.39,58.585,57.05,58.15,58.15,78038,0.0,1.0
2024-02-21,58.42,58.42,57.29,57.63,57.63,76114,0.0,1.0
2024-02-20,59.63,60.32,57.97,58.37,58.37,92186,0.0,1.0
2024-02-16,57.98,59.72,57.63,59.72,59.72,79762,0.0,1.0
2024-02-15,56.32,57.57,56.32,57.55,57.55,84970,0.0,1.0
2024-02-14,55.43,56.69,55.4039,56.1,56.1,59742,0.0,1.0
2024-02-13,56.04,57.2,54.62,55.02,55.02,80196,0.0,1.0
2024-02-12,56.36,57.26,56.11,57.03,57.03,63037,0.0,1.0
2024-02-09,56.11,56.51,55.425,56.51,56.51,59465,0.0,1.0
2024-02-08,55.99,56.54,55.23,55.91,55.91,54090,0.0,1.0
2024-02-07,56.68,56.7,55.89,56.03,56.03,47902,0.0,1.0
2024-02-06,55.7,57.25,55.47,56.87,56.87,60272,0.0,1.0
2024-02-05,55.08,56.33,55.02,56.04,56.04,105515,0.0,1.0
2024-02-02,55.79,55.87,54.8401,55.42,55.42,83659,0.0,1.0
2024-02-01,55.67,56.51,54.39,56.51,56.51,123768,0.0,1.0
2024-01-31,54.53,56.82,54.5,55.82,55.82,90217,0.0,1.0
2024-01-30,54.95,54.95,53.7,54.2,54.2,114123,0.0,1.0
2024-01-29,54.39,55.179,53.69,55.02,55.02,96062,0.0,1.0
2024-01-26,54.85,54.88,53.99,54.64,54.64,74690,0.0,1.0
2024-01-25,55.87,56.5301,53.9,54.3,54.3,90281,0.0,1.0
2024-01-24,56.85,56.85,55.18,55.2,55.2,81921,0.0,1.0
2024-01-23,56.21,57.15,55.73,56.62,56.62,104792,0.0,1.0
2024-01-22,55.73,56.255,55.55,56.17,56.17,79075,0.0,1.0
2024-01-19,55.79,55.92,55.0225,55.41,55.41,67380,0.0,1.0
2024-01-18,55.3,55.85,54.7,55.59,55.59,81651,0.0,1.0
2024-01-17,54.75,55.61,54.59,55.6,55.6,111667,0.0,1.0
2024-01-16,56.71,56.71,53.4746,55.41,55.41,86001,0.0,1.0
2024-01-12,56.43,57.23,55.81,56.74,56.74,68883,0.0,1.0
2024-01-11,56.13,56.895,54.99,55.79,55.79,101396,0.0,1.0
2024-01-10,55.77,56.8945,55.21,56.6,56.6,100023,0.0,1.0
2024-01-09,56.56,56.81,55.38,55.77,55.77,142669,0.0,1.0
2024-01-08,56.5,56.91,56.0,56.82,56.82,81907,0.0,1.0
2024-01-05,55.59,57.44,55.1598,56.77,56.77,142966,0.0,1.0
2024-01-04,56.39,56.99,55.52,56.13,56.13,159595,0.0,1.0
2024-01-03,56.7,57.34,55.01,56.18,56.18,221228,0.0,1.0
2024-01-02,54.81,57.25,54.35,57.19,57.19,163083,0.0,1.0
2023-12-29,54.69,55.517,54.2832,55.14,55.14,238217,0.0,1.0
2023-12-28,55.2,55.52,54.665,54.82,54.82,54019,0.0,1.0
2023-12-27,55.37,55.59,54.54,55.12,55.12,106443,0.0,1.0
2023-12-26,53.95,55.39,53.45,55.31,55.31,111079,0.0,1.0
2023-12-22,53.12,53.76,52.0,53.43,53.43,201788,0.0,1.0
2023-12-21,52.86,53.5,52.47,53.13,53.13,104454,0.0,1.0
2023-12-20,52.52,52.7825,52.09,52.33,52.33,198829,0.0,1.0
2023-12-19,52.79,53.5,52.4201,52.74,52.74,238403,0.0,1.0
2023-12-18,52.88,53.31,51.88,52.45,52.45,150380,0.0,1.0
2023-12-15,52.9,53.2,51.79,52.91,52.91,577023,0.0,1.0
2023-12-14,53.12,53.99,51.95,52.9,52.9,209167,0.0,1.0
2023-12-13,51.89,52.695,51.24,52.59,52.59,233431,0.0,1.0
2023-12-12,50.27,51.65,49.28,51.6,51.6,126393,0.0,1.0
2023-12-11,49.21,50.65,48.56,50.3,50.3,134708,0.0,1.0
2023-12-08,48.47,49.125,48.2,48.94,48.94,205168,0.0,1.0
2023-12-07,48.84,49.4,48.42,48.73,48.73,129623,0.0,1.0
2023-12-06,50.18,50.51,48.39,48.72,48.72,133033,0.0,1.0
2023-12-05,50.11,50.26,49.08,49.96,49.96,153786,0.0,1.0
2023-12-04,50.41,51.5,49.9,50.07,50.07,188455,0.0,1.0
2023-12-01,49.61,51.09,49.61,50.57,50.57,160791,0.0,1.0
2023-11-30,49.48,50.38,49.25,49.81,49.81,208773,0.0,1.0
2023-11-29,50.53,51.2225,49.2,49.265,49.265,79957,0.0,1.0
2023-11-28,51.07,51.495,49.72,50.32,50.32,142418,0.0,1.0
2023-11-27,51.66,52.27,51.09,51.09,51.09,232631,0.0,1.0
2023-11-24,51.66,52.405,51.455,51.85,51.85,79469,0.0,1.0
2023-11-22,52.3,53.5,51.01,51.71,51.71,140884,0.0,1.0
2023-11-21,51.32,52.14,50.77,51.81,51.81,131007,0.0,1.0
2023-11-20,51.36,52.215,51.0,51.3,51.3,212002,0.0,1.0
2023-11-17,51.43,52.02,50.57,51.39,51.39,167173,0.0,1.0
2023-11-16,52.17,52.72,51.13,51.25,51.25,97653,0.0,1.0
2023-11-15,52.96,54.29,52.25,52.3,52.3,154400,0.0,1.0
2023-11-14,52.73,54.09,51.77,53.22,53.22,277570,0.0,1.0
2023-11-13,52.03,52.74,51.3,51.65,51.65,182092,0.0,1.0
2023-11-10,52.28,53.395,51.09,52.16,52.16,237270,0.0,1.0
2023-11-09,54.97,55.1,51.33,52.25,52.25,269838,0.0,1.0
2023-11-08,60.99,60.99,52.08,54.32,54.32,962159,0.0,1.0
2023-11-07,62.95,64.25,62.875,63.64,63.64,133547,0.0,1.0
2023-11-06,65.82,65.82,62.74,62.95,62.95,129814,0.0,1.0
2023-11-03,63.33,65.5,62.805,65.43,65.43,201613,0.0,1.0
2023-11-02,62.06,63.15,61.54,62.56,62.56,126844,0.0,1.0
2023-11-01,61.51,62.505,60.95,61.66,61.66,109761,0.0,1.0
2023-10-31,60.43,62.115,59.9,61.74,61.74,108559,0.0,1.0
2023-10-30,59.52,60.5,58.73,60.5,60.5,83637,0.0,1.0
2023-10-27,60.28,60.28,58.4,58.88,58.88,177513,0.0,1.0
2023-10-26,58.99,61.59,58.99,60.48,60.48,278681,0.0,1.0
2023-10-25,57.74,59.12,57.55,58.99,58.99,95506,0.0,1.0
2023-10-24,57.03,58.32,56.53,58.08,58.08,75878,0.0,1.0
2023-10-23,57.11,57.89,56.61,56.86,56.86,127855,0.0,1.0
2023-10-20,57.64,58.82,57.2,57.44,57.44,100881,0.0,1.0
2023-10-19,57.21,59.0,56.495,57.31,57.31,170599,0.0,1.0
2023-10-18,57.78,58.52,57.0439,57.39,57.39,115357,0.0,1.0
2023-10-17,58.39,59.59,58.03,58.36,58.36,144060,0.0,1.0
2023-10-16,57.75,58.98,57.75,58.58,58.58,145895,0.0,1.0
2023-10-13,58.0,58.93,57.195,57.66,57.66,193350,0.0,1.0
2023-10-12,59.88,60.67,57.29,57.94,57.94,154091,0.0,1.0
2023-10-11,59.12,60.26,58.825,60.23,60.23,115747,0.0,1.0
2023-10-10,58.0,59.14,58.0,59.14,59.14,205391,0.0,1.0
2023-10-09,58.34,59.5,58.0,58.07,58.07,94401,0.0,1.0
2023-10-06,58.51,59.49,57.675,58.39,58.39,104356,0.0,1.0
2023-10-05,57.57,59.01,57.57,58.63,58.63,103083,0.0,1.0
2023-10-04,56.4,58.14,56.28,57.49,57.49,92465,0.0,1.0
2023-10-03,56.57,56.97,55.5501,56.5,56.5,81000,0.0,1.0
2023-10-02,57.66,57.66,55.9,56.87,56.87,230405,0.0,1.0
2023-09-29,59.06,59.28,57.95,58.06,58.06,149379,0.0,1.0
2023-09-28,60.1,60.67,58.74,58.89,58.89,103933,0.0,1.0
2023-09-27,58.72,60.6,58.72,60.23,60.23,93412,0.0,1.0
2023-09-26,58.05,58.87,57.6,58.59,58.59,95659,0.0,1.0
2023-09-25,58.71,58.91,57.54,58.19,58.19,98513,0.0,1.0
2023-09-22,59.4,59.76,58.35,58.52,58.52,106568,0.0,1.0
2023-09-21,60.46,60.53,58.92,59.33,59.33,151342,0.0,1.0
2023-09-20,61.42,61.7025,60.44,60.53,60.53,82912,0.0,1.0
2023-09-19,61.69,62.252,60.5504,61.08,61.08,129767,0.0,1.0
2023-09-18,62.23,62.99,61.23,61.43,61.43,118649,0.0,1.0
2023-09-15,63.5,64.21,61.98,62.39,62.39,778146,0.0,1.0
2023-09-14,62.88,65.18,62.88,63.61,63.61,188300,0.0,1.0
2023-09-13,61.97,63.33,61.91,62.82,62.82,138479,0.0,1.0
2023-09-12,62.93,63.58,61.45,61.91,61.91,137561,0.0,1.0
2023-09-11,62.06,62.535,61.56,62.14,62.14,126454,0.0,1.0
2023-09-08,62.86,63.73,61.8,61.94,61.94,122247,0.0,1.0
2023-09-07,62.04,62.87,61.32,62.69,62.69,203838,0.0,1.0
2023-09-06,63.0,63.74,61.38,61.89,61.89,107642,0.0,1.0
2023-09-05,64.57,64.84,62.53,62.82,62.82,173922,0.0,1.0
2023-09-01,64.5,65.89,64.1,64.58,64.58,190063,0.0,1.0
2023-08-31,64.56,64.81,63.5,64.39,64.39,246571,0.0,1.0
2023-08-30,63.5,64.73,63.08,64.61,64.61,244248,0.0,1.0
2023-08-29,62.72,63.92,62.5,63.55,63.55,397599,0.0,1.0
2023-08-28,64.26,64.85,62.57,62.75,62.75,168008,0.0,1.0
2023-08-25,63.5,64.1,62.65,63.81,63.81,119982,0.0,1.0
2023-08-24,63.84,64.5556,62.735,63.35,63.35,143964,0.0,1.0
2023-08-23,62.86,64.0888,62.17,63.8,63.8,254204,0.0,1.0
2023-08-22,61.59,62.867,61.03,62.5,62.5,188654,0.0,1.0
2023-08-21,58.9,62.0,58.9,61.21,61.21,480393,0.0,1.0
2023-08-18,59.62,60.03,58.35,59.69,59.69,281315,0.0,1.0
2023-08-17,59.31,62.26,59.31,59.94,59.94,359228,0.0,1.0
2023-08-16,61.61,61.77,59.29,59.4,59.4,464426,0.0,1.0
2023-08-15,60.98,62.61,60.25,61.89,61.89,165439,0.0,1.0
2023-08-14,62.58,62.58,60.12,61.1,61.1,175698,0.0,1.0
2023-08-11,60.57,62.92,57.75,62.65,62.65,295412,0.0,1.0
2023-08-10,61.83,62.5,58.39,60.62,60.62,132097,0.0,1.0
2023-08-09,61.05,63.1,58.0,61.08,61.08,346354,0.0,1.0
2023-08-08,53.59,56.47,53.28,55.93,55.93,148463,0.0,1.0
2023-08-07,53.57,54.65,52.79,53.77,53.77,73797,0.0,1.0
2023-08-04,52.45,53.83,52.09,53.77,53.77,80309,0.0,1.0
2023-08-03,51.1,52.98,50.87,52.18,52.18,90497,0.0,1.0
2023-08-02,50.45,51.43,50.1301,51.13,51.13,67916,0.0,1.0
2023-08-01,52.33,52.58,50.52,50.78,50.78,104112,0.0,1.0
2023-07-31,52.59,53.5089,52.0184,52.55,52.55,65524,0.0,1.0
2023-07-28,51.79,52.66,51.75,52.36,52.36,49503,0.0,1.0
2023-07-27,52.57,52.67,51.27,51.54,51.54,55539,0.0,1.0
2023-07-26,52.68,52.935,51.8901,52.19,52.19,59736,0.0,1.0
2023-07-25,52.81,53.2613,52.53,52.76,52.76,78841,0.0,1.0
2023-07-24,52.41,53.6,52.41,52.79,52.79,77445,0.0,1.0
2023-07-21,52.1,53.4985,52.1,52.19,52.19,82369,0.0,1.0
2023-07-20,51.49,52.08,51.0,51.68,51.68,68491,0.0,1.0
2023-07-19,51.76,52.28,50.95,51.5,51.5,69262,0.0,1.0
2023-07-18,51.62,52.51,51.45,51.89,51.89,80186,0.0,1.0
2023-07-17,50.35,51.75,49.765,51.34,51.34,102391,0.0,1.0
2023-07-14,50.52,50.8699,49.98,50.28,50.28,92610,0.0,1.0
2023-07-13,51.24,51.34,50.47,50.55,50.55,55463,0.0,1.0
2023-07-12,51.61,51.88,51.06,51.12,51.12,61780,0.0,1.0
2023-07-11,51.14,51.525,50.3701,51.3,51.3,114039,0.0,1.0
2023-07-10,52.01,52.19,50.65,51.13,51.13,124809,0.0,1.0
2023-07-07,53.41,53.93,51.98,52.03,52.03,106790,0.0,1.0
2023-07-06,53.23,53.57,52.23,53.5,53.5,83218,0.0,1.0
2023-07-05,53.91,54.37,53.26,53.46,53.46,69623,0.0,1.0
2023-07-03,53.52,54.3,52.76,54.02,54.02,103635,0.0,1.0
2023-06-30,53.84,54.615,53.4,53.83,53.83,127464,0.0,1.0
2023-06-29,53.08,54.0,52.8701,53.51,53.51,64527,0.0,1.0
2023-06-28,53.32,53.86,52.74,53.15,53.15,105477,0.0,1.0
2023-06-27,53.5,53.85,52.43,53.35,53.35,104878,0.0,1.0
2023-06-26,51.42,53.495,51.33,53.17,53.17,163445,0.0,1.0
2023-06-23,51.1,52.0825,50.94,51.73,51.73,509957,0.0,1.0
2023-06-22,51.84,51.84,50.805,51.54,51.54,148557,0.0,1.0
2023-06-21,52.56,52.6699,51.0,52.12,52.12,103319,0.0,1.0
2023-06-20,51.13,52.8,50.625,52.67,52.67,163285,0.0,1.0
2023-06-16,51.17,52.0,50.7049,51.35,51.35,535447,0.0,1.0
2023-06-15,49.5,51.25,49.47,50.71,50.71,133509,0.0,1.0
2023-06-14,49.8,49.84,49.1,49.67,49.67,101669,0.0,1.0
2023-06-13,49.57,50.65,49.51,49.67,49.67,92451,0.0,1.0
2023-06-12,49.75,50.2799,49.3151,49.65,49.65,94704,0.0,1.0
2023-06-09,49.69,49.99,49.21,49.49,49.49,52354,0.0,1.0
2023-06-08,49.21,49.88,48.96,49.86,49.86,67991,0.0,1.0
2023-06-07,49.2,49.87,48.65,49.4,49.4,121329,0.0,1.0
2023-06-06,48.52,49.32,48.52,48.95,48.95,146953,0.0,1.0
2023-06-05,47.74,48.95,47.44,48.4,48.4,121357,0.0,1.0
2023-06-02,46.79,48.04,46.13,48.0,48.0,165726,0.0,1.0
2023-06-01,45.06,46.69,44.66,46.42,46.42,148552,0.0,1.0
2023-05-31,44.81,45.7,44.27,45.14,45.14,90046,0.0,1.0
2023-05-30,46.2,46.7,44.88,44.95,44.95,63779,0.0,1.0
2023-05-26,46.08,46.95,45.93,46.15,46.15,74635,0.0,1.0
2023-05-25,46.63,46.63,45.215,46.15,46.15,102542,0.0,1.0
2023-05-24,46.27,46.94,45.61,46.66,46.66,164552,0.0,1.0
2023-05-23,46.29,46.86,45.96,46.68,46.68,216285,0.0,1.0
2023-05-22,46.06,46.5,45.02,46.29,46.29,114614,0.0,1.0
2023-05-19,45.97,46.96,45.5,45.97,45.97,117500,0.0,1.0
2023-05-18,44.54,46.49,44.065,46.41,46.41,153529,0.0,1.0
2023-05-17,44.54,45.18,43.3249,44.5,44.5,206540,0.0,1.0
2023-05-16,40.55,44.94,40.55,44.28,44.28,240493,0.0,1.0
2023-05-15,41.92,43.275,40.0,40.88,40.88,235703,0.0,1.0
2023-05-12,40.61,41.98,38.91,41.67,41.67,1191967,0.0,1.0
2023-05-11,43.65,44.635,43.4298,43.95,43.95,53289,0.0,1.0
2023-05-10,44.41,45.0,42.71,43.78,43.78,128897,0.0,1.0
2023-05-09,43.83,46.065,42.9639,44.41,44.41,159190,0.0,1.0
2023-05-08,48.47,52.2299,42.4,42.58,42.58,405717,0.0,1.0
2023-05-05,38.34,39.48,37.87,39.14,39.14,50963,0.0,1.0
2023-05-04,38.02,38.29,37.64,38.04,38.04,35791,0.0,1.0
2023-05-03,38.03,38.62,37.75,38.32,38.32,41431,0.0,1.0
2023-05-02,37.86,38.69,37.62,37.99,37.99,58772,0.0,1.0
2023-05-01,37.74,38.79,37.4,38.12,38.12,33326,0.0,1.0
