,AMG_Open,AMG_High,AMG_Low,AMG_Close,AMG_Adj Close,AMG_Volume,AMG_Dividend Amount,AMG_Split Coefficient
2024-10-04,180.82,182.15,179.07,181.18,181.18,160140,0.0,1.0
2024-10-03,178.75,178.93,176.84,178.47,178.47,123571,0.0,1.0
2024-10-02,175.57,180.38,175.38,180.25,180.25,170343,0.0,1.0
2024-10-01,177.19,177.19,173.98,175.77,175.77,119327,0.0,1.0
2024-09-30,175.8,178.04,174.97,177.8,177.8,164783,0.0,1.0
2024-09-27,177.59,179.5,176.155,176.28,176.28,126616,0.0,1.0
2024-09-26,176.84,178.16,175.86,176.84,176.84,184100,0.0,1.0
2024-09-25,178.44,178.845,174.95,175.13,175.13,134313,0.0,1.0
2024-09-24,178.21,179.7,177.61,178.17,178.17,215633,0.0,1.0
2024-09-23,179.31,180.96,177.75,178.05,178.05,155027,0.0,1.0
2024-09-20,179.28,179.28,176.8396,178.24,178.24,782747,0.0,1.0
2024-09-19,179.05,180.15,177.885,179.74,179.74,211864,0.0,1.0
2024-09-18,176.23,178.455,174.495,175.76,175.76,236270,0.0,1.0
2024-09-17,175.7,176.37,172.745,175.86,175.86,178734,0.0,1.0
2024-09-16,169.92,174.54,168.545,173.82,173.82,249530,0.0,1.0
2024-09-13,167.97,170.11,167.97,169.26,169.26,133817,0.0,1.0
2024-09-12,165.65,167.885,164.51,167.08,167.08,118327,0.0,1.0
2024-09-11,163.78,165.11,159.88,165.02,165.02,231626,0.0,1.0
2024-09-10,165.31,165.37,162.25,164.77,164.77,127994,0.0,1.0
2024-09-09,164.89,167.54,163.81,165.29,165.29,160639,0.0,1.0
2024-09-06,168.02,169.5,163.45,163.9,163.9,130275,0.0,1.0
2024-09-05,170.26,170.29,166.88,168.16,168.16,141035,0.0,1.0
2024-09-04,170.04,172.0,168.58,169.43,169.43,109500,0.0,1.0
2024-09-03,171.86,172.56,169.47,170.68,170.68,143219,0.0,1.0
2024-08-30,174.08,174.08,171.0,173.83,173.83,191791,0.0,1.0
2024-08-29,172.52,174.785,171.3201,173.35,173.35,117596,0.0,1.0
2024-08-28,172.15,173.76,171.2,171.21,171.21,146985,0.0,1.0
2024-08-27,172.44,174.16,172.18,173.11,173.11,117239,0.0,1.0
2024-08-26,175.47,175.54,172.225,173.43,173.43,129987,0.0,1.0
2024-08-23,174.41,176.87,172.9,173.85,173.85,138352,0.0,1.0
2024-08-22,172.78,173.465,170.99,172.69,172.69,131278,0.0,1.0
2024-08-21,170.67,172.67,168.42,172.35,172.35,267932,0.0,1.0
2024-08-20,171.77,171.96,169.2,170.19,170.19,180641,0.0,1.0
2024-08-19,172.53,173.93,171.19,172.0,172.0,120425,0.0,1.0
2024-08-16,171.32,173.62,171.32,172.25,172.25,245341,0.0,1.0
2024-08-15,170.57,172.33,169.45,171.98,171.98,188180,0.0,1.0
2024-08-14,168.25,168.25,166.23,167.54,167.54,176441,0.0,1.0
2024-08-13,165.58,168.08,165.1678,167.37,167.37,139222,0.0,1.0
2024-08-12,165.07,165.19,163.0,164.15,164.15,177858,0.0,1.0
2024-08-09,163.32,165.6288,162.205,165.05,165.05,190232,0.0,1.0
2024-08-08,161.53,163.8,160.905,163.5,163.5,234806,0.01,1.0
2024-08-07,163.86,165.73,159.82,159.91,159.90022017002,202155,0.0,1.0
2024-08-06,161.27,164.67,160.21,161.21,161.20014066418,178594,0.0,1.0
2024-08-05,161.08,164.16,158.59,160.79,160.780166350682,290484,0.0,1.0
2024-08-02,176.07,176.07,168.97,169.55,169.539630603633,216110,0.0,1.0
2024-08-01,185.7,185.705,177.58,178.92,178.909057549997,185901,0.0,1.0
2024-07-31,185.94,189.81,183.15,185.62,185.608647789126,326580,0.0,1.0
2024-07-30,184.54,185.6,182.0,184.82,184.808696715797,414533,0.0,1.0
2024-07-29,177.0,187.29,175.76,183.9,183.888752981469,608477,0.0,1.0
2024-07-26,174.1,177.49,173.625,177.02,177.009173750841,349050,0.0,1.0
2024-07-25,168.92,175.765,168.92,173.8,173.789370680692,222615,0.0,1.0
2024-07-24,170.39,172.55,168.79,169.27,169.259647727968,314989,0.0,1.0
2024-07-23,170.76,172.695,170.545,171.68,171.669500336371,200694,0.0,1.0
2024-07-22,169.03,171.41,167.34,171.31,171.299522964956,209355,0.0,1.0
2024-07-19,168.98,169.58,167.48,167.94,167.929729068559,181731,0.0,1.0
2024-07-18,171.99,174.74,169.36,169.48,169.469634884717,311472,0.0,1.0
2024-07-17,171.48,172.75,170.28,172.52,172.509448963366,210965,0.0,1.0
2024-07-16,168.68,172.27,168.59,171.86,171.84948932787,241998,0.0,1.0
2024-07-15,167.23,169.89,166.89,168.35,168.33970399364,176181,0.0,1.0
2024-07-12,165.43,168.66,164.52,166.89,166.879793284814,312174,0.0,1.0
2024-07-11,161.02,165.35,159.35,165.07,165.059904592991,308836,0.0,1.0
2024-07-10,155.11,159.705,155.11,159.54,159.530242798606,317379,0.0,1.0
2024-07-09,153.38,156.73,152.37,154.72,154.710537581799,315461,0.0,1.0
2024-07-08,156.27,156.85,154.59,154.85,154.840529631215,224646,0.0,1.0
2024-07-05,156.56,156.905,154.13,154.78,154.770533912299,420843,0.0,1.0
2024-07-03,157.99,158.97,156.58,156.71,156.700415876705,255835,0.0,1.0
2024-07-02,156.44,158.235,154.3794,158.01,158.000336370864,334278,0.0,1.0
2024-07-01,156.49,158.205,154.82,154.99,154.980521069048,290043,0.0,1.0
2024-06-28,156.48,157.23,154.95,156.23,156.220445232708,628092,0.0,1.0
2024-06-27,157.13,157.31,155.01,155.64,155.630481316127,270927,0.0,1.0
2024-06-26,158.7,158.71,156.79,156.99,156.98039875237,361357,0.0,1.0
2024-06-25,159.04,160.64,157.84,159.95,159.940217723687,346801,0.0,1.0
2024-06-24,157.7,161.05,157.365,159.65,159.640236071188,272298,0.0,1.0
2024-06-21,155.36,157.51,154.52,156.93,156.92040242187,1281629,0.0,1.0
2024-06-20,152.91,155.835,152.89,155.19,155.18050883738,295868,0.0,1.0
2024-06-18,152.07,153.495,151.58,153.03,153.020640939392,297722,0.0,1.0
2024-06-17,148.73,152.02,147.13,151.73,151.720720445233,579379,0.0,1.0
2024-06-14,150.13,150.53,147.6,148.4,148.390924102501,397385,0.0,1.0
2024-06-13,154.48,154.48,151.74,152.01,152.000703320898,281133,0.0,1.0
2024-06-12,156.68,158.98,154.67,155.28,155.270503333129,215392,0.0,1.0
2024-06-11,154.57,154.85,152.98,153.89,153.880588343221,211897,0.0,1.0
2024-06-10,154.47,155.54,153.99,155.14,155.130511895297,260766,0.0,1.0
2024-06-07,155.83,157.005,155.44,155.63,155.620481927711,187326,0.0,1.0
2024-06-06,158.8,158.8,156.055,156.51,156.500428108373,265777,0.0,1.0
2024-06-05,159.81,159.81,157.56,158.43,158.420310684362,312427,0.0,1.0
2024-06-04,161.06,162.96,158.64,159.43,159.420249526023,190426,0.0,1.0
2024-06-03,163.25,163.25,160.48,162.16,162.150082563758,239343,0.0,1.0
2024-05-31,160.63,162.78,160.5,162.6,162.590055654088,310849,0.0,1.0
2024-05-30,159.2,160.62,158.17,160.57,160.560179805516,182526,0.0,1.0
2024-05-29,158.27,158.74,157.38,158.45,158.440309461195,198890,0.0,1.0
2024-05-28,160.67,160.99,158.715,159.94,159.93021833527,378826,0.0,1.0
2024-05-24,158.0,160.93,157.4101,160.47,160.46018592135,157127,0.0,1.0
2024-05-23,158.96,160.28,156.92,157.14,157.130389578619,179449,0.0,1.0
2024-05-22,158.83,159.56,157.2564,158.35,158.340315577029,155472,0.0,1.0
2024-05-21,157.03,159.305,156.9,159.16,159.150266038774,245030,0.0,1.0
2024-05-20,159.5,159.73,157.125,157.28,157.270381016452,138446,0.0,1.0
2024-05-17,159.66,159.895,157.8,159.34,159.330255030273,183244,0.0,1.0
2024-05-16,159.88,161.0,158.96,158.97,158.960277658859,176774,0.0,1.0
2024-05-15,160.35,161.27,159.72,160.48,160.470185309767,206744,0.01,1.0
2024-05-14,157.76,159.14,157.185,159.02,159.000366801415,225690,0.0,1.0
2024-05-13,158.2,158.7,156.13,156.63,156.610661879674,214349,0.0,1.0
2024-05-10,158.0,158.115,156.82,157.67,157.650533477419,158040,0.0,1.0
2024-05-09,157.27,158.66,156.89,157.23,157.21058780145,192447,0.0,1.0
2024-05-08,155.06,159.28,155.06,156.77,156.750644594755,522954,0.0,1.0
2024-05-07,154.29,158.97,154.29,155.56,155.540793985839,510382,0.0,1.0
2024-05-06,157.88,161.16,155.0,157.23,157.21058780145,1143439,0.0,1.0
2024-05-03,162.19,163.21,159.645,160.35,160.330202594686,341524,0.0,1.0
2024-05-02,159.57,160.65,157.95,160.65,160.630165555574,232460,0.0,1.0
2024-05-01,155.73,160.86,155.73,158.64,158.620413717624,489891,0.0,1.0
2024-04-30,157.82,158.7281,156.0,156.1,156.080727315438,184542,0.0,1.0
2024-04-29,160.41,161.73,158.24,158.92,158.900379147786,258670,0.0,1.0
2024-04-26,159.36,161.47,159.36,160.2,160.180221114242,134487,0.0,1.0
2024-04-25,160.45,160.45,156.99,159.58,159.56029766174,188297,0.0,1.0
2024-04-24,160.91,162.705,160.91,162.07,162.049990237111,218527,0.0,1.0
2024-04-23,161.72,163.35,160.88,161.47,161.450064315335,233544,0.0,1.0
2024-04-22,159.6,162.56,158.2,161.63,161.610044561142,282520,0.0,1.0
2024-04-19,158.6,159.62,157.05,158.5,158.480431002543,399700,0.0,1.0
2024-04-18,159.72,160.17,157.91,158.19,158.170469276292,258731,0.0,1.0
2024-04-17,160.95,161.755,158.89,158.91,158.890380382423,252011,0.0,1.0
2024-04-16,160.16,160.85,158.62,159.98,159.960248276257,302617,0.0,1.0
2024-04-15,163.21,164.68,160.24,161.08,161.06011246618,273189,0.0,1.0
2024-04-12,165.54,165.87,161.2,162.17,162.14997789074,331173,0.0,1.0
2024-04-11,166.92,167.24,165.0,166.17,166.149484035915,189749,0.0,1.0
2024-04-10,167.22,168.76,165.94,166.74,166.719413661602,209883,0.0,1.0
2024-04-09,169.62,169.65,166.825,169.52,169.499070432499,219283,0.0,1.0
2024-04-08,166.78,168.53,166.73,168.31,168.289219823583,213404,0.0,1.0
2024-04-05,163.35,166.27,163.19,165.88,165.85951984039,298028,0.0,1.0
2024-04-04,167.99,168.63,163.8,163.89,163.869765533165,208106,0.0,1.0
2024-04-03,164.07,166.73,164.07,166.29,166.26946922027,235041,0.0,1.0
2024-04-02,165.91,165.91,163.56,164.38,164.359705035949,286835,0.0,1.0
2024-04-01,167.3,167.3,165.03,165.89,165.869518605753,286266,0.0,1.0
2024-03-28,166.82,167.9,166.3,167.47,167.449323533097,234199,0.0,1.0
2024-03-27,164.69,166.43,164.0301,166.36,166.339460577811,226841,0.0,1.0
2024-03-26,164.18,165.025,163.27,163.58,163.559803806914,173113,0.0,1.0
2024-03-25,163.75,164.98,163.33,163.48,163.459816153285,171318,0.0,1.0
2024-03-22,164.19,164.19,162.64,163.73,163.709785287358,197675,0.0,1.0
2024-03-21,163.0,165.09,163.0,163.72,163.699786521995,295000,0.0,1.0
2024-03-20,161.15,163.72,161.15,162.17,162.14997789074,487574,0.0,1.0
2024-03-19,161.68,162.93,160.735,161.94,161.920006287393,231323,0.0,1.0
2024-03-18,161.0,162.29,160.13,161.26,161.240090242713,236549,0.0,1.0
2024-03-15,159.91,162.62,159.91,161.04,161.020117404728,379477,0.0,1.0
2024-03-14,160.73,161.3,158.71,160.91,160.89013345501,321662,0.0,1.0
2024-03-13,157.74,161.15,157.74,161.02,161.000119874003,231185,0.0,1.0
2024-03-12,159.1,159.71,157.09,158.03,158.010489030485,162864,0.0,1.0
2024-03-11,158.8,159.57,158.0,158.76,158.740398901979,150716,0.0,1.0
2024-03-08,160.87,161.95,158.92,159.1,159.080356924319,123262,0.0,1.0
2024-03-07,159.64,160.65,159.42,160.13,160.110229756701,104834,0.0,1.0
2024-03-06,160.04,160.04,158.08,159.0,158.980369270689,123570,0.0,1.0
2024-03-05,158.95,159.999,157.2,158.58,158.560421125446,137696,0.0,1.0
2024-03-04,157.64,162.075,156.855,159.41,159.39031865057,183938,0.0,1.0
2024-03-01,156.74,157.704,155.2,157.24,157.220586566813,172221,0.0,1.0
2024-02-29,157.08,157.27,155.47,156.31,156.29070138806,361603,0.0,1.0
2024-02-28,156.53,158.32,156.285,156.43,156.410686572415,132762,0.0,1.0
2024-02-27,157.15,157.475,156.17,156.89,156.87062977911,152572,0.0,1.0
2024-02-26,157.17,158.7,156.595,156.68,156.660655706488,106504,0.0,1.0
2024-02-23,158.34,159.65,157.65,157.66,157.640534712056,183309,0.0,1.0
2024-02-22,157.52,158.03,157.11,157.73,157.710526069597,104143,0.0,1.0
2024-02-21,156.57,156.57,155.28,156.22,156.200712499793,142914,0.0,1.0
2024-02-20,155.15,157.3871,155.15,156.14,156.12072237689,308200,0.0,1.0
2024-02-16,156.3,157.925,155.7125,156.72,156.70065076794,158666,0.0,1.0
2024-02-15,156.24,157.79,156.24,156.81,156.790639656206,166695,0.0,1.0
2024-02-14,155.2,155.43,153.26,154.98,154.960865594789,231679,0.01,1.0
2024-02-13,153.91,155.255,152.62,153.99,153.961053570821,260128,0.0,1.0
2024-02-12,156.04,159.15,155.48,157.13,157.10046332608,193674,0.0,1.0
2024-02-09,154.58,156.3,153.57,155.89,155.86069641636,186218,0.0,1.0
2024-02-08,153.86,155.39,152.14,154.3,154.270995298251,395463,0.0,1.0
2024-02-07,154.68,155.975,152.59,154.31,154.280993418491,247584,0.0,1.0
2024-02-06,156.49,157.13,152.9601,154.11,154.081031013697,315499,0.0,1.0
2024-02-05,154.39,159.49,153.325,156.91,156.880504680807,530457,0.0,1.0
2024-02-02,150.63,151.07,149.18,149.66,149.63186750704,403953,0.0,1.0
2024-02-01,149.37,151.29,147.7,151.27,151.241564865628,321941,0.0,1.0
2024-01-31,150.44,151.67,148.66,148.84,148.812021647386,320248,0.0,1.0
2024-01-30,151.15,152.35,151.03,151.24,151.211570504909,130771,0.0,1.0
2024-01-29,151.76,152.337,150.45,151.79,151.761467118092,137164,0.0,1.0
2024-01-26,151.43,152.45,151.16,151.72,151.691480276414,126178,0.0,1.0
2024-01-25,150.57,151.27,149.55,151.09,151.061598701314,141860,0.0,1.0
2024-01-24,152.14,152.745,149.71,149.9,149.871822392792,224576,0.0,1.0
2024-01-23,153.41,153.41,150.08,150.41,150.381726525016,241136,0.0,1.0
2024-01-22,153.69,155.5099,152.6,153.25,153.221192673085,261432,0.0,1.0
2024-01-19,151.46,153.34,149.98,153.14,153.111213350448,164359,0.0,1.0
2024-01-18,150.17,150.59,148.24,149.98,149.95180735471,205233,0.0,1.0
2024-01-17,146.16,149.21,146.16,148.89,148.862012248585,281088,0.0,1.0
2024-01-16,146.82,147.98,145.36,147.94,147.912190825815,245310,0.0,1.0
2024-01-12,149.33,150.08,147.28,147.83,147.802211503179,196588,0.0,1.0
2024-01-11,148.71,149.48,147.45,147.76,147.732224661501,171117,0.0,1.0
2024-01-10,148.58,148.975,147.77,148.33,148.302117515163,151569,0.0,1.0
2024-01-09,150.27,151.12,147.84,148.7,148.672047964031,175126,0.0,1.0
2024-01-08,149.25,152.54,149.25,151.56,151.531510352579,149762,0.0,1.0
2024-01-05,147.27,150.34,147.27,149.41,149.381914501048,372150,0.0,1.0
2024-01-04,147.73,149.76,146.86,148.12,148.092156990129,283881,0.0,1.0
2024-01-03,148.8,149.0,146.07,146.42,146.392476549384,203408,0.0,1.0
2024-01-02,149.92,150.96,148.63,149.84,149.811833671354,181549,0.0,1.0
2023-12-29,152.09,153.73,151.01,151.42,151.391536669224,177190,0.0,1.0
2023-12-28,152.45,153.2,151.98,152.65,152.621305458704,143278,0.0,1.0
2023-12-27,152.64,152.9,151.7095,152.37,152.341358091993,122151,0.0,1.0
2023-12-26,151.42,152.32,151.26,151.77,151.741470877612,119192,0.0,1.0
2023-12-22,151.85,152.45,150.83,151.42,151.391536669224,127564,0.0,1.0
2023-12-21,150.13,151.78,149.43,151.49,151.461523510901,157400,0.0,1.0
2023-12-20,153.0,154.13,149.07,149.09,149.061974653378,176377,0.0,1.0
2023-12-19,150.6,153.0,149.52,152.9,152.871258464696,260381,0.0,1.0
2023-12-18,151.24,153.45,149.54,150.55,150.521700208371,197990,0.0,1.0
2023-12-15,153.1,153.62,149.08,150.36,150.331735923818,853401,0.0,1.0
2023-12-14,146.24,156.38,146.16,153.44,153.411156957639,571111,0.0,1.0
2023-12-13,141.41,144.4,140.6,143.98,143.952935210902,245242,0.0,1.0
2023-12-12,139.41,141.79,139.23,141.53,141.503395752181,211083,0.0,1.0
