,PATK_Open,PATK_High,PATK_Low,PATK_Close,PATK_Adj Close,PATK_Volume,PATK_Dividend Amount,PATK_Split Coefficient
2024-10-07,146.17,146.17,143.6,145.03,145.03,76916,0.0,1.0
2024-10-04,147.15,148.35,145.52,146.16,146.16,183103,0.0,1.0
2024-10-03,141.56,145.0,141.115,144.61,144.61,132915,0.0,1.0
2024-10-02,143.56,145.5521,142.015,142.9,142.9,174331,0.0,1.0
2024-10-01,142.5,145.24,139.675,144.32,144.32,192704,0.0,1.0
2024-09-30,141.49,143.38,140.855,142.37,142.37,134080,0.0,1.0
2024-09-27,143.28,145.4,141.49,142.08,142.08,103824,0.0,1.0
2024-09-26,141.89,144.795,141.14,141.25,141.25,96219,0.0,1.0
2024-09-25,142.6,143.005,139.28,139.48,139.48,187767,0.0,1.0
2024-09-24,143.3,144.0,141.24,142.98,142.98,183195,0.0,1.0
2024-09-23,147.72,147.72,141.1,142.72,142.72,238981,0.0,1.0
2024-09-20,145.7,147.8,144.55,146.96,146.96,807118,0.0,1.0
2024-09-19,143.86,146.68,140.21,146.42,146.42,315898,0.0,1.0
2024-09-18,140.18,146.47,139.26,140.51,140.51,416551,0.0,1.0
2024-09-17,138.24,140.25,137.915,139.73,139.73,233156,0.0,1.0
2024-09-16,135.33,136.84,134.13,136.54,136.54,107089,0.0,1.0
2024-09-13,133.66,136.53,133.66,135.33,135.33,149291,0.0,1.0
2024-09-12,129.84,132.145,129.21,131.47,131.47,249662,0.0,1.0
2024-09-11,126.42,129.025,124.57,128.75,128.75,162731,0.0,1.0
2024-09-10,126.34,127.31,123.36,126.75,126.75,217297,0.0,1.0
2024-09-09,126.03,129.76,124.7,126.17,126.17,231155,0.0,1.0
2024-09-06,124.65,125.7,122.055,125.14,125.14,121207,0.0,1.0
2024-09-05,127.55,129.765,124.125,124.63,124.63,165535,0.0,1.0
2024-09-04,125.58,127.0,124.73,126.63,126.63,131724,0.0,1.0
2024-09-03,127.73,128.27,124.42,126.15,126.15,124551,0.0,1.0
2024-08-30,129.63,129.63,127.07,129.22,129.22,105996,0.0,1.0
2024-08-29,130.93,130.93,128.08,128.55,128.55,163064,0.0,1.0
2024-08-28,130.35,132.14,129.25,129.26,129.26,78497,0.0,1.0
2024-08-27,131.33,131.44,129.18,131.12,131.12,89534,0.0,1.0
2024-08-26,133.11,134.21,131.46,131.79,131.79,104159,0.55,1.0
2024-08-23,128.47,134.05,128.47,132.98,132.427340184374,186108,0.0,1.0
2024-08-22,129.58,130.8727,126.65,127.45,126.920322653771,91506,0.0,1.0
2024-08-21,126.21,129.46,123.99,129.46,128.921969170319,102424,0.0,1.0
2024-08-20,126.87,126.87,124.76,125.02,124.500421641227,84978,0.0,1.0
2024-08-19,126.5,126.95,125.12,126.5,125.974270817591,96746,0.0,1.0
2024-08-16,126.31,128.925,124.49,125.95,125.426556596645,74689,0.0,1.0
2024-08-15,126.86,128.99,125.24,126.11,125.585891642738,124207,0.0,1.0
2024-08-14,125.68,126.67,123.05,123.55,123.036530905244,153337,0.0,1.0
2024-08-13,120.79,126.16,118.675,125.49,124.968468339126,209033,0.0,1.0
2024-08-12,120.1,120.84,118.055,119.65,119.152739156718,236214,0.0,1.0
2024-08-09,119.29,121.175,118.65,119.3,118.804193743388,84284,0.0,1.0
2024-08-08,120.29,122.22,119.16,119.61,119.112905395194,111870,0.0,1.0
2024-08-07,123.08,124.075,116.66,118.14,117.649014659211,144432,0.0,1.0
2024-08-06,120.18,123.05,119.885,121.11,120.60667145232,199568,0.0,1.0
2024-08-05,112.91,121.505,112.91,120.14,119.640702735379,260852,0.0,1.0
2024-08-02,119.37,122.46,118.0,121.86,121.353554480883,265727,0.0,1.0
2024-08-01,131.26,136.0,123.39,125.81,125.287138431313,324660,0.0,1.0
2024-07-31,128.48,131.91,126.5,128.06,127.527787517002,245147,0.0,1.0
2024-07-30,126.74,128.66,125.91,128.0,127.468036874717,146554,0.0,1.0
2024-07-29,126.36,127.14,125.18,126.39,125.864727973402,133476,0.0,1.0
2024-07-26,126.47,127.21,123.86,126.0,125.476348798549,209027,0.0,1.0
2024-07-25,117.29,125.265,117.29,124.47,123.952707420281,278495,0.0,1.0
2024-07-24,121.97,123.435,118.52,118.68,118.186770439776,232323,0.0,1.0
2024-07-23,120.58,124.14,119.67,123.18,122.668068611153,162638,0.0,1.0
2024-07-22,118.95,121.92,116.41,121.53,121.024925948315,122129,0.0,1.0
2024-07-19,119.1,119.15,116.89,117.94,117.449845851594,121744,0.0,1.0
2024-07-18,121.51,125.6,118.06,118.8,118.306271724346,159196,0.0,1.0
2024-07-17,122.55,123.93,121.71,121.89,121.383429802025,214740,0.0,1.0
2024-07-16,120.51,124.425,120.315,123.69,123.175949070576,260628,0.0,1.0
2024-07-15,117.44,120.35,117.03,118.95,118.455648330059,159902,0.0,1.0
2024-07-12,113.82,117.91,110.83,116.25,115.766869427233,190777,0.0,1.0
2024-07-11,110.98,114.6,110.98,113.54,113.068132084026,146022,0.0,1.0
2024-07-10,104.96,108.52,104.79,108.27,107.820034003325,145675,0.0,1.0
2024-07-09,108.0,108.0,104.871,105.01,104.573582439172,175206,0.0,1.0
2024-07-08,108.02,108.84,107.73,108.43,107.979369049418,85583,0.0,1.0
2024-07-05,108.18,108.18,106.46,107.16,106.714647121052,110750,0.0,1.0
2024-07-03,107.94,110.315,107.79,109.1,108.646584554934,145301,0.0,1.0
2024-07-02,110.32,110.9725,106.96,107.13,106.684771799909,271792,0.0,1.0
2024-07-01,109.98,110.39,107.97,110.2,109.742012996826,510149,0.0,1.0
2024-06-28,108.46,109.2,106.595,108.55,108.098870333988,1028444,0.0,1.0
2024-06-27,107.69,107.87,105.9575,107.32,106.873982167145,104138,0.0,1.0
2024-06-26,106.93,107.56,105.78,107.36,106.913815928669,150226,0.0,1.0
2024-06-25,108.13,108.13,105.52,107.16,106.714647121052,142693,0.0,1.0
2024-06-24,107.76,109.68,107.76,108.47,108.019202810942,163385,0.0,1.0
2024-06-21,106.69,108.42,105.18,107.97,107.5212807919,660537,0.0,1.0
2024-06-20,105.87,108.07,105.205,106.91,106.465686111531,314674,0.0,1.0
2024-06-18,106.03,106.71,104.16,106.5,106.057390055917,186377,0.0,1.0
2024-06-17,103.59,106.52,102.43,106.07,105.629177119541,713352,0.0,1.0
2024-06-14,103.62,104.21,101.58,103.5,103.069857941665,153788,0.0,1.0
2024-06-13,106.32,106.72,103.87,105.15,104.713000604504,132473,0.0,1.0
2024-06-12,107.61,109.575,105.83,106.82,106.376060148103,228972,0.0,1.0
2024-06-11,104.01,104.52,102.345,104.5,104.065701979749,202051,0.0,1.0
2024-06-10,105.28,106.535,104.275,104.9,104.464039594983,190912,0.0,1.0
2024-06-07,107.16,107.565,106.265,106.63,106.186849780867,101931,0.0,1.0
2024-06-06,110.25,110.25,107.15,108.07,107.620865195708,117725,0.0,1.0
2024-06-05,110.28,111.32,108.935,110.99,110.528729786912,100509,0.0,1.0
2024-06-04,112.56,113.75,110.075,110.27,109.811722079492,127740,0.0,1.0
2024-06-03,115.53,115.53,112.69,113.65,113.177674928215,107643,0.55,1.0
2024-05-31,113.91,114.805,112.905,114.6,113.574094104846,99741,0.0,1.0
2024-05-30,112.33,113.755,111.48,113.61,112.592956642684,99357,0.0,1.0
2024-05-29,111.79,112.48,110.82,111.39,110.392830212381,82418,0.0,1.0
2024-05-28,113.13,113.8699,112.17,112.86,111.849670686501,90803,0.0,1.0
2024-05-24,111.94,113.03,111.12,112.99,111.978506918906,105154,0.0,1.0
2024-05-23,111.01,111.59,108.99,110.89,109.897306241592,108161,0.0,1.0
2024-05-22,111.54,112.3,109.705,110.6,109.609902338534,114519,0.0,1.0
2024-05-21,111.62,112.69,111.49,112.09,111.086563771485,60061,0.0,1.0
2024-05-20,111.37,113.415,111.37,112.85,111.839760207085,104601,0.0,1.0
2024-05-17,112.77,112.77,110.42,111.39,110.392830212381,120480,0.0,1.0
2024-05-16,115.46,115.6,111.83,112.49,111.482982948117,120103,0.0,1.0
2024-05-15,117.76,117.94,114.32,115.37,114.337201019862,126436,0.0,1.0
2024-05-14,114.4,117.75,113.32,116.37,115.32824896144,179813,0.0,1.0
2024-05-13,115.91,115.985,112.53,113.0,111.988417398322,134510,0.0,1.0
2024-05-10,115.6,115.99,113.46,114.88,113.851587528488,95592,0.0,1.0
2024-05-09,114.55,115.31,113.67,115.02,113.990334240309,163582,0.0,1.0
2024-05-08,113.0,115.18,112.2133,114.55,113.524541707768,163170,0.0,1.0
2024-05-07,113.81,115.34,113.17,114.14,113.118212051721,177773,0.0,1.0
2024-05-06,112.46,113.96,112.07,113.18,112.166806027806,145328,0.0,1.0
2024-05-03,112.18,113.24,108.4175,111.13,110.135157747571,230452,0.0,1.0
2024-05-02,109.1,111.655,102.415,110.34,109.352229873724,347188,0.0,1.0
2024-05-01,105.13,105.94,101.76,104.06,103.128448800614,230072,0.0,1.0
2024-04-30,106.41,106.46,104.29,104.49,103.554599415492,169265,0.0,1.0
2024-04-29,105.93,107.405,105.83,107.17,106.210607898921,99764,0.0,1.0
2024-04-26,104.5,106.13,104.49,105.49,104.54564735707,64926,0.0,1.0
2024-04-25,105.02,105.27,102.98,104.42,103.485226059582,96983,0.0,1.0
2024-04-24,108.38,109.09,105.93,106.81,105.853830639953,82088,0.0,1.0
2024-04-23,105.0,109.32,104.96,108.46,107.489059743557,138197,0.0,1.0
2024-04-22,103.65,107.01,103.65,105.54,104.595199754149,150568,0.0,1.0
2024-04-19,102.02,103.79,102.02,103.4,102.474357159172,128629,0.0,1.0
2024-04-18,104.01,104.76,101.86,102.64,101.721160723573,119437,0.0,1.0
2024-04-17,106.12,106.12,103.59,104.2,103.267195512435,133813,0.0,1.0
2024-04-16,104.72,105.72,103.57,104.88,103.941108112708,106965,0.0,1.0
2024-04-15,107.89,108.99,105.382,105.6,104.654662630644,99031,0.0,1.0
2024-04-12,108.83,108.83,106.14,107.1,106.141234543011,89897,0.0,1.0
2024-04-11,109.55,109.58,107.5,109.06,108.083688508504,147282,0.0,1.0
2024-04-10,111.25,112.14,108.36,108.9,107.925120837851,155343,0.0,1.0
2024-04-09,115.41,115.41,113.46,114.33,113.30651116062,89391,0.0,1.0
2024-04-08,116.57,117.21,114.7068,114.97,113.94078184323,136376,0.0,1.0
2024-04-05,113.19,116.464,112.21,115.41,114.376842937525,91583,0.0,1.0
2024-04-04,117.5,117.9,112.645,113.21,112.196537466053,148378,0.0,1.0
2024-04-03,116.45,118.92,116.01,116.31,115.268786084945,123839,0.0,1.0
2024-04-02,117.01,117.8,115.1022,117.23,116.180550191197,270049,0.0,1.0
2024-04-01,119.42,120.965,117.94,118.54,117.478822994664,162971,0.0,1.0
2024-03-28,118.49,120.72,117.64,119.47,118.400497580332,267223,0.0,1.0
2024-03-27,116.5,117.92,116.265,117.92,116.864373270886,94333,0.0,1.0
2024-03-26,116.17,116.71,115.33,115.66,114.624604922919,151385,0.0,1.0
2024-03-25,116.5,117.47,115.29,115.29,114.257917184535,119582,0.0,1.0
2024-03-22,117.0,117.95,114.65,116.06,115.02102409955,162979,0.0,1.0
2024-03-21,115.19,117.8,115.13,116.54,115.496727111508,178044,0.0,1.0
2024-03-20,113.99,115.13,111.89,114.04,113.019107257563,189846,0.0,1.0
2024-03-19,112.74,115.14,112.74,113.94,112.920002463405,139508,0.0,1.0
2024-03-18,113.74,115.32,111.75,113.67,112.652419519179,190887,0.0,1.0
2024-03-15,110.45,113.595,110.45,112.76,111.750565892343,1202234,0.0,1.0
2024-03-14,111.44,111.61,108.57,110.44,109.451334667882,191931,0.0,1.0
2024-03-13,108.99,111.96,108.14,110.95,109.956769118086,276291,0.0,1.0
2024-03-12,112.33,112.33,108.7344,109.15,108.172882823246,287970,0.0,1.0
2024-03-11,110.86,112.07,108.87,111.87,110.868533224338,157966,0.0,1.0
2024-03-08,113.47,115.75,111.11,112.12,111.116295209733,209617,0.0,1.0
2024-03-07,114.12,116.12,112.34,112.59,111.582087742275,346972,0.0,1.0
2024-03-06,118.31,118.31,110.46,112.73,111.720834454095,411319,0.0,1.0
2024-03-05,119.56,120.839,117.72,118.31,117.250881968101,196147,0.0,1.0
2024-03-04,122.15,123.58,120.62,120.91,119.827606616204,170124,0.0,1.0
2024-03-01,119.77,122.82,118.14,122.29,121.195252775582,235091,0.0,1.0
2024-02-29,118.0,120.49,117.75,119.94,118.866290112873,204092,0.0,1.0
2024-02-28,115.27,117.99,115.27,117.48,116.428312176591,189721,0.0,1.0
2024-02-27,116.44,117.58,115.43,116.36,115.318338482024,184641,0.0,1.0
2024-02-26,113.75,116.08,113.5927,115.1,114.069618075635,195009,0.0,1.0
2024-02-23,113.81,115.21,112.965,114.07,113.04883869581,86614,0.0,1.0
2024-02-22,112.6,114.95,112.6,113.88,112.86053958691,122227,0.0,1.0
2024-02-21,110.56,112.23,110.38,112.11,111.106384730317,135872,0.0,1.0
