,CRM_Open,CRM_High,CRM_Low,CRM_Close,CRM_Adj Close,CRM_Volume,CRM_Dividend Amount,CRM_Split Coefficient
2024-10-01,274.14,274.7,269.69,270.87,270.87,4369918,0.0,1.0
2024-09-30,273.95,275.74,269.14,273.71,273.71,5062226,0.0,1.0
2024-09-27,276.26,277.84,275.0601,276.64,276.64,5220075,0.0,1.0
2024-09-26,276.13,278.64,272.71,275.76,275.76,5253376,0.0,1.0
2024-09-25,270.45,277.05,269.384,274.09,274.09,7920044,0.0,1.0
2024-09-24,269.83,272.46,266.29,270.44,270.44,7154459,0.0,1.0
2024-09-23,267.25,268.06,262.24,264.21,264.21,6033986,0.0,1.0
2024-09-20,266.01,270.32,261.32,266.8,266.8,11463169,0.0,1.0
2024-09-19,260.72,269.54,258.05,265.99,265.99,11022830,0.0,1.0
2024-09-18,256.0,256.12,250.96,252.43,252.43,4436734,0.4,1.0
2024-09-17,258.72,259.37,254.76,255.19,254.78626626587,5423388,0.0,1.0
2024-09-16,254.57,257.81,254.57,256.91,256.50354506981,5367024,0.0,1.0
2024-09-13,252.54,256.83,252.445,254.57,254.167247162125,4998901,0.0,1.0
2024-09-12,251.39,254.14,249.57,253.37,252.969145671004,5221397,0.0,1.0
2024-09-11,244.81,250.02,242.0141,249.57,249.175157615789,4822215,0.0,1.0
2024-09-10,247.13,247.34,243.311,246.16,245.770552545188,3544808,0.0,1.0
2024-09-09,246.5,249.36,244.77,245.76,245.371185381482,4588809,0.0,1.0
2024-09-06,247.74,250.0,241.4401,243.97,243.584017323894,6259431,0.0,1.0
2024-09-05,245.98,248.4999,245.0,246.12,245.730615828818,4083624,0.0,1.0
2024-09-04,246.47,249.48,245.16,247.68,247.288147767274,3915991,0.0,1.0
2024-09-03,252.62,253.69,246.64,248.06,247.667546572796,6190352,0.0,1.0
2024-08-30,257.44,259.13,251.0,252.9,252.499889253649,10507704,0.0,1.0
2024-08-29,271.01,271.95,256.28,257.01,256.603386860736,14301691,0.0,1.0
2024-08-28,261.83,265.18,257.36,258.9,258.490396709251,10981901,0.0,1.0
2024-08-27,259.65,264.46,259.4,264.2,263.782011628367,5276384,0.0,1.0
2024-08-26,263.94,267.3,263.24,265.28,264.860302970375,3818271,0.0,1.0
2024-08-23,261.99,265.6,260.7,264.0,263.582328046513,4711326,0.0,1.0
2024-08-22,261.5,263.26,257.27,258.59,258.180887157378,5111442,0.0,1.0
2024-08-21,261.1,262.14,259.18,261.09,260.676931930546,4648204,0.0,1.0
2024-08-20,264.95,265.5,261.03,261.84,261.425745362496,5731309,0.0,1.0
2024-08-19,263.1,265.39,261.63,265.38,264.960144761302,4501262,0.0,1.0
2024-08-16,261.75,263.6,259.68,262.91,262.494052525412,3494863,0.0,1.0
2024-08-15,257.9,262.89,256.24,262.79,262.3742423763,5167930,0.0,1.0
2024-08-14,255.39,257.71,253.86,255.32,254.916060594075,4145248,0.0,1.0
2024-08-13,253.0,255.78,253.0,254.6,254.197199699403,4031818,0.0,1.0
2024-08-12,252.6,254.09,249.02,251.31,250.912404777914,3679904,0.0,1.0
2024-08-09,248.7,252.95,248.45,252.53,252.13047462722,2975285,0.0,1.0
2024-08-08,243.24,249.43,243.08,249.12,248.725869556619,4474252,0.0,1.0
2024-08-07,242.61,246.53,239.66,240.04,239.660234940474,4035549,0.0,1.0
2024-08-06,241.09,243.85,238.03,238.42,238.042797927461,5673889,0.0,1.0
2024-08-05,232.32,241.82,232.21,239.01,238.631864493929,6899342,0.0,1.0
2024-08-02,247.79,248.0,241.1165,243.97,243.584017323894,6504544,0.0,1.0
2024-08-01,259.9,263.36,249.74,253.06,252.659636119131,5527395,0.0,1.0
2024-07-31,256.21,261.83,255.35,258.8,258.390554918325,4647690,0.0,1.0
2024-07-30,259.62,260.75,255.12,257.93,257.521931337262,3944295,0.0,1.0
2024-07-29,262.71,266.075,258.52,258.59,258.180887157378,5101425,0.0,1.0
2024-07-26,258.17,264.49,257.07,262.71,262.294368943559,6127323,0.0,1.0
2024-07-25,254.74,264.08,251.7245,256.52,256.114162085196,7155846,0.0,1.0
2024-07-24,253.63,255.91,248.9,249.78,249.384825376735,5204088,0.0,1.0
2024-07-23,256.59,257.33,253.7513,256.06,255.654889846933,3905543,0.0,1.0
2024-07-22,248.75,255.58,248.0,254.08,253.678022386584,5647588,0.0,1.0
2024-07-19,248.65,248.99,245.17,247.63,247.238226871811,4468875,0.0,1.0
2024-07-18,252.14,252.45,245.72,247.35,246.958669857216,6351643,0.0,1.0
2024-07-17,254.0,255.57,249.61,251.22,250.82254716608,5625254,0.0,1.0
2024-07-16,253.78,256.78,252.67,256.03,255.624937309655,4780386,0.0,1.0
2024-07-15,256.02,256.39,252.12,252.86,252.459952537278,4404270,0.0,1.0
2024-07-12,251.62,255.29,249.69,253.97,253.568196416564,4705492,0.0,1.0
2024-07-11,252.6,255.42,250.92,251.12,250.722705375153,5343727,0.0,1.0
2024-07-10,251.2,254.8,246.11,252.59,252.190379701776,8947679,0.0,1.0
2024-07-09,256.09,257.0,251.09,252.43,252.030632836293,7017109,0.4,1.0
2024-07-08,261.38,262.84,257.19,257.37,256.556278816109,6539287,0.0,1.0
2024-07-05,262.72,265.8059,261.315,263.19,262.357877847502,6562111,0.0,1.0
2024-07-03,256.98,261.22,256.935,260.95,260.124960007241,4755729,0.0,1.0
2024-07-02,255.05,257.73,254.06,256.19,255.380009596685,5130593,0.0,1.0
2024-07-01,258.15,259.4799,254.53,256.21,255.399946363116,5871685,0.0,1.0
2024-06-28,253.5,260.18,253.18,257.1,256.287132469291,12619303,0.0,1.0
2024-06-27,245.0,258.6,244.45,252.85,252.050569602724,12869018,0.0,1.0
2024-06-26,241.47,243.61,239.901,243.15,242.381237883735,4524735,0.0,1.0
2024-06-25,241.78,243.1,239.87,241.76,240.995632616787,6216627,0.0,1.0
2024-06-24,243.19,244.41,239.81,239.94,239.181386871574,7545685,0.0,1.0
2024-06-21,240.57,245.374,240.19,245.06,244.285199077886,15928785,0.0,1.0
2024-06-20,232.85,243.77,232.85,241.8,241.035506149649,14809627,0.0,1.0
2024-06-18,230.48,232.29,229.23,231.81,231.077091317411,7119770,0.0,1.0
2024-06-17,230.28,231.84,227.77,230.48,229.751296349756,10563678,0.0,1.0
2024-06-14,229.35,235.2499,229.2,231.94,231.206680299212,8833734,0.0,1.0
2024-06-13,235.52,235.65,228.66,229.03,228.305880783515,13566707,0.0,1.0
2024-06-12,240.56,242.2,234.89,235.8,235.054476220377,10260116,0.0,1.0
2024-06-11,241.16,243.75,236.26,240.99,240.228067109197,7264354,0.0,1.0
2024-06-10,241.79,243.64,240.43,241.84,241.07537968251,7660118,0.0,1.0
2024-06-07,242.33,243.9299,240.2884,241.85,241.085348065726,6883831,0.0,1.0
2024-06-06,239.88,246.75,239.45,242.76,241.992470938332,11693763,0.0,1.0
2024-06-05,235.64,236.92,231.55,236.53,235.782168195105,10772093,0.0,1.0
2024-06-04,235.72,240.5899,232.2,234.86,234.117448198124,11197479,0.0,1.0
2024-06-03,234.62,240.99,230.2101,236.62,235.871883644044,19962737,0.0,1.0
2024-05-31,219.11,234.62,216.06,234.44,233.698776103075,36807425,0.0,1.0
2024-05-30,223.4,225.09,212.0,218.01,217.320722480086,66860913,0.0,1.0
2024-05-29,268.0,272.865,267.77,271.62,270.761224898129,13397852,0.0,1.0
2024-05-28,273.1,273.225,267.16,269.83,268.976884302563,9294119,0.0,1.0
2024-05-24,270.93,274.96,268.53,272.29,271.429106573564,8325132,0.0,1.0
2024-05-23,286.68,287.0,277.46,278.57,277.689251232869,5456632,0.0,1.0
2024-05-22,283.41,287.09,282.835,283.82,282.922652420981,3309164,0.0,1.0
2024-05-21,286.79,287.22,283.29,283.76,282.862842121689,3492113,0.0,1.0
2024-05-20,286.0,287.7206,285.11,287.07,286.162376966003,2799272,0.0,1.0
2024-05-17,287.04,287.34,284.26,285.61,284.706993016547,3478869,0.0,1.0
2024-05-16,289.42,290.02,284.58,284.68,283.77993337751,3559188,0.0,1.0
2024-05-15,279.74,287.8,279.73,287.54,286.63089097713,5828547,0.0,1.0
2024-05-14,276.96,278.86,275.04,276.8,275.924847403733,3056843,0.0,1.0
2024-05-13,277.14,277.8,275.185,277.52,276.642570995246,2998662,0.0,1.0
2024-05-10,276.1,279.64,274.97,276.67,275.795258421933,2912308,0.0,1.0
2024-05-09,272.17,275.35,271.0708,275.17,274.300000939615,4709740,0.0,1.0
2024-05-08,275.73,279.94,275.73,278.97,278.087986561487,3283270,0.0,1.0
2024-05-07,275.59,278.882,274.07,277.18,276.303645965921,3507733,0.0,1.0
2024-05-06,276.17,277.13,274.06,275.63,274.758546567525,3744763,0.0,1.0
2024-05-03,276.82,277.67,273.35,273.66,272.794775074081,4041636,0.0,1.0
2024-05-02,270.43,273.08,267.94,272.13,271.269612442117,3859883,0.0,1.0
