,ACET_Open,ACET_High,ACET_Low,ACET_Close,ACET_Adj Close,ACET_Volume,ACET_Dividend Amount,ACET_Split Coefficient
2024-10-04,1.42,1.45,1.4,1.42,1.42,122360,0.0,1.0
2024-10-03,1.47,1.47,1.39,1.42,1.42,246766,0.0,1.0
2024-10-02,1.4,1.5,1.37,1.49,1.49,2506264,0.0,1.0
2024-10-01,1.41,1.5,1.395,1.42,1.42,2596695,0.0,1.0
2024-09-30,1.49,1.51,1.42,1.44,1.44,379681,0.0,1.0
2024-09-27,1.4,1.49,1.39,1.43,1.43,409466,0.0,1.0
2024-09-26,1.35,1.42,1.35,1.4,1.4,245932,0.0,1.0
2024-09-25,1.38,1.39,1.32,1.34,1.34,392373,0.0,1.0
2024-09-24,1.43,1.441,1.37,1.39,1.39,388082,0.0,1.0
2024-09-23,1.52,1.52,1.42,1.43,1.43,390112,0.0,1.0
2024-09-20,1.53,1.53,1.48,1.53,1.53,309579,0.0,1.0
2024-09-19,1.5,1.57,1.5,1.52,1.52,252586,0.0,1.0
2024-09-18,1.5,1.54,1.46,1.46,1.46,245757,0.0,1.0
2024-09-17,1.51,1.57,1.4318,1.5,1.5,375776,0.0,1.0
2024-09-16,1.49,1.57,1.47,1.5,1.5,287288,0.0,1.0
2024-09-13,1.54,1.61,1.46,1.49,1.49,330811,0.0,1.0
2024-09-12,1.43,1.63,1.41,1.53,1.53,859862,0.0,1.0
2024-09-11,1.41,1.51,1.33,1.43,1.43,939191,0.0,1.0
2024-09-10,1.48,1.48,1.43,1.43,1.43,239452,0.0,1.0
2024-09-09,1.51,1.59,1.46,1.48,1.48,239608,0.0,1.0
2024-09-06,1.43,1.505,1.4,1.48,1.48,566201,0.0,1.0
2024-09-05,1.52,1.54,1.44,1.44,1.44,407910,0.0,1.0
2024-09-04,1.48,1.54,1.44,1.51,1.51,383994,0.0,1.0
2024-09-03,1.44,1.505,1.4,1.49,1.49,655657,0.0,1.0
2024-08-30,1.48,1.51,1.455,1.46,1.46,238972,0.0,1.0
2024-08-29,1.46,1.54,1.44,1.48,1.48,446981,0.0,1.0
2024-08-28,1.4,1.46,1.39,1.46,1.46,303947,0.0,1.0
2024-08-27,1.5,1.55,1.4,1.41,1.41,302480,0.0,1.0
2024-08-26,1.5,1.56,1.47,1.53,1.53,299177,0.0,1.0
