,CMI_Open,CMI_High,CMI_Low,CMI_Close,CMI_Adj Close,CMI_Volume,CMI_Dividend Amount,CMI_Split Coefficient
2024-11-01,328.82,331.51,328.26,328.51,328.51,387137,0.0,1.0
2024-10-31,330.01,331.0,327.33,328.98,328.98,642366,0.0,1.0
2024-10-30,329.44,333.98,327.95,331.84,331.84,514921,0.0,1.0
2024-10-29,333.93,334.015,329.99,331.14,331.14,337195,0.0,1.0
2024-10-28,331.74,335.56,329.6,334.66,334.66,588742,0.0,1.0
2024-10-25,334.36,334.74,328.26,329.17,329.17,604435,0.0,1.0
2024-10-24,332.14,333.256,329.41,332.48,332.48,476921,0.0,1.0
2024-10-23,330.14,333.12,328.78,329.97,329.97,389028,0.0,1.0
2024-10-22,331.69,332.86,326.46,330.7,330.7,571168,0.0,1.0
2024-10-21,335.15,337.0,333.09,333.63,333.63,465465,0.0,1.0
2024-10-18,335.0,340.82,333.08,335.51,335.51,1534690,0.0,1.0
2024-10-17,335.0,335.0,332.0,332.99,332.99,474249,0.0,1.0
2024-10-16,333.67,335.0,331.24,333.87,333.87,717489,0.0,1.0
2024-10-15,337.39,339.78,332.24,332.68,332.68,545576,0.0,1.0
2024-10-14,335.25,338.78,333.61,338.37,338.37,442748,0.0,1.0
2024-10-11,333.73,337.5963,333.03,336.07,336.07,412743,0.0,1.0
2024-10-10,333.75,333.75,330.09,332.85,332.85,446401,0.0,1.0
2024-10-09,331.5,334.99,329.94,333.05,333.05,405680,0.0,1.0
2024-10-08,330.0,332.0,324.4,329.61,329.61,609536,0.0,1.0
2024-10-07,330.7,333.48,329.17,331.71,331.71,408845,0.0,1.0
2024-10-04,327.5,331.89,326.03,331.74,331.74,691513,0.0,1.0
2024-10-03,323.9,327.726,322.03,327.35,327.35,541868,0.0,1.0
2024-10-02,325.05,327.5,323.13,325.05,325.05,383092,0.0,1.0
2024-10-01,323.5,327.32,321.85,326.28,326.28,803046,0.0,1.0
2024-09-30,325.35,325.92,321.33,323.79,323.79,565963,0.0,1.0
2024-09-27,324.81,328.68,324.69,326.4,326.4,553567,0.0,1.0
2024-09-26,322.3,333.43,322.245,324.62,324.62,991222,0.0,1.0
2024-09-25,324.85,325.52,317.285,317.5,317.5,705721,0.0,1.0
2024-09-24,316.21,328.1,316.21,323.56,323.56,1043963,0.0,1.0
2024-09-23,308.65,314.0,308.39,313.48,313.48,566663,0.0,1.0
2024-09-20,307.12,308.97,305.55,308.24,308.24,991530,0.0,1.0
2024-09-19,305.84,309.75,302.41,309.14,309.14,618791,0.0,1.0
2024-09-18,302.79,306.42,300.0,300.65,300.65,567426,0.0,1.0
2024-09-17,302.24,306.07,299.11,301.59,301.59,738999,0.0,1.0
2024-09-16,303.8,305.93,301.0,301.07,301.07,858354,0.0,1.0
2024-09-13,298.25,303.715,298.045,302.13,302.13,472885,0.0,1.0
2024-09-12,294.14,297.71,291.49,297.25,297.25,557344,0.0,1.0
2024-09-11,295.18,295.18,285.0,293.36,293.36,881306,0.0,1.0
2024-09-10,296.94,297.255,292.9826,295.22,295.22,528277,0.0,1.0
2024-09-09,294.39,298.91,292.12,296.81,296.81,596288,0.0,1.0
2024-09-06,297.22,300.09,291.88,293.21,293.21,608819,0.0,1.0
2024-09-05,300.95,302.145,293.37,296.65,296.65,781682,0.0,1.0
2024-09-04,304.0,306.82,301.72,301.73,301.73,635796,0.0,1.0
2024-09-03,310.47,312.015,301.56,304.32,304.32,593900,0.0,1.0
2024-08-30,310.15,313.55,307.6,312.85,312.85,878028,0.0,1.0
2024-08-29,309.0,313.35,306.495,309.31,309.31,489394,0.0,1.0
2024-08-28,305.62,309.5,305.2,306.07,306.07,697488,0.0,1.0
2024-08-27,309.31,309.99,306.0101,306.37,306.37,424975,0.0,1.0
2024-08-26,310.59,312.14,307.835,310.15,310.15,537906,0.0,1.0
