,ENVA_Open,ENVA_High,ENVA_Low,ENVA_Close,ENVA_Adj Close,ENVA_Volume,ENVA_Dividend Amount,ENVA_Split Coefficient
2024-10-07,83.11,83.93,82.435,83.43,83.43,120071,0.0,1.0
2024-10-04,83.53,83.75,81.78,83.74,83.74,121083,0.0,1.0
2024-10-03,80.01,81.82,79.55,81.48,81.48,98869,0.0,1.0
2024-10-02,81.73,82.82,80.18,80.49,80.49,127469,0.0,1.0
2024-10-01,83.47,83.47,81.43,81.84,81.84,134965,0.0,1.0
2024-09-30,82.31,84.47,82.175,83.79,83.79,180917,0.0,1.0
2024-09-27,82.72,83.84,81.79,82.58,82.58,188971,0.0,1.0
2024-09-26,81.53,82.45,80.62,81.76,81.76,162777,0.0,1.0
2024-09-25,81.1,81.1,79.67,80.54,80.54,177818,0.0,1.0
2024-09-24,83.4,83.56,80.42,80.87,80.87,156224,0.0,1.0
2024-09-23,85.2,85.72,83.81,83.95,83.95,93685,0.0,1.0
2024-09-20,85.11,85.91,84.3801,84.93,84.93,694888,0.0,1.0
2024-09-19,85.39,85.51,83.83,85.47,85.47,157659,0.0,1.0
2024-09-18,82.41,85.49,81.16,82.88,82.88,151556,0.0,1.0
2024-09-17,81.76,83.99,81.325,82.5,82.5,182716,0.0,1.0
2024-09-16,79.62,80.65,78.79,80.52,80.52,176294,0.0,1.0
2024-09-13,78.75,79.8,78.46,79.32,79.32,127751,0.0,1.0
2024-09-12,76.01,78.095,75.65,77.35,77.35,226278,0.0,1.0
2024-09-11,73.82,76.13,73.21,75.13,75.13,176864,0.0,1.0
2024-09-10,77.14,77.14,72.87,74.48,74.48,321110,0.0,1.0
2024-09-09,77.65,77.94,75.33,76.74,76.74,175206,0.0,1.0
2024-09-06,80.84,81.335,77.28,77.28,77.28,189904,0.0,1.0
2024-09-05,81.6,82.31,80.43,80.84,80.84,109944,0.0,1.0
2024-09-04,82.15,82.97,81.24,81.53,81.53,147307,0.0,1.0
2024-09-03,84.96,85.38,81.96,82.39,82.39,178235,0.0,1.0
2024-08-30,84.53,85.74,84.35,85.73,85.73,128035,0.0,1.0
2024-08-29,83.0,84.7883,82.31,84.45,84.45,213220,0.0,1.0
2024-08-28,82.23,83.82,82.18,82.8,82.8,168910,0.0,1.0
2024-08-27,82.97,83.32,82.3,82.62,82.62,94256,0.0,1.0
2024-08-26,84.69,85.99,83.36,83.43,83.43,203208,0.0,1.0
2024-08-23,82.92,86.01,82.53,85.89,85.89,178265,0.0,1.0
2024-08-22,82.55,82.9049,81.8,82.46,82.46,85760,0.0,1.0
2024-08-21,81.89,82.47,80.648,82.19,82.19,126100,0.0,1.0
2024-08-20,83.0,83.193,81.16,81.58,81.58,191856,0.0,1.0
2024-08-19,82.84,83.755,82.27,83.52,83.52,132808,0.0,1.0
2024-08-16,81.94,83.08,81.805,82.68,82.68,168472,0.0,1.0
2024-08-15,82.26,82.99,80.83,82.37,82.37,211087,0.0,1.0
2024-08-14,80.64,80.64,79.13,80.29,80.29,140401,0.0,1.0
2024-08-13,78.5,80.6099,77.3564,79.9,79.9,225793,0.0,1.0
2024-08-12,77.41,77.57,75.56,76.49,76.49,214622,0.0,1.0
2024-08-09,76.64,76.88,75.885,76.52,76.52,236746,0.0,1.0
2024-08-08,76.69,77.35,75.98,76.85,76.85,118354,0.0,1.0
2024-08-07,77.94,78.83,75.315,75.59,75.59,169491,0.0,1.0
2024-08-06,75.01,77.32,74.52,76.47,76.47,304907,0.0,1.0
2024-08-05,74.03,76.06,72.43,74.9,74.9,297210,0.0,1.0
2024-08-02,81.09,81.46,77.11,77.78,77.78,403886,0.0,1.0
2024-08-01,86.45,87.05,83.28,84.12,84.12,411704,0.0,1.0
2024-07-31,85.51,88.4221,84.23,86.47,86.47,301777,0.0,1.0
2024-07-30,83.03,87.84,83.03,85.72,85.72,451206,0.0,1.0
2024-07-29,82.0,82.88,81.405,82.3,82.3,345088,0.0,1.0
2024-07-26,81.2,82.29,78.54,81.91,81.91,550802,0.0,1.0
2024-07-25,78.12,81.52,77.6011,81.07,81.07,426198,0.0,1.0
2024-07-24,75.36,79.06,74.49,77.61,77.61,606649,0.0,1.0
2024-07-23,73.03,75.22,73.03,74.57,74.57,179601,0.0,1.0
2024-07-22,72.89,73.6,71.59,73.59,73.59,168571,0.0,1.0
2024-07-19,72.25,73.11,72.14,72.65,72.65,121797,0.0,1.0
2024-07-18,71.83,73.79,71.47,72.23,72.23,134375,0.0,1.0
2024-07-17,71.91,73.89,71.91,72.43,72.43,269173,0.0,1.0
2024-07-16,68.99,72.56,68.99,72.48,72.48,258124,0.0,1.0
2024-07-15,66.71,68.96,66.71,68.3,68.3,233162,0.0,1.0
2024-07-12,65.87,66.74,65.32,65.85,65.85,252935,0.0,1.0
2024-07-11,63.53,65.72,63.07,65.31,65.31,226283,0.0,1.0
2024-07-10,61.87,62.26,61.415,62.13,62.13,125489,0.0,1.0
2024-07-09,61.19,62.25,60.97,61.5,61.5,118636,0.0,1.0
2024-07-08,61.78,61.9,61.28,61.49,61.49,125128,0.0,1.0
2024-07-05,61.88,61.88,60.83,61.16,61.16,99457,0.0,1.0
2024-07-03,62.8,63.02,62.07,62.16,62.16,72440,0.0,1.0
2024-07-02,62.16,62.936,62.01,62.5,62.5,162146,0.0,1.0
2024-07-01,62.34,62.75,61.42,62.05,62.05,172931,0.0,1.0
2024-06-28,60.99,62.44,60.52,62.25,62.25,335898,0.0,1.0
2024-06-27,61.04,61.04,59.88,60.28,60.28,119213,0.0,1.0
2024-06-26,60.17,60.94,59.8,60.8,60.8,128833,0.0,1.0
2024-06-25,61.16,61.16,60.08,60.52,60.52,183003,0.0,1.0
2024-06-24,60.81,62.12,60.81,61.38,61.38,175300,0.0,1.0
2024-06-21,60.51,61.0914,59.99,60.43,60.43,974825,0.0,1.0
2024-06-20,59.52,60.7,59.48,60.56,60.56,137667,0.0,1.0
2024-06-18,59.7,60.13,59.285,59.75,59.75,181457,0.0,1.0
2024-06-17,58.3,59.91,58.15,59.86,59.86,183721,0.0,1.0
2024-06-14,58.04,58.79,57.8,58.52,58.52,198967,0.0,1.0
2024-06-13,60.03,60.37,58.29,59.04,59.04,171384,0.0,1.0
2024-06-12,59.34,60.33,58.69,60.28,60.28,303198,0.0,1.0
2024-06-11,58.71,58.86,57.67,57.7,57.7,245686,0.0,1.0
2024-06-10,58.34,59.2,57.46,59.01,59.01,238555,0.0,1.0
