,CAT_Open,CAT_High,CAT_Low,CAT_Close,CAT_Adj Close,CAT_Volume,CAT_Dividend Amount,CAT_Split Coefficient
2024-11-01,378.07,383.265,376.94,379.63,379.63,1623619,0.0,1.0
2024-10-31,377.35,378.9132,372.75,376.2,376.2,2394488,0.0,1.0
2024-10-30,374.0,388.26,367.2,379.24,379.24,4037464,0.0,1.0
2024-10-29,389.5,389.6,385.55,387.51,387.51,2186415,0.0,1.0
2024-10-28,388.39,391.57,387.37,390.61,390.61,3213934,0.0,1.0
2024-10-25,389.61,392.03,384.31,385.97,385.97,1606883,0.0,1.0
2024-10-24,386.95,388.36,382.219,387.06,387.06,1844245,0.0,1.0
2024-10-23,386.95,390.03,382.6933,385.73,385.73,1501236,0.0,1.0
2024-10-22,389.73,391.29,385.725,388.46,388.46,1523872,0.0,1.0
2024-10-21,392.29,393.15,389.24,390.48,390.48,2376089,1.41,1.0
2024-10-18,396.25,396.45,389.72,393.86,392.442912041644,3024091,0.0,1.0
2024-10-17,395.15,397.12,393.16,394.49,393.07064533415,1561648,0.0,1.0
2024-10-16,387.4,394.6,386.925,393.62,392.203775549261,1551797,0.0,1.0
2024-10-15,390.63,392.47,387.59,387.99,386.594031998775,2715320,0.0,1.0
2024-10-14,393.39,396.29,386.87,393.95,392.532588226288,3006132,0.0,1.0
2024-10-11,396.64,403.6,396.64,402.02,400.573552782669,2110351,0.0,1.0
2024-10-10,395.18,396.96,390.5,396.64,395.212909745081,1331845,0.0,1.0
2024-10-09,388.17,396.6,387.5001,396.19,394.764528821863,1757882,0.0,1.0
2024-10-08,394.26,395.0,384.8488,387.96,386.564139937227,2438847,0.0,1.0
2024-10-07,396.45,401.17,396.1385,398.25,396.817117048151,2224513,0.0,1.0
2024-10-04,396.72,397.46,391.85,397.09,395.6612906683,1675430,0.0,1.0
2024-10-03,392.34,394.0,388.72,391.09,389.682878358723,1866089,0.0,1.0
2024-10-02,391.98,395.66,388.6357,394.05,392.632228431448,1768062,0.0,1.0
2024-10-01,391.27,395.485,386.63,392.39,390.978201025798,2091388,0.0,1.0
2024-09-30,389.38,392.755,386.82,391.12,389.712770420271,2251585,0.0,1.0
2024-09-27,391.0,395.56,389.1382,391.08,389.672914338207,2683768,0.0,1.0
2024-09-26,390.01,397.22,386.2,390.96,389.553346092016,3906800,0.0,1.0
2024-09-25,387.0,388.64,377.92,378.25,376.889076016229,2661536,0.0,1.0
2024-09-24,380.0,389.43,379.5,385.93,384.541443772487,4024264,0.0,1.0
2024-09-23,368.99,372.97,366.975,371.17,369.834549490929,2442816,0.0,1.0
2024-09-20,370.4,371.45,365.84,368.82,367.493004669678,5440526,0.0,1.0
2024-09-19,363.0,374.69,361.27,373.31,371.966849881344,4066612,0.0,1.0
2024-09-18,355.0,361.63,352.32,355.12,353.842296562811,1990660,0.0,1.0
2024-09-17,350.0,354.58,349.2352,353.69,352.417441629029,2088589,0.0,1.0
2024-09-16,348.35,351.46,344.29,347.96,346.708057873383,1648247,0.0,1.0
2024-09-13,342.42,347.22,340.3541,345.31,344.067592436653,2518723,0.0,1.0
2024-09-12,335.28,341.04,333.68,339.58,338.358208681007,1747566,0.0,1.0
2024-09-11,333.0,335.48,326.11,335.0,333.794687284697,1934695,0.0,1.0
2024-09-10,335.11,335.75,329.39,334.16,332.957709561356,1869324,0.0,1.0
2024-09-09,333.91,336.36,332.97,334.04,332.838141315165,2355801,0.0,1.0
2024-09-06,334.2,338.62,328.12,329.36,328.174979713695,2676623,0.0,1.0
2024-09-05,336.02,336.485,330.56,333.56,332.359868330399,2525491,0.0,1.0
2024-09-04,338.59,340.85,335.29,336.75,335.53839087499,1679647,0.0,1.0
2024-09-03,352.21,352.63,338.4001,340.24,339.015834035061,3107219,0.0,1.0
2024-08-30,352.59,356.24,349.83,356.1,354.818770573375,2974052,0.0,1.0
2024-08-29,351.22,356.46,347.49,351.64,350.374817423256,1664658,0.0,1.0
2024-08-28,350.59,354.43,345.84,348.2,346.947194365766,1514474,0.0,1.0
2024-08-27,350.35,351.72,347.1,351.12,349.856688356427,1211040,0.0,1.0
2024-08-26,349.81,354.41,348.935,351.16,349.89654443849,1718059,0.0,1.0
