,MSTR_Open,MSTR_High,MSTR_Low,MSTR_Close,MSTR_Adj Close,MSTR_Volume,MSTR_Dividend Amount,MSTR_Split Coefficient
2024-03-11,1550.0,1657.06,1477.35,1484.23,148.423,3997234,0.0,1.0
2024-03-08,1328.04,1451.73,1283.6639,1425.59,142.559,3741774,0.0,1.0
2024-03-07,1284.98,1321.04,1225.0,1300.02,130.002,2167716,0.0,1.0
2024-03-06,1140.0,1285.55,1131.101,1246.21,124.621,3693999,0.0,1.0
2024-03-05,1244.19,1337.7899,1035.06,1051.01,105.101,5736628,0.0,1.0
2024-03-04,1200.0,1359.91,1190.01,1334.01,133.401,5424989,0.0,1.0
2024-03-01,996.0,1080.0,992.0,1079.39,107.939,2696436,0.0,1.0
2024-02-29,999.0,1040.0,960.4436,1022.84,102.284,3520603,0.0,1.0
2024-02-28,952.0,1008.88,915.5,962.95,96.295,4838819,0.0,1.0
2024-02-27,866.1,890.0,841.76,871.8,87.18,2274761,0.0,1.0
2024-02-26,687.94,809.9499,687.94,796.48,79.648,2269529,0.0,1.0
2024-02-23,699.01,704.285,678.06,687.44,68.744,739284,0.0,1.0
2024-02-22,683.7,723.2499,679.99,713.15,71.315,1042512,0.0,1.0
2024-02-21,684.3,685.38,664.2565,672.8,67.28,703306,0.0,1.0
2024-02-20,710.79,721.98,670.27,704.98,70.498,968005,0.0,1.0
2024-02-16,735.0,740.0,689.38,699.56,69.956,1340711,0.0,1.0
2024-02-15,792.44,806.78,707.5139,718.0,71.8,2382769,0.0,1.0
2024-02-14,746.0,774.84,734.165,769.88,76.988,2070474,0.0,1.0
2024-02-13,675.0,701.2199,655.55,686.02,68.602,1391453,0.0,1.0
2024-02-12,651.99,725.27,650.17,717.52,71.752,2309973,0.0,1.0
2024-02-09,627.4,648.9,614.115,646.32,64.632,2468457,0.0,1.0
