,OLLI_Open,OLLI_High,OLLI_Low,OLLI_Close,OLLI_Adj Close,OLLI_Volume,OLLI_Dividend Amount,OLLI_Split Coefficient
2024-10-07,96.62,96.885,92.43,93.21,93.21,1300145,0.0,1.0
2024-10-04,97.22,99.265,96.9201,97.39,97.39,647893,0.0,1.0
2024-10-03,95.48,96.5,93.82,95.92,95.92,818426,0.0,1.0
2024-10-02,95.15,96.18,94.545,96.08,96.08,706609,0.0,1.0
2024-10-01,97.02,97.81,95.345,95.5,95.5,806528,0.0,1.0
2024-09-30,98.0,99.355,96.56,97.2,97.2,837373,0.0,1.0
2024-09-27,99.29,99.29,95.22,96.98,96.98,1208655,0.0,1.0
2024-09-26,101.59,101.79,98.17,98.66,98.66,869360,0.0,1.0
2024-09-25,101.78,102.0,100.1095,100.76,100.76,553100,0.0,1.0
2024-09-24,101.27,102.38,100.14,102.06,102.06,931886,0.0,1.0
2024-09-23,99.55,102.09,98.65,101.68,101.68,1225296,0.0,1.0
2024-09-20,97.86,99.18,97.03,98.99,98.99,1221147,0.0,1.0
2024-09-19,99.36,99.915,96.65,97.81,97.81,745176,0.0,1.0
2024-09-18,98.7,100.24,96.8009,98.13,98.13,795622,0.0,1.0
2024-09-17,99.56,101.0,98.89,99.0,99.0,797944,0.0,1.0
2024-09-16,98.57,100.96,97.94,99.18,99.18,1183878,0.0,1.0
2024-09-13,99.06,99.29,97.08,98.17,98.17,941540,0.0,1.0
2024-09-12,96.87,99.26,96.1921,98.16,98.16,842781,0.0,1.0
2024-09-11,93.28,96.83,92.66,96.35,96.35,1200113,0.0,1.0
2024-09-10,93.21,94.14,91.3,93.47,93.47,1349311,0.0,1.0
2024-09-09,87.35,92.58,87.11,92.48,92.48,1731062,0.0,1.0
2024-09-06,87.93,88.37,86.6675,87.31,87.31,990059,0.0,1.0
2024-09-05,88.93,88.93,87.37,87.74,87.74,1004253,0.0,1.0
2024-09-04,88.41,89.535,87.27,88.75,88.75,975483,0.0,1.0
2024-09-03,89.58,89.73,87.44,89.01,89.01,1674948,0.0,1.0
2024-08-30,87.75,90.69,86.54,89.56,89.56,2553813,0.0,1.0
2024-08-29,92.06,93.59,86.29,86.9,86.9,4290364,0.0,1.0
2024-08-28,94.2,95.405,93.63,94.09,94.09,1731428,0.0,1.0
2024-08-27,97.39,97.42,94.43,95.03,95.03,1165072,0.0,1.0
2024-08-26,100.63,100.78,97.52,97.7,97.7,944059,0.0,1.0
2024-08-23,98.75,99.28,97.04,98.89,98.89,748707,0.0,1.0
2024-08-22,99.36,99.4,97.16,97.34,97.34,471511,0.0,1.0
2024-08-21,98.01,99.56,96.81,99.11,99.11,736520,0.0,1.0
2024-08-20,97.44,97.8,95.88,96.69,96.69,738068,0.0,1.0
2024-08-19,96.21,98.355,96.21,97.37,97.37,1102086,0.0,1.0
2024-08-16,93.65,96.03,93.65,95.94,95.94,1015070,0.0,1.0
2024-08-15,89.6,94.66,89.56,94.45,94.45,2162192,0.0,1.0
2024-08-14,87.84,88.69,86.05,86.23,86.23,1083094,0.0,1.0
2024-08-13,88.51,89.9,86.145,87.47,87.47,1138547,0.0,1.0
2024-08-12,92.29,92.29,87.71,88.67,88.67,1296093,0.0,1.0
2024-08-09,92.4,93.0,91.43,91.86,91.86,717629,0.0,1.0
2024-08-08,90.55,93.36,90.55,93.02,93.02,713660,0.0,1.0
2024-08-07,95.07,95.58,90.25,90.63,90.63,975413,0.0,1.0
2024-08-06,94.52,95.05,93.33,94.19,94.19,665421,0.0,1.0
2024-08-05,92.22,94.8,91.25,93.7,93.7,1065703,0.0,1.0
2024-08-02,95.37,96.42,92.52,96.41,96.41,1409883,0.0,1.0
2024-08-01,98.18,99.04,96.21,97.65,97.65,592905,0.0,1.0
2024-07-31,99.96,99.96,96.975,97.64,97.64,740914,0.0,1.0
2024-07-30,99.02,100.1999,97.77,99.14,99.14,929860,0.0,1.0
2024-07-29,96.66,99.05,95.5,98.95,98.95,1147481,0.0,1.0
2024-07-26,97.5,98.01,95.66,96.0,96.0,568457,0.0,1.0
2024-07-25,97.18,98.16,95.4597,96.39,96.39,697675,0.0,1.0
2024-07-24,98.16,99.32,96.75,97.08,97.08,860911,0.0,1.0
2024-07-23,98.96,99.16,97.5,99.08,99.08,777777,0.0,1.0
2024-07-22,101.02,101.66,98.75,98.96,98.96,680985,0.0,1.0
2024-07-19,100.29,102.03,100.26,100.55,100.55,649335,0.0,1.0
2024-07-18,101.84,102.7,98.64,101.03,101.03,1200438,0.0,1.0
2024-07-17,102.72,104.47,99.99,101.45,101.45,1058148,0.0,1.0
2024-07-16,103.34,104.89,102.02,103.97,103.97,1014283,0.0,1.0
2024-07-15,101.77,104.98,101.72,103.45,103.45,1354854,0.0,1.0
2024-07-12,101.93,103.64,100.99,101.76,101.76,983458,0.0,1.0
2024-07-11,99.66,101.8,99.43,101.05,101.05,1283704,0.0,1.0
2024-07-10,98.42,99.79,97.76,98.8,98.8,907702,0.0,1.0
2024-07-09,100.4,100.4,97.84,98.28,98.28,847283,0.0,1.0
2024-07-08,98.49,100.875,96.42,99.86,99.86,1786444,0.0,1.0
2024-07-05,96.25,99.21,95.0,98.55,98.55,1387368,0.0,1.0
2024-07-03,97.97,98.8,96.8,96.92,96.92,754553,0.0,1.0
2024-07-02,98.56,100.2199,97.485,98.32,98.32,1344501,0.0,1.0
2024-07-01,98.79,99.36,96.96,98.38,98.38,1222715,0.0,1.0
2024-06-28,98.75,98.77,96.83,98.17,98.17,1438763,0.0,1.0
2024-06-27,97.01,98.71,96.88,98.34,98.34,765786,0.0,1.0
2024-06-26,98.26,99.38,97.5,98.31,98.31,799196,0.0,1.0
2024-06-25,98.17,99.48,97.0,98.41,98.41,1101776,0.0,1.0
2024-06-24,98.77,99.19,97.125,97.82,97.82,1003057,0.0,1.0
2024-06-21,97.82,98.65,96.55,98.27,98.27,1131963,0.0,1.0
2024-06-20,98.17,100.44,97.61,97.73,97.73,1663251,0.0,1.0
2024-06-18,95.94,99.67,95.08,98.04,98.04,1866200,0.0,1.0
2024-06-17,89.55,96.53,89.14,95.98,95.98,2403653,0.0,1.0
2024-06-14,85.27,88.51,84.93,87.71,87.71,3816778,0.0,1.0
2024-06-13,84.92,85.74,84.48,85.4,85.4,609751,0.0,1.0
2024-06-12,85.98,86.29,84.67,84.85,84.85,766093,0.0,1.0
2024-06-11,84.44,85.85,83.55,85.2,85.2,1002256,0.0,1.0
2024-06-10,82.94,85.08,82.84,84.61,84.61,1635115,0.0,1.0
2024-06-07,84.12,85.74,82.95,83.51,83.51,925927,0.0,1.0
2024-06-06,88.84,89.545,84.1,84.35,84.35,1608636,0.0,1.0
2024-06-05,85.0,91.0797,84.84,89.83,89.83,3172096,0.0,1.0
2024-06-04,83.41,83.62,81.15,82.04,82.04,1655605,0.0,1.0
2024-06-03,82.15,84.56,82.15,83.62,83.62,1655757,0.0,1.0
2024-05-31,81.12,82.96,80.47,82.43,82.43,1131675,0.0,1.0
2024-05-30,79.5,81.32,78.805,81.1,81.1,868573,0.0,1.0
2024-05-29,78.85,80.31,78.58,79.37,79.37,595721,0.0,1.0
2024-05-28,78.6,80.1,77.75,78.92,78.92,1172913,0.0,1.0
2024-05-24,75.75,78.57,75.67,78.38,78.38,1060349,0.0,1.0
2024-05-23,73.98,75.56,73.36,75.18,75.18,645080,0.0,1.0
2024-05-22,72.84,73.95,72.22,73.88,73.88,657104,0.0,1.0
2024-05-21,73.5,75.3,72.5,72.93,72.93,1137235,0.0,1.0
2024-05-20,73.51,74.26,72.63,73.17,73.17,892992,0.0,1.0
2024-05-17,73.47,73.9,72.19,73.36,73.36,930609,0.0,1.0
2024-05-16,72.66,74.41,72.65,73.51,73.51,1098007,0.0,1.0
2024-05-15,73.53,74.155,72.37,72.62,72.62,961200,0.0,1.0
2024-05-14,75.27,75.67,72.82,73.27,73.27,1168686,0.0,1.0
2024-05-13,78.21,79.79,74.25,74.5,74.5,1103438,0.0,1.0
2024-05-10,78.64,78.68,77.36,77.84,77.84,575457,0.0,1.0
2024-05-09,78.93,79.9,78.64,78.72,78.72,671720,0.0,1.0
2024-05-08,79.24,80.37,78.05,78.6,78.6,728271,0.0,1.0
2024-05-07,78.87,80.16,78.87,79.51,79.51,688688,0.0,1.0
2024-05-06,78.51,80.195,78.26,78.68,78.68,1196946,0.0,1.0
2024-05-03,76.59,77.275,76.04,76.8,76.8,743830,0.0,1.0
2024-05-02,73.0,74.745,72.31,74.62,74.62,732363,0.0,1.0
2024-05-01,72.8,72.8,70.17,72.26,72.26,887888,0.0,1.0
2024-04-30,71.65,73.55,71.475,73.14,73.14,1044906,0.0,1.0
2024-04-29,74.4,74.46,71.6,71.91,71.91,1206334,0.0,1.0
2024-04-26,74.32,75.11,73.51,74.46,74.46,584139,0.0,1.0
2024-04-25,74.78,75.43,73.46,74.35,74.35,829136,0.0,1.0
2024-04-24,75.13,75.555,74.29,74.71,74.71,650043,0.0,1.0
2024-04-23,73.71,75.675,73.565,75.215,75.215,942143,0.0,1.0
2024-04-22,73.57,74.59,72.54,73.7,73.7,1019810,0.0,1.0
2024-04-19,72.0,73.85,71.955,73.21,73.21,711395,0.0,1.0
2024-04-18,72.07,72.95,71.6,72.29,72.29,662932,0.0,1.0
2024-04-17,72.48,73.09,70.43,71.15,71.15,906006,0.0,1.0
2024-04-16,72.44,72.62,71.47,71.89,71.89,1028637,0.0,1.0
2024-04-15,72.59,74.67,71.67,72.41,72.41,953845,0.0,1.0
2024-04-12,72.64,73.25,71.45,71.52,71.52,759704,0.0,1.0
2024-04-11,73.38,73.555,71.78,73.12,73.12,834256,0.0,1.0
2024-04-10,71.95,72.97,71.18,72.82,72.82,1011864,0.0,1.0
2024-04-09,72.97,73.62,72.01,72.9,72.9,992491,0.0,1.0
2024-04-08,73.1,75.09,72.96,72.97,72.97,1316420,0.0,1.0
2024-04-05,72.74,74.48,72.39,73.43,73.43,1179304,0.0,1.0
2024-04-04,68.83,72.43,68.83,71.16,71.16,1752136,0.0,1.0
2024-04-03,71.22,71.25,68.05,68.45,68.45,1438918,0.0,1.0
2024-04-02,73.28,73.485,71.1,71.42,71.42,1256048,0.0,1.0
2024-04-01,78.76,78.76,74.19,74.23,74.23,1837587,0.0,1.0
2024-03-28,78.87,79.66,78.6,79.57,79.57,601747,0.0,1.0
2024-03-27,77.53,78.83,76.7877,78.82,78.82,834488,0.0,1.0
2024-03-26,79.0,79.75,75.96,76.1,76.1,1227394,0.0,1.0
2024-03-25,78.14,79.96,77.76,79.36,79.36,953419,0.0,1.0
2024-03-22,79.47,80.12,77.81,78.17,78.17,1240647,0.0,1.0
2024-03-21,76.83,80.275,76.54,79.63,79.63,1353509,0.0,1.0
2024-03-20,74.64,78.0,73.59,76.29,76.29,3089955,0.0,1.0
2024-03-19,75.03,75.72,73.95,75.35,75.35,2143487,0.0,1.0
2024-03-18,74.04,75.074,73.56,75.0,75.0,1628841,0.0,1.0
2024-03-15,74.6,75.9143,73.21,74.0,74.0,1467322,0.0,1.0
2024-03-14,75.53,76.385,73.215,74.65,74.65,942349,0.0,1.0
2024-03-13,73.09,75.02,73.01,74.65,74.65,999144,0.0,1.0
2024-03-12,74.84,76.28,74.34,74.52,74.52,554711,0.0,1.0
2024-03-11,74.94,75.775,73.94,75.45,75.45,618477,0.0,1.0
2024-03-08,75.42,75.515,73.64,74.55,74.55,470099,0.0,1.0
2024-03-07,74.81,75.93,74.35,75.28,75.28,525365,0.0,1.0
2024-03-06,76.23,76.73,74.46,74.92,74.92,729471,0.0,1.0
2024-03-05,76.91,77.28,75.305,76.17,76.17,890295,0.0,1.0
2024-03-04,78.96,80.09,76.89,77.0,77.0,761392,0.0,1.0
