,POST_Open,POST_High,POST_Low,POST_Close,POST_Adj Close,POST_Volume,POST_Dividend Amount,POST_Split Coefficient
2024-10-04,114.04,114.7,113.57,114.49,114.49,366259,0.0,1.0
2024-10-03,114.9,114.9,113.45,113.87,113.87,428650,0.0,1.0
2024-10-02,115.48,115.52,114.48,114.98,114.98,329301,0.0,1.0
2024-10-01,115.41,116.34,114.76,116.11,116.11,352483,0.0,1.0
2024-09-30,115.88,116.11,114.75,115.75,115.75,409574,0.0,1.0
2024-09-27,115.79,116.78,115.47,116.1,116.1,414708,0.0,1.0
2024-09-26,115.02,115.79,114.82,115.67,115.67,304058,0.0,1.0
2024-09-25,114.71,115.3,114.38,115.18,115.18,476053,0.0,1.0
2024-09-24,114.5,115.32,113.73,114.2,114.2,356781,0.0,1.0
2024-09-23,114.57,115.28,113.67,114.59,114.59,540225,0.0,1.0
2024-09-20,114.42,114.75,113.59,114.49,114.49,1288819,0.0,1.0
2024-09-19,115.94,116.01,113.86,114.49,114.49,646591,0.0,1.0
2024-09-18,114.08,116.19,113.89,115.15,115.15,382379,0.0,1.0
2024-09-17,115.75,116.65,114.475,114.65,114.65,364666,0.0,1.0
2024-09-16,116.17,117.06,115.29,115.6,115.6,541478,0.0,1.0
2024-09-13,114.41,115.53,114.41,115.48,115.48,491844,0.0,1.0
2024-09-12,114.22,114.89,113.935,114.42,114.42,465884,0.0,1.0
2024-09-11,114.86,115.08,113.35,114.23,114.23,509907,0.0,1.0
2024-09-10,116.55,117.27,114.99,115.26,115.26,768464,0.0,1.0
2024-09-09,115.75,116.975,115.39,116.53,116.53,371872,0.0,1.0
2024-09-06,117.45,118.28,115.73,115.96,115.96,390223,0.0,1.0
2024-09-05,118.75,118.96,117.2301,117.87,117.87,636389,0.0,1.0
2024-09-04,116.53,118.31,116.53,118.23,118.23,454656,0.0,1.0
2024-09-03,115.94,117.17,115.46,116.92,116.92,310397,0.0,1.0
2024-08-30,115.54,115.83,114.76,115.77,115.77,353118,0.0,1.0
2024-08-29,116.33,117.17,114.82,115.63,115.63,357078,0.0,1.0
2024-08-28,115.01,116.07,114.72,116.03,116.03,403969,0.0,1.0
2024-08-27,114.95,115.61,114.5639,115.2,115.2,361344,0.0,1.0
2024-08-26,117.0,117.24,114.831,115.02,115.02,428735,0.0,1.0
2024-08-23,115.3,116.82,114.98,116.63,116.63,326083,0.0,1.0
2024-08-22,114.65,115.22,114.02,115.15,115.15,269870,0.0,1.0
2024-08-21,114.95,115.32,113.84,114.65,114.65,335359,0.0,1.0
2024-08-20,114.91,115.38,114.525,114.65,114.65,513388,0.0,1.0
2024-08-19,114.0,115.13,113.92,115.05,115.05,439293,0.0,1.0
2024-08-16,113.6,114.14,113.18,113.85,113.85,308336,0.0,1.0
2024-08-15,114.78,114.78,113.393,113.65,113.65,339439,0.0,1.0
2024-08-14,113.87,115.32,113.775,114.23,114.23,418249,0.0,1.0
2024-08-13,112.31,113.375,111.79,112.79,112.79,369408,0.0,1.0
2024-08-12,111.43,112.765,110.77,112.16,112.16,358980,0.0,1.0
2024-08-09,112.26,112.585,111.155,111.87,111.87,409800,0.0,1.0
2024-08-08,110.84,113.01,110.84,112.7,112.7,443076,0.0,1.0
2024-08-07,112.31,113.15,111.02,111.21,111.21,780121,0.0,1.0
2024-08-06,111.94,113.33,111.54,111.77,111.77,541034,0.0,1.0
2024-08-05,112.5,113.39,110.42,111.14,111.14,551267,0.0,1.0
2024-08-02,110.87,114.28,110.42,113.71,113.71,938780,0.0,1.0
2024-08-01,109.36,111.12,109.03,110.42,110.42,828847,0.0,1.0
2024-07-31,109.17,109.93,108.06,109.36,109.36,525333,0.0,1.0
2024-07-30,108.59,109.435,107.42,108.54,108.54,775653,0.0,1.0
2024-07-29,108.29,109.395,108.13,109.02,109.02,428493,0.0,1.0
2024-07-26,108.54,109.48,108.4,108.97,108.97,517239,0.0,1.0
2024-07-25,108.41,110.55,107.36,107.94,107.94,444808,0.0,1.0
2024-07-24,110.03,110.16,107.94,108.17,108.17,477226,0.0,1.0
2024-07-23,109.81,110.42,109.19,110.29,110.29,249350,0.0,1.0
2024-07-22,109.5,110.17,108.735,110.01,110.01,379440,0.0,1.0
2024-07-19,109.99,110.26,108.525,109.46,109.46,337308,0.0,1.0
2024-07-18,109.27,110.88,109.27,110.01,110.01,321858,0.0,1.0
2024-07-17,108.23,110.58,108.23,110.03,110.03,427288,0.0,1.0
2024-07-16,106.84,108.1,106.62,108.01,108.01,323906,0.0,1.0
2024-07-15,107.53,107.58,106.34,106.42,106.42,512990,0.0,1.0
2024-07-12,107.26,108.32,107.03,107.14,107.14,701250,0.0,1.0
2024-07-11,105.18,107.19,104.38,106.86,106.86,595944,0.0,1.0
2024-07-10,104.0,105.37,103.86,105.3,105.3,719927,0.0,1.0
2024-07-09,104.98,105.205,103.74,103.74,103.74,495631,0.0,1.0
2024-07-08,104.89,105.735,104.89,105.06,105.06,319518,0.0,1.0
2024-07-05,104.21,105.38,104.05,104.76,104.76,578229,0.0,1.0
2024-07-03,104.33,104.66,103.93,104.36,104.36,191697,0.0,1.0
2024-07-02,103.6,104.7,103.37,104.35,104.35,305908,0.0,1.0
2024-07-01,104.59,105.58,103.33,103.64,103.64,454256,0.0,1.0
2024-06-28,104.11,104.6,103.14,104.16,104.16,694949,0.0,1.0
2024-06-27,103.5,104.135,103.095,103.82,103.82,397192,0.0,1.0
2024-06-26,102.63,103.37,102.13,103.17,103.17,495797,0.0,1.0
2024-06-25,104.93,105.53,103.04,103.57,103.57,376034,0.0,1.0
2024-06-24,104.35,105.09,103.82,104.93,104.93,644446,0.0,1.0
2024-06-21,102.68,104.0,101.51,103.99,103.99,803249,0.0,1.0
2024-06-20,101.57,102.83,101.57,102.28,102.28,395268,0.0,1.0
2024-06-18,101.94,102.52,101.64,101.99,101.99,357464,0.0,1.0
2024-06-17,100.8,102.19,100.19,101.95,101.95,533277,0.0,1.0
2024-06-14,100.43,101.43,99.7,100.99,100.99,363359,0.0,1.0
2024-06-13,101.56,101.63,100.125,100.86,100.86,498489,0.0,1.0
2024-06-12,103.16,103.56,101.04,101.68,101.68,490023,0.0,1.0
2024-06-11,103.3,103.97,102.51,102.6,102.6,383179,0.0,1.0
2024-06-10,103.03,104.1,102.12,103.49,103.49,355210,0.0,1.0
2024-06-07,104.35,105.02,103.64,103.96,103.96,351937,0.0,1.0
2024-06-06,104.98,105.68,104.0201,105.1,105.1,212823,0.0,1.0
2024-06-05,104.91,105.04,104.0,104.76,104.76,363179,0.0,1.0
2024-06-04,104.57,106.31,104.48,105.22,105.22,339986,0.0,1.0
2024-06-03,105.92,106.38,104.86,105.11,105.11,352384,0.0,1.0
2024-05-31,103.38,106.785,103.13,106.57,106.57,758377,0.0,1.0
