,MA_Open,MA_High,MA_Low,MA_Close,MA_Adj Close,MA_Volume,MA_Dividend Amount,MA_Split Coefficient
2024-10-01,497.26,498.03,493.11,496.38,496.38,3748206,0.0,1.0
2024-09-30,491.78,494.99,490.11,493.8,493.8,2862475,0.0,1.0
2024-09-27,491.03,496.0,490.39,493.64,493.64,2177336,0.0,1.0
2024-09-26,491.0,493.625,489.0,491.27,491.27,3073747,0.0,1.0
2024-09-25,484.76,489.9,483.54,489.45,489.45,3483193,0.0,1.0
2024-09-24,492.68,493.245,484.42,487.41,487.41,4143654,0.0,1.0
2024-09-23,493.16,497.69,491.3,497.14,497.14,2191256,0.0,1.0
2024-09-20,489.65,493.53,487.74,492.74,492.74,3470313,0.0,1.0
2024-09-19,500.0,501.13,486.25,493.01,493.01,3517228,0.0,1.0
2024-09-18,501.28,501.8,494.04,494.76,494.76,2193838,0.0,1.0
2024-09-17,498.6,501.74,497.85,500.99,500.99,2202852,0.0,1.0
2024-09-16,495.3,498.32,493.39,497.71,497.71,1589320,0.0,1.0
2024-09-13,493.1,496.85,491.45,493.36,493.36,2204789,0.0,1.0
2024-09-12,486.95,492.88,483.0,492.11,492.11,2299485,0.0,1.0
2024-09-11,486.52,489.11,477.84,488.18,488.18,2479988,0.0,1.0
2024-09-10,487.1,488.33,482.33,488.02,488.02,2234088,0.0,1.0
2024-09-09,480.5,489.21,479.565,487.09,487.09,2343553,0.0,1.0
2024-09-06,477.11,480.44,474.71,476.12,476.12,2116234,0.0,1.0
2024-09-05,483.14,484.16,473.1101,477.36,477.36,2293539,0.0,1.0
2024-09-04,482.09,486.17,481.18,483.14,483.14,1881322,0.0,1.0
2024-09-03,482.47,486.69,480.04,482.12,482.12,2063707,0.0,1.0
2024-08-30,481.84,485.74,479.65,483.34,483.34,2982115,0.0,1.0
2024-08-29,474.47,481.92,474.47,480.8,480.8,1893601,0.0,1.0
2024-08-28,475.0,476.41,468.865,471.8,471.8,1445425,0.0,1.0
2024-08-27,471.08,475.5,468.22,474.99,474.99,1635908,0.0,1.0
2024-08-26,468.1,470.53,467.0,468.64,468.64,1434397,0.0,1.0
2024-08-23,470.3,470.34,461.9,466.44,466.44,1986348,0.0,1.0
2024-08-22,469.49,470.91,466.7,468.82,468.82,1538288,0.0,1.0
2024-08-21,468.54,469.09,464.52,468.0,468.0,2105889,0.0,1.0
2024-08-20,468.13,469.67,465.51,469.12,469.12,1763383,0.0,1.0
2024-08-19,469.0,470.15,465.52,466.98,466.98,1690880,0.0,1.0
2024-08-16,468.0,470.26,466.04,468.88,468.88,1922047,0.0,1.0
2024-08-15,465.1,469.0,464.0,468.71,468.71,2130571,0.0,1.0
2024-08-14,459.26,460.54,456.07,460.16,460.16,1654140,0.0,1.0
2024-08-13,458.14,459.64,454.89,459.36,459.36,1816206,0.0,1.0
2024-08-12,457.77,458.46,453.89,455.69,455.69,1760046,0.0,1.0
2024-08-09,455.58,458.8,453.46,456.78,456.78,1760295,0.0,1.0
2024-08-08,452.24,456.27,451.03,455.58,455.58,1585584,0.0,1.0
2024-08-07,450.53,456.92,449.04,449.84,449.84,2059829,0.0,1.0
2024-08-06,443.22,455.45,442.11,448.3,448.3,2759051,0.0,1.0
2024-08-05,455.0,461.295,439.5901,442.0,442.0,4496726,0.0,1.0
2024-08-02,460.22,466.75,458.61,462.02,462.02,3808080,0.0,1.0
2024-08-01,465.46,467.5,459.19,462.41,462.41,2590132,0.0,1.0
2024-07-31,462.0,474.0,457.54,463.71,463.71,4313637,0.0,1.0
2024-07-30,443.77,448.73,443.01,447.45,447.45,2266899,0.0,1.0
2024-07-29,438.8,442.92,435.42,441.3,441.3,2248633,0.0,1.0
2024-07-26,432.28,440.7825,432.11,438.18,438.18,2039595,0.0,1.0
2024-07-25,433.94,437.7022,429.56,429.6,429.6,2384325,0.0,1.0
2024-07-24,434.0,435.86,428.86,432.45,432.45,3764823,0.0,1.0
2024-07-23,448.05,448.74,441.11,441.72,441.72,2385481,0.0,1.0
2024-07-22,445.41,448.85,443.25,447.94,447.94,2111943,0.0,1.0
2024-07-19,451.22,451.24,443.57,443.69,443.69,2121736,0.0,1.0
2024-07-18,448.75,455.43,447.48,448.72,448.72,3339984,0.0,1.0
2024-07-17,442.4,451.52,442.06,451.16,451.16,2924993,0.0,1.0
2024-07-16,446.94,447.1584,439.7,443.53,443.53,2846645,0.0,1.0
2024-07-15,440.33,444.4,438.74,444.0,444.0,1727716,0.0,1.0
2024-07-12,437.4,442.23,437.32,440.11,440.11,2645729,0.0,1.0
2024-07-11,432.0,437.77,430.1101,436.42,436.42,4032726,0.0,1.0
2024-07-10,434.61,437.41,429.05,433.64,433.64,4760902,0.0,1.0
2024-07-09,446.65,447.58,442.79,444.7,444.7,1608726,0.66,1.0
2024-07-08,449.28,450.61,445.0,446.24,445.578695886474,1802729,0.0,1.0
2024-07-05,447.11,449.95,444.275,449.49,448.82387955811,2220706,0.0,1.0
2024-07-03,445.32,449.285,444.275,448.18,447.515820908928,3192350,0.0,1.0
2024-07-02,435.0,444.76,435.0,444.65,443.991052182504,2061407,0.0,1.0
2024-07-01,440.8,442.465,435.55,437.61,436.961485090713,3149663,0.0,1.0
2024-06-28,444.64,448.3,438.72,441.16,440.506224178193,4105179,0.0,1.0
2024-06-27,448.57,448.7,442.0,442.75,442.093867882163,3313924,0.0,1.0
2024-06-26,452.75,454.6771,451.39,452.38,451.709596730735,2451388,0.0,1.0
2024-06-25,458.48,460.305,453.795,455.65,454.974750763427,2529625,0.0,1.0
2024-06-24,454.93,463.07,454.93,456.96,456.28280941261,2597068,0.0,1.0
2024-06-21,452.19,455.3,450.26,454.85,454.175936321178,5062383,0.0,1.0
2024-06-20,451.06,454.4808,448.36,452.51,451.8394040776,3006765,0.0,1.0
2024-06-18,447.06,451.2,446.7,450.11,449.442960750853,2636506,0.0,1.0
2024-06-17,442.43,449.34,441.68,448.11,447.445924645231,2351895,0.0,1.0
2024-06-14,443.34,444.9588,441.2,444.63,443.971081821448,2161546,0.0,1.0
2024-06-13,443.0,445.15,439.32,445.0,444.340533500988,2916648,0.0,1.0
2024-06-12,451.49,452.5,441.6,443.0,442.343497395365,2738928,0.0,1.0
2024-06-11,447.84,449.25,445.11,449.04,448.374546434345,1777281,0.0,1.0
2024-06-10,448.42,450.17,444.37,449.25,448.584235225436,1954548,0.0,1.0
2024-06-07,449.45,453.0,447.26,449.79,449.123434973954,1664850,0.0,1.0
2024-06-06,448.49,449.78,444.63,448.68,448.015079935333,1887061,0.0,1.0
2024-06-05,446.8,447.565,442.305,446.66,445.998073468655,2157011,0.0,1.0
2024-06-04,443.36,444.88,441.32,444.77,444.110874348841,2096578,0.0,1.0
2024-06-03,443.48,445.0,437.885,443.19,442.5332158254,2123775,0.0,1.0
2024-05-31,442.69,447.34,439.255,447.07,446.407465870307,3917303,0.0,1.0
2024-05-30,442.21,444.19,440.67,442.1,441.444831147835,2189905,0.0,1.0
2024-05-29,442.11,444.555,441.8,442.47,441.814282827376,1876996,0.0,1.0
2024-05-28,450.0,450.625,442.395,445.08,444.420414945213,2670989,0.0,1.0
2024-05-24,452.51,454.45,450.32,451.18,450.511375067361,2162182,0.0,1.0
2024-05-23,456.52,458.05,450.44,451.21,450.541330608945,2084733,0.0,1.0
2024-05-22,458.9,462.5,455.165,456.52,455.843461469373,1713650,0.0,1.0
2024-05-21,457.91,460.3899,455.63,459.1,458.419638045626,2165999,0.0,1.0
2024-05-20,459.48,462.22,458.78,459.66,458.9788081552,1397291,0.0,1.0
2024-05-17,460.45,461.685,458.11,460.27,459.587904167415,1985903,0.0,1.0
2024-05-16,460.0,464.93,458.82,458.87,458.189978893479,2412233,0.0,1.0
2024-05-15,452.79,458.6,452.79,458.0,457.321268187534,2437772,0.0,1.0
2024-05-14,457.92,458.98,449.3,454.2,453.526899586851,2990997,0.0,1.0
2024-05-13,456.93,458.72,455.505,457.76,457.081623854859,2069345,0.0,1.0
2024-05-10,457.33,458.58,454.98,456.98,456.302779773666,1730054,0.0,1.0
2024-05-09,453.55,456.025,453.55,455.49,454.814987874978,1970193,0.0,1.0
2024-05-08,454.0,455.11,449.915,454.77,454.096054876953,2332440,0.0,1.0
2024-05-07,451.76,453.3,447.525,453.06,452.388589006646,2345486,0.0,1.0
2024-05-06,447.23,450.4999,445.56,449.37,448.704057391773,2536211,0.0,1.0
2024-05-03,444.91,445.26,436.9,443.58,442.922637865996,3711610,0.0,1.0
2024-05-02,443.0,444.655,438.05,441.1,440.446313095024,3866467,0.0,1.0
2024-05-01,445.8,448.98,438.38,442.07,441.414875606251,4979366,0.0,1.0
2024-04-30,456.26,457.72,450.88,451.2,450.531345428417,2698813,0.0,1.0
2024-04-29,460.95,461.59,455.6829,457.1,456.422601940004,2121464,0.0,1.0
2024-04-26,462.91,464.82,460.94,462.42,461.734717980959,1963273,0.0,1.0
2024-04-25,460.94,464.0,456.72,462.11,461.425177384588,2006668,0.0,1.0
2024-04-24,465.29,468.15,460.35,462.5,461.814599425184,4043134,0.0,1.0
2024-04-23,458.48,462.98,457.31,462.82,462.134125202084,2029056,0.0,1.0
2024-04-22,457.5,460.74,455.13,456.75,456.07312062152,2157434,0.0,1.0
2024-04-19,458.89,459.86,452.585,455.39,454.715136069696,2548844,0.0,1.0
2024-04-18,460.5,461.91,453.8,454.7,454.026158613257,1998880,0.0,1.0
2024-04-17,462.77,463.41,458.15,460.16,459.478067181606,1735073,0.0,1.0
2024-04-16,460.0,463.38,459.0,459.82,459.13857104365,1787264,0.0,1.0
2024-04-15,470.24,471.0,458.43,459.79,459.108615502066,2070679,0.0,1.0
2024-04-12,466.0,469.52,462.11,465.38,464.69033141728,2486361,0.0,1.0
2024-04-11,468.28,470.3482,464.19,468.31,467.615989312017,2299867,0.0,1.0
2024-04-10,470.17,474.385,468.85,469.17,468.474714837435,2710709,0.0,1.0
2024-04-09,477.97,478.89,467.83,472.16,471.46028381534,2211613,0.0,1.0
2024-04-08,476.4,479.68,474.28,478.85,478.140369588647,1960134,0.66,1.0
2024-04-05,474.0,479.31,472.53,477.15,475.787110486169,2457467,0.0,1.0
2024-04-04,479.97,481.96,469.0,469.77,468.428190072488,2504653,0.0,1.0
2024-04-03,480.44,483.3,477.21,477.42,476.056339281792,2185162,0.0,1.0
2024-04-02,476.97,480.41,476.3,479.43,478.060598093648,2771481,0.0,1.0
2024-04-01,480.66,483.28,477.33,478.4,477.033540095533,1636500,0.0,1.0
2024-03-28,477.91,482.43,477.275,481.57,480.194485584878,2214542,0.0,1.0
2024-03-27,480.5,482.16,474.75,477.95,476.584825436162,2309507,0.0,1.0
2024-03-26,477.72,480.0,472.305,476.8,475.438110195548,2515051,0.0,1.0
2024-03-25,481.6,482.32,474.4111,476.04,474.680280993055,2600371,0.0,1.0
2024-03-22,488.31,488.89,481.46,481.67,480.294199953627,2277794,0.0,1.0
2024-03-21,488.53,490.0,483.4,488.64,487.244291455437,2580338,0.0,1.0
2024-03-20,484.32,488.45,483.64,488.04,486.646005242943,1691084,0.0,1.0
2024-03-19,481.62,484.61,479.51,484.0,482.61754474548,2049644,0.0,1.0
2024-03-18,478.64,480.82,476.65,478.89,477.522140502403,2072358,0.0,1.0
2024-03-15,473.34,478.46,473.08,475.83,474.470880818682,4179328,0.0,1.0
2024-03-14,481.02,482.0,477.1784,479.48,478.110455278023,2742861,0.0,1.0
2024-03-13,474.23,476.16,472.78,475.61,474.251509207434,2025588,0.0,1.0
2024-03-12,470.53,474.37,468.71,472.87,471.519335503709,1814203,0.0,1.0
2024-03-11,469.0,469.37,464.69,469.16,467.819932423119,1738627,0.0,1.0
2024-03-08,467.1,471.62,467.1,469.26,467.919646791868,1596884,0.0,1.0
2024-03-07,473.2,473.27,465.89,467.54,466.204559649384,2178103,0.0,1.0
2024-03-06,467.16,473.62,467.16,471.6,470.252963020596,1917151,0.0,1.0
2024-03-05,467.37,469.2435,464.62,467.52,466.184616775634,2015063,0.0,1.0
2024-03-04,475.67,476.63,465.765,468.49,467.1518461525,3212483,0.0,1.0
2024-03-01,474.91,477.5,473.9,476.63,475.268595768674,1748452,0.0,1.0
2024-02-29,478.0,478.39,472.05,474.76,473.403937073067,3072717,0.0,1.0
2024-02-28,474.17,479.14,473.67,478.85,477.482254754903,1931986,0.0,1.0
2024-02-27,474.55,475.0,469.95,474.75,473.393965636192,2011129,0.0,1.0
2024-02-26,473.0,475.075,472.0,474.51,473.154651151194,2066883,0.0,1.0
2024-02-23,473.73,475.1672,471.86,473.42,472.067764531829,1764216,0.0,1.0
2024-02-22,461.81,472.5,461.58,471.56,470.213077273096,2572782,0.0,1.0
2024-02-21,453.31,459.595,452.0,459.05,457.738809742588,2896527,0.0,1.0
2024-02-20,452.8,455.85,450.12,451.75,450.459660823906,5044210,0.0,1.0
2024-02-16,474.17,474.17,467.065,468.13,466.792874425004,2237275,0.0,1.0
2024-02-15,465.83,472.105,465.23,471.28,469.933877040599,2354215,0.0,1.0
2024-02-14,462.0,465.45,459.435,465.19,463.861271983781,2202784,0.0,1.0
2024-02-13,456.76,461.88,456.04,460.46,459.14478234195,2407755,0.0,1.0
2024-02-12,459.18,459.4,456.08,458.71,457.399780888841,1794533,0.0,1.0
2024-02-09,458.06,458.985,456.37,457.88,456.572151628224,2155449,0.0,1.0
2024-02-08,460.0,460.75,457.445,458.26,456.951066229471,2081511,0.0,1.0
2024-02-07,461.21,462.235,459.615,461.91,460.590640688812,2544469,0.0,1.0
2024-02-06,455.36,460.56,455.36,460.5,459.18466808945,2201912,0.0,1.0
2024-02-05,459.51,461.3674,455.5279,456.76,455.455350698235,2438961,0.0,1.0
2024-02-02,462.21,463.84,458.5,460.58,459.264439584449,2050335,0.0,1.0
2024-02-01,455.0,461.14,454.045,460.92,459.603468438196,3292697,0.0,1.0
2024-01-31,450.0,462.0,446.62,449.23,447.94685873143,4740634,0.0,1.0
2024-01-30,440.9,446.215,440.05,445.19,443.918398233968,2663616,0.0,1.0
2024-01-29,435.78,440.96,434.67,440.58,439.321565834636,2314246,0.0,1.0
2024-01-26,432.55,439.89,430.67,438.53,437.27742127528,2725548,0.0,1.0
2024-01-25,436.0,438.63,434.46,436.8,435.552362695921,2977825,0.0,1.0
2024-01-24,438.53,440.925,435.755,438.7,437.446935702153,2683480,0.0,1.0
2024-01-23,440.27,440.6,437.86,438.76,437.506764323403,2328662,0.0,1.0
2024-01-22,438.98,440.94,437.26,439.75,438.493936574019,2715618,0.0,1.0
2024-01-19,432.55,437.07,429.34,436.78,435.532419822171,2400409,0.0,1.0
2024-01-18,428.64,431.22,427.45,430.72,429.489729075978,2075759,0.0,1.0
2024-01-17,425.48,430.3793,425.48,427.42,426.199154907259,2690522,0.0,1.0
2024-01-16,427.44,429.73,426.52,428.35,427.126498536625,2397988,0.0,1.0
2024-01-12,429.95,431.11,427.7,429.1,427.874356302243,1892426,0.0,1.0
2024-01-11,430.0,431.79,425.77,426.72,425.501154326015,2320769,0.0,1.0
2024-01-10,426.0,429.47,424.1501,428.27,427.046727041626,2709369,0.0,1.0
2024-01-09,419.1,423.7,418.54,422.6,421.392922333554,2439387,0.0,1.0
2024-01-08,419.44,422.08,416.53,421.98,420.774693247309,2125446,0.66,1.0
