,PAY_Open,PAY_High,PAY_Low,PAY_Close,PAY_Adj Close,PAY_Volume,PAY_Dividend Amount,PAY_Split Coefficient
2024-08-13,22.83,23.36,22.63,22.7,22.7,331154,0.0,1.0
2024-08-12,22.3,22.74,21.7148,22.57,22.57,267428,0.0,1.0
2024-08-09,22.32,22.5,21.3135,22.22,22.22,352246,0.0,1.0
2024-08-08,18.9,19.52,18.84,19.51,19.51,156729,0.0,1.0
2024-08-07,19.12,19.65,18.795,18.85,18.85,86292,0.0,1.0
2024-08-06,18.48,19.1,18.22,18.8,18.8,91916,0.0,1.0
2024-08-05,18.08,18.63,17.7,18.41,18.41,135427,0.0,1.0
2024-08-02,19.73,19.73,19.02,19.18,19.18,188323,0.0,1.0
2024-08-01,21.03,21.24,20.382,20.5,20.5,169062,0.0,1.0
2024-07-31,21.46,21.58,21.06,21.15,21.15,141388,0.0,1.0
2024-07-30,21.6,21.9,21.25,21.35,21.35,209226,0.0,1.0
2024-07-29,21.45,21.55,20.98,21.36,21.36,229433,0.0,1.0
2024-07-26,20.63,21.42,20.48,21.3,21.3,191304,0.0,1.0
2024-07-25,19.98,20.72,19.81,20.31,20.31,81483,0.0,1.0
2024-07-24,20.17,20.41,19.92,19.94,19.94,85639,0.0,1.0
2024-07-23,20.21,20.48,20.21,20.33,20.33,50180,0.0,1.0
2024-07-22,20.07,20.31,19.565,20.28,20.28,79212,0.0,1.0
2024-07-19,19.55,19.89,19.5421,19.89,19.89,85822,0.0,1.0
2024-07-18,20.31,20.43,19.46,19.54,19.54,89313,0.0,1.0
2024-07-17,20.45,20.805,20.25,20.3,20.3,122793,0.0,1.0
2024-07-16,20.25,20.9803,20.12,20.65,20.65,231041,0.0,1.0
2024-07-15,19.65,20.24,19.4018,20.15,20.15,144084,0.0,1.0
2024-07-12,19.38,19.69,19.37,19.45,19.45,110377,0.0,1.0
2024-07-11,19.18,19.88,19.0201,19.38,19.38,127653,0.0,1.0
2024-07-10,19.19,19.375,18.81,19.09,19.09,172018,0.0,1.0
2024-07-09,19.27,19.285,18.42,18.48,18.48,180067,0.0,1.0
2024-07-08,19.23,19.23,18.685,19.12,19.12,157007,0.0,1.0
2024-07-05,19.13,19.36,18.8625,19.18,19.18,177308,0.0,1.0
2024-07-03,19.43,19.43,19.0,19.22,19.22,251890,0.0,1.0
2024-07-02,19.12,19.81,18.9,19.43,19.43,264077,0.0,1.0
2024-07-01,19.13,19.2499,18.82,19.13,19.13,197397,0.0,1.0
2024-06-28,18.54,19.2,18.47,19.0,19.0,491437,0.0,1.0
2024-06-27,17.76,18.41,17.6002,18.36,18.36,191182,0.0,1.0
2024-06-26,17.95,17.96,17.53,17.73,17.73,185496,0.0,1.0
2024-06-25,17.63,17.815,17.3834,17.76,17.76,196885,0.0,1.0
2024-06-24,18.58,18.615,16.94,17.64,17.64,447750,0.0,1.0
2024-06-21,19.28,19.28,18.64,18.71,18.71,613573,0.0,1.0
2024-06-20,19.34,19.5996,19.295,19.39,19.39,112063,0.0,1.0
2024-06-18,19.53,19.93,19.33,19.33,19.33,149233,0.0,1.0
2024-06-17,18.91,19.75,18.9,19.65,19.65,170160,0.0,1.0
2024-06-14,19.05,19.115,18.75,18.93,18.93,152176,0.0,1.0
2024-06-13,19.49,19.54,19.11,19.19,19.19,182214,0.0,1.0
2024-06-12,19.86,20.1,19.44,19.45,19.45,112411,0.0,1.0
2024-06-11,19.62,19.82,19.425,19.57,19.57,112213,0.0,1.0
2024-06-10,19.41,19.67,19.11,19.64,19.64,194164,0.0,1.0
2024-06-07,19.5,19.63,19.29,19.5,19.5,104241,0.0,1.0
2024-06-06,19.27,19.8223,19.27,19.67,19.67,113946,0.0,1.0
2024-06-05,18.55,19.28,18.55,19.27,19.27,215995,0.0,1.0
2024-06-04,18.51,18.64,18.2,18.29,18.29,162755,0.0,1.0
2024-06-03,18.83,18.83,18.35,18.6,18.6,213902,0.0,1.0
2024-05-31,18.9,18.97,18.53,18.71,18.71,191459,0.0,1.0
2024-05-30,19.12,19.19,18.705,18.73,18.73,136291,0.0,1.0
2024-05-29,18.92,19.15,18.81,19.06,19.06,87696,0.0,1.0
2024-05-28,19.07,19.19,18.74,19.11,19.11,182801,0.0,1.0
2024-05-24,18.73,19.12,18.5905,19.07,19.07,147839,0.0,1.0
2024-05-23,18.81,18.92,18.5,18.72,18.72,128264,0.0,1.0
2024-05-22,18.53,18.74,18.4401,18.63,18.63,178499,0.0,1.0
2024-05-21,18.74,18.74,18.4,18.56,18.56,91951,0.0,1.0
2024-05-20,18.81,18.8224,18.49,18.61,18.61,149791,0.0,1.0
2024-05-17,18.8,18.95,18.4,18.79,18.79,219724,0.0,1.0
2024-05-16,19.06,19.06,18.73,18.76,18.76,177427,0.0,1.0
2024-05-15,18.74,19.38,18.56,19.1,19.1,219418,0.0,1.0
2024-05-14,18.79,19.0,18.515,18.52,18.52,188903,0.0,1.0
2024-05-13,18.89,19.09,18.36,18.54,18.54,336489,0.0,1.0
2024-05-10,19.48,19.5,18.75,18.75,18.75,252151,0.0,1.0
