,ROK_Open,ROK_High,ROK_Low,ROK_Close,ROK_Adj Close,ROK_Volume,ROK_Dividend Amount,ROK_Split Coefficient
2024-10-04,269.13,269.89,264.25,267.01,267.01,415821,0.0,1.0
2024-10-03,264.74,265.0,261.0,264.97,264.97,569819,0.0,1.0
2024-10-02,263.88,266.53,260.31,266.28,266.28,682084,0.0,1.0
2024-10-01,268.24,269.23,263.1501,265.26,265.26,523805,0.0,1.0
2024-09-30,270.5,270.5,265.51,268.46,268.46,595456,0.0,1.0
2024-09-27,274.35,277.94,270.47,270.61,270.61,900180,0.0,1.0
2024-09-26,262.385,271.88,262.385,271.16,271.16,980727,0.0,1.0
2024-09-25,261.69,261.78,257.14,258.04,258.04,738043,0.0,1.0
2024-09-24,261.83,263.58,259.195,261.98,261.98,808015,0.0,1.0
2024-09-23,262.07,262.55,258.65,261.06,261.06,641521,0.0,1.0
2024-09-20,265.35,265.93,260.01,261.6,261.6,1304857,0.0,1.0
2024-09-19,270.0,270.315,264.6,268.23,268.23,801018,0.0,1.0
2024-09-18,265.78,268.5775,261.915,262.74,262.74,691312,0.0,1.0
2024-09-17,262.79,265.21,260.98,263.2,263.2,724390,0.0,1.0
2024-09-16,264.95,266.19,261.87,262.08,262.08,547662,0.0,1.0
2024-09-13,259.48,264.49,258.07,262.92,262.92,535038,0.0,1.0
2024-09-12,257.68,258.46,252.19,258.0,258.0,646402,0.0,1.0
2024-09-11,258.27,258.6,249.315,256.85,256.85,1189401,0.0,1.0
2024-09-10,260.5,262.27,257.05,261.99,261.99,552808,0.0,1.0
2024-09-09,259.23,262.1989,257.86,259.25,259.25,579278,0.0,1.0
2024-09-06,260.26,261.88,253.91,255.68,255.68,609244,0.0,1.0
2024-09-05,255.86,258.68,253.195,256.92,256.92,560835,0.0,1.0
2024-09-04,260.57,262.14,255.8835,256.66,256.66,657137,0.0,1.0
2024-09-03,269.49,270.365,259.91,261.48,261.48,632600,0.0,1.0
2024-08-30,268.43,272.32,265.695,272.03,272.03,962045,0.0,1.0
2024-08-29,264.03,269.26,262.28,266.52,266.52,548199,0.0,1.0
2024-08-28,263.82,263.915,260.14,261.93,261.93,586246,0.0,1.0
2024-08-27,267.25,267.25,262.76,263.32,263.32,518143,0.0,1.0
2024-08-26,272.17,273.64,267.14,268.1,268.1,377682,0.0,1.0
2024-08-23,264.75,271.44,263.91,270.98,270.98,512920,0.0,1.0
2024-08-22,266.58,267.11,262.16,263.03,263.03,489411,0.0,1.0
2024-08-21,267.0,267.96,262.62,265.55,265.55,849791,0.0,1.0
2024-08-20,264.65,267.34,263.9693,265.41,265.41,449926,0.0,1.0
2024-08-19,263.45,266.55,262.28,265.2,265.2,380657,0.0,1.0
2024-08-16,263.49,267.31,260.6,262.69,262.69,547393,0.0,1.0
2024-08-15,265.5,268.03,263.1,263.82,263.82,597857,0.0,1.0
2024-08-14,261.0,262.81,258.87,261.17,261.17,860084,0.0,1.0
2024-08-13,255.51,261.0,253.13,260.25,260.25,940168,0.0,1.0
2024-08-12,256.1,258.44,251.62,253.01,253.01,544311,1.25,1.0
2024-08-09,258.2,261.11,255.355,258.15,256.880875875088,625371,0.0,1.0
2024-08-08,248.84,261.08,248.41,259.14,257.86600880988,879198,0.0,1.0
2024-08-07,254.99,265.245,246.06,249.16,247.935072760167,1554452,0.0,1.0
2024-08-06,249.65,254.71,247.05,250.77,249.537157633918,796945,0.0,1.0
2024-08-05,243.03,252.25,242.81,248.27,247.049448202627,887225,0.0,1.0
2024-08-02,259.25,259.985,250.45,253.47,252.223883819712,831550,0.0,1.0
2024-08-01,274.76,276.9,259.93,264.62,263.319067883269,1046856,0.0,1.0
2024-07-31,278.9,282.2,276.34,278.65,277.280093211673,522222,0.0,1.0
2024-07-30,274.16,276.65,271.39,275.43,274.075923464171,527246,0.0,1.0
2024-07-29,276.5,278.0,270.02,272.21,270.871753716668,578866,0.0,1.0
2024-07-26,275.0,278.63,273.48,277.04,275.678008337922,689228,0.0,1.0
2024-07-25,263.36,275.0,260.0,271.0,269.667702351923,1222420,0.0,1.0
2024-07-24,270.1,272.87,262.66,263.07,261.776688035869,698471,0.0,1.0
2024-07-23,275.34,277.35,271.5,272.15,270.812048690317,488067,0.0,1.0
2024-07-22,272.29,276.01,268.71,275.73,274.374448595925,558266,0.0,1.0
2024-07-19,274.09,275.53,267.56,269.76,268.433798474003,764429,0.0,1.0
