,PSX_Open,PSX_High,PSX_Low,PSX_Close,PSX_Adj Close,PSX_Volume,PSX_Dividend Amount,PSX_Split Coefficient
2024-10-04,140.3,140.595,137.59,138.62,138.62,2468549,0.0,1.0
2024-10-03,134.48,139.46,133.365,138.93,138.93,2766819,0.0,1.0
2024-10-02,134.0,135.2,132.55,134.47,134.47,1925627,0.0,1.0
2024-10-01,130.16,133.27,130.16,132.99,132.99,2071948,0.0,1.0
2024-09-30,130.86,132.13,129.77,131.45,131.45,2137531,0.0,1.0
2024-09-27,131.32,131.555,130.0,131.05,131.05,2564363,0.0,1.0
2024-09-26,128.87,133.62,128.58,130.68,130.68,4192793,0.0,1.0
2024-09-25,129.68,131.41,128.8701,129.85,129.85,8126658,0.0,1.0
2024-09-24,132.7,132.98,129.47,129.47,129.47,3661672,0.0,1.0
2024-09-23,129.71,131.31,129.13,131.11,131.11,3613738,0.0,1.0
2024-09-20,131.6,131.62,129.13,129.97,129.97,6418532,0.0,1.0
2024-09-19,132.0,133.64,130.68,132.55,132.55,2744785,0.0,1.0
2024-09-18,129.0,131.86,128.43,130.31,130.31,2884270,0.0,1.0
2024-09-17,127.82,128.67,127.19,128.3,128.3,3693587,0.0,1.0
2024-09-16,126.98,128.756,125.78,127.34,127.34,2908868,0.0,1.0
2024-09-13,126.7,127.9,126.12,126.7,126.7,2614579,0.0,1.0
2024-09-12,125.51,126.55,124.7501,125.72,125.72,3040951,0.0,1.0
2024-09-11,126.39,127.25,123.77,125.0,125.0,4052789,0.0,1.0
2024-09-10,127.67,127.77,125.14,126.88,126.88,4468959,0.0,1.0
2024-09-09,128.33,129.33,127.73,127.97,127.97,4074618,0.0,1.0
2024-09-06,128.91,130.18,127.27,128.14,128.14,4244613,0.0,1.0
2024-09-05,133.06,133.07,128.67,128.89,128.89,3864573,0.0,1.0
2024-09-04,135.0,136.31,131.561,132.29,132.29,1984305,0.0,1.0
2024-09-03,138.07,138.7,133.29,135.0,135.0,2845478,0.0,1.0
2024-08-30,135.66,140.85,135.64,140.31,140.31,3981538,0.0,1.0
2024-08-29,135.5,136.745,133.92,136.5,136.5,1594193,0.0,1.0
2024-08-28,133.83,136.55,133.5,134.97,134.97,2070944,0.0,1.0
2024-08-27,134.98,135.54,134.09,134.38,134.38,1505354,0.0,1.0
2024-08-26,136.1,136.94,134.21,135.23,135.23,1923589,0.0,1.0
2024-08-23,134.17,135.47,133.44,135.37,135.37,1911904,0.0,1.0
2024-08-22,133.95,134.83,132.86,133.16,133.16,1813468,0.0,1.0
2024-08-21,133.41,135.4,132.95,133.88,133.88,3332333,0.0,1.0
2024-08-20,138.19,138.34,132.22,132.39,132.39,3026487,1.15,1.0
