,SAIC_Open,SAIC_High,SAIC_Low,SAIC_Close,SAIC_Adj Close,SAIC_Volume,SAIC_Dividend Amount,SAIC_Split Coefficient
2024-10-07,145.43,145.43,143.755,144.02,144.02,269463,0.0,1.0
2024-10-04,144.51,145.97,143.46,145.64,145.64,254964,0.0,1.0
2024-10-03,142.74,144.47,142.38,144.04,144.04,367287,0.0,1.0
2024-10-02,143.14,143.9281,141.6,143.31,143.31,534437,0.0,1.0
2024-10-01,139.32,141.2,137.421,140.77,140.77,221933,0.0,1.0
2024-09-30,137.89,139.49,137.355,139.27,139.27,339568,0.0,1.0
2024-09-27,137.56,138.005,135.92,137.75,137.75,234781,0.0,1.0
2024-09-26,135.83,137.016844,135.07,136.62,136.62,214390,0.0,1.0
2024-09-25,137.28,137.47,135.665,136.03,136.03,221054,0.0,1.0
2024-09-24,137.75,137.75,136.24,137.45,137.45,198951,0.0,1.0
2024-09-23,135.87,137.81,135.05,137.78,137.78,186521,0.0,1.0
2024-09-20,134.61,136.015,133.47,135.48,135.48,725154,0.0,1.0
2024-09-19,135.36,136.7392,133.41,134.74,134.74,351636,0.0,1.0
2024-09-18,134.12,136.91,133.0,134.51,134.51,263368,0.0,1.0
2024-09-17,138.56,138.58,133.53,134.05,134.05,307521,0.0,1.0
2024-09-16,137.27,138.7,136.855,137.63,137.63,230627,0.0,1.0
2024-09-13,135.83,137.11,134.86,136.62,136.62,152885,0.0,1.0
2024-09-12,133.98,135.13,133.05,134.94,134.94,212160,0.0,1.0
2024-09-11,134.05,134.14,130.77,133.94,133.94,256393,0.0,1.0
2024-09-10,134.67,135.19,133.72,134.95,134.95,237799,0.0,1.0
2024-09-09,133.25,135.36,133.25,134.58,134.58,295386,0.0,1.0
2024-09-06,134.91,136.16,132.89,133.15,133.15,354230,0.0,1.0
2024-09-05,130.21,136.215,127.1,135.28,135.28,622552,0.0,1.0
2024-09-04,128.54,129.35,127.785,129.21,129.21,417435,0.0,1.0
2024-09-03,130.2,131.135,127.9,128.11,128.11,409411,0.0,1.0
2024-08-30,129.37,130.71,129.2,130.59,130.59,268997,0.0,1.0
2024-08-29,129.11,130.88,128.71,129.22,129.22,220889,0.0,1.0
2024-08-28,128.43,129.82,127.53,128.44,128.44,300053,0.0,1.0
2024-08-27,128.06,129.57,128.06,128.6,128.6,233923,0.0,1.0
2024-08-26,129.97,130.8799,128.27,128.72,128.72,227577,0.0,1.0
2024-08-23,127.83,129.8,127.18,129.56,129.56,187713,0.0,1.0
2024-08-22,127.23,127.82,126.69,126.86,126.86,141802,0.0,1.0
2024-08-21,126.21,126.83,125.06,126.68,126.68,149467,0.0,1.0
2024-08-20,125.99,126.54,125.06,125.19,125.19,147719,0.0,1.0
2024-08-19,125.05,126.35,125.05,126.33,126.33,111504,0.0,1.0
2024-08-16,124.83,126.13,124.76,125.05,125.05,136088,0.0,1.0
2024-08-15,125.0,125.56,123.9,125.09,125.09,140036,0.0,1.0
2024-08-14,123.52,124.47,123.35,123.96,123.96,147149,0.0,1.0
2024-08-13,123.34,124.4,122.5,123.54,123.54,179561,0.0,1.0
2024-08-12,122.22,123.31,121.69,122.48,122.48,215290,0.0,1.0
2024-08-09,121.46,123.34,119.825,121.96,121.96,268419,0.0,1.0
2024-08-08,120.23,122.0,119.6052,121.64,121.64,212822,0.0,1.0
2024-08-07,121.09,121.644,118.89,119.3,119.3,173503,0.0,1.0
2024-08-06,119.84,122.015,118.935,120.1,120.1,204101,0.0,1.0
2024-08-05,120.23,120.69,118.01,119.84,119.84,475048,0.0,1.0
2024-08-02,121.58,123.22,120.78,123.03,123.03,164909,0.0,1.0
2024-08-01,124.34,125.15,122.46,123.32,123.32,195144,0.0,1.0
2024-07-31,123.32,126.2,122.915,124.4,124.4,214725,0.0,1.0
2024-07-30,123.99,124.29,122.44,122.67,122.67,172890,0.0,1.0
2024-07-29,122.62,124.16,122.0,123.43,123.43,282921,0.0,1.0
2024-07-26,122.8,123.48,121.56,122.13,122.13,259580,0.0,1.0
2024-07-25,121.62,123.51,121.071,122.67,122.67,229919,0.0,1.0
2024-07-24,123.71,123.98,120.75,120.88,120.88,416868,0.0,1.0
2024-07-23,122.73,124.37,122.38,123.82,123.82,275794,0.0,1.0
2024-07-22,120.62,123.0,120.62,122.73,122.73,366646,0.0,1.0
2024-07-19,122.22,122.84,120.76,120.9,120.9,331282,0.0,1.0
2024-07-18,123.73,123.73,121.78,121.89,121.89,370598,0.0,1.0
2024-07-17,122.76,124.195,122.76,123.73,123.73,338229,0.0,1.0
2024-07-16,119.48,123.01,119.48,122.995,122.995,356777,0.0,1.0
2024-07-15,117.68,120.135,117.68,118.37,118.37,929739,0.0,1.0
2024-07-12,117.38,118.885,116.8802,117.74,117.74,326245,0.37,1.0
2024-07-11,115.18,116.51,114.755,116.39,116.025388197443,257849,0.0,1.0
2024-07-10,113.57,114.4483,113.57,113.97,113.612969265939,324682,0.0,1.0
2024-07-09,114.42,114.42,113.23,113.4,113.04475488951,409412,0.0,1.0
2024-07-08,115.06,116.34,114.33,114.47,114.111402929473,460691,0.0,1.0
2024-07-05,116.53,116.57,113.68,114.25,113.892092117518,744689,0.0,1.0
2024-07-03,117.02,117.33,116.11,116.32,115.955607484548,226040,0.0,1.0
2024-07-02,115.93,116.56,115.69,116.46,116.095168910338,209350,0.0,1.0
2024-07-01,117.81,117.99,115.74,115.77,115.407330454661,284408,0.0,1.0
2024-06-28,118.0,118.6625,116.75,117.55,117.181754296842,559658,0.0,1.0
2024-06-27,118.82,118.82,116.83,117.16,116.792976039285,309782,0.0,1.0
2024-06-26,117.0,118.6,116.54,118.02,117.650281940564,282404,0.0,1.0
2024-06-25,117.09,118.25,115.81,117.63,117.261503683007,356358,0.0,1.0
2024-06-24,117.46,118.44,117.01,117.09,116.723195326391,325417,0.0,1.0
2024-06-21,116.4,117.35,115.55,117.31,116.942506138346,1397159,0.0,1.0
2024-06-20,114.93,116.6825,114.67,115.99,115.626641266616,335945,0.0,1.0
