,MUSA_Open,MUSA_High,MUSA_Low,MUSA_Close,MUSA_Adj Close,MUSA_Volume,MUSA_Dividend Amount,MUSA_Split Coefficient
2024-10-07,480.78,480.905,471.98,476.85,476.85,172305,0.0,1.0
2024-10-04,483.05,484.1,474.48,483.55,483.55,197820,0.0,1.0
2024-10-03,481.91,482.495,473.37,477.6,477.6,308210,0.0,1.0
2024-10-02,495.18,495.18,483.01,483.22,483.22,202504,0.0,1.0
2024-10-01,492.71,498.325,492.2637,496.43,496.43,154062,0.0,1.0
2024-09-30,497.08,497.08,489.29,492.87,492.87,134565,0.0,1.0
2024-09-27,498.31,506.83,494.8459,499.59,499.59,205261,0.0,1.0
2024-09-26,487.08,497.39,486.3,497.31,497.31,185367,0.0,1.0
2024-09-25,489.84,489.89,483.24,489.0,489.0,209712,0.0,1.0
2024-09-24,497.57,497.57,487.03,487.04,487.04,195403,0.0,1.0
2024-09-23,498.4,499.435,492.415,495.15,495.15,198023,0.0,1.0
2024-09-20,486.44,498.375,486.44,496.47,496.47,559894,0.0,1.0
2024-09-19,518.71,518.79,489.705,492.76,492.76,404122,0.0,1.0
2024-09-18,527.35,530.13,512.885,515.34,515.34,173924,0.0,1.0
2024-09-17,535.28,543.02,526.71,527.27,527.27,143546,0.0,1.0
2024-09-16,536.17,552.3,535.66,535.85,535.85,121946,0.0,1.0
2024-09-13,537.41,542.0,528.761,533.25,533.25,145825,0.0,1.0
2024-09-12,523.13,536.09,523.13,535.5,535.5,173561,0.0,1.0
2024-09-11,519.93,524.79,510.35,522.9,522.9,170395,0.0,1.0
2024-09-10,509.7,525.89,509.47,521.6,521.6,196272,0.0,1.0
2024-09-09,508.2,509.48,504.9401,508.33,508.33,158792,0.0,1.0
2024-09-06,515.08,517.565,507.0,508.21,508.21,132508,0.0,1.0
2024-09-05,505.08,515.615,505.08,513.51,513.51,178474,0.0,1.0
2024-09-04,508.8,512.11,504.895,508.31,508.31,106560,0.0,1.0
2024-09-03,518.31,522.39,508.58,509.77,509.77,149302,0.0,1.0
2024-08-30,509.67,520.52,509.67,519.63,519.63,165167,0.0,1.0
2024-08-29,517.75,518.18,510.02,510.71,510.71,125293,0.0,1.0
2024-08-28,518.01,522.565,514.75,514.81,514.81,102027,0.0,1.0
2024-08-27,513.41,518.59,511.54,517.57,517.57,128661,0.0,1.0
2024-08-26,514.13,519.75,510.615,512.0,512.0,143876,0.45,1.0
2024-08-23,509.78,517.45,509.78,514.12,513.668533515465,112139,0.0,1.0
2024-08-22,511.4,511.4,507.11,507.71,507.264162357303,85059,0.0,1.0
2024-08-21,512.03,512.79,505.56,511.21,510.761088886721,150331,0.0,1.0
2024-08-20,517.0,518.7695,508.24,510.42,509.971782612938,88266,0.0,1.0
2024-08-19,509.92,520.16,509.92,517.74,517.285354668748,174273,0.0,1.0
2024-08-16,504.57,514.83,504.57,511.48,511.030851790419,120517,0.0,1.0
2024-08-15,504.3,507.45,501.58,504.12,503.677314859986,127302,0.0,1.0
2024-08-14,500.5,503.88,495.42,499.13,498.691696750902,113225,0.0,1.0
2024-08-13,507.71,508.055,497.965,499.65,499.211240120987,154652,0.0,1.0
2024-08-12,512.09,513.37,506.65,506.8,506.354961459655,90989,0.0,1.0
2024-08-09,517.37,517.37,508.8,510.9,510.451361108401,114620,0.0,1.0
2024-08-08,500.7,517.96,500.7,517.37,516.915679578495,162130,0.0,1.0
2024-08-07,508.98,513.89,499.37,499.74,499.301161088887,150780,0.0,1.0
2024-08-06,511.26,516.07,507.71,508.62,508.173363254952,205809,0.0,1.0
2024-08-05,503.27,514.95,495.89,508.63,508.183354473607,209615,0.0,1.0
2024-08-02,508.03,521.54,503.515,513.14,512.689394087228,237837,0.0,1.0
2024-08-01,493.4,519.05,489.99,514.98,514.527778319836,348686,0.0,1.0
2024-07-31,508.82,514.185,501.82,504.92,504.476612352425,366960,0.0,1.0
2024-07-30,503.58,512.44,501.795,505.1,504.656454288223,173274,0.0,1.0
2024-07-29,510.27,512.385,500.02,501.64,501.199492633428,262903,0.0,1.0
2024-07-26,510.68,517.65,508.05,510.25,509.801931895795,206925,0.0,1.0
2024-07-25,497.18,505.41,495.81,501.54,501.099580446873,139064,0.0,1.0
2024-07-24,505.04,505.265,486.32,499.39,498.951468435945,247349,0.0,1.0
2024-07-23,520.0,520.0,506.59,506.63,506.185110742511,176373,0.0,1.0
2024-07-22,514.55,519.405,506.39,517.77,517.315328324715,189379,0.0,1.0
2024-07-19,501.15,512.38,500.8,511.11,510.661176700166,235716,0.0,1.0
2024-07-18,492.92,500.395,486.58,500.25,499.810713240316,199476,0.0,1.0
2024-07-17,494.53,498.42,488.23,489.2,488.770416626012,193849,0.0,1.0
2024-07-16,487.39,503.19,487.39,495.84,495.40458581325,220504,0.0,1.0
2024-07-15,479.43,486.15,476.92,483.57,483.145360522978,146718,0.0,1.0
2024-07-12,473.87,478.27,471.77,475.37,474.952561225485,118723,0.0,1.0
2024-07-11,464.94,473.25,464.67,471.89,471.475617133379,139579,0.0,1.0
2024-07-10,460.34,463.15,454.93,462.9,462.493511562104,189498,0.0,1.0
2024-07-09,459.33,459.33,453.69,455.1,454.70036101083,145896,0.0,1.0
2024-07-08,455.68,461.75,455.17,459.4,458.996585032686,153650,0.0,1.0
2024-07-05,452.26,456.0,446.085,453.51,453.111757244609,188580,0.0,1.0
2024-07-03,459.92,459.92,448.68,452.85,452.452336813348,90531,0.0,1.0
2024-07-02,463.52,463.52,453.27,459.86,459.456181090838,133045,0.0,1.0
2024-07-01,470.1,471.41,460.86,463.48,463.073002244121,180076,0.0,1.0
2024-06-28,476.56,478.89,468.96,469.46,469.047751000097,310696,0.0,1.0
2024-06-27,474.7,476.36,470.92,474.09,473.673685237584,233588,0.0,1.0
2024-06-26,479.71,479.71,470.665,474.8,474.383061762123,200406,0.0,1.0
2024-06-25,485.43,485.675,473.91,480.79,480.367801736755,153778,0.0,1.0
2024-06-24,480.08,489.89,480.08,487.21,486.782164113572,149218,0.0,1.0
2024-06-21,481.03,485.5399,479.035,479.55,479.128890623475,322509,0.0,1.0
2024-06-20,482.28,483.275,475.165,481.0,480.57761732852,188183,0.0,1.0
2024-06-18,479.77,483.8,473.98,479.7,479.278758903308,153384,0.0,1.0
2024-06-17,465.52,484.11,465.52,480.51,480.088047614401,160247,0.0,1.0
2024-06-14,475.91,476.5,466.69,470.72,470.306644550688,152833,0.0,1.0
2024-06-13,471.11,481.37,468.6966,478.52,478.099795101961,221963,0.0,1.0
2024-06-12,453.04,488.62,448.47,473.97,473.553790613718,424348,0.0,1.0
