,AAN_Open,AAN_High,AAN_Low,AAN_Close,AAN_Adj Close,AAN_Volume,AAN_Dividend Amount,AAN_Split Coefficient
2024-10-03,10.08,10.1,10.08,10.09,10.09,2775856,0.0,1.0
2024-10-02,9.95,10.02,9.925,9.99,9.99,518114,0.0,1.0
2024-10-01,9.97,9.98,9.91,9.92,9.92,1933939,0.0,1.0
2024-09-30,10.04,10.045,9.55,9.95,9.95,7165450,0.0,1.0
2024-09-27,10.05,10.07,10.03,10.05,10.05,1425538,0.0,1.0
2024-09-26,10.06,10.06,10.02,10.03,10.03,2519355,0.0,1.0
2024-09-25,10.06,10.06,10.03,10.03,10.03,1477972,0.0,1.0
2024-09-24,10.05,10.06,10.04,10.06,10.06,1281785,0.0,1.0
2024-09-23,10.07,10.07,10.04,10.06,10.06,1164003,0.0,1.0
2024-09-20,10.03,10.04,10.02,10.02,10.02,1578979,0.0,1.0
2024-09-19,10.07,10.07,10.03,10.04,10.04,1054182,0.0,1.0
2024-09-18,10.06,10.06,10.045,10.05,10.05,477796,0.0,1.0
2024-09-17,10.05,10.06,10.04,10.06,10.06,801472,0.0,1.0
2024-09-16,10.06,10.06,10.045,10.06,10.06,573781,0.0,1.0
2024-09-13,10.02,10.06,10.0,10.04,10.04,979909,0.125,1.0
2024-09-12,10.07,10.12,10.06,10.11,9.98567634038367,334636,0.0,1.0
2024-09-11,10.05,10.08,10.05,10.08,9.95604525332022,282796,0.0,1.0
2024-09-10,10.09,10.09,10.04,10.06,9.93629119527791,426665,0.0,1.0
2024-09-09,9.99,10.07,9.99,10.07,9.94616822429906,744790,0.0,1.0
2024-09-06,10.02,10.035,9.98,10.01,9.88690605017216,1015138,0.0,1.0
2024-09-05,9.98,10.0,9.95,9.99,9.86715199212986,1507956,0.0,1.0
2024-09-04,9.95,9.985,9.945,9.97,9.84739793408755,1522073,0.0,1.0
2024-09-03,9.98,10.08,9.83,9.98,9.85727496310871,5168009,0.0,1.0
2024-08-30,10.09,10.1,10.09,10.09,9.96592228234137,257668,0.0,1.0
2024-08-29,10.1,10.105,10.09,10.09,9.96592228234137,237031,0.0,1.0
2024-08-28,10.09,10.11,10.08,10.09,9.96592228234137,729325,0.0,1.0
2024-08-27,10.08,10.09,10.07,10.07,9.94616822429906,313865,0.0,1.0
2024-08-26,10.09,10.095,10.08,10.08,9.95604525332022,349823,0.0,1.0
2024-08-23,10.09,10.11,10.07,10.07,9.94616822429906,879994,0.0,1.0
2024-08-22,10.08,10.1,10.07,10.07,9.94616822429906,599267,0.0,1.0
2024-08-21,10.09,10.1,10.08,10.09,9.96592228234137,376913,0.0,1.0
2024-08-20,10.09,10.09,10.08,10.08,9.95604525332022,484854,0.0,1.0
2024-08-19,10.08,10.1,10.07,10.08,9.95604525332022,1036112,0.0,1.0
2024-08-16,10.08,10.085,10.07,10.07,9.94616822429906,827661,0.0,1.0
2024-08-15,10.08,10.085,10.06,10.08,9.95604525332022,776579,0.0,1.0
2024-08-14,10.08,10.1,10.06,10.06,9.93629119527791,655349,0.0,1.0
2024-08-13,10.04,10.1,10.04,10.06,9.93629119527791,1385654,0.0,1.0
2024-08-12,10.03,10.04,10.01,10.01,9.88690605017216,463417,0.0,1.0
2024-08-09,10.01,10.02,10.0,10.02,9.89678307919331,738523,0.0,1.0
2024-08-08,10.04,10.04,10.0,10.02,9.89678307919331,214856,0.0,1.0
2024-08-07,10.0,10.06,9.99,10.0,9.87702902115101,590245,0.0,1.0
2024-08-06,9.96,10.09,9.95,10.04,9.91653713723561,747362,0.0,1.0
2024-08-05,9.96,10.02,9.95,9.97,9.84739793408755,1225182,0.0,1.0
2024-08-02,10.04,10.1,10.03,10.03,9.90666010821446,542863,0.0,1.0
2024-08-01,10.1,10.14,10.05,10.06,9.93629119527791,1056540,0.0,1.0
2024-07-31,10.01,10.04,10.0,10.0,9.87702902115101,637927,0.0,1.0
2024-07-30,9.98,10.02,9.97,10.02,9.89678307919331,939119,0.0,1.0
2024-07-29,9.96,10.0,9.95,9.98,9.85727496310871,331091,0.0,1.0
2024-07-26,9.95,9.97,9.94,9.96,9.8375209050664,592803,0.0,1.0
2024-07-25,9.95,9.96,9.93,9.94,9.8177668470241,893602,0.0,1.0
2024-07-24,9.97,9.97,9.93,9.93,9.80788981800295,1644778,0.0,1.0
2024-07-23,9.98,9.98,9.96,9.96,9.8375209050664,536471,0.0,1.0
2024-07-22,9.95,9.99,9.95,9.97,9.84739793408755,713851,0.0,1.0
2024-07-19,9.95,9.96,9.94,9.94,9.8177668470241,636107,0.0,1.0
2024-07-18,9.98,9.98,9.94,9.95,9.82764387604525,985093,0.0,1.0
2024-07-17,9.97,9.985,9.97,9.97,9.84739793408755,392593,0.0,1.0
2024-07-16,9.98,9.99,9.97,9.99,9.86715199212986,517376,0.0,1.0
2024-07-15,9.99,10.0,9.97,9.97,9.84739793408755,437451,0.0,1.0
2024-07-12,10.0,10.0,9.96,9.99,9.86715199212986,1544962,0.0,1.0
2024-07-11,9.98,10.01,9.96,9.96,9.8375209050664,678489,0.0,1.0
2024-07-10,9.98,10.05,9.94,9.95,9.82764387604525,1113696,0.0,1.0
2024-07-09,9.98,10.0,9.97,9.98,9.85727496310871,692044,0.0,1.0
2024-07-08,9.98,10.0,9.97,9.98,9.85727496310871,449459,0.0,1.0
2024-07-05,9.97,10.0,9.96,9.98,9.85727496310871,504330,0.0,1.0
2024-07-03,9.96,9.99,9.95,9.99,9.86715199212986,532004,0.0,1.0
2024-07-02,9.96,9.97,9.93,9.96,9.8375209050664,827363,0.0,1.0
2024-07-01,9.98,9.99,9.93,9.95,9.82764387604525,897512,0.0,1.0
2024-06-28,9.98,9.99,9.96,9.98,9.85727496310871,634025,0.0,1.0
2024-06-27,9.94,9.97,9.94,9.95,9.82764387604525,472893,0.0,1.0
2024-06-26,9.95,9.97,9.93,9.95,9.82764387604525,596145,0.0,1.0
2024-06-25,9.94,10.06,9.9,9.96,9.8375209050664,1471310,0.0,1.0
2024-06-24,9.9,9.96,9.87,9.91,9.78813575996065,1564872,0.0,1.0
2024-06-21,9.99,10.0,9.875,9.91,9.78813575996065,3516879,0.0,1.0
2024-06-20,10.02,10.05,9.98,9.98,9.85727496310871,1814181,0.0,1.0
2024-06-18,10.02,10.06,9.995,10.03,9.90666010821446,3300070,0.0,1.0
2024-06-17,9.98,10.065,9.96,10.06,9.93629119527791,7118888,0.0,1.0
2024-06-14,7.58,7.66,7.46,7.54,7.44727988194786,265738,0.125,1.0
2024-06-13,8.16,8.16,7.505,7.74,7.52014954811173,351343,0.0,1.0
2024-06-12,8.32,8.44,8.01,8.16,7.92821967862942,335838,0.0,1.0
2024-06-11,7.97,8.04,7.915,8.01,7.78248034630168,145972,0.0,1.0
2024-06-10,7.96,8.1,7.81,8.07,7.84077607923278,216774,0.0,1.0
2024-06-07,8.4,8.45,8.0,8.02,7.79219630179019,645436,0.0,1.0
2024-06-06,8.43,8.53,8.36,8.48,8.23913025426195,285840,0.0,1.0
2024-06-05,8.11,8.47,8.07,8.46,8.21969834328492,212240,0.0,1.0
2024-06-04,8.12,8.18,7.955,8.11,7.87963990118684,273210,0.0,1.0
2024-06-03,8.65,8.65,8.07,8.21,7.97679945607201,367653,0.0,1.0
2024-05-31,7.72,8.48,7.71,8.48,8.23913025426195,426990,0.0,1.0
2024-05-30,7.32,7.73,7.27,7.71,7.49100168164618,333555,0.0,1.0
2024-05-29,7.0,7.27,6.94,7.23,7.02463581819739,334259,0.0,1.0
2024-05-28,7.21,7.31,7.08,7.09,6.88861244135816,125993,0.0,1.0
2024-05-24,7.19,7.225,7.11,7.21,7.00520390722036,94018,0.0,1.0
2024-05-23,7.39,7.39,7.07,7.15,6.94690817428926,152144,0.0,1.0
2024-05-22,7.5,7.5509,7.345,7.41,7.19952301699069,129140,0.0,1.0
2024-05-21,7.64,7.64,7.44,7.47,7.25781874992179,101411,0.0,1.0
2024-05-20,7.58,7.68,7.53,7.63,7.41327403773805,139387,0.0,1.0
2024-05-17,7.54,7.62,7.4371,7.59,7.37441021578399,146106,0.0,1.0
2024-05-16,7.43,7.58,7.4,7.54,7.3258304383414,166893,0.0,1.0
2024-05-15,7.67,7.67,7.35,7.4,7.18980706150217,126513,0.0,1.0
2024-05-14,7.7,7.78,7.57,7.59,7.37441021578399,150925,0.0,1.0
2024-05-13,7.53,7.71,7.5,7.53,7.31611448285289,123203,0.0,1.0
2024-05-10,7.42,7.56,7.32,7.45,7.23838683894476,188683,0.0,1.0
2024-05-09,7.59,7.6,7.365,7.43,7.21895492796772,195660,0.0,1.0
2024-05-08,7.3,7.6,7.3,7.56,7.34526234931844,309370,0.0,1.0
2024-05-07,6.75,7.54,6.622,7.28,7.07321559563998,448401,0.0,1.0
2024-05-06,7.03,7.12,7.0,7.02,6.82060075293855,135432,0.0,1.0
2024-05-03,6.93,7.05,6.88,6.95,6.75258906451893,151037,0.0,1.0
2024-05-02,6.84,6.8651,6.75,6.79,6.59713377670267,164301,0.0,1.0
2024-05-01,6.94,7.0,6.69,6.78,6.58741782121415,198182,0.0,1.0
2024-04-30,7.13,7.175,6.89,6.91,6.71372524256487,246220,0.0,1.0
2024-04-29,7.16,7.35,7.15,7.18,6.97605604075481,287319,0.0,1.0
2024-04-26,7.33,7.38,7.07,7.07,6.86918053038113,183023,0.0,1.0
2024-04-25,7.38,7.38,7.23,7.32,7.11207941759404,181576,0.0,1.0
2024-04-24,7.45,7.48,7.3,7.43,7.21895492796772,222598,0.0,1.0
2024-04-23,7.4,7.55,7.341,7.35,7.14122728405959,138436,0.0,1.0
2024-04-22,7.5,7.55,7.32,7.37,7.16065919503662,315719,0.0,1.0
2024-04-19,7.26,7.49,7.26,7.48,7.26753470541031,196087,0.0,1.0
2024-04-18,7.13,7.34,7.075,7.31,7.10236346210552,254332,0.0,1.0
