,GD_Open,GD_High,GD_Low,GD_Close,GD_Adj Close,GD_Volume,GD_Dividend Amount,GD_Split Coefficient
2024-10-04,300.04,301.24,297.84,300.66,300.66,877409,0.0,1.0
2024-10-03,304.04,304.865,299.04,299.61,299.61,1124345,0.0,1.0
2024-10-02,305.5,306.62,303.1,303.92,303.92,1218397,0.0,1.0
2024-10-01,297.64,307.05,294.5,305.33,305.33,1486552,0.0,1.0
2024-09-30,300.0,302.26,297.6601,302.2,302.2,1364162,0.0,1.0
2024-09-27,300.34,302.35,299.97,300.13,300.13,909250,0.0,1.0
2024-09-26,300.93,302.92,299.66,300.49,300.49,904455,0.0,1.0
2024-09-25,305.52,306.55,301.02,301.69,301.69,915630,0.0,1.0
2024-09-24,308.0,308.515,304.07,304.67,304.67,951787,0.0,1.0
2024-09-23,307.31,309.72,306.75,308.09,308.09,951842,0.0,1.0
2024-09-20,304.77,307.76,303.185,306.87,306.87,7899210,0.0,1.0
2024-09-19,304.84,306.645,302.52,304.73,304.73,1188154,0.0,1.0
2024-09-18,303.9,306.9,301.65,302.38,302.38,1155805,0.0,1.0
2024-09-17,304.75,305.6963,302.57,303.85,303.85,1045631,0.0,1.0
2024-09-16,307.38,309.967,306.15,307.55,307.55,874521,0.0,1.0
2024-09-13,301.08,305.84,301.05,304.8,304.8,797557,0.0,1.0
2024-09-12,299.34,300.94,297.41,300.67,300.67,875408,0.0,1.0
2024-09-11,301.21,301.21,293.36,299.59,299.59,1067209,0.0,1.0
2024-09-10,303.31,306.51,300.47,302.4,302.4,1040604,0.0,1.0
2024-09-09,295.71,303.1,295.71,301.56,301.56,1922398,0.0,1.0
2024-09-06,297.0,298.41,292.24,292.78,292.78,1362362,0.0,1.0
2024-09-05,296.51,299.83,294.16,297.29,297.29,1518801,0.0,1.0
2024-09-04,295.45,297.76,293.0,294.35,294.35,711401,0.0,1.0
2024-09-03,299.0,300.98,293.34,294.92,294.92,961640,0.0,1.0
2024-08-30,297.53,299.68,295.18,299.36,299.36,1033038,0.0,1.0
2024-08-29,298.0,300.95,295.5,297.83,297.83,1640388,0.0,1.0
2024-08-28,290.99,297.18,290.5,296.64,296.64,1553612,0.0,1.0
2024-08-27,291.01,291.46,289.83,290.2,290.2,1005336,0.0,1.0
2024-08-26,292.45,293.18,290.42,291.0,291.0,814847,0.0,1.0
2024-08-23,294.34,294.8299,291.29,291.45,291.45,864741,0.0,1.0
2024-08-22,294.25,294.74,292.99,293.45,293.45,676227,0.0,1.0
2024-08-21,296.51,296.51,293.02,294.07,294.07,1029146,0.0,1.0
2024-08-20,295.36,296.12,294.215,295.8,295.8,589247,0.0,1.0
2024-08-19,296.93,297.0,294.769,295.6,295.6,685233,0.0,1.0
