,FLOW_Open,FLOW_High,FLOW_Low,FLOW_Close,FLOW_Adj Close,FLOW_Volume,FLOW_Dividend Amount,FLOW_Split Coefficient
2024-10-04,32.17,32.2155,32.1019,32.2155,32.2155,410,0.0,1.0
2024-10-03,31.89,31.9561,31.89,31.9561,31.9561,302,0.0534,1.0
2024-10-02,32.0499,32.08,31.9975,31.9975,31.9441200190568,724,0.0,1.0
2024-10-01,32.12,32.12,32.03,32.0899,32.0363658723192,938,0.0,1.0
2024-09-30,31.92,32.1699,31.92,32.1152,32.0616236654743,1851,0.0,1.0
2024-09-27,32.1087,32.1087,32.1087,32.1087,32.0551345091301,131,0.0,1.0
2024-09-26,31.8444,31.8444,31.8444,31.8444,31.7912754288571,12,0.0,1.0
2024-09-25,31.7301,31.7301,31.54,31.552,31.4993632265421,4367,0.0,1.0
2024-09-24,31.92,31.9238,31.92,31.9238,31.8705429694309,269,0.0,1.0
2024-09-23,31.81,31.8281,31.712,31.8281,31.7750026214093,680,0.0,1.0
2024-09-20,31.6216,31.6216,31.6216,31.6216,31.5688471160124,190,0.0,1.0
2024-09-19,31.83,31.9062,31.83,31.9062,31.8529723307143,910,0.0,1.0
2024-09-18,31.4651,31.4651,31.4651,31.4651,31.4126081978788,86,0.0,1.0
2024-09-17,31.48,31.48,31.4064,31.4064,31.3540061244318,214,0.0,1.0
2024-09-16,31.2,31.2853,31.2,31.2853,31.2331081500804,233,0.0,1.0
2024-09-13,31.19,31.19,31.099,31.099,31.0471189459379,4144,0.0,1.0
2024-09-12,30.51,30.5327,30.45,30.5327,30.4817636785954,357,0.0,1.0
2024-09-11,29.9,30.2884,29.9,30.2884,30.2378712332276,4935,0.0,1.0
2024-09-10,30.11,30.3119,30.04,30.3119,30.2613320292413,1255,0.0,1.0
2024-09-09,30.43,30.8197,30.43,30.4782,30.4273545984786,1730,0.0,1.0
2024-09-06,30.81,30.81,30.4,30.4,30.349285055999,909,0.0,1.0
2024-09-05,30.7143,30.7143,30.7143,30.7143,30.6630607235352,184,0.057,1.0
2024-09-04,31.0752,31.0752,31.0752,31.0752,30.9658917431503,302,0.0,1.0
2024-09-03,31.59,31.59,31.3456,31.3456,31.2353406003531,637,0.0,1.0
2024-08-30,31.78,31.79,31.69,31.79,31.6781774056079,621,0.0,1.0
2024-08-29,31.7,31.7,31.64,31.64,31.5287050365975,467,0.0,1.0
2024-08-28,31.5568,31.5568,31.5568,31.5568,31.4457976959198,109,0.0,1.0
2024-08-27,31.58,31.6552,31.58,31.6552,31.5438515699906,478,0.0,1.0
2024-08-26,32.0676,32.0676,31.7509,31.7509,31.6392149414192,455,0.0,1.0
2024-08-23,31.22,31.7349,31.22,31.7349,31.6232712220581,279,0.0,1.0
2024-08-22,30.9811,30.9811,30.9811,30.9811,30.8721227436578,214,0.0,1.0
2024-08-21,31.07,31.1134,30.99,31.1134,31.003957373125,786,0.0,1.0
2024-08-20,30.82,30.84,30.8048,30.8048,30.6964428859475,294,0.0,1.0
2024-08-19,30.901,31.1299,30.85,31.0494,30.9401824956805,3001,0.0,1.0
2024-08-16,30.76,30.8021,30.76,30.8021,30.6937523833053,415,0.0,1.0
2024-08-15,30.55,30.8,30.52,30.7531,30.6449247427619,1129,0.0,1.0
2024-08-14,30.312,30.312,30.312,30.312,30.2053763296253,52,0.0,1.0
2024-08-13,30.09,30.3823,30.09,30.3823,30.2754290465682,1547,0.0,1.0
2024-08-12,30.045,30.05,29.9385,29.9598,29.8544152071888,2027,0.0,1.0
2024-08-09,30.2243,30.2243,30.2243,30.2243,30.1179848178772,10,0.0,1.0
2024-08-08,30.0,30.1175,30.0,30.1175,30.0115604911418,275,0.0,1.0
2024-08-07,30.13,30.13,29.6473,29.6473,29.5430144384171,15794,0.0,1.0
2024-08-06,29.7299,30.055,29.7299,29.8808,29.7756930928433,2461,0.0,1.0
2024-08-05,29.49,29.85,29.455,29.6809,29.5764962490755,9633,0.057,1.0
2024-08-02,30.55,30.56,30.4299,30.4989,30.3333658883421,2619,0.0,1.0
2024-08-01,32.01,32.01,31.2203,31.2203,31.050850458338,504,0.0,1.0
2024-07-31,31.95,31.95,31.9238,31.9238,31.7505321813657,861,0.0,1.0
2024-07-30,31.8997,31.94,31.8997,31.94,31.7666442551582,3010,0.0,1.0
2024-07-29,31.89,31.89,31.7193,31.7193,31.5471421140464,1195,0.0,1.0
