,CYTK_Open,CYTK_High,CYTK_Low,CYTK_Close,CYTK_Adj Close,CYTK_Volume,CYTK_Dividend Amount,CYTK_Split Coefficient
2024-07-09,56.24,56.36,54.58,54.86,54.86,1042737,0.0,1.0
2024-07-08,55.475,56.72,54.85,56.67,56.67,1065282,0.0,1.0
2024-07-05,54.61,55.65,53.68,55.51,55.51,959633,0.0,1.0
2024-07-03,55.4,55.5,54.19,54.4,54.4,487269,0.0,1.0
2024-07-02,54.97,54.97,53.3925,54.84,54.84,1316823,0.0,1.0
2024-07-01,53.83,55.86,53.24,54.7,54.7,1951407,0.0,1.0
2024-06-28,53.75,54.66,52.94,54.18,54.18,7296469,0.0,1.0
2024-06-27,51.86,54.035,51.29,53.78,53.78,1436301,0.0,1.0
2024-06-26,52.5,52.5,50.815,51.75,51.75,1846897,0.0,1.0
2024-06-25,54.02,54.77,52.72,52.87,52.87,958521,0.0,1.0
2024-06-24,53.75,54.57,53.01,53.9,53.9,1085952,0.0,1.0
2024-06-21,52.21,53.8,51.62,53.52,53.52,6269539,0.0,1.0
2024-06-20,51.81,52.875,51.5,51.82,51.82,1080197,0.0,1.0
2024-06-18,52.71,53.44,51.57,51.94,51.94,1043705,0.0,1.0
2024-06-17,53.07,53.7655,52.08,52.78,52.78,1421658,0.0,1.0
2024-06-14,52.23,54.35,51.87,53.93,53.93,1182895,0.0,1.0
2024-06-13,54.02,54.41,52.67,52.71,52.71,1150372,0.0,1.0
2024-06-12,54.5,54.83,53.56,54.04,54.04,1302501,0.0,1.0
2024-06-11,53.52,54.04,52.56,53.29,53.29,1235096,0.0,1.0
2024-06-10,52.07,54.45,51.51,54.16,54.16,2583421,0.0,1.0
2024-06-07,52.1,52.935,50.87,52.79,52.79,2186655,0.0,1.0
2024-06-06,54.25,54.75,52.0,52.28,52.28,3019334,0.0,1.0
2024-06-05,48.68,55.0,47.02,54.58,54.58,5674174,0.0,1.0
2024-06-04,49.16,49.38,47.82,48.41,48.41,1960856,0.0,1.0
2024-06-03,48.64,50.34,48.11,49.87,49.87,2487275,0.0,1.0
2024-05-31,49.25,49.36,48.03,48.51,48.51,2530227,0.0,1.0
2024-05-30,48.33,49.82,47.18,49.12,49.12,2476461,0.0,1.0
2024-05-29,48.08,49.25,46.7,47.86,47.86,3316115,0.0,1.0
2024-05-28,48.68,49.32,46.25,48.21,48.21,3762066,0.0,1.0
2024-05-24,49.14,49.15,47.38,48.3,48.3,6047206,0.0,1.0
2024-05-23,49.25,50.24,47.59,48.98,48.98,15413126,0.0,1.0
2024-05-22,60.53,60.97,58.8,59.23,59.23,1499174,0.0,1.0
2024-05-21,60.5,60.9,59.75,60.14,60.14,886415,0.0,1.0
2024-05-20,59.59,61.4,59.33,60.6,60.6,727476,0.0,1.0
2024-05-17,59.62,60.47,58.64,59.53,59.53,1056744,0.0,1.0
2024-05-16,60.68,61.04,59.5,59.92,59.92,888757,0.0,1.0
2024-05-15,60.27,60.99,58.33,60.5,60.5,1267465,0.0,1.0
2024-05-14,58.06,60.33,57.015,59.36,59.36,2413912,0.0,1.0
2024-05-13,63.33,63.4573,55.91,57.89,57.89,3552193,0.0,1.0
2024-05-10,63.63,64.61,61.25,62.1,62.1,1343714,0.0,1.0
2024-05-09,68.21,68.44,61.75,64.02,64.02,2404751,0.0,1.0
2024-05-08,65.0,66.25,64.52,65.27,65.27,1174612,0.0,1.0
2024-05-07,65.74,66.52,64.53,65.28,65.28,849388,0.0,1.0
2024-05-06,65.68,66.395,63.41,65.05,65.05,607007,0.0,1.0
2024-05-03,66.08,66.605,65.0,65.27,65.27,900208,0.0,1.0
2024-05-02,64.33,64.69,63.57,64.34,64.34,576678,0.0,1.0
2024-05-01,61.41,64.3,61.37,63.37,63.37,1232153,0.0,1.0
2024-04-30,61.74,62.28,60.86,61.32,61.32,2530099,0.0,1.0
2024-04-29,64.95,65.0,62.2,62.53,62.53,1286291,0.0,1.0
2024-04-26,65.0,66.12,64.5,65.34,65.34,738059,0.0,1.0
2024-04-25,64.81,65.42,63.9,64.8,64.8,1112287,0.0,1.0
2024-04-24,65.89,67.45,65.68,66.82,66.82,807781,0.0,1.0
2024-04-23,66.72,68.76,65.53,65.57,65.57,1284335,0.0,1.0
2024-04-22,67.9,67.9,65.64,66.29,66.29,1184389,0.0,1.0
2024-04-19,66.88,67.8,64.815,67.55,67.55,1607395,0.0,1.0
2024-04-18,67.5,68.53,66.84,67.0,67.0,1034789,0.0,1.0
2024-04-17,69.58,69.9,67.86,67.93,67.93,1285904,0.0,1.0
2024-04-16,67.81,70.52,66.55,69.0,69.0,973213,0.0,1.0
2024-04-15,71.6,71.6,67.45,68.0,68.0,1517011,0.0,1.0
2024-04-12,73.76,73.76,70.61,71.56,71.56,789546,0.0,1.0
2024-04-11,74.99,75.5,72.35,73.19,73.19,788935,0.0,1.0
2024-04-10,72.54,75.0,72.28,74.36,74.36,803163,0.0,1.0
2024-04-09,74.2,75.71,73.43,75.05,75.05,1224408,0.0,1.0
2024-04-08,73.9,74.38,72.55,74.19,74.19,962153,0.0,1.0
2024-04-05,69.21,73.21,68.43,72.71,72.71,1006396,0.0,1.0
2024-04-04,71.69,72.3299,68.72,69.18,69.18,738537,0.0,1.0
2024-04-03,70.27,71.43,70.0,70.92,70.92,589410,0.0,1.0
2024-04-02,71.19,72.72,70.345,70.97,70.97,1036905,0.0,1.0
2024-04-01,69.78,73.16,68.9,73.02,73.02,1347914,0.0,1.0
2024-03-28,71.41,71.855,69.96,70.11,70.11,1612736,0.0,1.0
2024-03-27,71.4,73.18,69.88,71.41,71.41,2483051,0.0,1.0
2024-03-26,69.0,74.6799,68.28,71.15,71.15,4055443,0.0,1.0
2024-03-25,67.75,69.4,67.375,68.73,68.73,1015846,0.0,1.0
2024-03-22,65.79,68.33,65.13,67.42,67.42,1411848,0.0,1.0
2024-03-21,67.9,68.87,65.765,66.03,66.03,1502807,0.0,1.0
2024-03-20,66.83,67.9619,65.64,67.36,67.36,1454497,0.0,1.0
2024-03-19,63.64,69.18,63.405,67.59,67.59,2510761,0.0,1.0
2024-03-18,65.35,68.3474,63.65,63.75,63.75,2246657,0.0,1.0
2024-03-15,63.43,65.44,62.37,65.19,65.19,21706026,0.0,1.0
2024-03-14,64.37,64.62,61.33,63.75,63.75,2645871,0.0,1.0
2024-03-13,65.33,65.8,63.5,64.63,64.63,2080091,0.0,1.0
2024-03-12,65.0,66.0,62.62,64.55,64.55,2384744,0.0,1.0
2024-03-11,65.82,66.48,62.16,64.39,64.39,2626029,0.0,1.0
2024-03-08,67.0,68.38,65.645,65.75,65.75,1382539,0.0,1.0
2024-03-07,66.88,67.67,65.05,65.84,65.84,1590267,0.0,1.0
2024-03-06,67.29,68.0,65.4,66.88,66.88,1800433,0.0,1.0
2024-03-05,66.9,68.15,66.01,66.43,66.43,2210167,0.0,1.0
2024-03-04,71.03,72.0,66.69,67.68,67.68,4175405,0.0,1.0
2024-03-01,73.2,75.03,72.53,73.98,73.98,1645369,0.0,1.0
2024-02-29,73.86,75.0,71.48,72.24,72.24,1903975,0.0,1.0
2024-02-28,77.94,78.94,69.41,73.09,73.09,4377079,0.0,1.0
2024-02-27,79.0,81.36,78.599,80.99,80.99,2367488,0.0,1.0
2024-02-26,77.07,79.93,77.0,79.0,79.0,1788261,0.0,1.0
2024-02-23,76.0,79.49,75.86,78.02,78.02,1738653,0.0,1.0
2024-02-22,76.3,77.3,75.52,75.59,75.59,1168770,0.0,1.0
2024-02-21,76.32,77.35,75.66,76.5,76.5,974346,0.0,1.0
2024-02-20,76.62,78.0,76.01,76.89,76.89,1136377,0.0,1.0
2024-02-16,78.46,79.59,76.78,76.89,76.89,1321250,0.0,1.0
2024-02-15,76.82,78.715,76.05,78.56,78.56,1704367,0.0,1.0
2024-02-14,77.9,78.475,75.59,76.5,76.5,1817199,0.0,1.0
2024-02-13,77.4,80.99,76.16,77.03,77.03,2784734,0.0,1.0
2024-02-12,77.4,79.8625,76.6101,79.3,79.3,1345169,0.0,1.0
2024-02-09,79.0,79.77,76.52,76.94,76.94,1883944,0.0,1.0
2024-02-08,77.85,79.39,76.915,78.94,78.94,1420929,0.0,1.0
2024-02-07,80.23,80.4,77.0,77.12,77.12,1427942,0.0,1.0
2024-02-06,80.27,80.8,78.05,80.16,80.16,977126,0.0,1.0
2024-02-05,79.23,80.655,76.555,80.16,80.16,2665981,0.0,1.0
2024-02-02,80.49,84.05,79.14,81.87,81.87,2391591,0.0,1.0
2024-02-01,78.52,82.64,78.485,81.25,81.25,2678436,0.0,1.0
2024-01-31,78.73,81.48,77.69,78.13,78.13,1954489,0.0,1.0
2024-01-30,79.96,80.44,77.27,78.73,78.73,2154204,0.0,1.0
2024-01-29,81.67,81.8877,79.555,79.99,79.99,2472877,0.0,1.0
2024-01-26,84.0,84.0,80.65,82.74,82.74,1163178,0.0,1.0
2024-01-25,82.94,83.7347,80.55,82.91,82.91,1737843,0.0,1.0
2024-01-24,83.42,84.11,81.495,81.77,81.77,1663241,0.0,1.0
2024-01-23,83.69,84.92,80.86,84.8,84.8,1404404,0.0,1.0
2024-01-22,81.2,84.08,80.56,83.69,83.69,2057995,0.0,1.0
2024-01-19,82.68,83.73,80.02,80.96,80.96,3382132,0.0,1.0
2024-01-18,84.97,86.63,81.57,82.74,82.74,2547160,0.0,1.0
2024-01-17,80.93,86.1899,80.13,85.68,85.68,3378943,0.0,1.0
2024-01-16,82.5,85.05,80.22,81.19,81.19,4057230,0.0,1.0
2024-01-12,85.51,86.98,83.86,85.6,85.6,4878202,0.0,1.0
2024-01-11,99.97,100.49,73.12,84.95,84.95,24190550,0.0,1.0
2024-01-10,100.0,103.75,97.63,101.63,101.63,7236113,0.0,1.0
2024-01-09,108.55,108.61,95.51,101.97,101.97,11769238,0.0,1.0
2024-01-08,89.3,110.25,85.86,108.06,108.06,15904476,0.0,1.0
2024-01-05,87.24,95.61,86.82,93.73,93.73,6004984,0.0,1.0
2024-01-04,87.0,90.22,85.8,88.24,88.24,5876497,0.0,1.0
2024-01-03,83.49,87.78,82.145,86.64,86.64,4546101,0.0,1.0
2024-01-02,84.38,88.82,81.75,84.12,84.12,4436969,0.0,1.0
2023-12-29,83.55,87.58,82.8,83.49,83.49,6322036,0.0,1.0
2023-12-28,82.635,85.62,79.32,83.24,83.24,7191278,0.0,1.0
2023-12-27,73.65,83.82,71.9,83.44,83.44,22058125,0.0,1.0
2023-12-26,44.74,46.28,43.5251,45.71,45.71,2001165,0.0,1.0
2023-12-22,45.0,45.9999,43.21,44.6,44.6,2673529,0.0,1.0
2023-12-21,37.0,45.245,36.241,44.82,44.82,8780471,0.0,1.0
2023-12-20,36.88,37.91,35.66,35.72,35.72,1765440,0.0,1.0
2023-12-19,36.5,37.26,32.7,36.84,36.84,3193296,0.0,1.0
2023-12-18,36.34,38.17,35.97,36.09,36.09,2496602,0.0,1.0
2023-12-15,37.68,38.22,35.76,36.07,36.07,4821757,0.0,1.0
2023-12-14,38.04,38.44,35.83,36.61,36.61,2261934,0.0,1.0
2023-12-13,35.11,37.45,34.68,37.38,37.38,1954793,0.0,1.0
2023-12-12,35.54,35.91,34.95,35.11,35.11,1405559,0.0,1.0
2023-12-11,34.16,35.8,33.06,35.5,35.5,1551496,0.0,1.0
2023-12-08,34.6,35.6,33.58,34.1,34.1,1596250,0.0,1.0
2023-12-07,33.48,35.63,33.3569,34.86,34.86,1939236,0.0,1.0
2023-12-06,32.68,34.22,32.5,33.46,33.46,1481891,0.0,1.0
2023-12-05,33.62,33.93,32.53,32.56,32.56,1222236,0.0,1.0
2023-12-04,33.65,34.98,33.38,33.89,33.89,1357434,0.0,1.0
2023-12-01,33.53,33.58,32.39,33.57,33.57,1695279,0.0,1.0
2023-11-30,32.62,34.11,32.35,33.48,33.48,2571095,0.0,1.0
2023-11-29,31.43,34.11,31.43,32.14,32.14,1801743,0.0,1.0
2023-11-28,31.73,31.73,30.68,31.22,31.22,689379,0.0,1.0
2023-11-27,31.87,32.235,30.915,31.83,31.83,892055,0.0,1.0
2023-11-24,31.61,32.2,31.58,31.97,31.97,380342,0.0,1.0
2023-11-22,32.4,32.7,31.46,31.91,31.91,1126745,0.0,1.0
2023-11-21,31.7,32.245,30.695,31.74,31.74,1319140,0.0,1.0
2023-11-20,32.67,33.15,31.79,32.31,32.31,2590149,0.0,1.0
2023-11-17,31.95,32.535,31.53,32.44,32.44,1288111,0.0,1.0
2023-11-16,32.78,33.16,31.03,31.68,31.68,1481299,0.0,1.0
2023-11-15,33.63,35.22,32.82,32.83,32.83,1802546,0.0,1.0
2023-11-14,33.38,34.4,33.02,34.29,34.29,1614558,0.0,1.0
2023-11-13,31.84,33.05,31.59,32.01,32.01,1542391,0.0,1.0
2023-11-10,33.12,33.81,32.33,32.5,32.5,1475478,0.0,1.0
2023-11-09,35.4,35.74,33.03,33.11,33.11,850599,0.0,1.0
2023-11-08,35.63,35.78,34.47,34.76,34.76,948517,0.0,1.0
2023-11-07,35.45,36.0,34.91,35.85,35.85,1298960,0.0,1.0
2023-11-06,35.78,36.2764,33.6,34.43,34.43,1456808,0.0,1.0
2023-11-03,35.45,36.78,35.01,36.32,36.32,2030603,0.0,1.0
2023-11-02,35.94,36.28,34.58,34.64,34.64,1785248,0.0,1.0
2023-11-01,34.93,35.24,34.21,35.1,35.1,1942738,0.0,1.0
2023-10-31,31.64,36.53,31.46,34.86,34.86,3914271,0.0,1.0
2023-10-30,31.82,32.65,31.5,32.09,32.09,2040802,0.0,1.0
2023-10-27,32.1,32.52,30.37,31.74,31.74,2375558,0.0,1.0
2023-10-26,33.03,33.35,32.27,32.41,32.41,755983,0.0,1.0
2023-10-25,31.44,33.01,31.08,32.59,32.59,1586255,0.0,1.0
2023-10-24,32.47,33.1,31.58,31.86,31.86,1026384,0.0,1.0
2023-10-23,32.89,33.39,31.88,31.88,31.88,788915,0.0,1.0
2023-10-20,33.33,34.065,32.93,33.11,33.11,1337065,0.0,1.0
2023-10-19,34.43,34.43,32.49,32.81,32.81,1943584,0.0,1.0
2023-10-18,35.18,35.65,33.985,34.3,34.3,1600810,0.0,1.0
2023-10-17,34.44,36.16,34.44,35.38,35.38,1712897,0.0,1.0
2023-10-16,34.06,35.7,32.99,34.65,34.65,1749864,0.0,1.0
2023-10-13,33.42,35.33,32.79,34.21,34.21,1555468,0.0,1.0
2023-10-12,35.89,35.89,32.49,33.39,33.39,1915493,0.0,1.0
2023-10-11,35.14,36.0,34.255,35.95,35.95,3245904,0.0,1.0
2023-10-10,31.79,35.05,31.63,34.87,34.87,4580726,0.0,1.0
2023-10-09,30.85,31.77,30.1,31.7,31.7,1505763,0.0,1.0
2023-10-06,27.34,31.36,26.831,30.6,30.6,2580717,0.0,1.0
2023-10-05,26.95,27.7,26.545,27.47,27.47,939934,0.0,1.0
2023-10-04,26.85,27.33,25.98,27.05,27.05,1192714,0.0,1.0
2023-10-03,27.91,28.17,26.57,26.88,26.88,1386825,0.0,1.0
2023-10-02,29.36,29.4,27.56,27.88,27.88,1580843,0.0,1.0
2023-09-29,31.01,31.09,29.25,29.46,29.46,1689258,0.0,1.0
2023-09-28,29.81,31.717,28.96,30.8,30.8,1627654,0.0,1.0
2023-09-27,30.01,30.55,29.71,29.92,29.92,706387,0.0,1.0
2023-09-26,30.08,30.6557,29.79,30.0,30.0,1035920,0.0,1.0
2023-09-25,30.79,31.02,29.9,29.98,29.98,608576,0.0,1.0
2023-09-22,31.4,31.54,30.84,30.95,30.95,407738,0.0,1.0
2023-09-21,31.44,31.9,30.595,31.24,31.24,1004769,0.0,1.0
2023-09-20,32.76,33.03,31.96,31.97,31.97,849372,0.0,1.0
2023-09-19,33.87,34.38,32.83,32.93,32.93,864432,0.0,1.0
2023-09-18,34.12,34.585,33.17,33.87,33.87,1410976,0.0,1.0
2023-09-15,34.52,34.52,33.65,34.23,34.23,1499130,0.0,1.0
2023-09-14,34.86,35.27,34.16,34.21,34.21,1366072,0.0,1.0
2023-09-13,35.08,35.21,34.41,34.83,34.83,734779,0.0,1.0
2023-09-12,34.73,35.22,34.24,35.05,35.05,579892,0.0,1.0
2023-09-11,36.06,36.06,34.658,34.73,34.73,845354,0.0,1.0
2023-09-08,36.78,37.1,35.88,36.06,36.06,699707,0.0,1.0
2023-09-07,35.67,36.74,35.67,36.61,36.61,595377,0.0,1.0
2023-09-06,35.57,36.219,35.49,35.81,35.81,436410,0.0,1.0
2023-09-05,35.83,35.87,34.96,35.16,35.16,585495,0.0,1.0
2023-09-01,35.33,36.57,35.3,36.0,36.0,718643,0.0,1.0
2023-08-31,35.0,35.825,34.8,34.94,34.94,603119,0.0,1.0
2023-08-30,35.58,35.7188,34.915,35.22,35.22,466460,0.0,1.0
2023-08-29,35.7,36.08,35.21,35.49,35.49,373380,0.0,1.0
2023-08-28,35.06,35.95,34.85,35.88,35.88,455157,0.0,1.0
2023-08-25,33.96,35.26,33.68,34.86,34.86,700956,0.0,1.0
2023-08-24,32.94,33.77,32.75,33.68,33.68,641136,0.0,1.0
2023-08-23,33.58,34.105,32.98,33.05,33.05,356784,0.0,1.0
2023-08-22,32.94,33.66,32.26,33.36,33.36,441907,0.0,1.0
2023-08-21,32.37,33.32,31.8,32.94,32.94,729972,0.0,1.0
2023-08-18,31.66,32.78,31.565,32.44,32.44,747526,0.0,1.0
2023-08-17,33.14,33.23,31.81,31.88,31.88,519977,0.0,1.0
2023-08-16,32.59,33.69,32.16,33.17,33.17,785141,0.0,1.0
2023-08-15,32.32,32.73,31.83,32.71,32.71,1165194,0.0,1.0
2023-08-14,32.45,32.6,31.63,32.1,32.1,568983,0.0,1.0
2023-08-11,32.23,32.76,32.1,32.75,32.75,338173,0.0,1.0
2023-08-10,31.7,32.68,31.7,32.49,32.49,577156,0.0,1.0
2023-08-09,31.98,32.45,31.63,31.8,31.8,647347,0.0,1.0
2023-08-08,31.33,32.14,31.0,31.95,31.95,761966,0.0,1.0
2023-08-07,33.45,33.45,31.045,31.35,31.35,943508,0.0,1.0
2023-08-04,31.99,34.97,31.945,33.19,33.19,1112298,0.0,1.0
2023-08-03,31.02,32.27,30.82,31.7,31.7,1136432,0.0,1.0
2023-08-02,32.01,32.44,30.66,31.08,31.08,816541,0.0,1.0
2023-08-01,33.09,33.1,32.01,32.5,32.5,766242,0.0,1.0
2023-07-31,33.0,33.43,32.87,33.35,33.35,690584,0.0,1.0
2023-07-28,32.28,33.56,32.17,33.25,33.25,1264775,0.0,1.0
2023-07-27,32.68,32.7699,31.92,32.23,32.23,676437,0.0,1.0
2023-07-26,32.01,32.58,31.81,32.4,32.4,940944,0.0,1.0
2023-07-25,32.65,33.15,32.1,32.14,32.14,884284,0.0,1.0
2023-07-24,32.76,33.17,32.0501,32.89,32.89,453075,0.0,1.0
2023-07-21,32.46,33.29,32.2625,32.72,32.72,1096144,0.0,1.0
2023-07-20,33.6,33.68,32.39,32.4,32.4,1009864,0.0,1.0
2023-07-19,33.41,34.27,33.33,33.62,33.62,891584,0.0,1.0
2023-07-18,33.73,33.89,33.04,33.19,33.19,703887,0.0,1.0
2023-07-17,35.18,35.875,33.8,33.81,33.81,593594,0.0,1.0
2023-07-14,35.32,35.4,34.61,34.93,34.93,628238,0.0,1.0
2023-07-13,35.37,36.255,35.08,35.5,35.5,820647,0.0,1.0
2023-07-12,35.61,35.8367,34.85,35.29,35.29,1043709,0.0,1.0
2023-07-11,35.83,35.83,34.92,35.13,35.13,756622,0.0,1.0
2023-07-10,34.63,36.04,34.63,35.85,35.85,985453,0.0,1.0
2023-07-07,33.68,35.29,33.68,34.71,34.71,1427745,0.0,1.0
2023-07-06,32.87,33.65,32.685,33.63,33.63,516225,0.0,1.0
2023-07-05,33.1,33.54,32.51,33.39,33.39,807938,0.0,1.0
2023-07-03,32.37,33.5,32.26,33.36,33.36,344887,0.0,1.0
2023-06-30,33.14,33.37,32.52,32.62,32.62,1048747,0.0,1.0
2023-06-29,33.38,33.87,32.56,32.75,32.75,930042,0.0,1.0
2023-06-28,33.81,34.25,33.205,33.5,33.5,718151,0.0,1.0
2023-06-27,32.96,33.95,32.32,33.75,33.75,1233086,0.0,1.0
2023-06-26,34.93,35.13,32.735,32.94,32.94,1577501,0.0,1.0
2023-06-23,36.91,37.21,35.19,35.22,35.22,2205377,0.0,1.0
2023-06-22,36.63,37.856,36.36,37.22,37.22,826083,0.0,1.0
2023-06-21,35.47,36.16,34.76,36.12,36.12,756939,0.0,1.0
2023-06-20,34.7,35.835,34.47,35.66,35.66,764447,0.0,1.0
2023-06-16,35.98,35.98,34.26,34.84,34.84,1863366,0.0,1.0
2023-06-15,34.87,35.96,34.57,35.44,35.44,934912,0.0,1.0
2023-06-14,36.44,36.62,34.95,35.01,35.01,942204,0.0,1.0
2023-06-13,36.06,37.0,35.885,36.34,36.34,1055866,0.0,1.0
2023-06-12,37.33,37.57,35.91,35.96,35.96,987598,0.0,1.0
2023-06-09,37.98,38.145,36.98,37.03,37.03,490418,0.0,1.0
2023-06-08,38.5,38.55,37.51,38.06,38.06,577847,0.0,1.0
2023-06-07,37.85,38.935,36.89,38.73,38.73,738281,0.0,1.0
2023-06-06,38.05,38.79,37.7,37.73,37.73,606182,0.0,1.0
2023-06-05,38.16,39.0,37.98,38.0,38.0,621057,0.0,1.0
2023-06-02,38.56,39.245,37.95,38.63,38.63,688041,0.0,1.0
2023-06-01,37.84,38.96,37.16,37.96,37.96,612510,0.0,1.0
2023-05-31,38.11,39.02,37.14,37.69,37.69,696112,0.0,1.0
2023-05-30,37.19,38.02,36.96,37.96,37.96,365630,0.0,1.0
2023-05-26,37.77,37.915,37.06,37.36,37.36,371630,0.0,1.0
2023-05-25,38.06,38.06,36.75,37.54,37.54,508395,0.0,1.0
2023-05-24,38.79,38.79,37.81,38.14,38.14,662548,0.0,1.0
2023-05-23,40.69,41.24,38.77,39.01,39.01,814978,0.0,1.0
2023-05-22,39.16,40.99,39.16,40.75,40.75,901956,0.0,1.0
2023-05-19,38.28,39.1,37.805,38.98,38.98,942868,0.0,1.0
2023-05-18,37.8,37.88,36.66,37.58,37.58,388255,0.0,1.0
2023-05-17,37.45,37.87,36.195,37.81,37.81,497766,0.0,1.0
2023-05-16,38.29,38.5,36.59,37.23,37.23,815316,0.0,1.0
2023-05-15,37.79,39.19,37.06,38.95,38.95,618507,0.0,1.0
2023-05-12,37.74,38.01,36.96,37.64,37.64,810957,0.0,1.0
2023-05-11,39.5,39.66,37.68,37.83,37.83,1154901,0.0,1.0
2023-05-10,38.84,39.39,38.5,39.23,39.23,507578,0.0,1.0
2023-05-09,37.99,38.86,37.46,38.84,38.84,482262,0.0,1.0
2023-05-08,39.61,40.0,37.89,38.41,38.41,590871,0.0,1.0
2023-05-05,40.97,40.97,37.815,39.44,39.44,1882665,0.0,1.0
