,VRTS_Open,VRTS_High,VRTS_Low,VRTS_Close,VRTS_Adj Close,VRTS_Volume,VRTS_Dividend Amount,VRTS_Split Coefficient
2024-10-07,206.67,206.67,203.42,205.37,205.37,18601,0.0,1.0
2024-10-04,207.0,208.64,205.81,208.39,208.39,21961,0.0,1.0
2024-10-03,204.44,205.51,203.0,204.19,204.19,20987,0.0,1.0
2024-10-02,205.8644,206.5567,204.35,204.95,204.95,22963,0.0,1.0
2024-10-01,207.78,207.78,203.14,205.13,205.13,21776,0.0,1.0
2024-09-30,206.3,209.45,204.0501,209.45,209.45,34255,0.0,1.0
2024-09-27,208.54,211.145,206.66,207.83,207.83,19508,0.0,1.0
2024-09-26,206.86,207.5075,205.25,206.81,206.81,24236,0.0,1.0
2024-09-25,207.5,207.79,204.19,204.26,204.26,21983,0.0,1.0
2024-09-24,208.46,210.1,207.2896,208.83,208.83,16799,0.0,1.0
2024-09-23,208.46,209.63,207.2132,208.2,208.2,16157,0.0,1.0
2024-09-20,209.78,209.78,206.22,207.21,207.21,116347,0.0,1.0
2024-09-19,211.1,211.28,209.305,209.85,209.85,23613,0.0,1.0
2024-09-18,205.61,209.9,205.61,206.03,206.03,41691,0.0,1.0
2024-09-17,208.57,209.28,206.16,206.38,206.38,24926,0.0,1.0
2024-09-16,205.3,206.43,204.34,206.09,206.09,20461,0.0,1.0
2024-09-13,200.71,204.42,199.47,203.98,203.98,32375,0.0,1.0
2024-09-12,194.82,198.355,194.82,197.67,197.67,22837,0.0,1.0
2024-09-11,194.05,196.11,190.42,194.99,194.99,40181,0.0,1.0
2024-09-10,197.85,197.85,193.2332,195.75,195.75,35306,0.0,1.0
2024-09-09,197.96,199.52,195.71,196.74,196.74,32810,0.0,1.0
2024-09-06,200.08,202.115,196.78,197.04,197.04,23515,0.0,1.0
2024-09-05,203.97,204.8,201.09,201.9,201.9,17247,0.0,1.0
2024-09-04,203.62,206.04,201.195,202.19,202.19,24127,0.0,1.0
2024-09-03,210.23,210.23,204.39,205.65,205.65,44000,0.0,1.0
2024-08-30,209.9,212.08,207.3,211.66,211.66,36209,0.0,1.0
2024-08-29,207.03,208.42,204.6,207.78,207.78,36830,0.0,1.0
