,LGIH_Open,LGIH_High,LGIH_Low,LGIH_Close,LGIH_Adj Close,LGIH_Volume,LGIH_Dividend Amount,LGIH_Split Coefficient
2024-10-07,110.12,111.025,108.31,110.53,110.53,112324,0.0,1.0
2024-10-04,115.89,115.89,109.16,111.4,111.4,348342,0.0,1.0
2024-10-03,114.43,116.32,113.1698,115.29,115.29,121325,0.0,1.0
2024-10-02,116.73,118.15,114.86,115.97,115.97,109145,0.0,1.0
2024-10-01,118.67,119.99,115.56,118.18,118.18,124695,0.0,1.0
2024-09-30,117.48,120.53,116.39,118.52,118.52,214565,0.0,1.0
2024-09-27,116.14,118.94,114.28,117.74,117.74,150680,0.0,1.0
2024-09-26,115.47,115.47,113.5,113.8,113.8,176411,0.0,1.0
2024-09-25,115.41,115.5,112.37,113.22,113.22,149921,0.0,1.0
2024-09-24,117.83,118.265,115.57,116.25,116.25,146872,0.0,1.0
2024-09-23,120.29,121.0,117.86,118.04,118.04,138726,0.0,1.0
2024-09-20,120.92,121.91,117.6901,118.72,118.72,658306,0.0,1.0
2024-09-19,124.66,125.69,121.92,123.5,123.5,267871,0.0,1.0
2024-09-18,120.14,125.83,117.99,120.53,120.53,490391,0.0,1.0
2024-09-17,117.63,121.45,116.4,121.27,121.27,249601,0.0,1.0
2024-09-16,115.75,118.49,110.965,116.47,116.47,376520,0.0,1.0
2024-09-13,109.63,115.1,109.63,114.47,114.47,224545,0.0,1.0
2024-09-12,104.8,108.3,104.525,107.24,107.24,94885,0.0,1.0
2024-09-11,104.05,104.735,100.86,104.37,104.37,153975,0.0,1.0
2024-09-10,105.23,105.6,102.72,104.67,104.67,116116,0.0,1.0
2024-09-09,106.9,107.92,104.9,105.24,105.24,151713,0.0,1.0
2024-09-06,104.6,107.61,104.525,104.8,104.8,108408,0.0,1.0
2024-09-05,104.54,104.97,102.6,103.95,103.95,133287,0.0,1.0
2024-09-04,104.5,105.45,102.58,104.0,104.0,123908,0.0,1.0
2024-09-03,106.82,108.46,104.185,104.31,104.31,127322,0.0,1.0
2024-08-30,108.12,108.12,105.235,107.88,107.88,120687,0.0,1.0
2024-08-29,108.57,108.655,106.29,106.66,106.66,82790,0.0,1.0
