,NCI_Open,NCI_High,NCI_Low,NCI_Close,NCI_Adj Close,NCI_Volume,NCI_Dividend Amount,NCI_Split Coefficient
2024-10-07,0.575,0.61,0.5622,0.59005,0.59005,345950,0.0,1.0
2024-10-04,0.615,0.64,0.5753,0.6129,0.6129,458422,0.0,1.0
2024-10-03,0.7109,0.78,0.69,0.6901,0.6901,951991,0.0,1.0
2024-10-02,0.95,1.08,0.731,0.8231,0.8231,10694195,0.0,1.0
2024-10-01,0.8402,0.99,0.64,0.9572,0.9572,7810134,0.0,1.0
2024-09-30,0.540299,0.7717,0.524,0.73,0.73,5167073,0.0,1.0
2024-09-27,0.53,0.5562,0.51,0.53,0.53,168179,0.0,1.0
2024-09-26,0.505,0.512,0.5,0.5071,0.5071,198181,0.0,1.0
2024-09-25,0.5055,0.52,0.495,0.505,0.505,217883,0.0,1.0
2024-09-24,0.563,0.5774,0.481,0.5055,0.5055,407859,0.0,1.0
2024-09-23,0.7305,1.03,0.5347,0.56,0.56,6418891,0.0,1.0
2024-09-20,0.825,0.825,0.66,0.705,0.705,1822072,0.0,1.0
2024-09-19,0.4704,0.95,0.4601,0.84,0.84,12689576,0.0,1.0
2024-09-18,0.48235,0.5099,0.451,0.49,0.49,32876,0.0,1.0
2024-09-17,0.4699,0.49,0.463,0.49,0.49,38723,0.0,1.0
2024-09-16,0.508,0.508,0.4764,0.4827,0.4827,12015,0.0,1.0
2024-09-13,0.5151,0.5399,0.4511,0.5096,0.5096,136599,0.0,1.0
2024-09-12,0.449,0.54,0.43,0.51,0.51,122534,0.0,1.0
2024-09-11,0.423,0.47,0.4155,0.4501,0.4501,47119,0.0,1.0
2024-09-10,0.42,0.435,0.405,0.41,0.41,24011,0.0,1.0
2024-09-09,0.408,0.46,0.4001,0.4116,0.4116,36758,0.0,1.0
2024-09-06,0.4339,0.47,0.3998,0.4122,0.4122,82430,0.0,1.0
2024-09-05,0.439,0.439,0.39,0.435,0.435,17538,0.0,1.0
2024-09-04,0.41,0.4305,0.41,0.411,0.411,48749,0.0,1.0
2024-09-03,0.4241,0.4484,0.42,0.4201,0.4201,26238,0.0,1.0
2024-08-30,0.4228,0.45,0.418,0.4241,0.4241,93317,0.0,1.0
2024-08-29,0.425384,0.44,0.413,0.4238,0.4238,54409,0.0,1.0
2024-08-28,0.444101,0.46,0.4225,0.423,0.423,64797,0.0,1.0
2024-08-27,0.425,0.47,0.420101,0.4451,0.4451,35079,0.0,1.0
2024-08-26,0.43,0.46,0.42,0.433,0.433,56414,0.0,1.0
2024-08-23,0.417,0.4718,0.4109,0.46,0.46,216736,0.0,1.0
2024-08-22,0.4545,0.4701,0.4204,0.4312,0.4312,108456,0.0,1.0
2024-08-21,0.4288,0.51,0.4075,0.4693,0.4693,1977589,0.0,1.0
2024-08-20,0.42,0.539,0.403,0.4614,0.4614,2580599,0.0,1.0
2024-08-19,0.415,0.425,0.402,0.402,0.402,12492,0.0,1.0
2024-08-16,0.405,0.4272,0.405,0.415,0.415,24843,0.0,1.0
2024-08-15,0.4306,0.46,0.4011,0.41,0.41,83651,0.0,1.0
2024-08-14,0.472,0.472,0.415,0.4248,0.4248,15965,0.0,1.0
2024-08-13,0.43,0.4462,0.425,0.4368,0.4368,18747,0.0,1.0
2024-08-12,0.4296,0.441,0.4221,0.4301,0.4301,23343,0.0,1.0
2024-08-09,0.4377,0.4392,0.4011,0.41305,0.41305,15498,0.0,1.0
