,CMP_Open,CMP_High,CMP_Low,CMP_Close,CMP_Adj Close,CMP_Volume,CMP_Dividend Amount,CMP_Split Coefficient
2024-10-07,12.65,12.695,11.8,12.18,12.18,1200613,0.0,1.0
2024-10-04,11.98,12.23,11.74,12.06,12.06,623613,0.0,1.0
2024-10-03,11.95,12.0459,11.44,11.75,11.75,521753,0.0,1.0
2024-10-02,12.36,12.36,11.96,12.14,12.14,707658,0.0,1.0
2024-10-01,12.03,12.32,11.78,12.32,12.32,757791,0.0,1.0
2024-09-30,12.04,12.37,11.81,12.02,12.02,632748,0.0,1.0
2024-09-27,12.36,12.56,12.09,12.39,12.39,843375,0.0,1.0
2024-09-26,11.63,12.255,11.63,12.25,12.25,850743,0.0,1.0
2024-09-25,11.07,11.86,10.9,11.36,11.36,1151122,0.0,1.0
2024-09-24,11.19,11.38,10.915,11.0,11.0,1690513,0.0,1.0
2024-09-23,11.42,11.915,10.72,10.78,10.78,1375404,0.0,1.0
2024-09-20,10.96,11.73,10.85,11.34,11.34,9026424,0.0,1.0
2024-09-19,11.4,11.68,11.01,11.12,11.12,1713930,0.0,1.0
2024-09-18,11.12,11.43,10.71,10.86,10.86,1825707,0.0,1.0
2024-09-17,10.16,12.8,9.9,11.15,11.15,4490605,0.0,1.0
2024-09-16,9.45,9.51,8.99,9.21,9.21,1146792,0.0,1.0
2024-09-13,8.59,9.42,8.53,9.42,9.42,1142953,0.0,1.0
2024-09-12,8.56,8.86,8.38,8.46,8.46,1020632,0.0,1.0
2024-09-11,7.76,8.44,7.67,8.41,8.41,1098652,0.0,1.0
2024-09-10,8.23,8.245,7.51,7.77,7.77,1466732,0.0,1.0
2024-09-09,8.15,8.51,7.79,8.21,8.21,1732174,0.0,1.0
2024-09-06,8.18,8.71,8.075,8.37,8.37,1341615,0.0,1.0
2024-09-05,7.99,8.22,7.89,8.22,8.22,1185113,0.0,1.0
2024-09-04,8.16,8.2,7.775,7.95,7.95,1252207,0.0,1.0
2024-09-03,8.7,8.78,7.93,8.14,8.14,1737107,0.0,1.0
