,PDCE_Open,PDCE_High,PDCE_Low,PDCE_Close,PDCE_Adj Close,PDCE_Volume,PDCE_Dividend Amount,PDCE_Split Coefficient
2023-06-23,68.25,68.67,67.76,68.34,68.34,2757099,0.0,1.0
2023-06-22,69.19,69.35,68.62,68.84,68.84,1727333,0.0,1.0
2023-06-21,69.1,70.52,69.01,69.9,69.9,2517720,0.0,1.0
2023-06-20,70.91,70.99,68.74,69.43,69.43,1429307,0.0,1.0
2023-06-16,71.71,71.999,70.99,71.2,71.2,4102352,0.0,1.0
2023-06-15,70.94,72.28,70.94,71.64,71.64,1245965,0.0,1.0
2023-06-14,72.0,72.72,70.62,70.94,70.94,1796253,0.0,1.0
2023-06-13,72.05,72.68,71.55,71.7,71.7,1541580,0.0,1.0
2023-06-12,71.02,72.13,70.7,71.11,71.11,1985794,0.0,1.0
2023-06-09,72.01,72.83,71.88,71.98,71.98,1631346,0.0,1.0
2023-06-08,72.33,72.7,71.12,72.44,72.44,2170357,0.0,1.0
2023-06-07,70.91,72.57,70.91,72.35,72.35,3252552,0.4,1.0
2023-06-06,69.41,71.01,69.41,70.85,70.4604467353952,1773243,0.0,1.0
2023-06-05,71.72,71.98,70.285,70.62,70.2317113402062,2150013,0.0,1.0
2023-06-02,70.36,71.16,69.955,70.95,70.5598969072165,3045677,0.0,1.0
2023-06-01,68.83,70.09,68.31,69.33,68.9488041237113,2353703,0.0,1.0
2023-05-31,68.94,69.58,68.49,68.62,68.2427079037801,2489372,0.0,1.0
2023-05-30,69.47,69.95,69.1,69.87,69.4858350515464,1897087,0.0,1.0
2023-05-26,71.0,71.11,70.0,70.34,69.9532508591065,1245620,0.0,1.0
2023-05-25,70.85,71.14,70.2,70.63,70.2416563573883,2115881,0.0,1.0
2023-05-24,71.61,72.57,71.49,71.98,71.5842336769759,1696069,0.0,1.0
2023-05-23,70.47,72.3,70.41,71.72,71.3256632302405,4683938,0.0,1.0
2023-05-22,70.5,71.16,69.68,69.82,69.4361099656357,13513294,0.0,1.0
2023-05-19,65.58,66.075,64.805,65.12,64.7619518900344,566663,0.0,1.0
2023-05-18,63.42,65.06,62.615,64.96,64.6028316151203,430745,0.0,1.0
2023-05-17,63.37,64.07,62.135,63.87,63.518824742268,468373,0.0,1.0
2023-05-16,63.41,64.0,62.25,62.27,61.9276219931271,404917,0.0,1.0
2023-05-15,63.05,64.38,62.33,63.66,63.3099793814433,528291,0.0,1.0
2023-05-12,61.82,62.49,61.475,62.47,62.1265223367698,702999,0.0,1.0
2023-05-11,61.76,62.29,60.943,61.28,60.9430652920962,475761,0.0,1.0
2023-05-10,63.2,63.21,61.58,62.76,62.4149278350515,737091,0.0,1.0
2023-05-09,64.0,64.78,62.87,62.95,62.603883161512,791490,0.0,1.0
2023-05-08,66.17,66.7,64.49,64.53,64.1751958762887,837185,0.0,1.0
2023-05-05,64.75,65.475,63.23,64.39,64.0359656357388,1034814,0.0,1.0
2023-05-04,62.04,63.22,60.63,62.22,61.8778969072165,1394071,0.0,1.0
2023-05-03,60.37,61.845,59.975,60.5,60.16735395189,1093662,0.0,1.0
2023-05-02,63.43,63.55,60.97,61.89,61.5497113402062,694992,0.0,1.0
2023-05-01,64.07,65.46,63.53,64.73,64.3740962199313,471680,0.0,1.0
2023-04-28,62.89,65.83,62.31,65.05,64.6923367697594,515136,0.0,1.0
2023-04-27,62.65,63.265,61.34,62.95,62.603883161512,482810,0.0,1.0
2023-04-26,63.57,64.36,62.27,62.67,62.3254226804124,483584,0.0,1.0
2023-04-25,65.34,65.34,63.38,63.93,63.5784948453608,518162,0.0,1.0
2023-04-24,64.77,66.72,64.71,66.45,66.0846391752577,410885,0.0,1.0
2023-04-21,66.37,66.37,64.65,65.21,64.8514570446735,450394,0.0,1.0
2023-04-20,65.67,66.2,64.79,66.16,65.7962336769759,672822,0.0,1.0
2023-04-19,66.64,66.92,65.59,66.62,66.253704467354,487126,0.0,1.0
2023-04-18,67.95,67.98,66.91,67.76,67.3874364261168,480753,0.0,1.0
2023-04-17,69.7,69.88,67.81,67.85,67.476941580756,433525,0.0,1.0
2023-04-14,69.58,69.9,68.29,69.56,69.1775395189003,760190,0.0,1.0
2023-04-13,68.0,69.735,68.0,68.93,68.5510034364261,560938,0.0,1.0
2023-04-12,68.75,69.02,67.96,67.99,67.6161718213058,455060,0.0,1.0
2023-04-11,68.39,68.59,67.535,68.26,67.8846872852234,392739,0.0,1.0
2023-04-10,66.4,68.3,66.4,67.8,67.4272164948454,540444,0.0,1.0
2023-04-06,66.52,66.89,65.53,65.75,65.3884879725086,776923,0.0,1.0
2023-04-05,67.56,67.875,66.12,66.85,66.4824398625429,835163,0.0,1.0
2023-04-04,69.46,69.46,66.72,67.65,67.2780412371134,550205,0.0,1.0
2023-04-03,67.75,69.12,67.03,68.76,68.3819381443299,747012,0.0,1.0
2023-03-31,63.42,64.675,63.29,64.18,63.8271202749141,621143,0.0,1.0
2023-03-30,64.22,64.34,62.39,62.97,62.6237731958763,645847,0.0,1.0
2023-03-29,62.87,63.6,62.29,63.59,63.2403642611684,763437,0.0,1.0
2023-03-28,61.0,62.87,60.25,61.86,61.5198762886598,554670,0.0,1.0
2023-03-27,60.27,62.32,59.69,61.54,61.2016357388316,1230051,0.0,1.0
2023-03-24,57.99,59.78,57.675,59.56,59.2325223367698,810484,0.0,1.0
2023-03-23,60.95,61.77,58.555,59.23,58.9043367697594,940774,0.0,1.0
2023-03-22,63.33,63.33,60.41,60.43,60.0977388316151,732771,0.0,1.0
2023-03-21,62.43,63.15,61.88,62.83,62.4845429553265,634327,0.0,1.0
2023-03-20,58.52,61.11,58.35,60.37,60.0380687285223,930127,0.0,1.0
2023-03-17,59.87,60.02,57.43,57.94,57.6214295532646,4426734,0.0,1.0
2023-03-16,56.22,60.15,55.96,60.08,59.7496632302405,1554677,0.0,1.0
2023-03-15,60.0,60.1339,56.285,58.3,57.9794501718213,1686530,0.0,1.0
2023-03-14,63.08,66.13,62.67,63.43,63.0812439862543,915534,0.0,1.0
2023-03-13,63.07,65.74,62.03,62.98,62.6337182130584,1072560,0.0,1.0
2023-03-10,66.57,68.38,65.145,65.55,65.189587628866,721676,0.0,1.0
2023-03-09,68.6,70.05,66.88,66.94,66.5719450171821,988576,0.0,1.0
2023-03-08,68.18,69.7,67.21,68.2,67.8250171821306,767084,0.0,1.0
2023-03-07,69.86,70.0,68.115,68.71,68.3322130584192,871772,0.0,1.0
2023-03-06,70.43,70.88,69.065,69.99,69.6051752577319,1115768,0.0,1.0
2023-03-03,67.87,71.505,67.61,71.38,70.9875326460481,860455,0.0,1.0
2023-03-02,67.79,69.4,67.09,69.23,68.84935395189,597908,0.0,1.0
2023-03-01,66.51,68.48,65.78,67.96,67.5863367697594,873310,0.4,1.0
2023-02-28,68.47,69.55,67.06,67.11,66.3504836251983,1148099,0.0,1.0
2023-02-27,67.62,68.79,66.81,68.51,67.7346391471068,792521,0.0,1.0
2023-02-24,64.15,67.28,64.03,67.12,66.3603704503548,891716,0.0,1.0
2023-02-23,64.0,66.06,63.57,65.52,64.7784784253165,1215434,0.0,1.0
2023-02-22,61.83,63.01,60.78,61.93,61.2291081941369,1195140,0.0,1.0
2023-02-21,62.34,63.56,61.68,61.7,61.0017112155377,1240066,0.0,1.0
2023-02-17,65.55,66.41,62.85,62.94,62.2276775349423,1101086,0.0,1.0
2023-02-16,66.44,67.7,65.64,65.68,64.9366676278204,584065,0.0,1.0
2023-02-15,66.77,67.76,64.9178,66.63,65.8759160176868,444451,0.0,1.0
2023-02-14,66.34,68.53,65.66,68.1,67.3292793156907,612649,0.0,1.0
2023-02-13,66.78,67.7,65.87,66.95,66.1922944226945,797746,0.0,1.0
2023-02-10,64.65,67.45,64.65,67.35,66.587767428954,1160106,0.0,1.0
2023-02-09,64.59,64.78,62.63,63.26,62.54405593995,1189950,0.0,1.0
2023-02-08,65.89,66.1,63.75,64.68,63.9479851121715,745492,0.0,1.0
2023-02-07,63.11,65.66,62.23,65.52,64.7784784253165,854401,0.0,1.0
2023-02-06,63.56,64.3,61.14,62.23,61.5257129488316,1224067,0.0,1.0
2023-02-03,63.66,65.66,63.32,63.75,63.028510372618,1234442,0.0,1.0
2023-02-02,65.85,66.69,63.41,63.59,62.8703211701141,939722,0.0,1.0
2023-02-01,67.5,67.5,63.55,65.71,64.9663281032898,905838,0.0,1.0
2023-01-31,65.7,67.74,65.225,67.73,66.9634667849006,919734,0.0,1.0
2023-01-30,68.47,68.64,65.87,65.92,65.1739514315761,534309,0.0,1.0
2023-01-27,70.94,71.0,69.24,69.61,68.8221899143206,619185,0.0,1.0
2023-01-26,69.65,70.76,68.39,70.6,69.800985604813,783016,0.0,1.0
2023-01-25,68.5,69.115,66.885,68.78,68.001583426332,685655,0.0,1.0
2023-01-24,68.66,68.91,67.79,68.67,67.8928283496106,772152,0.0,1.0
2023-01-23,68.33,69.41,67.62,68.55,67.7741864477327,418076,0.0,1.0
2023-01-20,67.51,67.73,66.36,67.63,66.8645985333357,363408,0.0,1.0
2023-01-19,65.27,67.5596,65.05,67.06,66.3010494994159,481417,0.0,1.0
2023-01-18,67.37,68.43,65.61,65.73,64.9861017536028,521749,0.0,1.0
2023-01-17,67.45,67.93,66.345,66.58,65.8264818919044,565995,0.0,1.0
2023-01-13,66.15,67.0,65.3,66.61,65.8561423673738,787878,0.0,1.0
2023-01-12,63.73,67.21,63.73,66.15,65.4013484101753,682046,0.0,1.0
2023-01-11,64.09,64.33,62.71,63.4,62.6824714921408,925415,0.0,1.0
2023-01-10,62.83,63.425,61.575,62.89,62.1782434091599,1132087,0.0,1.0
2023-01-09,62.54,63.26,61.11,61.89,61.189560893511,798845,0.0,1.0
2023-01-06,60.85,61.78,60.22,61.11,60.4183885313048,757305,0.0,1.0
2023-01-05,58.95,60.4,57.61,59.58,58.905704282362,1098870,0.0,1.0
2023-01-04,57.41,59.58,57.04,58.9,58.2334001717208,812614,0.0,1.0
2023-01-03,62.69,63.05,58.45,58.87,58.2037396962513,840890,0.0,1.0
2022-12-30,62.55,63.55,62.14,63.48,62.7615660933928,997795,0.0,1.0
2022-12-29,61.25,63.31,61.235,63.09,62.3759799122897,477092,0.0,1.0
2022-12-28,64.84,64.84,61.85,61.95,61.2488818444499,496798,0.0,1.0
2022-12-27,66.0,66.1445,64.5,64.99,64.2544766920226,474363,0.0,1.0
2022-12-23,63.69,65.44,63.2,65.37,64.6301760479692,430460,0.0,1.0
2022-12-22,65.2,65.2,61.37,62.6,61.8915254796217,660063,0.0,1.0
2022-12-21,64.81,65.17,63.63,64.89,64.1556084404577,744266,0.0,1.0
2022-12-20,62.07,63.4,61.17,63.02,62.3067721361943,578621,0.0,1.0
2022-12-19,63.28,63.28,60.95,61.92,61.2192213689805,631594,0.0,1.0
2022-12-16,61.49,62.44,60.565,62.23,61.5257129488316,2715150,1.0,1.0
2022-12-15,63.98,64.69,63.3,64.54,62.8004035065253,812176,0.0,1.0
2022-12-14,65.04,65.69,62.83,64.51,62.7712121197079,1049969,0.0,1.0
2022-12-13,64.44,65.13,63.46,64.17,62.4403764024439,1148795,0.0,1.0
2022-12-12,60.85,63.09,60.65,62.55,60.8640415143036,1403525,0.0,1.0
2022-12-09,64.03,64.84,61.73,61.82,60.1537177684133,1261288,0.0,1.0
2022-12-08,68.3,68.47,63.42,64.13,62.401454553354,1513935,0.0,1.0
2022-12-07,67.86,68.32,65.68,66.43,64.6394608760222,739026,0.0,1.0
2022-12-06,68.39,70.04,66.0,66.96,65.1551753764631,1203077,0.0,1.0
2022-12-05,73.82,74.24,68.08,68.72,66.867736736418,901710,0.0,1.0
2022-12-02,71.05,73.155,71.05,72.56,70.6042342490467,716150,0.0,1.0
2022-12-01,75.07,75.3,71.17,71.46,69.5338833990749,1115209,0.0,1.0
2022-11-30,75.0,75.165,73.1895,74.32,72.3167956090015,1162262,0.0,1.0
2022-11-29,74.21,75.46,72.81,73.98,71.9859598917375,849035,0.0,1.0
2022-11-28,72.17,73.96,71.34,72.7,70.7404607208613,933181,0.0,1.0
2022-11-25,75.79,76.9299,75.24,75.41,73.3774159967008,260733,0.0,1.0
2022-11-23,75.32,76.63,74.75,75.21,73.1828067512514,507590,0.0,1.0
2022-11-22,75.01,77.55,74.85,77.06,74.9829422716585,676239,0.0,1.0
2022-11-21,73.98,74.0,70.49,73.62,71.6356632499286,940921,0.0,1.0
2022-11-18,74.66,76.495,72.772,76.17,74.1169311294086,897640,0.0,1.0
2022-11-17,76.28,77.85,75.7,77.36,75.2748561398326,638282,0.0,1.0
2022-11-16,78.88,80.18,78.12,78.34,76.2284414425347,522552,0.0,1.0
2022-11-15,79.0,81.24,78.37,80.48,78.3107603688434,825144,0.0,1.0
2022-11-14,79.9,81.28,78.66,78.7,76.5787380843436,611287,0.0,1.0
2022-11-11,78.71,82.07,78.51,80.36,78.1939948215738,752936,0.0,1.0
2022-11-10,76.05,76.98,74.85,76.64,74.5742628562147,1179015,0.0,1.0
2022-11-09,78.78,79.295,74.48,75.03,73.0076584303469,1089704,0.0,1.0
2022-11-08,80.95,81.83,79.7777,81.06,78.8751271806467,934712,0.0,1.0
2022-11-07,77.63,82.235,77.63,81.38,79.1865019733658,890158,0.0,1.0
2022-11-04,77.43,79.74,75.7,77.22,75.138629668018,952525,0.0,1.0
2022-11-03,75.7,77.084,70.4,75.73,73.6887907894199,1394130,0.0,1.0
2022-11-02,72.44,72.95,69.91,70.21,68.3175756150161,758680,0.0,1.0
2022-11-01,73.81,73.89,72.09,72.49,70.5361210131394,549782,0.0,1.0
2022-10-31,70.58,72.87,70.58,72.14,70.1955548336029,636646,0.0,1.0
2022-10-28,72.72,72.72,69.28,71.14,69.2225086063559,504635,0.0,1.0
2022-10-27,73.04,74.33,71.27,71.43,69.5046920122575,1167022,0.0,1.0
2022-10-26,70.77,72.55,70.1643,71.67,69.7382231067968,538682,0.0,1.0
2022-10-25,69.92,70.9,69.31,70.1,68.2105405300189,475889,0.0,1.0
2022-10-24,69.23,71.005,68.965,70.16,68.2689233036538,450826,0.0,1.0
2022-10-21,68.57,70.265,67.6,69.86,67.9770094354796,556583,0.0,1.0
2022-10-20,70.2,70.86,67.2,67.89,66.0601083678029,744763,0.0,1.0
2022-10-19,67.17,70.03,66.8245,69.24,67.3737207745864,573249,0.0,1.0
2022-10-18,66.37,68.11,65.75,66.75,64.9508356687413,934693,0.0,1.0
2022-10-17,67.77,69.29,66.76,67.21,65.3984369332749,576278,0.0,1.0
2022-10-14,69.11,70.17,66.28,66.31,64.5226953287526,583173,0.0,1.0
2022-10-13,65.76,70.92,65.0,70.49,68.5900285586453,819736,0.0,1.0
2022-10-12,65.39,67.01,63.98,66.39,64.6005390269323,554306,0.0,1.0
2022-10-11,64.67,68.165,64.45,66.15,64.367007932393,852905,0.0,1.0
2022-10-10,67.69,68.94,66.18,66.61,64.8146091969267,751533,0.0,1.0
2022-10-07,67.9,69.9,67.08,67.93,66.0990302168928,921962,0.0,1.0
2022-10-06,64.12,68.8,64.0564,67.42,65.6027766409968,1362078,0.0,1.0
2022-10-05,63.54,65.63,61.2,64.89,63.1409696860617,1044726,0.0,1.0
2022-10-04,63.71,64.549,62.32,63.58,61.8662791283681,1628075,0.0,1.0
2022-10-03,60.15,62.67,60.15,61.5,59.8423429756942,1335979,0.0,1.0
2022-09-30,57.05,59.26,56.3,57.79,56.2323414726076,1046707,0.0,1.0
2022-09-29,56.18,57.94,54.84,57.84,56.28099378397,748064,0.0,1.0
2022-09-28,52.52,57.03,52.31,56.71,55.1814515471808,950000,0.0,1.0
2022-09-27,52.83,53.93,51.9,52.2,50.7930130622966,924150,0.0,1.0
2022-09-26,53.52,54.4,51.85,52.19,50.7832826000241,1089170,0.0,1.0
2022-09-23,56.73,56.73,53.5775,53.94,52.4861134977064,809282,0.0,1.0
2022-09-22,62.58,62.99,59.87,59.9,58.2854690120989,535562,0.0,1.0
2022-09-21,64.38,64.61,61.07,61.09,59.4433940225229,585531,0.0,1.0
2022-09-20,61.95,63.18,61.09,62.79,61.0975726088429,1076611,0.0,1.0
2022-09-19,59.92,62.75,59.8799,62.63,60.9418852124834,804342,0.0,1.0
2022-09-16,63.91,64.3195,60.88,62.4,60.7180845802166,2515405,0.0,1.0
2022-09-15,66.04,66.915,64.45,64.49,62.7517511951629,734482,0.0,1.0
2022-09-14,66.59,68.625,66.46,68.26,66.4201354718843,873963,0.0,1.0
2022-09-13,66.09,67.54,64.905,65.24,63.4815358655982,812242,0.0,1.0
2022-09-12,67.17,67.6,66.28,66.77,64.9702965932862,655516,0.0,1.0
2022-09-09,65.6,66.47,65.26,66.04,64.2599728473959,372458,0.0,1.0
2022-09-08,62.73,63.965,62.23,63.85,62.1290016097248,576744,0.0,1.0
2022-09-07,63.19,63.3,61.61,62.56,60.8737719765761,1001091,0.35,1.0
2022-09-06,67.59,67.88,64.8,65.18,63.0702981629825,692536,0.0,1.0
2022-09-02,68.62,69.03,65.94,66.83,64.6668920870224,771392,0.0,1.0
2022-09-01,66.42,66.74,64.2,65.23,63.1186797970443,1019638,0.0,1.0
2022-08-31,63.56,68.47,63.0905,67.91,65.7119353827576,1337941,0.0,1.0
2022-08-30,67.46,67.65,64.94,65.6,63.4767038891017,1068684,0.0,1.0
2022-08-29,66.77,70.6,66.77,69.38,67.134355424175,777105,0.0,1.0
2022-08-26,68.13,68.88,66.54,67.32,65.1410321008282,764127,0.0,1.0
2022-08-25,68.18,68.92,67.41,68.49,66.2731623378747,942402,0.0,1.0
2022-08-24,67.22,68.089,66.5,67.8,65.6054957878216,896139,0.0,1.0
2022-08-23,65.3,67.81,65.3,66.25,64.1056651319054,1188138,0.0,1.0
2022-08-22,62.66,63.97,60.95,63.8,61.7349650628764,950575,0.0,1.0
2022-08-19,64.83,65.49,63.56,63.75,61.6865834288146,1326168,0.0,1.0
2022-08-18,63.19,65.89,63.1,65.54,63.4186459282276,1151825,0.0,1.0
2022-08-17,61.54,62.7,60.35,62.17,60.1577237924612,1054832,0.0,1.0
2022-08-16,62.25,63.7,61.03,61.32,59.3352360134104,1119179,0.0,1.0
2022-08-15,60.22,62.43,58.8675,61.7,59.7029364322802,1128726,0.0,1.0
2022-08-12,61.91,63.67,61.2,63.36,61.3092066831324,837688,0.0,1.0
2022-08-11,60.09,63.32,59.575,62.71,60.6802454403288,1238685,0.0,1.0
2022-08-10,56.46,58.68,55.78,58.55,56.6548934863858,1297509,0.0,1.0
2022-08-09,56.52,57.4,55.29,56.11,54.2938697441692,1077793,0.0,1.0
2022-08-08,54.53,56.32,54.265,55.52,53.7229664622398,1312865,0.0,1.0
2022-08-05,53.64,56.74,53.55,55.11,53.3262370629329,1664417,0.0,1.0
2022-08-04,58.4,58.4,53.99,54.92,53.142386853498,2511794,0.0,1.0
2022-08-03,65.04,65.23,61.6,62.59,60.5641295185805,1135953,0.0,1.0
2022-08-02,63.62,64.89,62.3801,64.5,62.4123079397418,1015387,0.0,1.0
2022-08-01,64.51,65.08,62.78,64.42,62.3348973252429,773198,0.0,1.0
2022-07-29,65.31,66.47,64.625,65.69,63.563790830413,1022722,0.0,1.0
2022-07-28,63.83,64.62,62.0,63.55,61.4930568925673,697376,0.0,1.0
2022-07-27,61.63,63.52,60.85,63.15,61.1060038200728,649420,0.0,1.0
2022-07-26,62.6,63.24,60.45,60.97,58.9965645749777,840477,0.0,1.0
2022-07-25,59.9,62.22,59.14,61.97,59.964197256214,751454,0.0,1.0
2022-07-22,60.2,61.34,58.63,58.79,56.8871253298825,644402,0.0,1.0
2022-07-21,60.66,61.075,59.37,60.59,58.6288641561079,720228,0.0,1.0
2022-07-20,60.29,63.49,59.59,63.21,61.164061780947,1037291,0.0,1.0
2022-07-19,58.5,60.95,58.41,60.64,58.6772457901697,1237379,0.0,1.0
2022-07-18,58.62,59.12,57.73,57.97,56.0936665312687,1111955,0.0,1.0
2022-07-15,56.22,56.5,54.8251,56.46,54.6325411826019,1038237,0.0,1.0
2022-07-14,52.55,55.21,52.24,55.14,53.35526604337,1549712,0.0,1.0
2022-07-13,53.32,55.88,53.32,54.85,53.0746525658115,1468009,0.0,1.0
2022-07-12,55.0,55.16,51.72,53.85,52.1070198845751,2648504,0.0,1.0
2022-07-11,58.21,58.845,56.835,56.89,55.0486232355335,1701064,0.0,1.0
2022-07-08,59.38,59.91,57.12,59.15,57.2354730951276,926725,0.0,1.0
2022-07-07,57.0,59.15,56.6238,58.33,56.4420142965138,1601566,0.0,1.0
2022-07-06,55.94,56.9772,52.35,54.96,53.1810921607474,3094021,0.0,1.0
2022-07-05,57.6,59.03,55.4,56.96,55.1163575232201,1658046,0.0,1.0
2022-07-01,61.87,62.495,59.08,61.27,59.2868543793485,1035745,0.0,1.0
2022-06-30,61.12,63.0,60.76,61.61,59.6158494909689,1514327,0.0,1.0
2022-06-29,67.07,67.79,62.51,62.95,60.9124772838255,1166581,0.0,1.0
2022-06-28,64.83,66.2429,64.01,66.08,63.9411675760952,2172776,0.0,1.0
2022-06-27,61.61,64.74,60.88,63.72,61.6575544483775,1981579,0.0,1.0
2022-06-24,60.45,61.74,57.65,59.86,57.9224922988054,15419384,0.0,1.0
2022-06-23,61.73,62.42,57.42,59.07,57.1580624806287,2267644,0.0,1.0
2022-06-22,63.79,64.84,60.62,61.16,59.1804147844125,2283643,0.0,1.0
2022-06-21,66.45,68.23,65.35,67.92,65.72161170957,1966745,0.0,1.0
2022-06-17,72.95,73.585,63.29,64.78,62.683245090488,3978228,0.0,1.0
2022-06-16,76.4,77.7,72.29,72.65,70.2985142918177,1578381,0.0,1.0
2022-06-15,81.87,82.99,77.48,79.25,76.6848899879773,1234214,0.0,1.0
2022-06-14,81.46,83.42,79.165,81.65,79.0072084229445,1485194,0.0,1.0
2022-06-13,80.97,82.34,78.02,79.86,77.2751459235315,1430146,0.0,1.0
2022-06-10,85.13,85.73,82.264,84.13,81.4069374724105,1391334,0.0,1.0
2022-06-09,83.36,89.22,82.72,86.18,83.390584468945,1599965,0.0,1.0
2022-06-08,86.12,86.32,83.23,83.49,80.7876525564193,1275700,0.35,1.0
2022-06-07,83.6,86.78,83.24,85.36,82.252314196278,1822911,0.0,1.0
2022-06-06,84.5,85.91,83.2,84.45,81.375444398731,1252244,0.0,1.0
2022-06-03,82.84,84.84,82.165,83.98,80.9225556021958,1255811,0.0,1.0
2022-06-02,81.58,83.97,81.04,82.94,79.9204186907134,1187448,0.0,1.0
2022-06-01,80.51,83.37,80.0,82.44,79.4386220986546,1779512,0.0,1.0
2022-05-31,80.01,81.88,77.88,79.14,76.2587645910666,2229904,0.0,1.0
2022-05-27,71.71,78.59,71.14,77.99,75.1506324293313,1672003,0.0,1.0
2022-05-26,71.98,73.59,70.99,71.75,69.1378109604375,998556,0.0,1.0
2022-05-25,68.19,71.315,68.19,70.81,68.232033367367,1491278,0.0,1.0
2022-05-24,69.79,70.43,66.815,67.72,65.2545304284436,1163098,0.0,1.0
2022-05-23,69.935,70.76,66.93,70.71,68.1356740489552,1354561,0.0,1.0
2022-05-20,68.13,69.08,65.835,67.83,65.3605256786966,1136253,0.0,1.0
2022-05-19,62.98,67.625,62.61,66.72,64.290937244326,1292996,0.0,1.0
2022-05-18,67.22,68.44,63.52,64.36,62.0168573298085,1166853,0.0,1.0
2022-05-17,67.75,68.51,66.75,67.11,64.6667385861319,1522034,0.0,1.0
2022-05-16,66.39,67.98,65.94,66.61,64.1849419940731,1293054,0.0,1.0
2022-05-13,65.8,67.38,64.48,66.02,63.6164220154437,1445902,0.0,1.0
2022-05-12,64.62,66.685,63.3,64.59,62.2384837621556,1276452,0.0,1.0
2022-05-11,67.09,70.35,65.37,65.5,63.1153535597026,1189589,0.0,1.0
2022-05-10,66.08,68.36,63.11,65.2,62.8262756044673,1316375,0.0,1.0
