,TRIP_Open,TRIP_High,TRIP_Low,TRIP_Close,TRIP_Adj Close,TRIP_Volume,TRIP_Dividend Amount,TRIP_Split Coefficient
2024-10-04,14.64,14.769,14.44,14.71,14.71,1084758,0.0,1.0
2024-10-03,14.44,14.485,14.15,14.27,14.27,960754,0.0,1.0
2024-10-02,14.06,14.55,14.0,14.52,14.52,1463514,0.0,1.0
2024-10-01,14.52,14.63,14.055,14.09,14.09,1363539,0.0,1.0
2024-09-30,14.7,14.85,14.43,14.49,14.49,1499501,0.0,1.0
2024-09-27,14.67,14.9,14.6,14.77,14.77,1530465,0.0,1.0
2024-09-26,15.02,15.03,14.46,14.57,14.57,2769393,0.0,1.0
2024-09-25,14.76,14.9,14.41,14.43,14.43,1596539,0.0,1.0
2024-09-24,14.62,14.955,14.62,14.83,14.83,2799023,0.0,1.0
2024-09-23,14.87,14.9,14.565,14.58,14.58,5395091,0.0,1.0
2024-09-20,14.55,15.149,14.44,14.9,14.9,7505319,0.0,1.0
2024-09-19,14.43,14.68,14.325,14.55,14.55,2764448,0.0,1.0
2024-09-18,13.87,14.3378,13.86,14.06,14.06,1579417,0.0,1.0
2024-09-17,13.63,14.025,13.58,13.92,13.92,2769526,0.0,1.0
2024-09-16,13.55,13.6,13.39,13.53,13.53,1328308,0.0,1.0
2024-09-13,13.4,13.635,13.285,13.51,13.51,2527750,0.0,1.0
2024-09-12,13.443,13.5,13.24,13.33,13.33,1347593,0.0,1.0
2024-09-11,13.19,13.35,12.925,13.33,13.33,1797790,0.0,1.0
2024-09-10,13.68,13.695,13.11,13.23,13.23,1501588,0.0,1.0
2024-09-09,13.82,13.91,13.5,13.61,13.61,1791580,0.0,1.0
2024-09-06,13.94,14.045,13.61,13.77,13.77,1196932,0.0,1.0
2024-09-05,13.82,14.065,13.79,13.93,13.93,1624156,0.0,1.0
2024-09-04,13.72,14.07,13.62,13.98,13.98,2083615,0.0,1.0
2024-09-03,14.36,14.36,13.66,13.72,13.72,2664979,0.0,1.0
2024-08-30,14.7,14.7476,14.415,14.51,14.51,1506775,0.0,1.0
2024-08-29,14.39,14.74,14.33,14.57,14.57,1112620,0.0,1.0
2024-08-28,14.48,14.5949,14.265,14.33,14.33,971029,0.0,1.0
2024-08-27,14.53,14.845,14.38,14.6,14.6,1830669,0.0,1.0
2024-08-26,14.63,14.665,14.325,14.41,14.41,1440274,0.0,1.0
2024-08-23,14.24,14.625,14.2,14.6,14.6,1499948,0.0,1.0
2024-08-22,14.28,14.4,14.08,14.12,14.12,2004144,0.0,1.0
2024-08-21,14.21,14.435,14.18,14.4,14.4,1460624,0.0,1.0
2024-08-20,14.43,14.6,14.14,14.15,14.15,2805768,0.0,1.0
2024-08-19,13.81,14.59,13.7975,14.54,14.54,3857125,0.0,1.0
2024-08-16,14.04,14.06,13.7,13.8,13.8,2509062,0.0,1.0
2024-08-15,13.81,14.145,13.7906,14.07,14.07,3054572,0.0,1.0
2024-08-14,13.81,13.8647,13.3,13.59,13.59,3226769,0.0,1.0
2024-08-13,13.71,13.94,13.49,13.83,13.83,2409478,0.0,1.0
2024-08-12,13.56,13.93,13.49,13.7,13.7,4248722,0.0,1.0
2024-08-09,14.18,14.22,13.42,13.56,13.56,3727656,0.0,1.0
2024-08-08,13.7,14.17,13.425,14.03,14.03,3971594,0.0,1.0
2024-08-07,14.21,15.19,13.41,13.61,13.61,8094079,0.0,1.0
2024-08-06,15.88,16.405,15.71,16.32,16.32,2461508,0.0,1.0
2024-08-05,15.45,16.1,15.22,15.79,15.79,1957471,0.0,1.0
2024-08-02,16.31,16.56,15.97,16.22,16.22,1912251,0.0,1.0
2024-08-01,17.66,17.69,16.75,16.85,16.85,1616431,0.0,1.0
2024-07-31,18.16,18.16,17.605,17.63,17.63,1895503,0.0,1.0
2024-07-30,18.04,18.23,17.8,18.02,18.02,976358,0.0,1.0
2024-07-29,17.94,18.23,17.86,17.97,17.97,1197828,0.0,1.0
2024-07-26,17.77,18.02,17.7,17.9,17.9,1202296,0.0,1.0
2024-07-25,17.41,17.76,17.175,17.61,17.61,1820090,0.0,1.0
2024-07-24,18.0,18.1,17.385,17.43,17.43,969181,0.0,1.0
2024-07-23,17.86,18.35,17.86,18.2,18.2,1138615,0.0,1.0
2024-07-22,17.76,17.975,17.41,17.94,17.94,1259837,0.0,1.0
2024-07-19,17.85,17.92,17.595,17.67,17.67,1252733,0.0,1.0
2024-07-18,18.03,18.091,17.74,17.77,17.77,2005502,0.0,1.0
2024-07-17,17.89,18.215,17.88,18.02,18.02,2031129,0.0,1.0
2024-07-16,18.1,18.235,17.835,18.04,18.04,1714536,0.0,1.0
2024-07-15,17.88,18.165,17.86,18.01,18.01,1036189,0.0,1.0
2024-07-12,17.9,18.12,17.735,17.87,17.87,1118728,0.0,1.0
2024-07-11,17.97,18.0,17.595,17.94,17.94,1472174,0.0,1.0
2024-07-10,17.66,17.69,17.17,17.59,17.59,1238311,0.0,1.0
2024-07-09,17.91,17.94,17.51,17.53,17.53,1230434,0.0,1.0
2024-07-08,17.74,17.965,17.6001,17.91,17.91,1106102,0.0,1.0
2024-07-05,17.53,17.62,17.365,17.6,17.6,1413762,0.0,1.0
2024-07-03,17.69,17.745,17.465,17.58,17.58,496646,0.0,1.0
2024-07-02,17.48,17.76,17.3615,17.73,17.73,1128409,0.0,1.0
2024-07-01,17.83,17.95,17.381,17.58,17.58,1222851,0.0,1.0
2024-06-28,17.49,17.815,17.4,17.81,17.81,1687491,0.0,1.0
2024-06-27,17.5,17.57,17.325,17.47,17.47,1255180,0.0,1.0
2024-06-26,17.49,17.705,17.405,17.57,17.57,1242353,0.0,1.0
2024-06-25,17.64,17.8324,17.53,17.58,17.58,1523821,0.0,1.0
2024-06-24,17.69,17.825,17.61,17.62,17.62,1538072,0.0,1.0
2024-06-21,17.94,18.0422,17.385,17.76,17.76,6029668,0.0,1.0
2024-06-20,17.94,18.115,17.875,17.94,17.94,1423774,0.0,1.0
2024-06-18,18.11,18.28,17.9,18.0,18.0,1733122,0.0,1.0
2024-06-17,18.14,18.155,17.8546,18.09,18.09,1915217,0.0,1.0
2024-06-14,18.182,18.31,18.07,18.12,18.12,1607589,0.0,1.0
2024-06-13,18.58,18.74,18.29,18.35,18.35,2355384,0.0,1.0
2024-06-12,18.61,18.8,18.54,18.71,18.71,1451147,0.0,1.0
2024-06-11,18.48,18.535,18.28,18.36,18.36,1176914,0.0,1.0
2024-06-10,18.43,18.58,18.305,18.47,18.47,2445744,0.0,1.0
2024-06-07,18.34,18.64,18.25,18.58,18.58,2177523,0.0,1.0
2024-06-06,17.73,18.515,17.72,18.45,18.45,2456539,0.0,1.0
2024-06-05,18.14,18.19,17.715,17.82,17.82,2048457,0.0,1.0
2024-06-04,18.1,18.29,17.96,18.02,18.02,1744738,0.0,1.0
2024-06-03,18.45,18.57,18.14,18.26,18.26,1873966,0.0,1.0
2024-05-31,17.94,18.37,17.94,18.35,18.35,1742382,0.0,1.0
2024-05-30,17.83,18.07,17.8,17.93,17.93,1512353,0.0,1.0
2024-05-29,17.77,18.03,17.55,17.93,17.93,2442626,0.0,1.0
2024-05-28,17.88,18.12,17.75,17.92,17.92,2116330,0.0,1.0
2024-05-24,17.88,18.01,17.71,17.89,17.89,1716309,0.0,1.0
2024-05-23,18.4,18.72,17.76,17.77,17.77,1812883,0.0,1.0
2024-05-22,18.1,18.46,18.1,18.38,18.38,2081760,0.0,1.0
2024-05-21,18.44,18.5599,18.14,18.19,18.19,1790468,0.0,1.0
2024-05-20,18.08,18.47,18.02,18.45,18.45,2873940,0.0,1.0
2024-05-17,18.65,18.65,18.07,18.1,18.1,3103521,0.0,1.0
2024-05-16,18.85,18.93,18.63,18.69,18.69,2089147,0.0,1.0
2024-05-15,19.3,19.3699,18.745,18.89,18.89,2870444,0.0,1.0
2024-05-14,18.73,19.28,18.545,19.25,19.25,3836108,0.0,1.0
2024-05-13,18.2,18.745,18.0369,18.64,18.64,5839774,0.0,1.0
2024-05-10,18.21,18.31,17.63,18.18,18.18,4499506,0.0,1.0
2024-05-09,18.11,18.48,17.53,18.31,18.31,6641944,0.0,1.0
2024-05-08,17.41,18.745,15.88,18.16,18.16,27682342,0.0,1.0
2024-05-07,25.5,25.95,25.11,25.48,25.48,3781025,0.0,1.0
2024-05-06,26.08,26.08,25.28,25.5,25.5,2229916,0.0,1.0
2024-05-03,26.65,26.715,25.34,25.79,25.79,2501055,0.0,1.0
2024-05-02,26.54,26.58,26.03,26.55,26.55,1835469,0.0,1.0
2024-05-01,26.24,26.84,26.12,26.32,26.32,1992139,0.0,1.0
2024-04-30,26.78,27.1,26.29,26.33,26.33,1396889,0.0,1.0
2024-04-29,27.31,27.63,26.79,27.0,27.0,1682994,0.0,1.0
2024-04-26,26.48,27.52,26.32,27.45,27.45,2816884,0.0,1.0
2024-04-25,25.67,26.445,25.67,26.24,26.24,2090299,0.0,1.0
2024-04-24,26.25,26.34,25.755,26.15,26.15,1407149,0.0,1.0
2024-04-23,25.56,26.2,25.56,26.12,26.12,1289001,0.0,1.0
2024-04-22,25.21,25.625,24.99,25.56,25.56,1434228,0.0,1.0
2024-04-19,25.24,25.525,24.905,25.04,25.04,1731205,0.0,1.0
2024-04-18,25.56,25.89,25.22,25.25,25.25,1477187,0.0,1.0
2024-04-17,25.42,25.78,25.25,25.4,25.4,1299551,0.0,1.0
2024-04-16,25.38,25.54,25.1,25.21,25.21,1648324,0.0,1.0
2024-04-15,26.75,26.965,25.23,25.48,25.48,2520743,0.0,1.0
2024-04-12,26.69,26.89,26.485,26.74,26.74,1386285,0.0,1.0
2024-04-11,26.42,27.085,26.35,27.01,27.01,1295743,0.0,1.0
2024-04-10,26.36,26.89,26.26,26.46,26.46,1333731,0.0,1.0
2024-04-09,27.03,27.18,26.59,26.92,26.92,2060017,0.0,1.0
2024-04-08,27.39,27.42,27.015,27.05,27.05,1261304,0.0,1.0
2024-04-05,27.09,27.49,27.04,27.24,27.24,1082759,0.0,1.0
2024-04-04,27.78,28.15,26.98,27.06,27.06,1369263,0.0,1.0
2024-04-03,27.43,27.895,27.43,27.67,27.67,1043496,0.0,1.0
2024-04-02,27.2,27.92,26.475,27.72,27.72,2248683,0.0,1.0
2024-04-01,27.78,28.64,27.53,27.69,27.69,2437342,0.0,1.0
2024-03-28,27.84,27.9619,27.37,27.79,27.79,2506023,0.0,1.0
2024-03-27,28.32,28.32,27.51,27.85,27.85,1974224,0.0,1.0
2024-03-26,28.47,28.47,27.96,27.99,27.99,1613179,0.0,1.0
2024-03-25,28.5,28.58,28.16,28.16,28.16,1226131,0.0,1.0
2024-03-22,28.2,28.76,27.92,28.56,28.56,1492020,0.0,1.0
2024-03-21,28.26,28.525,27.92,28.34,28.34,1700888,0.0,1.0
2024-03-20,27.68,28.425,27.6,28.05,28.05,2308030,0.0,1.0
2024-03-19,27.5,27.8177,27.15,27.68,27.68,1622510,0.0,1.0
2024-03-18,27.53,28.0,27.37,27.82,27.82,2029471,0.0,1.0
2024-03-15,26.74,27.69,26.626,27.34,27.34,4118733,0.0,1.0
2024-03-14,26.83,27.02,26.49,26.89,26.89,1644436,0.0,1.0
2024-03-13,26.48,27.14,26.28,26.66,26.66,1365648,0.0,1.0
2024-03-12,26.58,26.945,26.36,26.76,26.76,1452158,0.0,1.0
2024-03-11,26.43,27.02,26.29,26.6,26.6,1696357,0.0,1.0
2024-03-08,26.47,26.68,26.115,26.56,26.56,2790701,0.0,1.0
2024-03-07,26.86,26.86,26.3,26.32,26.32,2226372,0.0,1.0
2024-03-06,26.85,28.19,26.46,26.77,26.77,5419021,0.0,1.0
2024-03-05,26.64,26.905,26.355,26.66,26.66,2195023,0.0,1.0
2024-03-04,27.22,28.05,26.865,27.03,27.03,2647800,0.0,1.0
