,QHC_Open,QHC_High,QHC_Low,QHC_Close,QHC_Adj Close,QHC_Volume,QHC_Dividend Amount,QHC_Split Coefficient
2020-04-07,0.304,0.304,0.304,0.304,0.304,0,0.0,1.0
2020-04-06,0.31,0.3452,0.2862,0.3044,0.3044,365299,0.0,1.0
2020-04-03,0.41,0.41,0.223,0.3021,0.3021,1133643,0.0,1.0
2020-04-02,0.4568,0.4859,0.4,0.4,0.4,185068,0.0,1.0
2020-04-01,0.4531,0.4807,0.42,0.4351,0.4351,117861,0.0,1.0
2020-03-31,0.452,0.58,0.39,0.4516,0.4516,441738,0.0,1.0
2020-03-30,0.64,0.8685,0.52,0.53,0.53,545681,0.0,1.0
2020-03-27,0.65,0.671,0.55,0.6,0.6,153709,0.0,1.0
2020-03-26,0.62,0.7,0.6,0.6431,0.6431,301210,0.0,1.0
2020-03-25,0.56,0.6,0.5,0.6,0.6,221752,0.0,1.0
2020-03-24,0.45,0.58,0.45,0.4901,0.4901,474538,0.0,1.0
2020-03-23,0.44,0.5351,0.44,0.48,0.48,186872,0.0,1.0
2020-03-20,0.3,0.5299,0.3,0.4,0.4,388931,0.0,1.0
2020-03-19,0.44,0.56,0.42,0.5459,0.5459,339958,0.0,1.0
2020-03-18,0.4073,0.59,0.4,0.5863,0.5863,601555,0.0,1.0
2020-03-17,0.49,0.49,0.42,0.42,0.42,76126,0.0,1.0
2020-03-16,0.48,0.48,0.4202,0.4665,0.4665,50493,0.0,1.0
2020-03-13,0.505,0.53,0.46,0.53,0.53,506689,0.0,1.0
2020-03-12,0.4,0.5299,0.33,0.45,0.45,1370800,0.0,1.0
2020-03-11,0.52,0.552,0.36,0.48,0.48,4645195,0.0,1.0
2020-03-10,1.05,1.11,1.01,1.0955,1.0955,179014,0.0,1.0
2020-03-09,1.05,1.09,0.9548,1.01,1.01,111139,0.0,1.0
2020-03-06,1.07,1.13,1.07,1.08,1.08,59592,0.0,1.0
2020-03-05,1.11,1.15,1.07,1.15,1.15,99101,0.0,1.0
2020-03-04,1.11,1.16,1.04,1.135,1.135,193695,0.0,1.0
2020-03-03,1.15,1.29,1.09,1.1,1.1,469056,0.0,1.0
2020-03-02,1.02,1.15,0.97,1.15,1.15,72341,0.0,1.0
2020-02-28,1.01,1.06,1.0,1.05,1.05,359800,0.0,1.0
