,SHAK_Open,SHAK_High,SHAK_Low,SHAK_Close,SHAK_Adj Close,SHAK_Volume,SHAK_Dividend Amount,SHAK_Split Coefficient
2024-10-07,110.0,110.93,107.11,108.25,108.25,668626,0.0,1.0
2024-10-04,107.9,110.43,106.46,110.02,110.02,836385,0.0,1.0
2024-10-03,104.0,104.9899,103.2,104.58,104.58,591622,0.0,1.0
2024-10-02,101.03,105.67,100.96,104.9,104.9,850670,0.0,1.0
2024-10-01,101.46,103.61,100.7101,101.73,101.73,558175,0.0,1.0
2024-09-30,104.4,105.03,101.6501,103.21,103.21,780937,0.0,1.0
2024-09-27,106.49,106.895,104.42,104.71,104.71,724305,0.0,1.0
2024-09-26,106.88,110.05,104.69,106.13,106.13,984618,0.0,1.0
2024-09-25,104.11,107.12,103.72,105.75,105.75,655579,0.0,1.0
2024-09-24,105.0,106.55,104.05,104.15,104.15,573602,0.0,1.0
2024-09-23,108.01,108.01,105.37,106.57,106.57,632439,0.0,1.0
2024-09-20,107.58,107.94,106.1701,106.94,106.94,881477,0.0,1.0
2024-09-19,107.09,107.5,105.422,107.48,107.48,655237,0.0,1.0
2024-09-18,103.7,106.45,102.71,103.86,103.86,810977,0.0,1.0
2024-09-17,102.66,103.6408,101.86,102.49,102.49,691876,0.0,1.0
2024-09-16,101.93,102.5,100.58,101.8,101.8,540530,0.0,1.0
2024-09-13,102.5,103.37,100.53,102.05,102.05,845438,0.0,1.0
2024-09-12,99.96,102.11,98.76,101.8,101.8,703335,0.0,1.0
2024-09-11,95.87,99.555,95.52,99.3,99.3,598530,0.0,1.0
2024-09-10,95.54,97.33,94.275,97.04,97.04,901755,0.0,1.0
2024-09-09,93.96,100.19,93.96,95.58,95.58,1196200,0.0,1.0
2024-09-06,96.45,97.145,92.66,93.35,93.35,746515,0.0,1.0
2024-09-05,99.06,99.98,95.76,96.13,96.13,751851,0.0,1.0
2024-09-04,96.98,100.0,95.63,99.25,99.25,814305,0.0,1.0
2024-09-03,98.5,99.585,96.67,97.76,97.76,971945,0.0,1.0
2024-08-30,102.45,102.4999,98.7,99.41,99.41,959317,0.0,1.0
2024-08-29,104.68,105.925,101.32,101.42,101.42,771930,0.0,1.0
2024-08-28,104.43,106.37,103.8,104.66,104.66,837763,0.0,1.0
2024-08-27,106.88,107.68,105.09,107.42,107.42,632511,0.0,1.0
2024-08-26,109.0,109.92,107.34,107.67,107.67,598530,0.0,1.0
2024-08-23,107.64,111.17,107.16,108.97,108.97,756358,0.0,1.0
2024-08-22,106.58,108.88,106.58,106.85,106.85,768010,0.0,1.0
2024-08-21,102.31,106.77,102.265,106.61,106.61,794231,0.0,1.0
2024-08-20,104.69,105.96,101.19,101.28,101.28,910896,0.0,1.0
2024-08-19,104.5,107.51,102.5,104.69,104.69,1098080,0.0,1.0
2024-08-16,108.76,110.75,107.22,107.37,107.37,831260,0.0,1.0
2024-08-15,106.01,110.765,106.01,109.49,109.49,1389825,0.0,1.0
2024-08-14,104.58,104.63,102.81,104.41,104.41,720045,0.0,1.0
2024-08-13,102.92,104.26,101.66,103.74,103.74,945516,0.0,1.0
2024-08-12,102.23,102.7,101.2888,102.63,102.63,776915,0.0,1.0
2024-08-09,101.58,103.5,101.15,102.39,102.39,773636,0.0,1.0
2024-08-08,97.58,103.164,97.43,101.32,101.32,959934,0.0,1.0
2024-08-07,100.0,101.45,96.95,97.21,97.21,679406,0.0,1.0
2024-08-06,96.31,101.56,94.94,99.31,99.31,1094429,0.0,1.0
2024-08-05,90.92,97.72,89.17,94.4,94.4,1410083,0.0,1.0
2024-08-02,98.7,100.06,93.314,96.43,96.43,2512709,0.0,1.0
2024-08-01,103.27,105.68,99.5,102.41,102.41,4250291,0.0,1.0
2024-07-31,87.27,89.735,85.89,87.62,87.62,2002635,0.0,1.0
2024-07-30,83.79,87.38,83.62,86.85,86.85,1563775,0.0,1.0
2024-07-29,80.68,84.72,79.7,83.59,83.59,1697541,0.0,1.0
2024-07-26,80.62,80.62,78.57,80.11,80.11,826610,0.0,1.0
2024-07-25,78.69,80.15,77.5,78.84,78.84,1263267,0.0,1.0
2024-07-24,82.64,83.22,78.68,79.15,79.15,1616298,0.0,1.0
2024-07-23,82.08,84.91,81.67,83.67,83.67,864687,0.0,1.0
2024-07-22,84.27,84.41,80.76,81.48,81.48,1249671,0.0,1.0
2024-07-19,83.94,84.7,83.12,84.46,84.46,534869,0.0,1.0
2024-07-18,84.69,85.6898,82.4,83.69,83.69,1080860,0.0,1.0
2024-07-17,87.5,91.08,85.81,86.31,86.31,954952,0.0,1.0
2024-07-16,86.44,88.22,84.67,87.97,87.97,1113141,0.0,1.0
2024-07-15,85.43,87.45,85.25,86.18,86.18,958515,0.0,1.0
2024-07-12,85.29,86.225,83.21,84.73,84.73,823973,0.0,1.0
2024-07-11,86.54,87.0659,84.41,84.45,84.45,968114,0.0,1.0
2024-07-10,84.82,85.2,82.5771,84.9,84.9,677026,0.0,1.0
2024-07-09,86.47,86.99,84.38,84.73,84.73,1086006,0.0,1.0
2024-07-08,87.34,88.0,86.375,86.7,86.7,676284,0.0,1.0
2024-07-05,85.46,87.095,85.385,86.35,86.35,588813,0.0,1.0
2024-07-03,85.7,86.74,84.77,85.9,85.9,391351,0.0,1.0
2024-07-02,86.15,87.05,85.33,85.38,85.38,925593,0.0,1.0
2024-07-01,91.08,92.5,85.775,86.57,86.57,1300408,0.0,1.0
2024-06-28,88.33,90.495,87.42,90.0,90.0,1809902,0.0,1.0
2024-06-27,88.58,89.1,87.16,88.04,88.04,438324,0.0,1.0
2024-06-26,87.24,89.4,86.89,89.22,89.22,749424,0.0,1.0
2024-06-25,88.34,88.805,87.06,87.6,87.6,598487,0.0,1.0
2024-06-24,88.59,89.17,87.21,88.26,88.26,722437,0.0,1.0
2024-06-21,89.74,89.92,87.45,89.01,89.01,1060897,0.0,1.0
2024-06-20,90.9,92.27,89.405,89.82,89.82,691321,0.0,1.0
2024-06-18,92.71,93.315,89.65,90.86,90.86,725064,0.0,1.0
2024-06-17,89.5,93.71,88.4301,93.54,93.54,956853,0.0,1.0
2024-06-14,91.71,92.03,88.64,89.0,89.0,792252,0.0,1.0
2024-06-13,93.81,94.48,91.89,92.99,92.99,811059,0.0,1.0
2024-06-12,92.68,94.77,92.05,92.74,92.74,622694,0.0,1.0
2024-06-11,91.22,91.63,90.2401,90.87,90.87,682283,0.0,1.0
2024-06-10,91.36,93.06,91.15,91.93,91.93,711800,0.0,1.0
2024-06-07,93.07,93.44,91.68,92.18,92.18,400967,0.0,1.0
2024-06-06,96.3,96.67,93.32,93.4,93.4,673375,0.0,1.0
