,UPS_Open,UPS_High,UPS_Low,UPS_Close,UPS_Adj Close,UPS_Volume,UPS_Dividend Amount,UPS_Split Coefficient
2024-10-01,136.3,136.455,132.01,133.27,133.27,3658546,0.0,1.0
2024-09-30,134.76,136.93,134.76,136.34,136.34,4119870,0.0,1.0
2024-09-27,133.97,135.6,133.97,134.26,134.26,4104431,0.0,1.0
2024-09-26,132.57,134.23,132.57,133.33,133.33,3997069,0.0,1.0
2024-09-25,129.54,131.81,129.24,131.51,131.51,5048200,0.0,1.0
2024-09-24,129.4,129.81,128.62,129.52,129.52,3829528,0.0,1.0
2024-09-23,129.375,129.4,127.85,128.74,128.74,2991718,0.0,1.0
2024-09-20,128.5,129.2,126.54,128.6,128.6,14211506,0.0,1.0
2024-09-19,132.75,133.57,131.79,132.13,132.13,4092324,0.0,1.0
2024-09-18,131.0,132.125,130.46,130.65,130.65,2939560,0.0,1.0
2024-09-17,130.0,131.5,129.42,130.65,130.65,3141657,0.0,1.0
2024-09-16,128.19,129.51,127.97,128.91,128.91,4589569,0.0,1.0
2024-09-13,128.67,128.79,125.655,127.24,127.24,5214539,0.0,1.0
2024-09-12,128.88,129.05,127.48,128.42,128.42,3447323,0.0,1.0
2024-09-11,129.27,129.27,126.3412,128.5,128.5,3404502,0.0,1.0
2024-09-10,129.43,130.15,128.53,129.83,129.83,2590054,0.0,1.0
2024-09-09,127.8,129.72,127.6101,128.88,128.88,3770799,0.0,1.0
2024-09-06,127.67,128.14,126.71,127.54,127.54,3590415,0.0,1.0
2024-09-05,129.29,129.3,126.69,127.4,127.4,5311072,0.0,1.0
2024-09-04,127.69,129.53,127.13,128.92,128.92,5649596,0.0,1.0
2024-09-03,127.585,128.32,127.062,127.5,127.5,5821221,0.0,1.0
2024-08-30,127.51,128.7,126.89,128.55,128.55,4116068,0.0,1.0
2024-08-29,128.02,128.29,126.76,126.98,126.98,3477608,0.0,1.0
2024-08-28,127.61,128.765,126.65,127.19,127.19,3361096,0.0,1.0
2024-08-27,129.66,129.73,127.25,127.9,127.9,3214032,0.0,1.0
2024-08-26,128.87,129.58,128.385,129.26,129.26,4501438,0.0,1.0
2024-08-23,127.525,129.26,126.94,127.97,127.97,6310292,0.0,1.0
2024-08-22,128.18,128.18,126.135,126.84,126.84,5083190,0.0,1.0
2024-08-21,129.65,129.78,127.59,127.9,127.9,4895909,0.0,1.0
2024-08-20,128.83,129.2,127.59,128.88,128.88,2342529,0.0,1.0
2024-08-19,127.76,129.875,127.637,128.95,128.95,3157931,1.63,1.0
2024-08-16,128.51,130.06,128.365,129.65,128.031608975341,3255863,0.0,1.0
2024-08-15,127.88,129.4,127.88,128.55,126.945340021443,4448327,0.0,1.0
2024-08-14,126.36,126.8,125.73,126.42,124.841928319804,3155693,0.0,1.0
2024-08-13,125.305,126.96,124.85,126.49,124.911054525961,3057574,0.0,1.0
2024-08-12,126.01,126.12,124.57,124.86,123.30140143973,2549544,0.0,1.0
2024-08-09,126.34,126.34,124.675,125.82,124.249417981314,3825042,0.0,1.0
2024-08-08,123.2,126.34,123.12,126.21,124.634549701333,3823201,0.0,1.0
2024-08-07,125.25,127.105,123.25,123.32,121.780624904273,4741854,0.0,1.0
2024-08-06,126.06,127.79,124.42,124.5,122.945895236637,5608270,0.0,1.0
2024-08-05,126.83,127.95,125.8,126.02,124.446921427477,5243011,0.0,1.0
2024-08-02,129.88,130.64,127.2,128.06,126.461456578343,5098995,0.0,1.0
2024-08-01,131.04,132.4899,129.61,130.58,128.95,4790636,0.0,1.0
2024-07-31,129.25,131.15,127.45,130.37,128.742621381529,7025937,0.0,1.0
2024-07-30,128.7,130.86,128.46,129.03,127.419348292235,4747688,0.0,1.0
2024-07-29,129.14,129.24,127.65,128.61,127.004591055292,5414343,0.0,1.0
2024-07-26,128.84,129.86,128.46,128.83,127.221844846071,7271324,0.0,1.0
2024-07-25,129.27,129.55,126.535,127.08,125.493689692143,7761913,0.0,1.0
2024-07-24,126.51,129.245,124.8,128.53,126.925589676826,11642492,0.0,1.0
2024-07-23,130.14,132.26,124.975,127.68,126.086200030633,25353850,0.0,1.0
2024-07-22,145.75,146.17,143.69,145.18,143.367751569919,3629819,0.0,1.0
2024-07-19,145.87,145.88,143.2395,145.18,143.367751569919,3073801,0.0,1.0
2024-07-18,146.02,148.15,144.45,144.76,142.952994332976,3412940,0.0,1.0
2024-07-17,146.99,147.792,146.4,147.38,145.540289477715,2863582,0.0,1.0
2024-07-16,144.03,147.57,144.03,147.33,145.490913616174,3805311,0.0,1.0
2024-07-15,143.01,145.25,142.75,144.15,142.350608822178,4164009,0.0,1.0
2024-07-12,139.0,143.38,138.69,142.35,140.573077806709,4801344,0.0,1.0
2024-07-11,135.89,139.05,135.77,138.24,136.514381988053,3449990,0.0,1.0
2024-07-10,134.34,135.76,133.81,135.65,133.956712360239,2834762,0.0,1.0
2024-07-09,135.26,135.87,133.93,134.28,132.603813754021,3118789,0.0,1.0
2024-07-08,136.35,137.315,135.41,135.53,133.838210292541,2773687,0.0,1.0
2024-07-05,134.87,136.46,134.44,136.35,134.64797442181,3237538,0.0,1.0
