,CMG_Open,CMG_High,CMG_Low,CMG_Close,CMG_Adj Close,CMG_Volume,CMG_Dividend Amount,CMG_Split Coefficient
2024-10-07,57.14,57.47,56.425,56.73,56.73,7551166,0.0,1.0
2024-10-04,56.995,57.25,56.435,57.11,57.11,6054338,0.0,1.0
2024-10-03,57.5,57.56,56.23,56.7,56.7,7004114,0.0,1.0
2024-10-02,56.75,57.81,55.94,57.68,57.68,7418579,0.0,1.0
2024-10-01,57.755,57.87,56.744,57.17,57.17,8718237,0.0,1.0
2024-09-30,57.24,58.105,57.1,57.62,57.62,10334026,0.0,1.0
2024-09-27,57.99,58.13,56.89,57.34,57.34,9078319,0.0,1.0
2024-09-26,58.85,59.0,57.755,58.05,58.05,10296458,0.0,1.0
2024-09-25,58.0,58.4499,57.63,58.38,58.38,8421685,0.0,1.0
2024-09-24,58.29,58.34,57.52,57.96,57.96,8920690,0.0,1.0
2024-09-23,57.45,58.5,57.28,58.29,58.29,9305974,0.0,1.0
2024-09-20,57.68,58.18,56.99,57.23,57.23,14686601,0.0,1.0
2024-09-19,58.25,58.43,57.41,57.97,57.97,9541665,0.0,1.0
2024-09-18,58.54,58.54,56.81,56.93,56.93,10214184,0.0,1.0
2024-09-17,58.05,58.765,57.49,58.5,58.5,10580474,0.0,1.0
2024-09-16,56.59,57.75,56.395,57.66,57.66,10663561,0.0,1.0
2024-09-13,56.45,56.57,55.6905,56.12,56.12,7916322,0.0,1.0
2024-09-12,55.93,56.48,55.55,56.35,56.35,9074516,0.0,1.0
2024-09-11,54.27,55.87,53.96,55.79,55.79,12804834,0.0,1.0
2024-09-10,54.43,54.9,53.68,54.21,54.21,8367380,0.0,1.0
2024-09-09,54.04,54.83,54.0,54.29,54.29,9472461,0.0,1.0
2024-09-06,53.19,54.52,53.08,53.68,53.68,13248683,0.0,1.0
2024-09-05,53.02,53.78,52.915,53.03,53.03,8316976,0.0,1.0
2024-09-04,52.65,53.47,52.65,53.34,53.34,12036031,0.0,1.0
2024-09-03,55.99,56.58,53.18,53.52,53.52,14402271,0.0,1.0
2024-08-30,55.95,56.23,55.18,56.08,56.08,12845604,0.0,1.0
2024-08-29,56.21,56.4865,55.54,55.63,55.63,10702273,0.0,1.0
2024-08-28,56.57,56.98,55.226,55.77,55.77,13745770,0.0,1.0
2024-08-27,54.19,56.3,54.19,56.14,56.14,14889625,0.0,1.0
2024-08-26,53.82,55.045,53.78,54.75,54.75,12213474,0.0,1.0
2024-08-23,53.81,53.95,53.1,53.71,53.71,9928362,0.0,1.0
2024-08-22,53.54,54.26,53.21,53.45,53.45,10425679,0.0,1.0
2024-08-21,52.25,53.975,52.08,53.73,53.73,14558382,0.0,1.0
2024-08-20,52.65,52.9199,51.8,51.94,51.94,12896011,0.0,1.0
2024-08-19,52.58,52.95,51.83,52.64,52.64,16562135,0.0,1.0
2024-08-16,53.59,53.7,52.05,52.47,52.47,21302928,0.0,1.0
2024-08-15,51.79,54.32,51.58,53.97,53.97,28826675,0.0,1.0
2024-08-14,52.02,52.53,51.08,51.65,51.65,32423018,0.0,1.0
