,LLL_Open,LLL_High,LLL_Low,LLL_Close,LLL_Adj Close,LLL_Volume,LLL_Dividend Amount,LLL_Split Coefficient
2019-06-28,247.31,248.75,244.0,245.17,245.17,3744933,0.0,1.0
2019-06-27,248.11,249.275,245.85,246.18,246.18,554451,0.0,1.0
2019-06-26,254.6,254.75,248.22,248.29,248.29,543267,0.0,1.0
2019-06-25,256.0,257.32,253.97,254.16,254.16,765098,0.0,1.0
2019-06-24,256.25,259.24,255.95,256.36,256.36,451822,0.0,1.0
2019-06-21,259.15,260.48,256.19,256.23,256.23,1080498,0.0,1.0
2019-06-20,257.87,259.74,255.57,258.8,258.8,757396,0.0,1.0
2019-06-19,254.26,257.68,252.95,256.97,256.97,384310,0.0,1.0
2019-06-18,249.57,254.62,248.76,254.31,254.31,433372,0.0,1.0
2019-06-17,247.51,249.8,244.9,248.54,248.54,334305,0.0,1.0
2019-06-14,245.41,248.13,245.21,246.76,246.76,643137,0.0,1.0
2019-06-13,245.23,246.43,242.44,245.65,245.65,399313,0.0,1.0
2019-06-12,242.81,245.49,240.32,244.03,244.03,784493,0.0,1.0
2019-06-11,254.46,254.48,242.55,243.32,243.32,696641,0.0,1.0
2019-06-10,258.2,259.58,253.89,254.49,254.49,473421,0.0,1.0
2019-06-07,256.42,257.19,254.7,256.37,256.37,461152,0.0,1.0
2019-06-06,255.37,256.79,253.35,255.85,255.85,424856,0.0,1.0
2019-06-05,250.0,256.16,249.82,255.57,255.57,489356,0.0,1.0
2019-06-04,247.05,251.69,247.05,248.66,248.66,679629,0.0,1.0
2019-06-03,242.38,245.95,241.21,245.73,245.73,476319,0.0,1.0
2019-05-31,240.64,242.83,239.46,242.06,242.06,690076,0.0,1.0
2019-05-30,240.77,243.525,240.75,241.56,241.56,305368,0.0,1.0
2019-05-29,240.11,242.42,238.61,240.77,240.77,855593,0.0,1.0
2019-05-28,242.69,243.11,240.5,240.76,240.76,384815,0.0,1.0
2019-05-24,244.12,244.95,241.88,242.15,242.15,443770,0.0,1.0
2019-05-23,242.69,244.65,240.59,243.78,243.78,481403,0.0,1.0
2019-05-22,242.51,244.95,241.94,243.63,243.63,339579,0.0,1.0
2019-05-21,238.5,243.15,238.5,242.89,242.89,518034,0.0,1.0
2019-05-20,237.31,239.91,236.01,236.95,236.95,371522,0.0,1.0
2019-05-17,236.51,240.08,235.87,237.44,237.44,251656,0.0,1.0
2019-05-16,237.7,239.5,236.77,238.31,238.31,521241,0.85,1.0
2019-05-15,233.72,239.35,232.02,237.11,236.267285917377,647555,0.0,1.0
2019-05-14,234.34,236.65,233.97,235.51,234.672972487038,638765,0.0,1.0
2019-05-13,231.77,234.88,231.52,234.34,233.507130791102,511041,0.0,1.0
2019-05-10,233.63,236.76,232.58,235.15,234.314251965212,527831,0.0,1.0
2019-05-09,230.31,234.62,229.6,234.39,233.5569530858,406899,0.0,1.0
2019-05-08,228.44,233.11,228.08,232.01,231.18541185817,657751,0.0,1.0
2019-05-07,228.88,230.04,227.05,228.62,227.807460277638,507586,0.0,1.0
2019-05-06,227.58,231.1,226.5013,230.96,230.13914366951,473810,0.0,1.0
2019-05-03,230.81,232.99,228.66,230.09,229.272235741763,927406,0.0,1.0
2019-05-02,229.95,233.84,228.65,229.86,229.043053186152,789424,0.0,1.0
2019-05-01,225.0,235.0,224.055,232.67,231.843066148185,1227179,0.0,1.0
2019-04-30,214.77,219.36,214.45,218.58,217.803143502258,506570,0.0,1.0
2019-04-29,214.91,216.86,214.05,214.17,213.408817109885,277009,0.0,1.0
2019-04-26,214.21,215.99,213.6975,215.41,214.644410018398,367620,0.0,1.0
2019-04-25,214.75,214.75,211.56,213.51,212.75116281987,284285,0.0,1.0
2019-04-24,217.49,218.0,214.71,215.62,214.85366365613,408469,0.0,1.0
2019-04-23,215.5,217.7,215.0,216.75,215.979647516307,483617,0.0,1.0
2019-04-22,214.05,214.23,212.05,213.34,212.581767017896,489307,0.0,1.0
2019-04-18,215.02,216.52,214.3,214.67,213.907040056866,454909,0.0,1.0
2019-04-17,215.08,216.22,214.57,215.0,214.235867201873,326010,0.0,1.0
2019-04-16,215.0,216.39,214.85,214.9,214.136222612477,212417,0.0,1.0
2019-04-15,217.0,217.43,213.49,214.38,213.618070747617,481113,0.0,1.0
2019-04-12,215.0,217.34,214.24,217.06,216.288545743435,321672,0.0,1.0
2019-04-11,210.37,214.22,209.95,213.74,212.980345375481,416586,0.0,1.0
2019-04-10,210.63,210.96,209.3401,210.37,209.622322712828,599095,0.0,1.0
2019-04-09,210.99,211.2,209.91,210.93,210.180332413447,456970,0.0,1.0
2019-04-08,212.63,212.94,210.56,211.99,211.236565061047,409898,0.0,1.0
2019-04-05,210.51,212.87,210.31,212.78,212.023757317277,395206,0.0,1.0
2019-04-04,207.25,211.24,207.25,210.02,209.273566649941,444088,0.0,1.0
2019-04-03,210.22,211.09,205.9,206.67,205.935472905168,398080,0.0,1.0
2019-04-02,211.68,211.88,209.21,209.52,208.77534370296,333739,0.0,1.0
2019-04-01,207.74,211.52,207.74,211.32,210.568946312092,416038,0.0,1.0
2019-03-29,207.39,208.01,205.27,206.37,205.636539136979,421815,0.0,1.0
2019-03-28,205.28,206.57,203.74,206.21,205.477107793945,254985,0.0,1.0
2019-03-27,206.34,208.06,204.13,204.62,203.892758822546,226912,0.0,1.0
2019-03-26,207.19,207.55,204.03,205.87,205.138316189998,327833,0.0,1.0
2019-03-25,205.67,206.74,204.99,206.06,205.327640909851,218478,0.0,1.0
2019-03-22,208.22,208.22,204.66,205.3,204.57034203044,380132,0.0,1.0
2019-03-21,206.54,209.38,206.54,208.73,207.98815144673,265944,0.0,1.0
2019-03-20,209.5,209.9,207.06,207.28,206.543304900485,441194,0.0,1.0
2019-03-19,210.88,212.9267,208.68,209.74,208.994561799632,350900,0.0,1.0
2019-03-18,207.21,210.71,207.21,210.35,209.602393794949,445098,0.0,1.0
2019-03-15,205.77,207.93,205.22,207.07,206.334051262753,1139563,0.0,1.0
2019-03-14,207.68,209.52,205.9,206.07,205.337605368791,620103,0.0,1.0
2019-03-13,208.18,209.74,206.56,207.88,207.141172436862,702105,0.0,1.0
2019-03-12,210.64,210.745,207.27,207.53,206.792416373976,565574,0.0,1.0
2019-03-11,206.25,210.85,206.25,210.32,209.57250041813,500905,0.0,1.0
2019-03-08,206.3,208.5,205.63,208.26,207.519821876568,337553,0.0,1.0
2019-03-07,205.78,207.71,202.21,207.48,206.742594079277,398649,0.0,1.0
2019-03-06,208.86,209.75,205.83,205.9,205.168209566817,461274,0.0,1.0
2019-03-05,210.2,211.76,208.21,208.29,207.549715253387,599084,0.0,1.0
2019-03-04,212.37,214.24,208.78,209.61,208.865023833417,346885,0.0,1.0
2019-03-01,212.33,212.61,210.57,211.79,211.037275882255,542229,0.0,1.0
