,SPPI_Open,SPPI_High,SPPI_Low,SPPI_Close,SPPI_Adj Close,SPPI_Volume,SPPI_Dividend Amount,SPPI_Split Coefficient
2023-08-01,1.03,1.03,1.03,1.03,1.03,0,0.0,1.0
2023-07-31,1.02,1.06,0.9716,1.03,1.03,5931302,0.0,1.0
2023-07-28,0.9715,1.03,0.9715,1.03,1.03,3241204,0.0,1.0
2023-07-27,0.9856,0.98885,0.96,0.9715,0.9715,733191,0.0,1.0
2023-07-26,0.975,0.9877,0.9691,0.9781,0.9781,1106555,0.0,1.0
2023-07-25,1.04,1.04,0.9716,0.975,0.975,3028517,0.0,1.0
2023-07-24,1.01,1.04,0.997,1.03,1.03,936966,0.0,1.0
2023-07-21,0.99,1.01,0.985,0.9992,0.9992,875378,0.0,1.0
2023-07-20,0.9851,0.997,0.9751,0.9868,0.9868,652297,0.0,1.0
2023-07-19,0.9871,1.01,0.9708,0.9845,0.9845,797124,0.0,1.0
2023-07-18,0.9701,0.987,0.9655,0.982,0.982,530094,0.0,1.0
2023-07-17,0.9401,0.9798,0.9401,0.9714,0.9714,483897,0.0,1.0
2023-07-14,0.9631,0.964,0.932,0.937,0.937,712260,0.0,1.0
2023-07-13,0.95,0.9693,0.946,0.9547,0.9547,528051,0.0,1.0
2023-07-12,0.94,0.96,0.9364,0.9462,0.9462,387433,0.0,1.0
2023-07-11,0.9731,0.9879,0.92685,0.9401,0.9401,1709282,0.0,1.0
2023-07-10,0.95,0.9898,0.95,0.958,0.958,673166,0.0,1.0
2023-07-07,0.9452,0.9794,0.9452,0.9615,0.9615,437111,0.0,1.0
2023-07-06,0.9411,0.958,0.94,0.945,0.945,397772,0.0,1.0
2023-07-05,0.9654,0.9809,0.95,0.95,0.95,555485,0.0,1.0
2023-07-03,0.9501,1.0,0.9501,0.9853,0.9853,398164,0.0,1.0
2023-06-30,0.9563,0.9759,0.935,0.96,0.96,514352,0.0,1.0
2023-06-29,0.9431,0.9729,0.9431,0.948,0.948,542131,0.0,1.0
2023-06-28,0.96,0.9753,0.9302,0.943,0.943,893291,0.0,1.0
2023-06-27,0.9899,0.9921,0.947,0.948,0.948,1603894,0.0,1.0
2023-06-26,0.9806,1.0,0.9608,0.97,0.97,1962710,0.0,1.0
2023-06-23,1.09,1.09,1.01,1.02,1.02,1309077,0.0,1.0
2023-06-22,1.09,1.11,1.08,1.09,1.09,790665,0.0,1.0
2023-06-21,1.08,1.1299,1.08,1.09,1.09,985941,0.0,1.0
2023-06-20,1.05,1.1,1.045,1.06,1.06,1005146,0.0,1.0
2023-06-16,1.04,1.1,1.04,1.06,1.06,1706995,0.0,1.0
2023-06-15,1.02,1.08,1.02,1.04,1.04,676438,0.0,1.0
2023-06-14,1.07,1.08,1.02,1.02,1.02,899277,0.0,1.0
2023-06-13,1.01,1.09,0.9899,1.06,1.06,6146836,0.0,1.0
2023-06-12,1.04,1.05,1.03,1.04,1.04,812443,0.0,1.0
2023-06-09,1.03,1.05,1.01,1.02,1.02,966106,0.0,1.0
2023-06-08,1.08,1.1,1.04,1.05,1.05,1325838,0.0,1.0
2023-06-07,1.06,1.09,1.06,1.07,1.07,657213,0.0,1.0
2023-06-06,1.07,1.1,1.06,1.08,1.08,885005,0.0,1.0
2023-06-05,1.11,1.12,1.06,1.1,1.1,636428,0.0,1.0
2023-06-02,1.1,1.12,1.09,1.11,1.11,760239,0.0,1.0
2023-06-01,1.07,1.12,1.07,1.11,1.11,522106,0.0,1.0
2023-05-31,1.09,1.12,1.06,1.07,1.07,880343,0.0,1.0
2023-05-30,1.12,1.13,1.04,1.1,1.1,974960,0.0,1.0
2023-05-26,1.1,1.14,1.07,1.11,1.11,860177,0.0,1.0
2023-05-25,1.12,1.14,1.09,1.09,1.09,615701,0.0,1.0
2023-05-24,1.14,1.145,1.07,1.14,1.14,1432321,0.0,1.0
2023-05-23,1.2,1.22,1.11,1.13,1.13,2016500,0.0,1.0
2023-05-22,1.23,1.27,1.17,1.195,1.195,963200,0.0,1.0
2023-05-19,1.21,1.265,1.2,1.235,1.235,1658325,0.0,1.0
2023-05-18,1.21,1.24,1.19,1.21,1.21,1159221,0.0,1.0
2023-05-17,1.15,1.23,1.15,1.22,1.22,1820796,0.0,1.0
2023-05-16,1.22,1.2413,1.16,1.18,1.18,2403700,0.0,1.0
2023-05-15,1.22,1.29,1.22,1.25,1.25,1680966,0.0,1.0
2023-05-12,1.32,1.33,1.26,1.3,1.3,2892317,0.0,1.0
2023-05-11,1.26,1.36,1.2517,1.31,1.31,3673972,0.0,1.0
2023-05-10,1.195,1.32,1.19,1.28,1.28,6879870,0.0,1.0
2023-05-09,1.16,1.27,1.1,1.2,1.2,11514267,0.0,1.0
2023-05-08,1.05,1.12,1.05,1.1,1.1,1623370,0.0,1.0
