,HUBB_Open,HUBB_High,HUBB_Low,HUBB_Close,HUBB_Adj Close,HUBB_Volume,HUBB_Dividend Amount,HUBB_Split Coefficient
2024-10-07,425.85,439.16,424.57,438.43,438.43,491275,0.0,1.0
2024-10-04,432.19,432.19,426.39,429.72,429.72,261580,0.0,1.0
2024-10-03,427.63,428.92,422.23,425.9,425.9,257177,0.0,1.0
2024-10-02,423.29,428.6,422.16,427.7,427.7,327289,0.0,1.0
2024-10-01,429.03,430.49,421.75,427.29,427.29,281742,0.0,1.0
2024-09-30,425.85,431.55,425.36,428.35,428.35,468445,0.0,1.0
2024-09-27,428.8,432.945,427.1784,428.48,428.48,299122,0.0,1.0
2024-09-26,430.63,432.66,424.67,427.95,427.95,308496,0.0,1.0
2024-09-25,428.51,428.51,420.7,424.13,424.13,456953,0.0,1.0
2024-09-24,426.08,428.8,419.93,424.86,424.86,322846,0.0,1.0
2024-09-23,427.18,433.0325,423.1,426.59,426.59,258181,0.0,1.0
2024-09-20,418.81,427.53,418.44,426.01,426.01,690423,0.0,1.0
2024-09-19,419.0,424.55,411.3701,422.54,422.54,430424,0.0,1.0
2024-09-18,415.0,418.44,409.4,409.86,409.86,427543,0.0,1.0
2024-09-17,409.98,413.89,403.515,411.29,411.29,399973,0.0,1.0
2024-09-16,406.73,409.58,400.9766,408.82,408.82,345050,0.0,1.0
2024-09-13,402.72,408.82,402.0,404.63,404.63,351497,0.0,1.0
2024-09-12,392.63,400.535,390.955,399.18,399.18,377673,0.0,1.0
2024-09-11,381.12,394.228,373.88,392.87,392.87,440598,0.0,1.0
2024-09-10,381.0,381.0,373.395,380.16,380.16,216044,0.0,1.0
2024-09-09,374.0,380.37,372.49,378.12,378.12,374660,0.0,1.0
2024-09-06,375.27,380.86,366.91,370.93,370.93,381357,0.0,1.0
2024-09-05,373.34,373.5,364.8,370.42,370.42,428210,0.0,1.0
2024-09-04,377.52,379.2,369.2,374.77,374.77,438116,0.0,1.0
2024-09-03,396.18,396.955,376.36,378.96,378.96,591207,0.0,1.0
2024-08-30,396.38,401.055,391.5,399.92,399.92,594192,1.22,1.0
2024-08-29,392.63,402.67,390.4125,395.52,394.317092286982,391782,0.0,1.0
2024-08-28,388.62,391.49,384.93,389.07,387.886708879693,377009,0.0,1.0
2024-08-27,382.6,389.7,381.48,387.97,386.790054345116,478413,0.0,1.0
2024-08-26,388.01,391.435,383.96,385.11,383.938752555218,294307,0.0,1.0
2024-08-23,380.24,386.68,380.24,385.78,384.606714862641,369133,0.0,1.0
2024-08-22,375.36,382.3612,375.04,378.14,376.989950640674,237513,0.0,1.0
2024-08-21,370.92,377.475,370.08,375.42,374.278223064267,333752,0.0,1.0
2024-08-20,375.84,376.715,369.63,370.92,369.791909059181,244720,0.0,1.0
2024-08-19,373.89,375.72,370.34,375.72,374.577310664606,299129,0.0,1.0
2024-08-16,379.95,379.95,371.52,373.83,372.69305878247,332625,0.0,1.0
2024-08-15,385.73,389.24,379.54,380.97,379.811343670539,349053,0.0,1.0
2024-08-14,376.73,380.69,375.67,379.68,378.525266989081,358502,0.0,1.0
2024-08-13,377.97,380.06,371.66,375.08,373.939257117216,377122,0.0,1.0
2024-08-12,377.58,379.975,370.5,373.27,372.134761928504,317600,0.0,1.0
2024-08-09,371.43,377.11,369.66,377.0,375.853417759386,414487,0.0,1.0
2024-08-08,363.57,375.57,359.6765,373.78,372.64321084908,463829,0.0,1.0
2024-08-07,366.38,370.01,358.98,359.04,357.948040085756,403183,0.0,1.0
2024-08-06,364.61,368.82,360.47,361.03,359.931987834671,409256,0.0,1.0
2024-08-05,350.03,369.125,346.13,364.42,363.311677718502,556459,0.0,1.0
2024-08-02,369.0,369.57,354.62,366.19,365.076294560503,599728,0.0,1.0
2024-08-01,395.65,398.8,371.035,379.77,378.614993269183,658817,0.0,1.0
2024-07-31,391.76,403.59,391.19,395.65,394.446696913796,868384,0.0,1.0
2024-07-30,378.76,389.06,369.0,379.8,378.644902029217,793266,0.0,1.0
2024-07-29,368.16,372.57,363.88,366.89,365.77416562796,526629,0.0,1.0
2024-07-26,364.63,369.56,362.31,367.09,365.97355736152,342262,0.0,1.0
2024-07-25,357.1,364.51,347.13,355.55,354.468654335145,737031,0.0,1.0
2024-07-24,372.77,374.075,355.68,356.98,355.894305230094,668557,0.0,1.0
2024-07-23,377.25,384.48,377.03,379.6,378.445510295657,374243,0.0,1.0
2024-07-22,375.58,379.95,372.32,379.26,378.106544348606,410683,0.0,1.0
2024-07-19,370.91,374.84,369.16,370.23,369.104007578402,533367,0.0,1.0
2024-07-18,371.8,380.265,365.36,368.78,367.658417510096,838365,0.0,1.0
2024-07-17,386.38,388.2,366.51,366.61,365.495017200977,725598,0.0,1.0
2024-07-16,378.32,391.88,376.91,391.41,390.219592162337,480079,0.0,1.0
2024-07-15,380.27,383.43,373.83,374.6,373.460716956673,478995,0.0,1.0
2024-07-12,381.34,385.93,378.77,380.47,379.312864336641,488063,0.0,1.0
2024-07-11,377.4,383.71,375.6,379.02,377.867274268335,546519,0.0,1.0
2024-07-10,372.47,376.3,369.55,375.32,374.178527197487,285488,0.0,1.0
2024-07-09,376.23,377.975,369.98,371.15,370.021209552775,356368,0.0,1.0
2024-07-08,375.84,381.0,374.39,377.01,375.863387346064,529666,0.0,1.0
2024-07-05,370.67,374.415,367.69,372.75,371.616343421249,477851,0.0,1.0
2024-07-03,366.91,372.38,365.79,371.29,370.160783766266,334883,0.0,1.0
2024-07-02,359.46,367.42,358.155,365.81,364.69745026674,405634,0.0,1.0
2024-07-01,371.96,371.96,357.7,359.14,358.047735952535,652717,0.0,1.0
2024-06-28,370.88,377.785,363.58,365.48,364.368453906367,1829822,0.0,1.0
2024-06-27,375.28,377.14,367.1487,369.84,368.715193697961,538539,0.0,1.0
2024-06-26,374.25,374.38,369.295,371.77,370.639323926809,492891,0.0,1.0
2024-06-25,379.54,380.76,373.35,378.04,376.890254773894,323539,0.0,1.0
2024-06-24,377.42,381.71,373.82,379.56,378.405631948945,461339,0.0,1.0
2024-06-21,383.31,384.23,375.41,377.39,376.242231639826,736091,0.0,1.0
2024-06-20,388.5,390.73,378.46,380.07,378.914080869522,517439,0.0,1.0
2024-06-18,378.54,390.27,371.9904,387.74,386.560753851523,464506,0.0,1.0
2024-06-17,374.11,382.695,369.28,381.63,380.469336391285,455344,0.0,1.0
2024-06-14,379.12,381.945,372.62,374.74,373.600291170165,442020,0.0,1.0
2024-06-13,381.61,386.09,375.11,385.01,383.839056688438,409624,0.0,1.0
2024-06-12,373.53,385.55,372.71,383.49,382.323679513387,620873,0.0,1.0
2024-06-11,366.38,369.19,363.81,367.71,366.591671735554,487531,0.0,1.0
2024-06-10,365.27,371.43,365.27,369.01,367.887718003689,557334,0.0,1.0
2024-06-07,366.23,373.32,363.81,366.68,365.564804307723,564349,0.0,1.0
2024-06-06,381.69,382.0,365.0,365.94,364.827054893553,648288,0.0,1.0
2024-06-05,377.7,381.82,375.0,381.62,380.459366804607,547733,0.0,1.0
2024-06-04,384.9,388.38,365.92,371.77,370.639323926809,1034275,0.0,1.0
2024-06-03,391.86,392.69,375.65,385.75,384.576806102608,567562,0.0,1.0
2024-05-31,388.54,391.93,378.25,388.89,387.707256319489,717927,1.22,1.0
2024-05-30,388.3,394.75,385.14,390.68,388.273745607388,324491,0.0,1.0
2024-05-29,394.24,394.24,386.96,389.28,386.882368409041,315029,0.0,1.0
2024-05-28,414.44,415.76,396.61,397.66,395.210754782005,564225,0.0,1.0
2024-05-24,402.32,413.63,401.75,413.0,410.456273512469,346289,0.0,1.0
2024-05-23,409.75,409.75,398.64,400.61,398.142585307095,341532,0.0,1.0
2024-05-22,404.88,407.48,399.31,401.14,398.669320960755,410264,0.0,1.0
2024-05-21,395.88,404.545,395.403,404.0,401.511705808807,376146,0.0,1.0
