,ALGT_Open,ALGT_High,ALGT_Low,ALGT_Close,ALGT_Adj Close,ALGT_Volume,ALGT_Dividend Amount,ALGT_Split Coefficient
2024-10-04,55.96,59.98,55.3003,57.81,57.81,437167,0.0,1.0
2024-10-03,55.07,55.65,53.92,55.0,55.0,467627,0.0,1.0
2024-10-02,55.63,55.7196,54.18,55.05,55.05,339979,0.0,1.0
2024-10-01,54.99,56.47,54.2,56.41,56.41,623738,0.0,1.0
2024-09-30,52.61,55.28,52.43,55.06,55.06,545708,0.0,1.0
2024-09-27,50.4,53.08,50.15,52.9,52.9,563461,0.0,1.0
2024-09-26,48.12,51.105,48.12,49.76,49.76,366589,0.0,1.0
2024-09-25,48.57,48.89,46.9,47.04,47.04,286624,0.0,1.0
2024-09-24,46.27,48.85,46.27,48.51,48.51,326125,0.0,1.0
2024-09-23,45.99,47.01,45.16,46.15,46.15,392908,0.0,1.0
2024-09-20,44.16,46.44,42.69,45.81,45.81,751759,0.0,1.0
2024-09-19,44.57,44.96,42.45,43.06,43.06,333279,0.0,1.0
2024-09-18,41.93,44.82,41.93,42.84,42.84,369413,0.0,1.0
2024-09-17,42.03,43.94,41.28,42.27,42.27,294954,0.0,1.0
2024-09-16,41.65,42.19,40.57,41.07,41.07,333805,0.0,1.0
2024-09-13,42.71,43.6,41.24,41.55,41.55,651124,0.0,1.0
2024-09-12,41.97,42.88,40.22,41.87,41.87,352640,0.0,1.0
2024-09-11,40.02,41.4,39.305,41.27,41.27,457820,0.0,1.0
2024-09-10,41.73,41.73,39.1,40.02,40.02,357139,0.0,1.0
2024-09-09,40.7,41.75,40.25,41.65,41.65,338854,0.0,1.0
2024-09-06,40.74,41.588,40.5301,40.64,40.64,244988,0.0,1.0
2024-09-05,41.22,42.92,40.84,40.95,40.95,251792,0.0,1.0
2024-09-04,40.81,42.16,40.18,40.75,40.75,296905,0.0,1.0
2024-09-03,41.07,41.94,40.73,41.06,41.06,299062,0.0,1.0
2024-08-30,43.04,43.7,41.92,42.08,42.08,215494,0.0,1.0
2024-08-29,42.2,43.5099,41.66,42.46,42.46,197068,0.0,1.0
2024-08-28,42.64,42.86,40.88,41.72,41.72,257543,0.0,1.0
2024-08-27,42.55,43.33,41.75,43.08,43.08,268869,0.0,1.0
2024-08-26,45.0,45.18,42.36,42.61,42.61,376726,0.0,1.0
2024-08-23,41.5,44.93,41.2,44.78,44.78,351465,0.0,1.0
2024-08-22,41.43,41.75,40.75,40.91,40.91,265091,0.0,1.0
2024-08-21,41.04,41.35,40.24,41.12,41.12,292558,0.0,1.0
2024-08-20,39.81,40.82,39.71,40.2,40.2,307587,0.0,1.0
2024-08-19,39.17,40.48,39.155,39.91,39.91,299106,0.0,1.0
2024-08-16,40.15,41.13,38.89,39.1,39.1,322241,0.0,1.0
2024-08-15,37.75,41.06,37.5,40.53,40.53,532581,0.0,1.0
2024-08-14,37.6,37.7475,36.31,36.36,36.36,276625,0.0,1.0
2024-08-13,36.8,38.0,36.705,37.2,37.2,279401,0.0,1.0
2024-08-12,38.62,38.71,36.085,36.57,36.57,470365,0.0,1.0
2024-08-09,40.89,40.89,38.485,38.63,38.63,407990,0.0,1.0
2024-08-08,39.56,41.09,39.56,40.9,40.9,444643,0.0,1.0
2024-08-07,42.76,42.995,39.06,39.13,39.13,518024,0.0,1.0
2024-08-06,42.17,42.89,41.45,42.29,42.29,366149,0.0,1.0
2024-08-05,40.58,43.36,38.79,42.08,42.08,634176,0.0,1.0
2024-08-02,48.0,48.46,43.51,43.66,43.66,719972,0.0,1.0
2024-08-01,56.07,56.55,48.31,49.83,49.83,984280,0.0,1.0
2024-07-31,54.9,58.55,54.42,56.07,56.07,696101,0.0,1.0
2024-07-30,52.08,55.24,51.8728,54.9,54.9,495368,0.0,1.0
2024-07-29,52.91,52.91,51.115,51.58,51.58,195064,0.0,1.0
2024-07-26,51.57,53.135,50.35,52.91,52.91,311290,0.0,1.0
2024-07-25,47.87,52.72,47.32,51.0,51.0,504921,0.0,1.0
2024-07-24,49.1,50.135,47.91,48.07,48.07,241884,0.0,1.0
2024-07-23,47.8,49.49,47.66,49.27,49.27,272193,0.0,1.0
2024-07-22,47.23,48.22,46.05,48.18,48.18,600071,0.0,1.0
2024-07-19,49.22,49.22,46.25,47.39,47.39,733181,0.0,1.0
2024-07-18,51.73,52.65,46.3006,49.38,49.38,1270322,0.0,1.0
2024-07-17,51.49,53.13,51.257,51.97,51.97,306037,0.0,1.0
2024-07-16,50.98,52.75,50.4752,52.68,52.68,370604,0.0,1.0
2024-07-15,49.79,51.85,49.2484,50.55,50.55,360772,0.0,1.0
2024-07-12,49.56,50.45,48.65,49.71,49.71,296542,0.0,1.0
2024-07-11,47.21,50.14,45.71,49.09,49.09,641091,0.0,1.0
2024-07-10,45.41,47.8,44.76,47.31,47.31,482285,0.0,1.0
2024-07-09,45.29,46.55,44.63,45.08,45.08,1009927,0.0,1.0
2024-07-08,44.67,47.13,43.91,45.56,45.56,772684,0.0,1.0
2024-07-05,49.56,49.56,45.25,45.31,45.31,723348,0.0,1.0
2024-07-03,50.46,50.68,49.55,49.71,49.71,213487,0.0,1.0
2024-07-02,49.57,49.89,48.82,49.86,49.86,405760,0.0,1.0
2024-07-01,49.88,50.39,47.87,49.46,49.46,473525,0.0,1.0
2024-06-28,50.49,50.965,49.6,50.23,50.23,631092,0.0,1.0
2024-06-27,50.23,50.5423,49.5,50.31,50.31,234486,0.0,1.0
2024-06-26,50.0,50.56,48.5,50.18,50.18,356800,0.0,1.0
2024-06-25,51.78,53.03,50.54,50.7,50.7,358952,0.0,1.0
2024-06-24,52.68,53.29,51.57,52.02,52.02,302181,0.0,1.0
2024-06-21,52.51,53.9,51.7753,52.87,52.87,561537,0.0,1.0
2024-06-20,52.52,54.11,52.52,52.91,52.91,345945,0.0,1.0
2024-06-18,54.47,54.92,52.31,52.85,52.85,363309,0.0,1.0
2024-06-17,51.1,54.52,50.53,54.33,54.33,370850,0.0,1.0
2024-06-14,53.68,53.68,50.26,51.29,51.29,645766,0.0,1.0
2024-06-13,53.02,54.65,50.95,54.41,54.41,465299,0.0,1.0
2024-06-12,54.31,56.62,53.01,53.38,53.38,303543,0.0,1.0
2024-06-11,52.57,53.033,52.0,52.98,52.98,263701,0.0,1.0
2024-06-10,50.93,53.42,50.17,53.1,53.1,322221,0.0,1.0
2024-06-07,52.47,53.485,51.75,52.29,52.29,245700,0.0,1.0
2024-06-06,53.47,54.155,52.96,53.15,53.15,236976,0.0,1.0
2024-06-05,55.28,55.29,53.09,53.59,53.59,355978,0.0,1.0
2024-06-04,52.71,55.28,52.4,54.9,54.9,489051,0.0,1.0
2024-06-03,53.25,55.33,52.14,52.99,52.99,509294,0.0,1.0
