,LIVN_Open,LIVN_High,LIVN_Low,LIVN_Close,LIVN_Adj Close,LIVN_Volume,LIVN_Dividend Amount,LIVN_Split Coefficient
2024-10-07,53.79,53.8,52.6,52.68,52.68,295164,0.0,1.0
2024-10-04,53.88,54.81,53.21,53.83,53.83,558868,0.0,1.0
2024-10-03,53.42,54.1,53.04,53.21,53.21,607324,0.0,1.0
2024-10-02,52.21,54.15,52.21,53.76,53.76,559258,0.0,1.0
2024-10-01,52.39,52.64,51.305,52.6,52.6,266401,0.0,1.0
2024-09-30,52.5,53.09,51.94,52.54,52.54,332614,0.0,1.0
2024-09-27,52.69,53.245,51.82,52.52,52.52,379996,0.0,1.0
2024-09-26,52.28,52.77,51.98,52.31,52.31,341754,0.0,1.0
2024-09-25,51.5,51.96,51.03,51.72,51.72,422764,0.0,1.0
2024-09-24,51.41,51.915,51.1445,51.48,51.48,315446,0.0,1.0
2024-09-23,50.8,51.53,50.56,51.31,51.31,304678,0.0,1.0
2024-09-20,51.08,51.15,50.31,50.75,50.75,861417,0.0,1.0
2024-09-19,51.79,52.56,51.0,51.23,51.23,481643,0.0,1.0
2024-09-18,50.68,52.43,50.54,51.07,51.07,565447,0.0,1.0
2024-09-17,50.37,52.285,50.35,51.0,51.0,854066,0.0,1.0
2024-09-16,48.62,49.06,48.34,48.79,48.79,286357,0.0,1.0
2024-09-13,48.78,49.75,48.375,48.53,48.53,384100,0.0,1.0
2024-09-12,47.52,49.05,46.87,48.74,48.74,554181,0.0,1.0
2024-09-11,46.58,47.52,45.93,47.45,47.45,429042,0.0,1.0
2024-09-10,47.18,47.37,46.47,46.99,46.99,353276,0.0,1.0
2024-09-09,47.06,47.87,46.68,47.09,47.09,474268,0.0,1.0
2024-09-06,46.98,47.53,46.81,47.06,47.06,441752,0.0,1.0
2024-09-05,49.05,49.05,46.86,47.01,47.01,497588,0.0,1.0
2024-09-04,49.55,50.05,48.81,49.08,49.08,313963,0.0,1.0
2024-09-03,49.99,50.81,49.07,49.58,49.58,492983,0.0,1.0
2024-08-30,50.38,50.87,49.92,50.39,50.39,678289,0.0,1.0
2024-08-29,48.34,50.36,47.77,50.24,50.24,728144,0.0,1.0
2024-08-28,46.5,50.22,46.26,48.34,48.34,1463417,0.0,1.0
2024-08-27,46.52,46.86,46.11,46.6,46.6,363999,0.0,1.0
2024-08-26,47.07,47.23,46.22,46.63,46.63,303333,0.0,1.0
2024-08-23,46.17,47.31,45.85,46.6,46.6,545127,0.0,1.0
2024-08-22,46.21,46.545,45.58,46.04,46.04,374213,0.0,1.0
2024-08-21,46.24,46.53,45.77,46.3,46.3,379632,0.0,1.0
2024-08-20,46.0,46.31,45.43,45.87,45.87,334865,0.0,1.0
2024-08-19,46.05,46.285,45.51,45.98,45.98,511677,0.0,1.0
2024-08-16,46.1,46.56,45.65,46.04,46.04,526610,0.0,1.0
2024-08-15,46.47,47.07,46.15,46.28,46.28,487038,0.0,1.0
2024-08-14,44.2,45.73,44.04,45.57,45.57,901352,0.0,1.0
2024-08-13,43.65,44.52,43.41,44.23,44.23,493656,0.0,1.0
2024-08-12,43.93,44.1,43.15,43.38,43.38,613544,0.0,1.0
2024-08-09,45.0,45.45,43.685,43.95,43.95,761303,0.0,1.0
2024-08-08,44.93,45.83,44.82,45.0,45.0,1030800,0.0,1.0
2024-08-07,45.94,46.46,44.17,44.7,44.7,829174,0.0,1.0
2024-08-06,45.26,46.78,44.91,45.82,45.82,959164,0.0,1.0
2024-08-05,45.21,46.14,44.185,45.25,45.25,1150508,0.0,1.0
2024-08-02,47.69,48.1,46.94,46.98,46.98,640296,0.0,1.0
2024-08-01,49.86,51.3,47.75,48.32,48.32,1218925,0.0,1.0
2024-07-31,53.27,53.36,49.2,49.4,49.4,1963165,0.0,1.0
2024-07-30,51.81,52.97,49.13,51.3,51.3,1999815,0.0,1.0
2024-07-29,53.68,54.4725,52.21,52.29,52.29,872481,0.0,1.0
2024-07-26,53.57,53.99,53.03,53.61,53.61,409177,0.0,1.0
2024-07-25,54.19,54.93,53.4,53.45,53.45,545826,0.0,1.0
2024-07-24,54.5,55.48,53.68,53.77,53.77,586082,0.0,1.0
2024-07-23,54.24,55.58,53.67,54.59,54.59,583480,0.0,1.0
2024-07-22,52.91,54.5,52.78,54.26,54.26,525542,0.0,1.0
2024-07-19,53.42,53.42,52.14,52.91,52.91,446595,0.0,1.0
2024-07-18,54.01,55.1666,52.84,53.1,53.1,332193,0.0,1.0
2024-07-17,53.78,54.99,53.51,54.41,54.41,601475,0.0,1.0
2024-07-16,52.24,54.02,51.66,53.97,53.97,699515,0.0,1.0
2024-07-15,51.74,52.08,50.85,52.03,52.03,483204,0.0,1.0
2024-07-12,52.98,53.01,51.33,51.43,51.43,673481,0.0,1.0
2024-07-11,50.66,52.88,49.91,52.42,52.42,2739626,0.0,1.0
2024-07-10,50.36,50.46,49.85,49.99,49.99,795682,0.0,1.0
2024-07-09,51.5,51.52,50.26,50.33,50.33,620707,0.0,1.0
2024-07-08,52.64,52.65,51.51,51.64,51.64,463138,0.0,1.0
2024-07-05,52.69,53.23,52.04,52.47,52.47,727101,0.0,1.0
2024-07-03,52.89,53.105,52.5,52.79,52.79,306338,0.0,1.0
2024-07-02,54.46,54.46,52.75,52.89,52.89,546551,0.0,1.0
2024-07-01,54.88,55.54,54.34,54.48,54.48,398187,0.0,1.0
2024-06-28,55.27,55.315,54.41,54.82,54.82,814673,0.0,1.0
2024-06-27,54.47,54.84,53.74,54.83,54.83,313114,0.0,1.0
2024-06-26,53.32,54.52,52.89,54.47,54.47,715737,0.0,1.0
