,GD_Open,GD_High,GD_Low,GD_Close,GD_Adj Close,GD_Volume,GD_Dividend Amount,GD_Split Coefficient
2024-11-01,292.96,294.87,292.314,292.99,292.99,1355333,0.0,1.0
2024-10-31,300.32,301.37,291.31,291.61,291.61,1704336,0.0,1.0
2024-10-30,301.82,304.12,301.16,301.37,301.37,855063,0.0,1.0
2024-10-29,303.23,305.16,301.73,301.75,301.75,950599,0.0,1.0
2024-10-28,303.04,304.71,302.1401,303.92,303.92,968680,0.0,1.0
2024-10-25,304.52,304.99,302.07,302.52,302.52,1405397,0.0,1.0
2024-10-24,301.73,304.99,300.52,301.27,301.27,1331812,0.0,1.0
2024-10-23,304.85,313.111,300.715,304.4,304.4,1506597,0.0,1.0
2024-10-22,307.7,308.7651,303.91,305.99,305.99,1145609,0.0,1.0
2024-10-21,309.13,310.85,307.01,308.08,308.08,1059841,0.0,1.0
2024-10-18,310.0,310.58,307.61,308.48,308.48,1316379,0.0,1.0
2024-10-17,307.0,308.32,305.64,308.23,308.23,919149,0.0,1.0
2024-10-16,300.14,306.06,300.14,304.87,304.87,838123,0.0,1.0
2024-10-15,303.59,303.8562,299.85,300.21,300.21,898661,0.0,1.0
2024-10-14,299.59,302.36,298.68,301.86,301.86,583622,0.0,1.0
2024-10-11,295.0,299.7725,294.29,299.44,299.44,986347,1.42,1.0
2024-10-10,298.5,298.615,295.02,296.05,294.65270225354,902423,0.0,1.0
2024-10-09,296.1,300.13,295.67,298.69,297.280241973011,726520,0.0,1.0
2024-10-08,297.95,298.11,295.05,296.9,295.498690420794,843373,0.0,1.0
2024-10-07,299.3,300.51,296.715,297.29,295.886849697534,874200,0.0,1.0
2024-10-04,300.04,301.24,297.84,300.66,299.240943960646,877409,0.0,1.0
2024-10-03,304.04,304.865,299.04,299.61,298.195899754038,1124345,0.0,1.0
2024-10-02,305.5,306.62,303.1,303.92,302.485557402114,1218397,0.0,1.0
2024-10-01,297.64,307.05,294.5,305.33,303.888902479559,1486552,0.0,1.0
2024-09-30,300.0,302.26,297.6601,302.2,300.773675463671,1364162,0.0,1.0
2024-09-27,300.34,302.35,299.97,300.13,298.713445456358,909250,0.0,1.0
2024-09-26,300.93,302.92,299.66,300.49,299.071746327195,904455,0.0,1.0
2024-09-25,305.52,306.55,301.02,301.69,300.266082563318,915630,0.0,1.0
2024-09-24,308.0,308.515,304.07,304.67,303.232017549691,951787,0.0,1.0
2024-09-23,307.31,309.72,306.75,308.09,306.635875822642,951842,0.0,1.0
2024-09-20,304.77,307.76,303.185,306.87,305.421633982583,7899210,0.0,1.0
2024-09-19,304.84,306.645,302.52,304.73,303.291734361497,1188154,0.0,1.0
2024-09-18,303.9,306.9,301.65,302.38,300.952825899089,1155805,0.0,1.0
2024-09-17,304.75,305.6963,302.57,303.85,302.41588778834,1045631,0.0,1.0
2024-09-16,307.38,309.967,306.15,307.55,306.098424516386,874521,0.0,1.0
2024-09-13,301.08,305.84,301.05,304.8,303.361403975271,797557,0.0,1.0
2024-09-12,299.34,300.94,297.41,300.67,299.250896762614,875408,0.0,1.0
2024-09-11,301.21,301.21,293.36,299.59,298.175994150103,1067209,0.0,1.0
2024-09-10,303.31,306.51,300.47,302.4,300.972731503025,1040604,0.0,1.0
2024-09-09,295.71,303.1,295.71,301.56,300.136696137739,1922398,0.0,1.0
2024-09-06,297.0,298.41,292.24,292.78,291.398136010104,1362362,0.0,1.0
2024-09-05,296.51,299.83,294.16,297.29,295.886849697534,1518801,0.0,1.0
2024-09-04,295.45,297.76,293.0,294.35,292.960725919032,711401,0.0,1.0
2024-09-03,299.0,300.98,293.34,294.92,293.528035631191,961640,0.0,1.0
2024-08-30,297.53,299.68,295.18,299.36,297.947079704846,1033038,0.0,1.0
2024-08-29,298.0,300.95,295.5,297.83,296.424301003789,1640388,0.0,1.0
2024-08-28,290.99,297.18,290.5,296.64,295.239917569634,1553612,0.0,1.0
2024-08-27,291.01,291.46,289.83,290.2,288.83031310244,1005336,0.0,1.0
2024-08-26,292.45,293.18,290.42,291.0,289.626537259855,814847,0.0,1.0
2024-08-23,294.34,294.8299,291.29,291.45,290.074413348401,864741,0.0,1.0
2024-08-22,294.25,294.74,292.99,293.45,292.06497374194,676227,0.0,1.0
2024-08-21,296.51,296.51,293.02,294.07,292.682047463937,1029146,0.0,1.0
2024-08-20,295.36,296.12,294.215,295.8,294.403882204348,589247,0.0,1.0
2024-08-19,296.93,297.0,294.769,295.6,294.204826164994,685233,0.0,1.0
2024-08-16,296.36,297.1,294.74,296.59,295.190153559795,852433,0.0,1.0
2024-08-15,294.99,296.31,293.1639,295.95,294.553174233863,890703,0.0,1.0
2024-08-14,291.71,295.17,291.71,293.73,292.343652197035,756961,0.0,1.0
2024-08-13,291.85,292.795,289.53,292.2,290.820873495978,888759,0.0,1.0
2024-08-12,294.0,294.59,290.655,291.2,289.825593299209,1054806,0.0,1.0
2024-08-09,293.29,296.7,291.565,292.99,291.607144851426,1028622,0.0,1.0
2024-08-08,287.45,293.0,287.45,290.8,289.427481220501,823820,0.0,1.0
2024-08-07,287.21,290.88,286.355,287.17,285.814614106229,890718,0.0,1.0
2024-08-06,286.45,290.44,285.2,285.38,284.033062554012,815078,0.0,1.0
2024-08-05,288.92,290.925,282.32,285.9,284.550608256332,1094084,0.0,1.0
2024-08-02,292.69,296.89,289.51,292.39,291.009976733364,990893,0.0,1.0
2024-08-01,300.0,300.75,291.535,293.45,292.06497374194,1108414,0.0,1.0
2024-07-31,294.8,299.96,293.17,298.71,297.300147576946,1609458,0.0,1.0
2024-07-30,291.02,293.66,290.06,293.01,291.627050455361,858073,0.0,1.0
2024-07-29,290.57,291.04,288.37,289.49,288.123664162734,1171630,0.0,1.0
2024-07-26,290.99,292.7,287.635,290.4,289.029369141793,1079838,0.0,1.0
2024-07-25,286.61,296.19,286.61,290.98,289.60663165592,1809784,0.0,1.0
2024-07-24,286.0,286.49,276.79,284.67,283.326413614306,3268633,0.0,1.0
2024-07-23,292.68,295.62,292.05,294.46,293.070206740677,1288242,0.0,1.0
2024-07-22,288.43,291.48,287.54,291.21,289.835546101177,745320,0.0,1.0
2024-07-19,294.36,294.36,287.83,288.22,286.859658312837,973642,0.0,1.0
2024-07-18,291.4,295.5,291.17,293.27,291.885823306521,960060,0.0,1.0
2024-07-17,292.24,294.77,291.78,291.99,290.611864654657,900255,0.0,1.0
2024-07-16,285.57,291.78,285.57,291.59,290.213752575949,1125137,0.0,1.0
2024-07-15,285.51,287.2,284.01,285.42,284.072873761883,1017100,0.0,1.0
2024-07-12,285.72,286.465,283.6925,283.89,282.550095060826,1072025,0.0,1.0
2024-07-11,281.37,285.265,281.37,284.15,282.808867911986,935541,0.0,1.0
2024-07-10,279.66,281.98,279.07,281.91,280.579440271222,957641,0.0,1.0
2024-07-09,280.22,281.34,279.42,279.51,278.190767798976,803812,0.0,1.0
2024-07-08,281.7,283.0,279.55,280.47,279.146236787875,1222693,0.0,1.0
2024-07-05,284.26,284.26,280.46,281.68,280.350525825966,1039502,1.42,1.0
2024-07-03,286.47,287.26,284.05,284.88,282.113238422116,656719,0.0,1.0
2024-07-02,285.3,286.34,284.02,285.81,283.034206239206,1274376,0.0,1.0
2024-07-01,291.35,293.01,286.58,287.87,285.074199468459,1431088,0.0,1.0
2024-06-28,293.92,294.48,289.54,290.14,287.322153172538,2259932,0.0,1.0
2024-06-27,295.35,295.35,291.83,292.5,289.659232794401,989536,0.0,1.0
2024-06-26,294.31,295.58,293.32,294.53,291.669517384393,1215403,0.0,1.0
2024-06-25,298.21,299.09,294.72,295.28,292.412233365917,1110356,0.0,1.0
2024-06-24,299.48,302.7486,298.47,298.53,295.630669285855,1124477,0.0,1.0
2024-06-21,299.56,300.22,296.68,298.25,295.353388652752,1686985,0.0,1.0
2024-06-20,298.0,299.65,297.0,299.63,296.719986058757,751556,0.0,1.0
2024-06-18,293.57,298.05,293.17,298.0,295.105816658911,748596,0.0,1.0
2024-06-17,291.18,294.1871,290.6601,293.83,290.976315801637,510982,0.0,1.0
2024-06-14,290.7,292.04,288.455,291.78,288.946225452138,639947,0.0,1.0
2024-06-13,293.68,294.57,290.725,292.52,289.679038553908,686683,0.0,1.0
2024-06-12,292.985,295.2,292.2,294.34,291.481362669073,871953,0.0,1.0
2024-06-11,293.6,293.66,291.135,292.65,289.807775990706,1068734,0.0,1.0
2024-06-10,300.0,300.0,293.86,294.68,291.818060580698,1013889,0.0,1.0
2024-06-07,298.2,300.16,297.87,299.14,296.234744950828,684271,0.0,1.0
2024-06-06,299.0,300.5,298.1,298.27,295.37319441226,988175,0.0,1.0
2024-06-05,297.9,299.65,295.635,299.45,296.541734223191,469258,0.0,1.0
2024-06-04,298.37,299.24,296.9,297.32,294.432420835663,618207,0.0,1.0
2024-06-03,300.89,302.42,296.445,298.26,295.363291532506,723502,0.0,1.0
2024-05-31,296.02,300.23,295.38,299.77,296.858626375308,1302879,0.0,1.0
2024-05-30,293.94,296.66,293.94,296.08,293.204463746209,728274,0.0,1.0
2024-05-29,296.03,297.13,293.25,293.48,290.629715010259,771652,0.0,1.0
2024-05-28,299.54,299.75,297.07,297.34,294.45222659517,800584,0.0,1.0
2024-05-24,299.0,300.48,297.22,299.62,296.710083179003,784155,0.0,1.0
2024-05-23,297.96,298.2576,295.15,296.52,293.64019045537,720773,0.0,1.0
2024-05-22,297.485,299.36,296.16,298.01,295.115719538665,882703,0.0,1.0
2024-05-21,301.0,301.48,296.35,297.06,294.174945962068,1103517,0.0,1.0
2024-05-20,298.5,301.0,298.014,300.23,297.314158843976,940338,0.0,1.0
2024-05-17,296.59,299.14,295.46,299.02,296.115910393784,894179,0.0,1.0
2024-05-16,294.97,297.231,294.62,295.75,292.877668714339,613506,0.0,1.0
2024-05-15,293.8,295.25,293.6836,294.59,291.728934662915,752379,0.0,1.0
2024-05-14,293.44,294.56,292.47,294.06,291.204082035971,655290,0.0,1.0
2024-05-13,296.37,297.3299,292.61,293.53,290.679229409027,1406783,0.0,1.0
2024-05-10,296.58,297.875,296.0,296.44,293.560967417341,1019423,0.0,1.0
2024-05-09,292.75,296.27,292.0,295.97,293.095532068919,707640,0.0,1.0
2024-05-08,294.0,294.07,291.83,292.74,289.896901908489,1008163,0.0,1.0
2024-05-07,292.34,293.74,291.2,293.37,290.520783332969,715657,0.0,1.0
2024-05-06,289.47,291.61,289.46,291.38,288.550110261992,870254,0.0,1.0
2024-05-03,288.0,289.0,286.0,288.14,285.341577221808,974321,0.0,1.0
2024-05-02,286.04,288.58,282.51,287.36,284.569152601022,1134891,0.0,1.0
2024-05-01,286.58,288.09,284.83,286.53,283.747213581469,890864,0.0,1.0
2024-04-30,286.91,289.1999,286.42,287.09,284.301774847674,1423602,0.0,1.0
2024-04-29,287.96,289.93,285.43,287.79,284.99497643043,1293661,0.0,1.0
2024-04-26,284.73,286.77,282.8,284.41,281.647803073694,1244205,0.0,1.0
2024-04-25,282.76,285.75,279.44,284.9,282.133044181623,1769758,0.0,1.0
2024-04-24,289.19,290.365,274.315,281.11,278.379852754988,4023581,0.0,1.0
2024-04-23,292.72,294.695,291.68,292.72,289.877096148981,1132517,0.0,1.0
2024-04-22,289.94,292.71,288.046,291.31,288.480790103716,889033,0.0,1.0
2024-04-19,287.43,289.29,286.73,288.62,285.816915449983,1074960,0.0,1.0
2024-04-18,284.02,286.91,284.02,285.27,282.499450732509,636706,0.0,1.0
2024-04-17,286.5,286.5,283.67,284.46,281.697317472463,708954,0.0,1.0
2024-04-16,285.46,286.38,283.68,285.3,282.52915937177,1388510,0.0,1.0
2024-04-15,291.71,291.75,284.355,284.75,281.984500985319,976557,0.0,1.0
2024-04-12,288.41,290.75,286.79,287.87,285.074199468459,1280978,0.0,1.0
2024-04-11,287.83,288.64,286.16,287.5,284.707792917574,710977,1.42,1.0
2024-04-10,287.4,290.74,286.66,290.04,285.8114642732,935586,0.0,1.0
2024-04-09,292.03,294.6687,287.195,288.84,284.628959249315,1007111,0.0,1.0
2024-04-08,296.0,296.5,292.89,293.13,288.856414709706,945511,0.0,1.0
2024-04-05,293.0,295.455,291.4377,295.18,290.876527458845,858986,0.0,1.0
2024-04-04,293.56,294.56,291.97,293.22,288.945102586498,1352635,0.0,1.0
2024-04-03,290.57,291.99,288.43,291.69,287.437408681043,1150547,0.0,1.0
2024-04-02,291.8,292.5,288.44,290.54,286.304174699819,1688413,0.0,1.0
2024-04-01,287.71,291.965,286.38,291.55,287.29944976159,1742797,0.0,1.0
2024-03-28,282.6,283.1467,281.28,282.49,278.371536831252,644505,0.0,1.0
2024-03-27,279.56,281.93,278.945,281.9,277.790138527842,746031,0.0,1.0
2024-03-26,278.81,280.465,278.35,278.35,274.291894498846,567677,0.0,1.0
2024-03-25,280.93,281.45,278.39,278.98,274.912709636386,776513,0.0,1.0
2024-03-22,282.33,283.215,281.13,281.16,277.060927096445,730558,0.0,1.0
2024-03-21,283.36,284.75,281.22,281.34,277.238302850028,1084155,0.0,1.0
2024-03-20,280.0,282.98,279.31,282.55,278.430662082446,1043440,0.0,1.0
2024-03-19,279.12,280.35,277.731,279.7,275.622212650718,703565,0.0,1.0
2024-03-18,275.99,277.72,274.67,277.6,273.552828858918,865390,0.0,1.0
2024-03-15,273.83,276.93,273.83,275.21,271.197673019678,1305858,0.0,1.0
2024-03-14,276.3,276.65,273.4,275.4,271.384902981793,836940,0.0,1.0
2024-03-13,275.52,275.9,274.47,275.36,271.345486147664,823999,0.0,1.0
2024-03-12,273.01,275.06,271.585,274.65,270.645837341865,844967,0.0,1.0
2024-03-11,271.64,273.29,270.43,273.27,269.285956564396,559720,0.0,1.0
2024-03-08,272.43,273.62,270.715,272.31,268.339952545288,696906,0.0,1.0
2024-03-07,274.0,274.97,272.11,273.03,269.049455559619,761791,0.0,1.0
2024-03-06,274.0,275.8529,273.17,273.7,269.709687531289,585056,0.0,1.0
2024-03-05,275.57,277.4266,272.39,273.6,269.611145445965,979366,0.0,1.0
2024-03-04,272.0,275.34,271.39,274.71,270.704962593059,974559,0.0,1.0
2024-03-01,273.3,273.3,271.05,271.95,267.985201038122,651383,0.0,1.0
2024-02-29,274.98,274.98,272.37,273.25,269.266248147331,886287,0.0,1.0
2024-02-28,273.68,274.66,272.48,274.31,270.310794251764,569835,0.0,1.0
2024-02-27,272.33,273.8,270.77,273.7,269.709687531289,554426,0.0,1.0
2024-02-26,274.19,274.594,272.59,273.02,269.039601351087,629667,0.0,1.0
2024-02-23,272.5,274.9,272.1746,273.75,269.758958573951,663926,0.0,1.0
2024-02-22,271.38,272.46,270.66,272.33,268.359660962352,636360,0.0,1.0
2024-02-21,270.16,272.2799,268.91,271.9,267.93592999546,691282,0.0,1.0
2024-02-20,270.4,271.96,268.35,268.93,265.009230061343,697551,0.0,1.0
2024-02-16,269.98,271.175,268.8887,269.44,265.511794696494,702718,0.0,1.0
2024-02-15,269.68,270.9583,268.54,270.0,266.063630374307,801479,0.0,1.0
2024-02-14,268.31,269.22,263.103,269.1,265.176751606393,1629840,0.0,1.0
2024-02-13,269.93,270.9,265.105,267.22,263.324160402305,1164204,0.0,1.0
2024-02-12,269.98,270.97,269.21,269.44,265.511794696494,696309,0.0,1.0
2024-02-09,270.07,271.365,269.055,270.14,266.201589293761,878245,0.0,1.0
2024-02-08,269.0,269.435,267.12,269.0,265.078209521069,617092,0.0,1.0
2024-02-07,269.5,270.15,267.945,269.09,265.166897397861,1058802,0.0,1.0
2024-02-06,266.1,267.79,264.64,267.69,263.787308203327,814601,0.0,1.0
2024-02-05,264.0,267.07,262.5,265.52,261.6489449518,1032428,0.0,1.0
2024-02-02,265.74,266.4003,264.33,265.27,261.402589738491,1949414,0.0,1.0
2024-02-01,265.65,267.24,263.07,266.87,262.979263103672,1715158,0.0,1.0
2024-01-31,269.0,269.5,263.84,264.99,261.126671899584,2305088,0.0,1.0
2024-01-30,266.29,269.369,265.99,268.67,264.753020639501,2040351,0.0,1.0
2024-01-29,264.57,265.91,263.2,264.78,260.919733520404,961685,0.0,1.0
2024-01-26,266.56,267.97,262.05,265.07,261.205505567843,1329931,0.0,1.0
2024-01-25,261.76,265.97,261.16,265.86,261.983988041901,1968787,0.0,1.0
2024-01-24,252.32,263.69,251.62,261.18,257.372218448747,2748242,0.0,1.0
2024-01-23,250.35,252.1012,247.88,249.37,245.734398172004,1775553,0.0,1.0
2024-01-22,249.5,251.315,248.7,249.76,246.118712304767,2043282,0.0,1.0
2024-01-19,251.5,251.5,248.98,249.34,245.704835546407,1410323,0.0,1.0
2024-01-18,249.04,251.1,247.3601,250.95,247.29136312012,907695,1.32,1.0
2024-01-17,249.23,252.1,249.0,249.97,245.036754426354,882739,0.0,1.0
2024-01-16,254.29,254.7,249.72,250.65,245.703334387989,1038498,0.0,1.0
2024-01-12,251.34,254.91,251.34,254.81,249.781235329757,1107546,0.0,1.0
2024-01-11,251.76,252.35,248.09,249.94,245.00734648687,1500115,0.0,1.0
2024-01-10,251.24,253.01,250.81,251.25,246.291493177667,877919,0.0,1.0
2024-01-09,253.77,253.77,250.89,251.24,246.281690531173,1255981,0.0,1.0
2024-01-08,253.0,253.85,250.88,253.82,248.810773326788,1257124,0.0,1.0
2024-01-05,256.59,257.0,253.41,253.9,248.889194498745,956794,0.0,1.0
2024-01-04,258.75,259.0,256.0,256.18,251.124197899522,1096846,0.0,1.0
2024-01-03,259.55,261.3899,256.5,256.54,251.477093173329,1378672,0.0,1.0
2024-01-02,259.67,261.14,257.62,258.6,253.496438351223,992514,0.0,1.0
2023-12-29,258.52,259.88,257.85,259.67,254.545321526149,812338,0.0,1.0
2023-12-28,257.97,258.7879,257.465,258.14,253.04551661247,569704,0.0,1.0
2023-12-27,255.38,257.73,255.08,257.43,252.349528711351,750664,0.0,1.0
2023-12-26,254.04,256.81,253.85,256.21,251.153605839006,637901,0.0,1.0
2023-12-22,253.37,255.26,252.56,254.1,249.085247428638,650642,0.0,1.0
2023-12-21,251.0,252.97,250.0,252.43,247.448205464034,702281,0.0,1.0
2023-12-20,253.12,253.97,249.4,249.56,244.634845920074,1018223,0.0,1.0
2023-12-19,252.71,253.975,252.252,253.89,248.879391852251,738842,0.0,1.0
2023-12-18,252.66,253.93,251.77,252.87,247.879521909798,708697,0.0,1.0
2023-12-15,249.64,252.74,249.35,252.55,247.56583722197,2410879,0.0,1.0
2023-12-14,255.4,255.56,248.58,251.15,246.193466712721,1778754,0.0,1.0
2023-12-13,253.66,256.32,253.03,255.85,250.800710565199,1287264,0.0,1.0
2023-12-12,252.01,254.35,251.6961,253.2,248.203009244121,863986,0.0,1.0
2023-12-11,252.02,253.643,252.02,252.42,247.43840281754,704582,0.0,1.0
2023-12-08,251.75,253.19,251.75,252.29,247.310968413109,968475,0.0,1.0
2023-12-07,252.72,254.76,250.52,251.49,246.526756693539,895769,0.0,1.0
2023-12-06,250.89,252.85,250.26,251.95,246.977678432292,872361,0.0,1.0
2023-12-05,252.23,252.61,250.1994,250.89,245.938597903861,925879,0.0,1.0
2023-12-04,248.55,252.25,248.11,252.21,247.232547241152,1618211,0.0,1.0
2023-12-01,247.09,249.69,246.81,249.69,244.762280324505,842922,0.0,1.0
2023-11-30,245.59,247.3,245.01,246.97,242.095960477964,951109,0.0,1.0
2023-11-29,245.22,246.0,243.87,244.83,239.998194128113,835248,0.0,1.0
2023-11-28,247.4,247.53,245.07,245.22,240.380497341403,846814,0.0,1.0
2023-11-27,247.71,247.71,245.512,246.36,241.497999041792,717868,0.0,1.0
2023-11-24,247.68,248.55,247.44,247.83,242.938988076503,338962,0.0,1.0
2023-11-22,245.81,247.4508,245.46,247.33,242.448855751771,617665,0.0,1.0
