,LOGM_Open,LOGM_High,LOGM_Low,LOGM_Close,LOGM_Adj Close,LOGM_Volume,LOGM_Dividend Amount,LOGM_Split Coefficient
2020-08-31,86.04,86.04,86.04,86.04,86.04,0,0.0,1.0
2020-08-28,86.04,86.05,86.035,86.04,86.04,428545,0.0,1.0
2020-08-27,86.02,86.05,86.0,86.04,86.04,1108685,0.0,1.0
2020-08-26,86.04,86.04,86.0,86.03,86.03,775782,0.0,1.0
2020-08-25,86.04,86.04,86.0,86.02,86.02,262291,0.0,1.0
2020-08-24,86.05,86.05,85.97,86.03,86.03,409951,0.0,1.0
2020-08-21,85.96,85.98,85.95,85.98,85.98,295252,0.0,1.0
2020-08-20,85.94,86.01,85.84,85.97,85.97,468874,0.0,1.0
2020-08-19,85.95,85.98,85.93,85.94,85.94,317544,0.0,1.0
2020-08-18,85.95,85.96,85.9,85.94,85.94,284352,0.0,1.0
2020-08-17,85.94,85.98,85.91,85.94,85.94,372851,0.0,1.0
2020-08-14,85.94,85.98,85.92,85.94,85.94,373560,0.0,1.0
2020-08-13,85.92,85.95,85.81,85.94,85.94,193413,0.0,1.0
2020-08-12,85.9,85.96,85.69,85.94,85.94,592724,0.0,1.0
2020-08-11,85.85,85.96,85.85,85.93,85.93,528092,0.0,1.0
2020-08-10,85.85,85.92,85.85,85.91,85.91,257552,0.0,1.0
2020-08-07,85.83,85.91,85.83,85.89,85.89,178282,0.0,1.0
2020-08-06,85.84,85.88,85.76,85.88,85.88,174254,0.0,1.0
2020-08-05,85.84,86.12,85.81,85.86,85.86,706889,0.0,1.0
2020-08-04,85.82,85.85,85.78,85.84,85.84,237482,0.0,1.0
2020-08-03,85.76,85.84,85.73,85.84,85.84,427666,0.0,1.0
2020-07-31,85.79,85.85,85.71,85.81,85.81,415232,0.0,1.0
2020-07-30,85.75,85.8,85.55,85.72,85.72,404680,0.0,1.0
2020-07-29,85.52,85.62,85.51,85.55,85.55,257758,0.0,1.0
2020-07-28,85.62,85.71,85.32,85.46,85.46,293025,0.0,1.0
2020-07-27,85.62,85.72,85.54,85.63,85.63,207966,0.0,1.0
2020-07-24,85.5,85.725,85.5,85.64,85.64,309568,0.0,1.0
2020-07-23,85.73,85.82,85.58,85.64,85.64,207930,0.0,1.0
2020-07-22,85.74,85.83,85.72,85.74,85.74,181295,0.0,1.0
2020-07-21,85.9,85.9,85.71,85.71,85.71,182545,0.0,1.0
2020-07-20,85.82,85.85,85.75,85.78,85.78,170485,0.0,1.0
2020-07-17,85.66,85.88,85.4,85.82,85.82,569700,0.0,1.0
