,POL_Open,POL_High,POL_Low,POL_Close,POL_Adj Close,POL_Volume,POL_Dividend Amount,POL_Split Coefficient
2022-12-14,0.7,0.7,0.6147,0.6147,0.6147,488725,0.0,1.0
2022-12-13,0.775,0.82,0.69,0.69,0.69,498129,0.0,1.0
2022-12-12,0.8226,0.8299,0.769962,0.775,0.775,606262,0.0,1.0
2022-12-09,0.8109,0.83,0.786,0.8032,0.8032,241074,0.0,1.0
2022-12-08,0.78,0.84,0.76,0.836,0.836,515340,0.0,1.0
2022-12-07,0.7919,0.8,0.7426,0.79,0.79,269927,0.0,1.0
2022-12-06,0.74,0.7998,0.74,0.785,0.785,542332,0.0,1.0
2022-12-05,0.7842,0.8188,0.7266,0.7403,0.7403,448194,0.0,1.0
2022-12-02,0.676,0.788,0.676,0.784,0.784,892030,0.0,1.0
2022-12-01,0.69,0.725,0.68,0.7186,0.7186,165714,0.0,1.0
2022-11-30,0.69,0.7199,0.68,0.6901,0.6901,170478,0.0,1.0
2022-11-29,0.7602,0.7602,0.6609,0.6918,0.6918,486910,0.0,1.0
2022-11-28,0.73,0.7894,0.7209,0.7648,0.7648,1134064,0.0,1.0
2022-11-25,0.69,0.75,0.6527,0.735,0.735,485682,0.0,1.0
2022-11-23,0.64,0.69,0.63,0.687,0.687,610482,0.0,1.0
2022-11-22,0.5535,0.6375,0.5535,0.63,0.63,1016474,0.0,1.0
2022-11-21,0.5411,0.5723,0.54,0.5555,0.5555,275482,0.0,1.0
2022-11-18,0.5451,0.59,0.54,0.55,0.55,358293,0.0,1.0
2022-11-17,0.5328,0.5628,0.52,0.5501,0.5501,217353,0.0,1.0
2022-11-16,0.58,0.6,0.42,0.55,0.55,1186992,0.0,1.0
2022-11-15,0.63,0.63,0.5809,0.5975,0.5975,370927,0.0,1.0
2022-11-14,0.5651,0.6094,0.5501,0.6072,0.6072,379961,0.0,1.0
2022-11-11,0.51,0.5993,0.5,0.5735,0.5735,595403,0.0,1.0
2022-11-10,0.48,0.5196,0.47,0.4971,0.4971,352704,0.0,1.0
2022-11-09,0.4832,0.4832,0.46,0.46,0.46,1027421,0.0,1.0
2022-11-08,0.48,0.4899,0.4701,0.4824,0.4824,615128,0.0,1.0
2022-11-07,0.4972,0.5194,0.473,0.48,0.48,596296,0.0,1.0
2022-11-04,0.52,0.5304,0.4655,0.4837,0.4837,1509554,0.0,1.0
2022-11-03,0.585,0.59,0.4568,0.5208,0.5208,1675788,0.0,1.0
2022-11-02,0.6522,0.6608,0.585,0.5936,0.5936,634244,0.0,1.0
2022-11-01,0.67,0.67,0.6215,0.6475,0.6475,784274,0.0,1.0
2022-10-31,0.63,0.68,0.62,0.6402,0.6402,886445,0.0,1.0
2022-10-28,0.57,0.65,0.5601,0.62,0.62,798274,0.0,1.0
2022-10-27,0.5583,0.5869,0.5452,0.5587,0.5587,582122,0.0,1.0
2022-10-26,0.537,0.571501,0.52,0.55,0.55,631002,0.0,1.0
2022-10-25,0.52,0.5418,0.5075,0.53,0.53,1067897,0.0,1.0
2022-10-24,0.555,0.56,0.5024,0.5125,0.5125,539757,0.0,1.0
2022-10-21,0.57,0.57,0.522,0.5401,0.5401,721715,0.0,1.0
2022-10-20,0.5307,0.717899,0.51,0.56,0.56,5086155,0.0,1.0
2022-10-19,0.4688,0.55,0.453,0.52,0.52,1605738,0.0,1.0
2022-10-18,0.46,0.4998,0.451,0.4674,0.4674,1919923,0.0,1.0
2022-10-17,0.49,0.52,0.452,0.4584,0.4584,1864785,0.0,1.0
2022-10-14,0.52,0.5353,0.4801,0.495,0.495,954821,0.0,1.0
2022-10-13,0.5416,0.55,0.5,0.515,0.515,1158112,0.0,1.0
2022-10-12,0.5463,0.5585,0.5115,0.5551,0.5551,339567,0.0,1.0
2022-10-11,0.55,0.5737,0.53,0.53,0.53,287974,0.0,1.0
2022-10-10,0.55,0.5711,0.53,0.55875,0.55875,276967,0.0,1.0
2022-10-07,0.54,0.6,0.5306,0.56,0.56,760717,0.0,1.0
2022-10-06,0.5525,0.5965,0.54,0.5452,0.5452,662449,0.0,1.0
2022-10-05,0.5548,0.562,0.5396,0.543,0.543,145980,0.0,1.0
2022-10-04,0.55,0.57,0.5387,0.5552,0.5552,308761,0.0,1.0
2022-10-03,0.5389,0.5534,0.52,0.5498,0.5498,554931,0.0,1.0
2022-09-30,0.5208,0.56,0.5174,0.5202,0.5202,556920,0.0,1.0
2022-09-29,0.55,0.5555,0.5107,0.5261,0.5261,510402,0.0,1.0
2022-09-28,0.5443,0.56,0.533,0.55,0.55,749706,0.0,1.0
2022-09-27,0.5138,0.56,0.5102,0.551,0.551,749592,0.0,1.0
2022-09-26,0.53,0.5554,0.4997,0.5105,0.5105,1153172,0.0,1.0
2022-09-23,0.58,0.5916,0.5352,0.5423,0.5423,1507409,0.0,1.0
2022-09-22,0.6306,0.6932,0.5735,0.5737,0.5737,1744073,0.0,1.0
2022-09-21,0.704,0.7095,0.6351,0.6351,0.6351,638725,0.0,1.0
2022-09-20,0.7326,0.74,0.7026,0.7088,0.7088,301517,0.0,1.0
2022-09-19,0.7293,0.7646,0.712,0.74,0.74,704957,0.0,1.0
2022-09-16,0.7113,0.7489,0.705,0.7351,0.7351,823625,0.0,1.0
2022-09-15,0.7014,0.741,0.691,0.7299,0.7299,1034146,0.0,1.0
2022-09-14,0.7007,0.72,0.691001,0.6975,0.6975,557835,0.0,1.0
2022-09-13,0.73,0.74,0.6902,0.7004,0.7004,312333,0.0,1.0
2022-09-12,0.7293,0.763,0.717,0.72,0.72,542616,0.0,1.0
2022-09-09,0.702,0.7248,0.7003,0.7102,0.7102,642318,0.0,1.0
2022-09-08,0.6901,0.715,0.6852,0.715,0.715,810712,0.0,1.0
2022-09-07,0.675,0.7364,0.6707,0.7043,0.7043,1659751,0.0,1.0
2022-09-06,0.69,0.7101,0.6707,0.681,0.681,708240,0.0,1.0
2022-09-02,0.6847,0.7295,0.6847,0.697,0.697,636365,0.0,1.0
2022-09-01,0.6927,0.7,0.682,0.6835,0.6835,611557,0.0,1.0
