,MCF_Open,MCF_High,MCF_Low,MCF_Close,MCF_Adj Close,MCF_Volume,MCF_Dividend Amount,MCF_Split Coefficient
2021-12-07,3.36,3.37,3.155,3.22,3.22,3621013,0.0,1.0
2021-12-06,3.43,3.47,2.97,3.11,3.11,6380307,0.0,1.0
2021-12-03,3.5,3.52,3.275,3.31,3.31,1699044,0.0,1.0
2021-12-02,3.26,3.44,3.17,3.38,3.38,825335,0.0,1.0
2021-12-01,3.62,3.62,3.27,3.27,3.27,938403,0.0,1.0
2021-11-30,3.53,3.61,3.46,3.48,3.48,1302246,0.0,1.0
2021-11-29,3.73,3.8,3.565,3.63,3.63,729613,0.0,1.0
2021-11-26,3.45,3.66,3.38,3.59,3.59,1478479,0.0,1.0
2021-11-24,3.78,3.8701,3.75,3.78,3.78,845152,0.0,1.0
2021-11-23,3.58,3.805,3.58,3.8,3.8,2001311,0.0,1.0
2021-11-22,3.41,3.61,3.39,3.48,3.48,1291966,0.0,1.0
2021-11-19,3.5,3.58,3.35,3.39,3.39,1489110,0.0,1.0
2021-11-18,3.68,3.73,3.58,3.6,3.6,1106135,0.0,1.0
2021-11-17,3.72,3.865,3.62,3.68,3.68,1551725,0.0,1.0
2021-11-16,3.94,3.965,3.77,3.78,3.78,778400,0.0,1.0
2021-11-15,3.93,4.01,3.87,3.93,3.93,1068632,0.0,1.0
2021-11-12,4.01,4.05,3.895,3.96,3.96,794639,0.0,1.0
2021-11-11,4.07,4.195,4.03,4.06,4.06,841047,0.0,1.0
2021-11-10,4.15,4.23,4.0,4.1,4.1,1226483,0.0,1.0
2021-11-09,4.32,4.365,4.14,4.21,4.21,772000,0.0,1.0
2021-11-08,4.3,4.435,4.2,4.27,4.27,1137385,0.0,1.0
2021-11-05,4.06,4.15,3.97,4.11,4.11,985474,0.0,1.0
2021-11-04,4.13,4.29,3.905,3.98,3.98,946895,0.0,1.0
2021-11-03,4.05,4.13,4.005,4.06,4.06,836062,0.0,1.0
2021-11-02,4.27,4.29,4.09,4.12,4.12,632446,0.0,1.0
2021-11-01,4.16,4.39,4.16,4.25,4.25,836680,0.0,1.0
2021-10-29,4.26,4.275,4.03,4.13,4.13,968234,0.0,1.0
