,BKNG_Open,BKNG_High,BKNG_Low,BKNG_Close,BKNG_Adj Close,BKNG_Volume,BKNG_Dividend Amount,BKNG_Split Coefficient
2024-10-04,4164.76,4196.8,4134.3247,4187.7,4187.7,167629,0.0,1.0
2024-10-03,4080.0,4113.54,4060.98,4104.12,4104.12,120684,0.0,1.0
2024-10-02,4100.99,4128.64,4072.24,4125.01,4125.01,164551,0.0,1.0
2024-10-01,4228.0,4228.0,4085.2,4100.99,4100.99,238540,0.0,1.0
2024-09-30,4220.15,4228.365,4183.13,4212.12,4212.12,217846,0.0,1.0
2024-09-27,4269.01,4270.99,4231.06,4248.1,4248.1,162713,0.0,1.0
2024-09-26,4210.29,4272.88,4196.89,4268.94,4268.94,214007,0.0,1.0
2024-09-25,4177.56,4181.11,4148.83,4175.7,4175.7,196707,0.0,1.0
2024-09-24,4128.0,4182.7899,4084.9,4177.56,4177.56,216040,0.0,1.0
2024-09-23,4064.01,4104.865,4030.69,4097.08,4097.08,253726,0.0,1.0
2024-09-20,4009.67,4067.46,3985.57,4064.01,4064.01,443926,0.0,1.0
2024-09-19,4103.76,4104.99,3997.84,4017.51,4017.51,298654,0.0,1.0
2024-09-18,4050.0,4073.84,4018.51,4028.3,4028.3,136051,0.0,1.0
2024-09-17,4000.0,4047.49,3985.0,4042.43,4042.43,174046,0.0,1.0
2024-09-16,3950.0,3999.5099,3930.0,3979.0,3979.0,180490,0.0,1.0
2024-09-13,3896.0,3938.65,3894.51,3932.59,3932.59,159697,0.0,1.0
2024-09-12,3834.37,3895.49,3813.88,3870.7,3870.7,186183,0.0,1.0
2024-09-11,3836.0,3836.0,3719.34,3827.47,3827.47,245441,0.0,1.0
2024-09-10,3818.36,3837.43,3777.84,3834.82,3834.82,174905,0.0,1.0
2024-09-09,3749.52,3809.02,3718.58,3802.89,3802.89,241120,0.0,1.0
2024-09-06,3777.14,3794.34,3700.97,3731.35,3731.35,283139,8.75,1.0
2024-09-05,3754.29,3789.905,3732.285,3781.88,3773.03225528729,212307,0.0,1.0
2024-09-04,3776.16,3808.58,3769.485,3799.21,3790.32171158525,199304,0.0,1.0
2024-09-03,3876.01,3905.43,3798.21,3813.78,3804.85762492981,276794,0.0,1.0
2024-08-30,3930.1,3940.25,3885.7,3909.23,3900.08431873479,239635,0.0,1.0
2024-08-29,3915.0,3929.766,3882.28,3890.81,3881.70741250234,224056,0.0,1.0
2024-08-28,3878.0,3911.57,3860.33,3898.24,3889.12002994572,232243,0.0,1.0
2024-08-27,3798.52,3901.575,3798.52,3881.45,3872.36931031256,236426,0.0,1.0
2024-08-26,3842.0,3858.32,3784.75,3797.89,3789.00479973797,219260,0.0,1.0
2024-08-23,3779.28,3853.225,3759.43,3830.58,3821.61832116788,223343,0.0,1.0
2024-08-22,3752.42,3791.17,3752.42,3768.09,3759.27451712521,173939,0.0,1.0
2024-08-21,3702.5,3745.035,3683.14,3738.0,3729.25491297024,261612,0.0,1.0
2024-08-20,3692.15,3719.51,3665.5375,3702.5,3693.83796556242,176127,0.0,1.0
2024-08-19,3616.52,3705.79,3610.44,3702.01,3693.34911192214,198228,0.0,1.0
2024-08-16,3634.67,3636.55,3592.28,3618.86,3610.39364214861,196411,0.0,1.0
2024-08-15,3620.0,3653.955,3607.24,3634.67,3626.16665450122,201779,0.0,1.0
2024-08-14,3572.0,3610.27,3557.6383,3572.58,3564.22191465469,190043,0.0,1.0
2024-08-13,3484.96,3572.25,3472.495,3567.76,3559.41319109115,263282,0.0,1.0
2024-08-12,3442.41,3471.47,3399.27,3439.18,3431.1340052405,212829,0.0,1.0
2024-08-09,3394.85,3456.0,3394.85,3443.05,3434.9949513382,251858,0.0,1.0
2024-08-08,3316.07,3409.58,3307.8953,3394.85,3386.90771570279,377345,0.0,1.0
2024-08-07,3402.65,3472.34,3291.8,3305.62,3297.88647014786,419914,0.0,1.0
2024-08-06,3415.0,3490.78,3386.49,3417.08,3409.08570840352,429256,0.0,1.0
2024-08-05,3205.0,3387.352,3180.0,3383.43,3375.51443290286,665353,0.0,1.0
2024-08-02,3311.59,3465.56,3291.05,3328.13,3320.34380778589,801623,0.0,1.0
2024-08-01,3716.23,3748.4099,3631.43,3664.18,3655.60761557178,551914,0.0,1.0
2024-07-31,3776.0,3776.0,3700.12,3715.01,3706.31869829684,393184,0.0,1.0
2024-07-30,3752.11,3791.44,3683.75,3720.99,3712.2847080292,219838,0.0,1.0
2024-07-29,3735.1,3799.63,3715.28,3755.13,3746.34483717013,224697,0.0,1.0
2024-07-26,3698.54,3714.235,3659.15,3700.99,3692.33149822197,233994,0.0,1.0
2024-07-25,3786.0,3786.0,3643.045,3659.88,3651.31767546322,482536,0.0,1.0
2024-07-24,3880.0,3891.0699,3800.0,3805.78,3796.87634100693,322139,0.0,1.0
2024-07-23,3907.0,3945.39,3901.63,3919.2,3910.03099382369,208683,0.0,1.0
2024-07-22,3976.0,3984.64,3905.0,3909.4,3900.25392101815,254662,0.0,1.0
2024-07-19,3938.09,3976.98,3930.56,3967.25,3957.96858038555,160086,0.0,1.0
2024-07-18,4002.14,4022.74,3905.15,3930.56,3921.3644169942,189770,0.0,1.0
2024-07-17,4102.08,4108.71,3989.31,3989.64,3980.30619876474,226819,0.0,1.0
2024-07-16,4117.0,4144.32,4110.64,4119.09,4109.453349242,144394,0.0,1.0
2024-07-15,4034.62,4100.0,4013.26,4088.0,4078.43608459667,145512,0.0,1.0
2024-07-12,3950.0,4051.685,3950.0,4026.43,4017.01012820513,197592,0.0,1.0
2024-07-11,3998.99,3998.99,3926.13,3936.41,3927.20073086281,229418,0.0,1.0
2024-07-10,3980.12,3990.89,3950.0,3990.05,3980.71523956579,159095,0.0,1.0
2024-07-09,4004.83,4020.235,3973.9,3977.48,3968.17464720195,150985,0.0,1.0
2024-07-08,3932.81,4002.8,3914.04,3984.63,3975.30791970803,159576,0.0,1.0
2024-07-05,3936.98,3939.7599,3905.0,3930.15,3920.95537619315,201774,0.0,1.0
2024-07-03,3912.51,3936.97,3901.945,3916.89,3907.72639809096,79413,0.0,1.0
2024-07-02,3876.81,3922.38,3876.81,3916.21,3907.04798895751,196246,0.0,1.0
2024-07-01,3977.35,3977.35,3869.76,3884.88,3875.7912857945,231238,0.0,1.0
2024-06-28,3994.0,4031.67,3951.0,3961.5,3952.23203256597,321265,0.0,1.0
2024-06-27,4040.0,4040.0,4000.0,4009.4,4000.01997005428,168456,0.0,1.0
2024-06-26,3988.18,4008.19,3971.14,3982.38,3973.06318360472,175071,0.0,1.0
2024-06-25,4016.87,4033.0,3986.0,4014.38,4004.98831929628,150104,0.0,1.0
2024-06-24,3989.11,4018.09,3960.0,3981.2,3971.88594422609,161977,0.0,1.0
2024-06-21,3982.59,3992.68,3940.75,3989.1,3979.76746209994,498275,0.0,1.0
2024-06-20,3995.0,4004.4025,3961.275,3972.08,3962.787280554,212064,0.0,1.0
2024-06-18,3957.71,3989.12,3937.44,3973.18,3963.88470709339,179880,0.0,1.0
2024-06-17,3878.75,3957.98,3854.51,3953.07,3943.82175463223,180148,0.0,1.0
2024-06-14,3837.01,3863.11,3814.095,3859.1,3850.07159835299,143721,0.0,1.0
